,Concept_ID,ro,ady
0,Auge::N,ochi,нэ
1,Ohr::N,ureche,тхьакӏу́м
2,Nase::N,nas,пэ
3,Mund::N,gură,жэ
4,Zahn::N,dinte,цэ
5,Zunge::N,limbă,бзэгу
6,Lippe::N,buză,ӏупшӏэ́
7,Wange::N,bucă,нэкӏу́шъу
8,Wange::N,obraz,нэкӏу́шъу
9,Gesicht::N,față,нэ́гу
10,Gesicht::N,figură,нэ́гу
11,Stirn::N,frunte,натӏэ́
12,Haar::N,păr,шъхьацы́
13,Schnurrbart::N,mustață,
14,Bart::N,barbă,жакӏэ́
15,Kinn::N,bărbie,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,falcă,жэпкъы́
17,Kehle::N,beregată,чый
18,Hals::N,gât,пшъэ
19,Genick::N,ceafă,шъхьэпхэтыку
20,Kopf::N,cap,шъхьэ́
21,Rücken::N,dos,кӏыбы́
22,Rücken::N,spate,кӏыбы́
23,Rücken::N,spinare,кӏыбы́
24,Bauch::N,burtă,ныбэ́
25,Bauch::N,pântece,ныбэ́
26,Nabel::N,buric,
27,Busen::N,sân,бгъэ́
28,Brust::N,piept,бгъэ́
29,Schulter::N,umăr,блыпкъ
30,Schulter::N,spate,блыпкъ
31,Arm::N,braț,ӏэ
32,Ellenbogen::N,cot,ӏэнтэ́гъу
33,Hand::N,mână,ӏэтхьэцу
34,Handfläche::N,palmă,ӏэ́гу
35,Finger::N,deget,ӏэхъуа́мб
36,Fingernagel::N,unghie,ӏэбжъа́н
37,Nagel[Anatomie]::N,unghie,ӏэбжъа́н
38,Zeh::N,deget de la picior,ӏэхъуа́мб
39,Fuß::N,picior,лъэгу
40,Ferse::N,călcâi,лъэдакъэ
41,Knie::N,genunchi,лъагуа́ндж
42,Oberschenkel::N,coapsă,ко
43,Bein::N,picior,лъакъо́
44,Körper::N,corp,пкъышъол
45,Haut::N,piele,кӏы́шъу
46,Blut::N,sânge,лъы
47,Ader::N,vână,льытф
48,Ader::N,arteră,льытф
49,Sehne::N,tendon,фэ
50,Knochen::N,os,къупшъхьэ́
51,Gehirn::N,creier,куцӏы
52,Herz::N,inimă,гу
53,Magen::N,stomac,мышкӏу
54,Leber::N,ficat,шӏу
55,Atem::N,răsuflare,къэщэныр
56,Atem::N,respirație,къэщэныр
57,Hunger::N,foame,гъаблэ́
58,Träne::N,lacrimă,нэпсы
59,Geschmack::N,gust,ӏэшӏугъа́кӏ
60,Geruch::N,miros,мэ
61,Schlaf::N,somn,пчыхьы́пӏ
62,Traum::N,vis,пчыхьы́пӏ
63,Himmel::N,cer,уашъо́
64,Sonne::N,soare,тыгъэ
65,Mond::N,lună,мазэ
66,Stern::N,stea,жъуагъо́
67,Luft::N,aer,жьы
68,Wind::N,vânt,жьыбгъэ́
69,Welle::N,val,ор
70,Welle::N,val,оры
71,Welle::N,undă,ор
72,Welle::N,undă,оры
73,Wasser::N,apă,псы
74,Stein::N,piatră,мыжъо́
75,Boden::N,sol,чӏ́ыгу
76,Boden::N,pământ,чӏ́ыгу
77,Erde::N,pământ,чӏ́ыгу
78,Staub::N,praf,сап
79,Rauch::N,fum,ӏугъо́
80,Funke::N,scânteie,мэшӏуа́ч
81,Feuer::N,foc,машӏо́
82,Licht::N,lumină,нэфы
83,Licht::N,lumină,нэфын
84,Schatten::N,umbră,жьау́
85,Schatten::N,umbră,ныбжьыкъу
86,Wetter::N,timp,
87,Wetter::N,vreme,
88,Nebel::N,ceață,пща́гъу
89,Nebel::N,negură,пща́гъу
90,Wolke::N,nor,ошъуапщэ
91,Regen::N,ploaie,ощхы
92,Schnee::N,zăpadă,осы́
93,Eis::N,gheață,мылы
94,Frost::N,ger,
95,Kälte::N,frig,чъыӏэ́
96,Hitze::N,arșiță,фэба́е
97,Hitze::N,căldură,фэба́е
98,Raureif::N,chiciură,
99,Regenbogen::N,curcubeu, лэгъупэкъо́пс
100,Donner::N,tunet,шыблэ́
101,Strömung::N,curent,ток
102,Tropfen::N,picătură,ткӏопс
103,Tropfen::N,picătură,гъуаткӏу
104,Schaum::N,spumă,тхъурбэ
105,Schmutz::N,murdărie,псынжъы
106,See::N,lac,хыку́м
107,See::N,lac,псыхъура́й
108,Sumpf::N,mlaștină,орыжъ
109,Moor::N,bărăgan,орыжъ
110,Wiese::N,fânaț,хъупӏэ́
111,Wiese::N,fânaț,мэкъупӏ
112,Wiese::N,livadă,хъупӏэ́
113,Wiese::N,livadă,мэкъупӏ
114,Wald::N,codru,мэзы́
115,Wald::N,pădure,мэзы́
116,Hügel::N,deal,ӏуашъхь
117,Hügel::N,movilă,ӏуашъхь
118,Anhöhe::N,deal,чӏыӏэтыгъ
119,Anhöhe::N,ridicătură,чӏыӏэтыгъ
120,Berg::N,munte,къушъхьэ́
121,Gipfel::N,pisc,шыгу
122,Höhle::N,peșteră,гъочӏэгъ
123,Abhang::N,pantă,чапэ
124,Abhang::N,versant,чапэ
125,Quelle::N,izvor,псынэчэ́чъ
126,Bach::N,gârlă,псышкуашку
127,Fluss::N,râu,псыхъо́
128,Fluss::N,fluviu,псыхъо́
129,Ufer::N,mal,нэпкъы
130,Ufer::N,țărm,нэпкъы
131,Küste::N,coastă,ӏушъо
132,Festland::N,uscat,чӏл́ыгу
133,Meer::N,mare,хы
