,Concept_ID,kl,kk
0,Auge::N,isi,көз
1,Ohr::N,siut,құлақ
2,Mund::N,paaq,ауыз
3,Mund::N,qaneq,ауыз
4,Zahn::N,kigut,тіс
5,Zunge::N,oqaq,тіл
6,Lippe::N,qarloq,ерін
7,Wange::N,ersaq,ұрт
8,Gesicht::N,kiinaq,бет-аузы
9,Stirn::N,qaaq,маңдай
10,Haar::N,meqqoq,қыл
11,Bart::N,umik,сақал
12,Kinn::N,talloq,иек
13,Kiefer[Anatomie]::N,alleroq,жақ
14,Kehle::N,malaq,алқым
15,Hals::N,qungaseq,мойын
16,Genick::N,pukusuk,желке
17,Kopf::N,niaqoq,кәллә
18,Rücken::N,qimerlut,арқа
19,Bauch::N,naaq,қарын
20,Nabel::N,qalaseq,кіндік
21,Busen::N,iviangeq,омырау
22,Brust::N,iviangeq,кеуде
23,Schulter::N,ersik,иық
24,Schulter::N,assaqqoq,иық
25,Arm::N,taleq,қол
26,Ellenbogen::N,ikusik,шынтақ
27,Hand::N,assak,қол
28,Handfläche::N,itumak,алақан
29,Finger::N,inuak,саусақ
30,Fingernagel::N,kikiak,тырнақ
31,Nagel[Anatomie]::N,kukik,тырнақ
32,Zeh::N,isigak,тырнақ
33,Zeh::N,isigak,тұяқ
34,Ferse::N,kimmik,өкше
35,Ferse::N,kimmik,өкшелік
36,Knie::N,seeqqoq,тізе
37,Oberschenkel::N,uppat,жамбас
38,Oberschenkel::N,quttoraq,жамбас
39,Bein::N,isigak,аяқ
40,Körper::N,timi,дене
41,Haut::N,mattak,тері
42,Blut::N,aak,қан
43,Ader::N,taqaq,көктамыр
44,Ader::N,taqaq,күретамыр
45,Sehne::N,ujalu,сіңір
46,Sehne::N,ujaloq,сіңір
47,Knochen::N,saanikut,жілік
48,Gehirn::N,qarasaq,ми
49,Herz::N,uummat,жүрек
50,Magen::N,aqajaroq,асқазан
51,Leber::N,tinguk,бауыр
52,Atem::N,anerneq,леп
53,Hunger::N,kaanneq,ашаршылық
54,Träne::N,qia,жас
55,Träne::N,qiak,жас
56,Geschmack::N,qilanaartuut,дәм
57,Geschmack::N,qilanaartuut,татым
58,Geschmack::N,qilanaartuut,талғам
59,Geruch::N,tipi,иіс
60,Geruch::N,tipik,иіс
61,Traum::N,sinnattoq,түс
62,Traum::N,sinnattugaq,түс
63,Himmel::N,qilak,аспан
64,Himmel::N,qilak,көқ
65,Himmel::N,qilak,таңдай
66,Sonne::N,seqineq,күн
67,Mond::N,qaammat,ай
68,Stern::N,ulloriaq,жұлдыз
69,Luft::N,silaannaq,әуе
70,Wind::N,anori,жел
71,Wind::N,anorsarik,жел
72,Welle::N,aalappaa,толқын
73,Wasser::N,imeq,су
74,Stein::N,ujarak,тас
75,Boden::N,nateq,қыртыс
76,Erde::N,issoq,топырақ
77,Staub::N,pujualanerit,шаң
78,Staub::N,pujoralanerit,шаң
79,Rauch::N,iseq,түтін
80,Rauch::N,pujoq,түтін
81,Funke::N,illoorneq,ұшқын
82,Feuer::N,inneq,алау
83,Licht::N,qaamaneq,шұғыла
84,Schatten::N,tarraq,көлеңке
85,Wetter::N,sila,ауа райы
86,Nebel::N,pujoq,тұман
87,Wolke::N,nuia,бұлт
88,Regen::N,sialuk,жаңбыр
89,Schnee::N,aput,қар
