,Concept_ID,be,he
0,Auge::N,вока,עין
1,Ohr::N,вуха,אזן
2,Nase::N,нос,אף
3,Nase::N,нос,חטם
4,Mund::N,рот,פה
5,Zahn::N,зуб,שן
6,Zunge::N,язык,לשון
7,Lippe::N,губа,שפה
8,Wange::N,шчака,לחי
9,Gesicht::N,твар,פנים
10,Stirn::N,лоб,מצח
11,Haar::N,волас,שערה
12,Haar::N,валасы,שערה
13,Schnurrbart::N,вус,שפם
14,Schnurrbart::N,вусы,שפם
15,Bart::N,барада,זקן
16,Kinn::N,падбародак,סנטר
17,Kiefer[Anatomie]::N,сківіца,לסת
18,Kehle::N,горла,גרון
19,Hals::N,шыя,צואר
20,Genick::N,патыліца,ערף
21,Kopf::N,галава,ראש
22,Rücken::N,спіна,גב
23,Bauch::N,жывот,בטן
24,Nabel::N,пупок,טבור
25,Busen::N,грудзі,שד
26,Brust::N,грудзі,חזה
27,Schulter::N,плячо,כתף
28,Arm::N,рука,זרוע
29,Ellenbogen::N,локаць,מרפק
30,Hand::N,кісць,יד
31,Handfläche::N,далонь,כף יד
32,Finger::N,палец,אצבע
33,Fingernagel::N,ногаць,צפרן
34,Nagel[Anatomie]::N,ногаць,צפרן
35,Zeh::N,палец,אצבע
36,Fuß::N,нага,רגל
37,Ferse::N,пята,עקב
38,Ferse::N,пятка,עקב
39,Knie::N,калена,ברך
40,Oberschenkel::N,бядро,ירך
41,Oberschenkel::N,сцягно,ירך
42,Bein::N,нага,רגל
43,Körper::N,цела,גוף
44,Haut::N,скура,עור
45,Blut::N,кроў,דם
46,Ader::N,вена,וריד
47,Ader::N,сасуд,וריד
48,Sehne::N,жыла,גיד
49,Sehne::N,цеціва,גיד
50,Sehne::N,сухажылле,גיד
51,Knochen::N,косць,עצם
52,Gehirn::N,мозг,מוח
53,Herz::N,сэрца,לב
54,Magen::N,страўнік,קבה
55,Leber::N,печань,כבד
56,Atem::N,дыханне,נשימה
57,Hunger::N,голад,רעב
58,Träne::N,сляза,דמעה
59,Geschmack::N,смак,טעם
60,Geruch::N,пах,ריח
61,Schlaf::N,сон,שנה
62,Traum::N,сон,חלום
63,Himmel::N,неба,שמים
64,Sonne::N,сонца,שמש
65,Mond::N,месяц,ירח
66,Stern::N,зорка,כוכב
67,Luft::N,паветра,אויר
68,Wind::N,вецер,רוח
69,Welle::N,хваля,גל
70,Wasser::N,вада,מים
71,Stein::N,камень,אבן
72,Boden::N,глеба,קרקע
73,Erde::N,зямля,אדמה
74,Staub::N,пыл,אבק
75,Rauch::N,дым,עשן
76,Funke::N,іскра,ניצוץ
77,Feuer::N,агонь,אש
78,Licht::N,святло,אור
79,Schatten::N,цень,צל
80,Wetter::N,пагода,מזג אויר
81,Wetter::N,надворʼе,מזג אויר
82,Nebel::N,туман,ערפל
83,Wolke::N,воблака,ענן
84,Regen::N,дождж,גשם
85,Schnee::N,снег,שלג
86,Eis::N,лёд,קרח
87,Frost::N,мароз,צנה
88,Kälte::N,холад,קר
89,Hitze::N,спёка,חם
90,Raureif::N,іней,כפור
91,Regenbogen::N,вясёлка,קשת
92,Donner::N,гром,רעם
93,Strömung::N,цячэнне,זרימה
94,Tropfen::N,кропля,טפה
95,Schaum::N,пена,קצף
96,Schmutz::N,гразь,לכלוך
97,See::N,возера,אגם
98,Sumpf::N,багна,בצה
99,Moor::N,балота,בצה
100,Wiese::N,луг,מרעה
101,Wald::N,лес,יער
102,Hügel::N,узгорак,תל
103,Anhöhe::N,узвышша,מעלה
104,Berg::N,гара,הר
105,Gipfel::N,вяршыня,פסגה
106,Höhle::N,пячора,מערה
107,Abhang::N,схіл,מדרון
108,Abhang::N,схіл,שפוע
109,Quelle::N,крыніца,מעין
110,Bach::N,ручай,נחל
111,Fluss::N,рака,נהר
112,Ufer::N,бераг,גדה
113,Küste::N,узбярэжжа,חוף
114,Festland::N,суша,יבשה
115,Meer::N,мора,ים
116,Bucht::N,бухта,מפרץ
117,Insel::N,востраў,אי
118,Blume::N,кветка,פרח
119,Gras::N,трава,דשא
120,Wurzel::N,корань,שרש
121,Baum::N,дрэва,עץ
122,Stamm::N,ствол,גזע
123,Rinde::N,кара,קלפת עץ
124,Ast::N,сук,ענף
125,Zweig::N,галіна,ענף
126,Blatt::N,ліст,עלה
127,Birke::N,бяроза,שדר
128,Kiefer[Baum]::N,хвоя,ארן
129,Kiefer[Baum]::N,сасна,ארן
130,Weide[Baum]::N,вярба,ערבה
131,Tanne::N,яліна,אשוח
132,Horn::N,рог,קרן
133,Feder::N,пяро,נוצה
134,Fell::N,шкура,פרוה
135,Flügel::N,крыло,כנף
136,Klaue::N,кіпцюр,טלף
137,Kralle::N,лапа,טפר
138,Schwanz::N,хвост,זנב
139,Ei::N,яйка,ביצה
140,Nest::N,гняздо,קן
141,Bau::N,нара,מחלה
142,Tier::N,жывёла,חיה
143,Herde::N,статак,עדר
144,Kuh::N,карова,פרה
145,Bulle::N,бык,פר
146,Pferd::N,конь,סוס
147,Schaf::N,авечка,כבשה
148,Schwein::N,свіння,חזיר
149,Hund::N,сабака,כלב
150,Katze::N,кошка,חתול
151,Bär::N,мядзведзь,דב
152,Eichhörnchen::N,вавёрка,סנאי
153,Elch::N,лось,דישון
154,Fuchs::N,ліса,שועל
155,Hase::N,заяц,ארנב
156,Maus::N,мыш,עכבר
157,Wolf::N,воўк,זאב
158,Vogel::N,птах,צפור
159,Vogel::N,птушка,צפור
160,Schwarm::N,чарада,נחיל
161,Schwarm::N,чарада,להקה
162,Huhn::N,курыца,תרנגלת
163,Hahn::N,певень,תרנגול
164,Gans::N,гусь,אוז
165,Adler::N,арол,עיט
166,Ente::N,качка,ברוז
167,Eule::N,сава,ינשוף
168,Kranich::N,жораў,עגור
169,Kranich::N,жораў,כרוכיה
170,Kranich::N,журавель,עגור
171,Kranich::N,журавель,כרוכיה
172,Krähe::N,варона,עורב
173,Kuckuck::N,зязюля,קוקיה
174,Schwan::N,лебедзь,ברבור
175,Fisch::N,рыба,דג
176,Barsch::N,акунь,אוקונוס
177,Hecht::N,шчупак,זאב הים
178,Schlange[Tier]::N,змяя,נחש
179,Wurm::N,чарвяк,תולעת
180,Spinne::N,павук,עכביש
181,Ameise::N,мурашка,נמלה
182,Laus::N,вош,כנה
183,Mücke::N,камар,יתוש
184,Fliege::N,муха,זבוב
185,Schmetterling::N,матыль,פרפר
186,Beere::N,ягада,ענבה
187,Apfel::N,яблык,תפוח
188,Pilz::N,грыб,פטריה
189,Zwiebel::N,цыбуля,בצל
190,Saat::N,семя,זרעים
191,Korn::N,зерне,גרעין
192,Heu::N,сена,חציר
193,Schale::N,шалупінне,קלפה
194,Grube::N,яма,בור
195,Grube::N,яма,שוחה
196,Falle::N,пастка,מלכדת
197,Schlinge::N,сіло,לולאה
198,Spur::N,след,עקבה
199,Asche::N,попел,אפר
200,Dreck::N,бруд,זהמה
201,Eisen::N,жалеза,ברזל
202,Gold::N,золата,זהב
203,Silber::N,сребра,כסף
204,Kohle::N,вугаль,פחם
205,Glas::N,шкло,זכוכית
206,Lehm::N,гліна,חרסית
207,Sand::N,пясок,חול
208,Mensch::N,чалавек,אדם
209,Mann::N,мужчына,איש
210,Mann::N,мужчына,גבר
211,Frau::N,жанчына,אשה
212,Frau::N,жанчына,גברת
213,Kind::N,дзіця,ילד
214,Junge::N,хлопчык,ילד
215,Mädchen::N,дзяўчынка,נערה
216,Familie::N,сямʼя,משפחה
217,Großvater::N,дзядуля,סבא
218,Großmutter::N,бабуля,סבתא
219,Eltern::N,бацькі,הורים
220,Vater::N,бацька,אב
221,Mutter::N,маці,אם
222,Sohn::N,сын,בן
223,Tochter::N,дачка,בת
224,Bruder::N,брат,אח
225,Schwester::N,сястра,אחות
226,Onkel::N,дзядзька,דוד
227,Tante::N,цётка,דודה
228,Ehemann::N,муж,איש
229,Ehemann::N,муж,בעל
230,Ehefrau::N,жонка,אשה
231,Freude::N,радасць,שמחה
232,Gelächter::N,смех,צחוק
233,Glück::N,шчасце,אשר
234,Kummer::N,гора,יגון
235,Kummer::N,гора,עגמה
236,Wunsch::N,жаданне,אחול
237,Wunsch::N,жаданне,משאלה
238,Lust::N,цяга,חשק
239,Lust::N,цяга,תשוקה
240,Geist::N,дух,רוח
241,Gedanke::N,думка,מחשבה
242,Gedächtnis::N,памяць,זכרון
243,Verstand::N,розум,שכל
244,Sinn::N,сэнс,מובן
245,Sinn::N,сэнс,משמעות
246,Grund::N,зачэпка,סבה
247,Wahrheit::N,праўда,אמת
248,Gespräch::N,размова,דיון
249,Märchen::N,казка,אגדה
250,Erzählung::N,расказ,ספור
251,Erzählung::N,апавяданне,ספור
252,Nachricht::N,вестка,ידיעה
253,Nachricht::N,паведамленне,ידיעה
254,Neuigkeit::N,навіна,חדשה
255,Name::N,імя,שם
256,Rätsel::N,загадка,תעלומה
257,Rede::N,прамова,נאום
258,Sprache::N,мова,לשון
259,Stimme::N,голас,קול
260,Wort::N,слова,מלה
261,Zeichen::N,знак,סימן
262,Ruf::N,кліч,קריאה
263,Lärm::N,шум,רעש
264,Laut::N,гук,הגה
265,Ton::N,гучанне,צליל
266,Lied::N,песня,שיר
267,Ruhe::N,спакой,שלוה
268,Leute::N,людзі,אנשים
269,Volk::N,народ,עם
270,Arbeit::N,праца,עבודה
271,Arbeit::N,работа,עבודה
272,Gast::N,госць,אורח
273,Geschenk::N,падарунак,מתנה
274,Spiel::N,гульня,משחק
275,Gesellschaft::N,таварыства,חברה
276,Hilfe::N,дапамога,עזרה
277,Freund::N,друг,חבר
278,Freund::N,друг,ידיד
279,Freund::N,сябар,חבר
280,Freund::N,сябар,ידיד
281,Kamerad::N,прыяцель,רע
282,Angelegenheit::N,справа,ענין
283,Anzahl::N,колькасць,מספר
284,Art::N,від,סוג
285,Stück::N,кусок,חתיכה
286,Stück::N,кавалак,חתיכה
287,Teil::N,частка,פרק
288,Hälfte::N,палова,חצי
289,Hälfte::N,палавіна,חצי
290,Kreis::N,круг,מעגל
291,Kreuz::N,крыж,צלב
292,Linie::N,лінія,קו
293,Strich::N,рыса,קו קצר
294,Abstand::N,прамежак,מרחק
295,Entfernung::N,адлегласць,מרחק
296,Gegend::N,мясцовасць,נוף
297,Platz::N,месца,שטח
298,Ort::N,месца,אתר
299,Ort::N,месца,מקום
300,Seite::N,бок,צד
301,Mitte::N,сярэдзіна,אמצע
302,Gegenstand::N,прадмет,אוביקט
303,Sache::N,рэч,דבר
304,Rand::N,край,פרור
305,Kante::N,руб,קצה
306,Kante::N,кант,קצה
307,Ecke::N,вугал,פנה
308,Spitze::N,кончык,קצה
309,Ende::N,канец,סוף
310,Loch::N,дзірка,חר
311,Winkel::N,вугал,פנה
312,Muster::N,узор,תבנית
313,Größe::N,памер,גדל
314,Länge::N,даўжыня,ארך
315,Höhe::N,вышыня,קומה
