,Concept_ID,bn,sq
0,Auge::N,চক্ষু,sy
1,Ohr::N,কর্ণ,vesh
2,Nase::N,নাক,hundë
3,Mund::N,মুখ,gojë
4,Zahn::N,দাঁত,dhëmb
5,Zunge::N,জিহবা,gjuhë
6,Lippe::N,অধর,buzë
7,Wange::N,গণ্ড,faqe
8,Wange::N,গণ্ড,mollëz
9,Gesicht::N,মুখমণ্ডল,fytyrë
10,Stirn::N,কপাল,ballë
11,Haar::N,চুল,flokë
12,Schnurrbart::N,গোঁফ,mustaqe
13,Bart::N,শ্মশ্রু,mjekër
14,Kinn::N,চিবুক,mjekër
15,Kiefer[Anatomie]::N,চোয়াল,nofull
16,Kehle::N,কণ্ঠ,fyt
17,Kehle::N,কণ্ঠ,grykë
18,Hals::N,গল,qafë
19,Genick::N,ঘাড়,arrëz
20,Kopf::N,মাথা,kokë
21,Rücken::N,পৃষ্ঠ,kurriz
22,Bauch::N,উদর,bark
23,Nabel::N,নাভি,kërthizë
24,Busen::N,স্তন,gji
25,Brust::N,বুক,gjoks
26,Brust::N,বুক,kraharor
27,Schulter::N,স্কন্ধ,sup
28,Schulter::N,স্কন্ধ,krah
29,Arm::N,বাহু,krah
30,Ellenbogen::N,কনুই,bërryl
31,Hand::N,হাত,dorë
32,Handfläche::N,করতল,pëllëmbë
33,Finger::N,আঙ্গুল,gisht
34,Fingernagel::N,হাতের নখ,thua
35,Nagel[Anatomie]::N,নখ,thua
36,Zeh::N,আঙ্গুল,gisht i këmbës
37,Fuß::N,পা,këmbë
38,Ferse::N,গোড়ালি,thembër
39,Knie::N,হাঁটু,gju
40,Oberschenkel::N,ঊরু,kofshë
41,Bein::N,পা,këmbë
42,Körper::N,দেহ,trup
43,Haut::N,ত্বক,lëkurë
44,Blut::N,রক্ত,gjak
45,Ader::N,শিরা,venë
46,Sehne::N,কণ্ডরা,dell
47,Knochen::N,অস্থি,asht
48,Knochen::N,অস্থি,kockë
49,Gehirn::N,মস্তিষ্ক,tru
50,Herz::N,হৃৎপিণ্ড,zemër
51,Magen::N,পাকস্থলী,stomak
52,Leber::N,যকৃৎ,mëlçi
53,Atem::N,শ্বাস,frymë
54,Hunger::N,ক্ষুধা,uri
55,Träne::N,অশ্রু,lot
56,Geschmack::N,স্বাদ,shije
57,Geruch::N,গন্ধ,erë
58,Schlaf::N,ঘুম,gjumë
59,Traum::N,স্বপ্ন,ëndërr
