,Concept_ID,sq,no
388,Stütze::N,shtyllë,støtte
389,Stütze::N,mbështetesë,støtte
390,Stange::N,shufër,stang
391,Stock::N,dajak,pinne
392,Stab::N,shkop,stav
393,Stab::N,shkop,kjepp
394,Rohr::N,tub,rør
395,Haus::N,shtëpi,hus
396,Heim::N,konak,hjem
397,Heim::N,shtëpi,hjem
398,Ofen::N,sobë,ovn
399,Ofen::N,stufë,ovn
400,Fußboden::N,dysheme,gulv
401,Tisch::N,tryezë,bord
402,Stuhl::N,karrige,stol
403,Wiege::N,djep,vogge
404,Bett::N,shtrat,seng
405,Regal::N,raft,reol
406,Regal::N,raft,hylle
407,Kiste::N,kuti,kasse
408,Fenster::N,dritare,vindu
409,Tür::N,derë,dør
410,Tor::N,portë,port
411,Zaun::N,gardh,gjerde
412,Dach::N,çati,tak
413,Leiter::N,shkallë,stige
414,Besen::N,fshesë,kost
415,Spaten::N,lopatë,spade
416,Schaufel::N,qyrek,skuffe
417,Gabel::N,pirun,gaffel
418,Löffel::N,lugë,skje
419,Messer::N,thikë,kniv
420,Nagel::N,gozhdë,spiker
421,Netz::N,rrjetë,nett
422,Haken::N,grep,krok
423,Haken::N,grremç,krok
424,Griff::N,dorak,tak
425,Griff::N,dorak,håndtak
426,Griff::N,dorezë,tak
427,Griff::N,dorezë,håndtak
428,Schloss::N,bravë,lås
429,Bild::N,tablo,bilde
430,Bild::N,pikturë,bilde
431,Figur::N,figurë,figur
432,Puppe::N,kukull,dukke
433,Beutel::N,qese,pose
434,Beutel::N,trastë,pose
435,Bündel::N,deng,bylt
436,Tasche::N,çantë,veske
437,Eimer::N,kovë,bøtte
438,Deckel::N,kapak,lokk
439,Deckel::N,mbulesë,lokk
440,Geschirr::N,enë,kjøkkentøy
441,Sack::N,thes,sekk
442,Sack::N,torbë,sekk
443,Tasse::N,filxhan,kopp
444,Topf::N,kusi,gryte
445,Topf::N,tenxhere,gryte
446,Kessel::N,kazan,kjele
447,Essen::N,ngrënie,mål
448,Nahrung::N,ushqim,mat
449,Nahrung::N,ushqim,næring
450,Speise::N,gatesë,matrett
451,Fleisch::N,mish,kjøtt
452,Getreide::N,drithë,korn
453,Brei::N,qull,grøt
454,Brot::N,bukë,brød
455,Scheibe::N,fetë,skive
456,Fett::N,lyrë,fett
457,Fett::N,yndyrë,fett
458,Butter::N,gjalpë,smør
459,Öl::N,vaj,olje
460,Salz::N,kripë,salt
461,Suppe::N,supë,suppe
462,Suppe::N,çorbë,suppe
463,Honig::N,mjaltë,honning
464,Milch::N,qumësht,melk
465,Tee::N,çaj,te
466,Leder::N,lëkurë,lær
467,Leder::N,lëkurë,skinn
468,Wolle::N,lesh,ull
469,Stoff::N,pëlhurë,tøy
470,Stoff::N,pëlhurë,stoff
471,Nadel::N,gjilpërë,nål
472,Faden::N,pe,tråd
473,Faden::N,fije,tråd
474,Knopf::N,kopsë,knapp
475,Knoten::N,komb,knute
476,Farbe::N,bojë,farge
477,Kleidung::N,veshje,påkledning
478,Hemd::N,këmishë,skjorte
479,Kragen::N,jakë,krage
480,Ärmel::N,mëngë,erme
481,Hose::N,brekë,bukse
482,Gürtel::N,rrip,belte
483,Mütze::N,kësulë,lue
484,Schuh::N,këpucë,sko
485,Stiefel::N,çizme,støvel
486,Ring::N,unazë,ring
487,Band::N,shirit,band
488,Kamm::N,krehër,kam
489,Spiegel::N,pasqyrë,speil
490,Riemen::N,rrip,rem
491,Schnur::N,litar,snor
492,Schnur::N,cikomë,snor
493,Leine::N,rrip,line
494,Decke::N,batanije,teppe
495,Kissen::N,jastëk,pute
496,Tuch::N,shami,tøy
497,Handtuch::N,peshqir,håndkle
498,Kraft::N,forcë,kraft
499,Stärke::N,koll,styrke
500,Gesundheit::N,shëndet,helse
501,Gesundheit::N,shëndet,sunnhet
502,Krankheit::N,sëmundje,syke
503,Krankheit::N,sëmundje,sykdom
504,Schmerz::N,dhimbje,smerte
505,Wunde::N,plagë,sår
506,Fieber::N,ethe,feber
507,Arznei::N,ilaç,medisin
508,Arznei::N,ilaç,legemiddel
509,Brücke::N,urë,bro
510,Brunnen::N,pus,brønn
511,Weide::N,kullotë,beite
512,Pfad::N,ravë,sti
513,Pfad::N,shteg,sti
514,Weg::N,udhë,vei
515,Weg::N,shteg,vei
516,Straße::N,rrugë,gate
517,Dorf::N,fshat,landsby
518,Dorf::N,katund,landsby
519,Stadt::N,qytet,by
520,Brief::N,letër,brev
