,Concept_ID,en,is
0,Auge::N,eye,auga
1,Ohr::N,ear,eyra
2,Nase::N,nose,nef
3,Mund::N,mouth,munnur
4,Zahn::N,tooth,tönn
5,Zunge::N,tongue,tunga
6,Lippe::N,lip,vör
7,Wange::N,cheek,kinn
8,Wange::N,cheek,vangi
9,Gesicht::N,face,andlit
10,Stirn::N,forehead,enni
11,Haar::N,hair,hár
12,Schnurrbart::N,moustache,yfirskegg
13,Bart::N,beard,skegg
14,Kinn::N,chin,haka
15,Kiefer[Anatomie]::N,jaw,kjálki
16,Kiefer[Anatomie]::N,jaw,skoltur
17,Kehle::N,throat,kverk
18,Hals::N,neck,háls
19,Genick::N,nape,hnakki
20,Kopf::N,head,höfuð
21,Rücken::N,back,hryggur
22,Rücken::N,spine,hryggur
23,Bauch::N,belly,kviður
24,Nabel::N,navel,nafli
25,Busen::N,bosom,barmur
26,Brust::N,chest,brjóst
27,Brust::N,breast,brjóst
28,Schulter::N,shoulder,öxl
29,Arm::N,arm,armur
30,Ellenbogen::N,elbow,olnbogi
31,Hand::N,hand,hönd
32,Handfläche::N,palm,lófi
33,Finger::N,finger,fingur
34,Fingernagel::N,fingernail,fingurnögl
35,Nagel[Anatomie]::N,nail,nögl
36,Zeh::N,toe,tá
37,Fuß::N,foot,fótur
38,Ferse::N,heel,hæll
39,Knie::N,knee,kné
40,Oberschenkel::N,thigh,læri
41,Bein::N,leg,fótleggur
42,Körper::N,body,búkur
43,Körper::N,body,líkami
44,Haut::N,skin,húð
45,Haut::N,skin,skinn
46,Blut::N,blood,blóð
47,Ader::N,vein,æð
48,Sehne::N,sinew,sin
49,Knochen::N,bone,bein
50,Gehirn::N,brain,heili
51,Herz::N,heart,hjarta
52,Magen::N,stomach,magi
53,Leber::N,liver,lifur
54,Atem::N,breath,andi
55,Atem::N,breath,andardráttur
56,Hunger::N,hunger,hungur
57,Träne::N,tear,tár
58,Geschmack::N,flavour,smekkur
59,Geschmack::N,flavor,smekkur
60,Geruch::N,odour,lykt
61,Geruch::N,odor,lykt
