,Concept_ID,ga,it
0,Auge::N,súil,occhio
1,Ohr::N,cluas,orecchio
2,Nase::N,soc,naso
3,Mund::N,béal,bocca
4,Zahn::N,fiacail,dente
5,Zunge::N,teanga,lingua
6,Lippe::N,liopa,labbro
7,Wange::N,grua,guancia
8,Wange::N,leiceann,guancia
9,Gesicht::N,éadan,viso
10,Gesicht::N,éadan,faccia
11,Gesicht::N,aghaidh,viso
12,Gesicht::N,aghaidh,faccia
13,Stirn::N,baithis,fronte
14,Stirn::N,clár éadain,fronte
15,Haar::N,gruaig,capello
16,Schnurrbart::N,croiméal,baffi
17,Schnurrbart::N,croiméal,mustacchi
18,Bart::N,féasóg,barba
19,Kinn::N,smig,mento
20,Kiefer[Anatomie]::N,giall,mascella
21,Kehle::N,scornach,gola
22,Hals::N,muinéal,collo
23,Genick::N,baic,nuca
24,Kopf::N,ceann,capo
25,Kopf::N,ceann,testa
26,Rücken::N,droim,dorso
27,Rücken::N,droim,schiena
28,Bauch::N,bolg,ventre
29,Nabel::N,imleacán,ombelico
30,Busen::N,cíoch,seno
31,Brust::N,brollach,petto
32,Schulter::N,gualainn,spalla
33,Arm::N,lámh,braccio
34,Ellenbogen::N,uillinn,gomito
35,Hand::N,lámh,mano
36,Handfläche::N,bos,palma
37,Finger::N,méar,dito
38,Fingernagel::N,ionga,unghia
39,Nagel[Anatomie]::N,ionga,unghia
40,Zeh::N,ladhar,dito del piede
41,Fuß::N,cos,piede
42,Fuß::N,troigh,piede
43,Ferse::N,sáil,tallone
44,Ferse::N,sáil,calcagno
45,Knie::N,glúin,ginocchio
46,Oberschenkel::N,ceathrú,fèmore
47,Bein::N,cos,gamba
48,Körper::N,corp,corpo
49,Körper::N,colainn,corpo
50,Haut::N,cneas,pelle
51,Haut::N,craiceann,pelle
52,Blut::N,fuil,sangue
53,Sehne::N,teannán,tèndine
54,Sehne::N,féitheog,tèndine
55,Knochen::N,cnámh,osso
56,Gehirn::N,inchinn,cervello
57,Herz::N,croí,cuore
58,Magen::N,bolg,stòmaco
59,Magen::N,goile,stòmaco
60,Leber::N,ae,fegato
61,Atem::N,anáil,fiato
62,Atem::N,anáil,respiro
63,Hunger::N,ocras,fame
64,Träne::N,deoir,làcrima
65,Geschmack::N,blas,gusto
66,Geschmack::N,blas,sapore
67,Geruch::N,boladh,odore
68,Schlaf::N,suan,sonno
69,Schlaf::N,codladh,sonno
70,Traum::N,taibhreamh,sogno
71,Himmel::N,spéir,cielo
72,Sonne::N,grian,sole
73,Mond::N,ré,luna
74,Mond::N,gealach,luna
75,Stern::N,rinn,stella
76,Stern::N,réalta,stella
77,Luft::N,aer,aria
78,Wind::N,gaoth,vento
79,Welle::N,tonn,onda
80,Wasser::N,uisce,acqua
81,Stein::N,cloch,sasso
82,Stein::N,cloch,pietra
83,Boden::N,talamh,suolo
84,Boden::N,talamh,terreno
85,Erde::N,cré,terra
86,Erde::N,ithir,terra
87,Staub::N,dusta,polvere
88,Staub::N,deannach,polvere
89,Rauch::N,toit,fumo
90,Rauch::N,deatach,fumo
91,Funke::N,drithle,scintilla
92,Feuer::N,tine,fuoco
93,Licht::N,solas,luce
94,Schatten::N,scáth,ombra
95,Wetter::N,aimsir,tempo
96,Nebel::N,ceo,nebbia
97,Wolke::N,néal,nube
98,Wolke::N,néal,nùvola
99,Wolke::N,scamall,nube
100,Wolke::N,scamall,nùvola
101,Regen::N,báisteach,pioggia
102,Regen::N,fearthainn,pioggia
103,Schnee::N,sneachta,neve
104,Eis::N,oighear,ghiaccio
105,Frost::N,sioc,gelo
106,Kälte::N,fuacht,freddo
107,Hitze::N,teas,caldo
108,Hitze::N,teas,calura
109,Hitze::N,teocht,caldo
110,Hitze::N,teocht,calura
111,Raureif::N,sioc bán,brina
112,Regenbogen::N,stua ceatha,arcobaleno
113,Regenbogen::N,bogha báistí,arcobaleno
114,Donner::N,toirneach,tuono
115,Strömung::N,sruth,corrente
116,Tropfen::N,deoir,goccia
117,Schaum::N,cúr,spuma
118,Schaum::N,cúr,schiuma
119,Schmutz::N,salachar,sudiciume
120,See::N,loch,lago
121,Sumpf::N,portach,palude
122,Moor::N,caorán,torbiera
123,Moor::N,móinteán,torbiera
124,Wiese::N,cluain,prato
125,Wiese::N,móinéar,prato
126,Wald::N,coill,bosco
127,Wald::N,coill,foresta
128,Wald::N,foraois,bosco
129,Wald::N,foraois,foresta
130,Hügel::N,ard,colle
131,Hügel::N,ard,collina
132,Anhöhe::N,ard,altura
133,Anhöhe::N,ardán,altura
134,Berg::N,sliabh,monte
135,Berg::N,sliabh,montagna
136,Gipfel::N,barr,cima
137,Gipfel::N,mullach,cima
138,Höhle::N,uaimh,grotta
139,Höhle::N,uaimh,caverna
140,Höhle::N,pluais,grotta
141,Höhle::N,pluais,caverna
142,Abhang::N,fána,pendìo
143,Quelle::N,foinse,sorgente
144,Bach::N,sruthán,ruscello
145,Fluss::N,abhainn,fiume
146,Ufer::N,bruach,riva
147,Küste::N,cósta,costa
148,Küste::N,cladach,costa
149,Festland::N,míntír,terraferma
150,Meer::N,muir,mare
151,Meer::N,farraige,mare
152,Bucht::N,bá,cala
153,Bucht::N,cuan,cala
154,Insel::N,inis,ìsola
155,Insel::N,oileán,ìsola
156,Blume::N,bláth,fiore
157,Gras::N,féar,erba
158,Wurzel::N,rúta,radice
159,Wurzel::N,fréamh,radice
160,Baum::N,crann,àlbero
161,Stamm::N,stoc,tronco
162,Stamm::N,tamhan,tronco
163,Rinde::N,coirt,corteccia
164,Rinde::N,craiceann,corteccia
165,Ast::N,géag,ramo
166,Zweig::N,géag,ramo
167,Zweig::N,craobh,ramo
168,Blatt::N,duille,foglia
169,Blatt::N,duilleog,foglia
170,Birke::N,beith,betulla
171,Birke::N,crann beithe,betulla
172,Kiefer[Baum]::N,péine,pino
173,Weide[Baum]::N,saileach,sàlice
174,Tanne::N,giúis,abete
175,Horn::N,adharc,corno
176,Feder::N,cleite,penna
177,Fell::N,clúmh,manto
178,Fell::N,clúmh,pelame
179,Flügel::N,eite,ala
180,Flügel::N,sciathán,ala
181,Klaue::N,crúb,grinfia
182,Klaue::N,crobh,grinfia
183,Kralle::N,crobh,unghia
184,Kralle::N,crobh,artiglio
185,Schwanz::N,eireaball,coda
186,Ei::N,ubh,uovo
187,Nest::N,nead,nido
188,Bau::N,brocais,covo
189,Tier::N,ainmhí,bestia
190,Tier::N,ainmhí,animale
191,Tier::N,beithíoch,bestia
192,Tier::N,beithíoch,animale
193,Herde::N,tréad,gregge
194,Kuh::N,bó,vacca
195,Bulle::N,tarbh,toro
196,Pferd::N,each,cavallo
197,Pferd::N,capall,cavallo
198,Schaf::N,caora,pècora
199,Schwein::N,muc,porco
200,Schwein::N,muc,maiale
201,Hund::N,madra,cane
202,Katze::N,cat,gatta
203,Bär::N,béar,orso
204,Eichhörnchen::N,iora,scoiàttolo
205,Elch::N,eilc,alce
206,Fuchs::N,sionnach,volpe
207,Fuchs::N,madra rua,volpe
208,Hase::N,giorria,lepre
209,Maus::N,luch,topo
210,Maus::N,luch,sorcio
211,Wolf::N,mac tíre,lupo
212,Vogel::N,éan,uccello
213,Schwarm::N,saithe,stormo
214,Huhn::N,cearc,gallina
215,Hahn::N,coileach,gallo
216,Gans::N,gé,oca
217,Adler::N,iolar,àquila
218,Ente::N,lacha,ànatra
219,Eule::N,ulchabhán,gufo
220,Eule::N,ulchabhán,civetta
221,Kranich::N,grús,gru
222,Krähe::N,caróg,cornacchia
223,Krähe::N,préachán,cornacchia
224,Kuckuck::N,cuach,cuccù
225,Kuckuck::N,cuach,cùculo
226,Schwan::N,eala,cigno
227,Fisch::N,iasc,pesce
228,Barsch::N,péirse,pèrsico
229,Hecht::N,liús,luccio
230,Schlange[Tier]::N,nathair,serpente
231,Wurm::N,péist,baco
232,Wurm::N,péist,verme
233,Spinne::N,damhán alla,ragno
234,Ameise::N,seangán,formica
235,Laus::N,míol,pidocchio
236,Mücke::N,muiscít,zanzara
237,Mücke::N,corrmhíol,zanzara
238,Fliege::N,cuil,mosca
239,Fliege::N,cuileog,mosca
240,Schmetterling::N,féileacán,farfalla
241,Beere::N,caor,bacca
242,Apfel::N,úll,mela
243,Pilz::N,beacán,fungo
244,Pilz::N,muisiriún,fungo
245,Zwiebel::N,oinniún,cipolla
