,Concept_ID,sv,se
0,Auge::N,öga,tjelmie
1,Auge::N,öga,tjalmme
2,Auge::N,öga,čalbmi
3,Auge::N,öga,čalme
4,Auge::N,öga,čâ´lmm
5,Auge::N,öga,ча̄лльм
6,Ohr::N,öra,bieljie
7,Ohr::N,öra,biellje
8,Ohr::N,öra,beallji
9,Ohr::N,öra,pelji
10,Ohr::N,öra,pe´llj
11,Ohr::N,öra,пе̄лльй
12,Nase::N,näsa,njuenie
13,Nase::N,näsa,njunnje
14,Nase::N,näsa,njunni
15,Nase::N,näsa,njuṇe
16,Nase::N,näsa,njuu´nn
17,Nase::N,näsa,нюннҍ
18,Mund::N,mun,njaelmie
19,Mund::N,mun,njálmme
20,Mund::N,mun,njálbmi
21,Mund::N,mun,njälmi
22,Mund::N,mun,njä´lmm
23,Mund::N,mun,ня̄лльм
24,Zahn::N,tand,baenie
25,Zahn::N,tand,bádne
26,Zahn::N,tand,bátni
27,Zahn::N,tand,pääṇi
28,Zahn::N,tand,pää´nn
29,Zahn::N,tand,па̄ннҍ
30,Zunge::N,tunga,njoektjeme
31,Zunge::N,tunga,njuovtjav
32,Zunge::N,tunga,njuovčča
33,Zunge::N,tunga,njuovčâ
34,Zunge::N,tunga,njuhččâm
35,Zunge::N,tunga,нюхчем
36,Lippe::N,läpp,bangseme
37,Lippe::N,läpp,njálmmerabdda
38,Lippe::N,läpp,bavssa
39,Lippe::N,läpp,poovsâ
40,Lippe::N,läpp,põõus
41,Lippe::N,läpp,пэ̄кс
42,Wange::N,kind,skiehrie
43,Wange::N,kind,nierra
44,Wange::N,kind,muohtu
45,Wange::N,kind,nieṛâ
46,Wange::N,kind,njiõrr
47,Wange::N,kind,нӣрр
48,Gesicht::N,syn,ååredæjja
49,Gesicht::N,syn,muohto
50,Gesicht::N,syn,muođut
51,Gesicht::N,syn,ámadadju
52,Gesicht::N,syn,muáđuh
53,Gesicht::N,syn,muâđ
54,Gesicht::N,syn,ка̄ссв
55,Gesicht::N,ansikte,ååredæjja
56,Gesicht::N,ansikte,muohto
57,Gesicht::N,ansikte,muođut
58,Gesicht::N,ansikte,ámadadju
59,Gesicht::N,ansikte,muáđuh
60,Gesicht::N,ansikte,muâđ
61,Gesicht::N,ansikte,ка̄ссв
62,Stirn::N,panna,gaalloe
63,Stirn::N,panna,gállo
64,Stirn::N,panna,gállu
