,Concept_ID,da,udm
0,Auge::N,øje,син
1,Ohr::N,øre,пель
2,Nase::N,næse,ныр
3,Mund::N,mund,ым
4,Zahn::N,tand,пинь
5,Zunge::N,tunge,кыл
6,Lippe::N,læbe,ымдур
7,Wange::N,kind,бам
8,Gesicht::N,ansigt,ымныр
9,Stirn::N,pande,кымес
10,Haar::N,hår,йырси
11,Schnurrbart::N,overskæg,мыйык
12,Bart::N,skæg,туш
13,Kinn::N,hage,ангес
14,Kiefer[Anatomie]::N,kæbe,ан
15,Kiefer[Anatomie]::N,kæbe,анлы
16,Kehle::N,strube,гульым
17,Hals::N,hals,чырты
18,Genick::N,nakke,йырбер
19,Kopf::N,hoved,йыр
20,Rücken::N,ryg,мыш
21,Bauch::N,mave,кӧт
22,Nabel::N,navle,гогы
23,Busen::N,barm,ноны
24,Brust::N,bryst,мӧля
25,Schulter::N,skulder,пельпум
26,Arm::N,arm,суй
27,Ellenbogen::N,albue,гырпум
28,Hand::N,hånd,ки
29,Handfläche::N,håndflade,ки пыдэс
30,Handfläche::N,håndflade,кырым пыдэс
31,Finger::N,finger,чиньы
32,Fingernagel::N,fingernegl,гижы
33,Fingernagel::N,fingernegl,гиждӥнь
34,Nagel[Anatomie]::N,negl,гижы
35,Zeh::N,tå,пыдчиньы
36,Fuß::N,fod,пыд
37,Ferse::N,hæl,пыдбер
38,Knie::N,knæ,пыдес
39,Oberschenkel::N,lår,макес
40,Bein::N,ben,пыд
41,Körper::N,krop,мугор
42,Körper::N,krop,вылтыр
43,Körper::N,legeme,мугор
44,Körper::N,legeme,вылтыр
45,Haut::N,hud,ку
46,Blut::N,blod,вир
47,Ader::N,åre,вирсэр
48,Sehne::N,sene,вуж
49,Knochen::N,ben,лы
50,Gehirn::N,hjerne,вим
51,Herz::N,hjerte,сюлэм
52,Magen::N,mave,ӝуш
53,Leber::N,lever,мус
54,Atem::N,ånde,лул
55,Atem::N,ånde,шокан
56,Hunger::N,sult,кӧтсюман
57,Träne::N,tåre,синкыли
58,Geschmack::N,smag,шӧм
59,Geruch::N,lugt,зын
60,Schlaf::N,søvn,вӧт
61,Traum::N,drøm,уйвӧт
62,Himmel::N,himmel,ин
63,Sonne::N,sol,шунды
64,Mond::N,måne,толэзь
65,Stern::N,stjerne,кизили
66,Luft::N,luft,омыр
67,Wind::N,vind,тӧл
68,Welle::N,bølge,тулкым
69,Wasser::N,vand,ву
70,Stein::N,sten,из
71,Boden::N,jord,музъем
72,Erde::N,jord,му
73,Staub::N,støv,пыль
74,Rauch::N,røg,ӵын
75,Funke::N,gnist,гизьы
76,Feuer::N,ild,тыл
77,Licht::N,lys,тыл
78,Schatten::N,skygge,вужер
79,Wetter::N,vejr,куазь
80,Nebel::N,tåge,бус
81,Wolke::N,sky,пилем
82,Regen::N,regn,зор
83,Schnee::N,sne,лымы
84,Eis::N,is,йӧ
85,Frost::N,frost,кезьыт
86,Kälte::N,kulde,кезьыт
87,Hitze::N,hede,пӧсь
88,Raureif::N,rimfrost,гӧр
89,Regenbogen::N,regnbue,вуюись
90,Donner::N,torden,гудыри
91,Strömung::N,strømning,бызён
92,Tropfen::N,dråbe,шапык
93,Schaum::N,skum,шукы
94,Schmutz::N,snavs,нӧд
95,Schmutz::N,snavs,дэри
96,See::N,sø,ты
97,Sumpf::N,sump,нюр
98,Moor::N,mose,нюр
99,Wiese::N,eng,возь
100,Wiese::N,eng,возьвыл
101,Wald::N,skov,сик
102,Wald::N,skov,нюлэс
103,Hügel::N,høj,выр
104,Hügel::N,høj,вырйыл
105,Hügel::N,bakke,выр
106,Hügel::N,bakke,вырйыл
107,Anhöhe::N,høj,выр
108,Anhöhe::N,høj,вырйыл
109,Anhöhe::N,bakke,выр
110,Anhöhe::N,bakke,вырйыл
111,Berg::N,bjerg,гурезь
112,Gipfel::N,top,йыл
113,Höhle::N,hule,гу
114,Abhang::N,skrænt,бам
115,Abhang::N,skråning,бам
116,Quelle::N,kilde,ошмес
117,Bach::N,bæk,пичи шур
118,Fluss::N,flod,шур
119,Ufer::N,bred,ярдур
120,Küste::N,kyst,вудур
121,Festland::N,fastland,мувыр
122,Meer::N,hav,зарезь
123,Bucht::N,bugt,вукож
124,Insel::N,ø,вумуӵ
125,Insel::N,ø,шормуӵ
126,Blume::N,blomst,сяська
127,Gras::N,græs,турын
128,Wurzel::N,rod,выжы
129,Baum::N,træ,пу
130,Stamm::N,stamme,модос
131,Rinde::N,bark,сул
132,Ast::N,gren,ул
133,Zweig::N,kvist,вай
134,Blatt::N,blad,куар
135,Birke::N,birk,кызьпу
136,Kiefer[Baum]::N,fyrretræ,пужым
137,Weide[Baum]::N,piletræ,бадьпу
138,Tanne::N,gran,кыз
139,Horn::N,horn,сюр
140,Feder::N,fjer,тылы
141,Fell::N,skind,ку
142,Flügel::N,vinge,бурд
143,Klaue::N,klov,гижы
144,Kralle::N,klo,пыд
145,Schwanz::N,hale,быж
146,Ei::N,æg,пуз
147,Ei::N,æg,кукей
148,Nest::N,rede,кар
149,Nest::N,rede,пузкар
150,Bau::N,bo,кар
151,Bau::N,bo,гу
152,Tier::N,dyr,пӧйшур
153,Herde::N,flok,уллё
154,Kuh::N,ko,скал
155,Bulle::N,tyr,ош
156,Bulle::N,tyr,пороз
157,Pferd::N,hest,вал
158,Schaf::N,får,ыж
159,Schwein::N,gris,парсь
160,Hund::N,hund,пуны
161,Katze::N,kat,коӵыш
162,Bär::N,bjørn,гондыр
163,Eichhörnchen::N,egern,коньы
164,Elch::N,elg,койык
165,Fuchs::N,ræv,ӟичы
166,Hase::N,hare,кеч
167,Maus::N,mus,шыр
168,Wolf::N,ulv,кион
169,Vogel::N,fugl,тылобурдо
170,Schwarm::N,sværm,уллё
171,Huhn::N,høne,курег
172,Hahn::N,hane,атас
173,Gans::N,gås,ӟазег
174,Adler::N,ørn,ӧрзи
175,Ente::N,and,ӵӧж
176,Eule::N,ugle,кучыран
177,Kranich::N,trane,тури
178,Krähe::N,krage,куака
179,Kuckuck::N,gøg,кикы
180,Schwan::N,svane,юсь
181,Fisch::N,fisk,чорыг
182,Barsch::N,aborre,юш
183,Hecht::N,gedde,чипей
184,Schlange[Tier]::N,slange,кый
185,Wurm::N,orm,нумыр
186,Spinne::N,edderkop,чонари
187,Ameise::N,myre,кузьыли
188,Laus::N,lus,тэй
189,Mücke::N,myg,нымы
190,Mücke::N,myg,чибинь
191,Fliege::N,flue,кут
192,Schmetterling::N,sommerfugl,бубыли
193,Beere::N,bær,узы-боры
194,Apfel::N,æble,яблок
195,Pilz::N,svamp,губи
196,Zwiebel::N,løg,сугон
197,Saat::N,sæd,кидыс
198,Korn::N,korn,тысь
199,Heu::N,hø,турын
200,Schale::N,skræl,кыд
201,Grube::N,grav,гу
202,Grube::N,grav,гоп
203,Falle::N,fælde,налик
204,Schlinge::N,snare,гиӟ
205,Schlinge::N,snare,герд
206,Spur::N,spor,пытьы
207,Spur::N,spor,бервыл
208,Asche::N,aske,пень
209,Dreck::N,snavs,дэри
210,Eisen::N,jern,корт
211,Gold::N,guld,зарни
212,Silber::N,sølv,азвесь
213,Kohle::N,kul,эгыр
214,Glas::N,glas,стекло
215,Glas::N,glas,пияла
216,Lehm::N,ler,сюй
217,Sand::N,sand,луо
218,Mensch::N,mennesge,мурт
219,Mensch::N,mennesge,адями
220,Mann::N,mand,воргорон
221,Frau::N,kvinde,кышномурт
222,Kind::N,barn,нуны
223,Kind::N,barn,пинал
224,Junge::N,dreng,пи
225,Mädchen::N,pige,ныл
226,Familie::N,familie,семья
227,Großvater::N,bedstefar,песятай
228,Großvater::N,bedstefar,пересь атай
229,Großmutter::N,bedstemor,песянай
230,Großmutter::N,bedstemor,пересь анай
231,Eltern::N,forældre,атай-анай
232,Eltern::N,forældre,бубы-мумы
233,Vater::N,far,айы
