,Concept_ID,te,lv
0,Auge::N,కన్ను,син
1,Auge::N,కన్ను,acs
2,Ohr::N,చెవి,пель
3,Ohr::N,చెవి,auss
4,Nase::N,ముక్కు,ныр
5,Nase::N,ముక్కు,deguns
6,Mund::N,నోరు,вом
7,Mund::N,నోరు,mute
8,Zahn::N,పల్లు,пинь
9,Zahn::N,పల్లు,zobs
10,Zunge::N,నాలుక,кыв
11,Zunge::N,నాలుక,mēle
12,Lippe::N,పెదవి,вом дор
13,Lippe::N,పెదవి,lūpa
14,Wange::N,చెంప,бан
15,Wange::N,చెంప,vaigs
16,Gesicht::N,ముఖము,чужӧм
17,Gesicht::N,ముఖము,seja
18,Gesicht::N,ముఖము,ģīmis
19,Stirn::N,నుదురు,плеш
20,Stirn::N,నుదురు,кымӧс
21,Stirn::N,నుదురు,piere
22,Haar::N,వెండ్రుక,си
23,Haar::N,వెండ్రుక,юрси
24,Haar::N,వెండ్రుక,mats
25,Schnurrbart::N,మీసము,ус
26,Schnurrbart::N,మీసము,пыртсим
27,Schnurrbart::N,మీసము,ūsas
28,Bart::N,గడ్డము,тош
29,Bart::N,గడ్డము,bārda
30,Kinn::N,గడ్డము,тшӧка
31,Kinn::N,గడ్డము,zods
32,Kinn::N,గడ్డము,smakrs
33,Kiefer[Anatomie]::N,దౌడ,черлы
34,Kiefer[Anatomie]::N,దౌడ,алака лы
35,Kiefer[Anatomie]::N,దౌడ,вомкӧтш лы
36,Kiefer[Anatomie]::N,దౌడ,žoklis
37,Kehle::N,గొంతు,голя
38,Kehle::N,గొంతు,rīkle
39,Hals::N,మెడ,сьылі
40,Hals::N,మెడ,kakls
41,Genick::N,మూపు,юрбӧр
42,Genick::N,మూపు,балябӧж
43,Genick::N,మూపు,sprands
44,Kopf::N,తల,юр
45,Kopf::N,తల,galva
46,Rücken::N,వెన్ను,мыш
47,Rücken::N,వెన్ను,mugura
48,Bauch::N,కడుపు,рушку
49,Bauch::N,కడుపు,vēders
50,Nabel::N,బొడ్డు,гӧг
51,Nabel::N,బొడ్డు,naba
52,Busen::N,స్తనము,морӧс
53,Busen::N,స్తనము,krūts
54,Brust::N,ఱొమ్ము,морӧс
55,Brust::N,ఱొమ్ము,krūts
56,Schulter::N,భుజము,пельпом
57,Schulter::N,భుజము,plecs
58,Arm::N,చేయి,ки
59,Arm::N,చేయి,roka
60,Arm::N,చేయి,delms
61,Ellenbogen::N,మోచేయి,гырддза
62,Ellenbogen::N,మోచేయి,elkonis
63,Hand::N,చేయి,ки
64,Hand::N,చేయి,roka
65,Hand::N,చేయి,plauksta
66,Handfläche::N,అరచేయు,ки пыдӧс
67,Handfläche::N,అరచేయు,delna
68,Handfläche::N,అరచేయు,plauksta
69,Finger::N,చేతిప్రేలు,чунь
70,Finger::N,చేతిప్రేలు,pirksts
71,Fingernagel::N,గోరు,гыж
72,Fingernagel::N,గోరు,nags
73,Nagel[Anatomie]::N,గోరు,гыж
74,Nagel[Anatomie]::N,గోరు,nags
75,Zeh::N,కాలిప్రేలు,кок чунь
76,Zeh::N,కాలిప్రేలు,pirksts
77,Fuß::N,అడుగు,кок
78,Fuß::N,అడుగు,kāja
79,Ferse::N,మడమ,кокбӧр
80,Ferse::N,మడమ,papēdis
81,Knie::N,మోకాలు,пидзӧс
82,Knie::N,మోకాలు,celis
83,Oberschenkel::N,తొడ,лядьвей
84,Oberschenkel::N,తొడ,бек
85,Oberschenkel::N,తొడ,ciska
86,Oberschenkel::N,తొడ,augšstilbs
87,Bein::N,కాలు,кок
88,Bein::N,కాలు,kāja
89,Körper::N,కాయము,туша
90,Körper::N,కాయము,вывтыр
91,Körper::N,కాయము,miesa
92,Körper::N,కాయము,ķermenis
93,Haut::N,చర్మము,ку
94,Haut::N,చర్మము,āda
95,Blut::N,రక్తము,вир
96,Blut::N,రక్తము,asins
97,Ader::N,సిర,сӧн
98,Ader::N,సిర,asinsvads
99,Sehne::N,స్నాయువు,вез
100,Sehne::N,స్నాయువు,dzīsla
101,Knochen::N,ఎముక,лы
102,Knochen::N,ఎముక,kauls
103,Gehirn::N,మెదడు,вем
104,Gehirn::N,మెదడు,smadzenes
105,Herz::N,హృదయము,сьӧлӧм
106,Herz::N,హృదయము,sirds
107,Magen::N,కడుపు,кынӧм
108,Magen::N,కడుపు,kuņģis
109,Leber::N,కాలేయము,мус
110,Leber::N,కాలేయము,aknas
111,Atem::N,ఉపిరి,лов
112,Atem::N,ఉపిరి,elpa
113,Hunger::N,ఆకలి,тшыг
114,Hunger::N,ఆకలి,bads
115,Hunger::N,ఆకలి,izsalkums
116,Träne::N,కన్నీటిచుక్క,синва
117,Träne::N,కన్నీటిచుక్క,asara
118,Geschmack::N,రుచి,кӧр
119,Geschmack::N,రుచి,чӧсмӧс
120,Geschmack::N,రుచి,garša
121,Geruch::N,వాసన,зын
122,Geruch::N,వాసన,дук
123,Geruch::N,వాసన,smaka
124,Schlaf::N,నిద్ర,узьӧм
125,Schlaf::N,నిద్ర,miegs
126,Traum::N,కల,вӧт
127,Traum::N,కల,вӧтасьӧм
128,Traum::N,కల,sapnis
129,Himmel::N,ఆకాశము,енэж
130,Himmel::N,ఆకాశము,debess
131,Sonne::N,సూర్యుడు,шонді
132,Sonne::N,సూర్యుడు,saule
133,Mond::N,చంద్రుడు,тӧлысь
134,Mond::N,చంద్రుడు,mēness
135,Stern::N,నక్షత్రము,кодзув
136,Stern::N,నక్షత్రము,zvaigzne
137,Luft::N,గాలి,сынӧд
138,Luft::N,గాలి,gaiss
139,Wind::N,వీచుచున్నగాలి,тӧв
140,Wind::N,వీచుచున్నగాలి,vējš
141,Welle::N,అల,гы
142,Welle::N,అల,vilnis
143,Wasser::N,నీరు,ва
144,Wasser::N,నీరు,ūdens
145,Stein::N,ఱాయి,из
146,Stein::N,ఱాయి,akmens
147,Boden::N,నేల,му
148,Boden::N,నేల,augsne
149,Erde::N,మన్ను,му
150,Erde::N,మన్ను,му-ва
151,Erde::N,మన్ను,zeme
152,Staub::N,దుమ్ము,бус
153,Staub::N,దుమ్ము,putekļi
154,Rauch::N,పొగ,тшын
155,Rauch::N,పొగ,dūmi
156,Funke::N,అగ్నికణము,кинь
157,Funke::N,అగ్నికణము,би кинь
158,Funke::N,అగ్నికణము,dzirkstele
159,Feuer::N,అగ్ని,би
160,Feuer::N,అగ్ని,uguns
161,Licht::N,కాంతి,югӧр
162,Licht::N,కాంతి,gaisma
163,Schatten::N,నీడ,вуджӧр
164,Schatten::N,నీడ,ēna
165,Wetter::N,వాతావరణ స్థితి,поводдя
166,Wetter::N,వాతావరణ స్థితి,laiks
167,Nebel::N,పొగమంచు,ру
168,Nebel::N,పొగమంచు,онь
169,Nebel::N,పొగమంచు,migla
170,Wolke::N,మేఘము,кымӧр
171,Wolke::N,మేఘము,mākonis
172,Regen::N,వాన,зэр
173,Regen::N,వాన,lietus
174,Schnee::N,హిమము,лым
175,Schnee::N,హిమము,sniegs
176,Eis::N,మంచుగడ్డ,йи
177,Eis::N,మంచుగడ్డ,ledus
178,Frost::N,పేరిన మంచు,кӧдзыд
179,Frost::N,పేరిన మంచు,sals
180,Kälte::N,చలి,кӧдзыд
181,Kälte::N,చలి,saltums
182,Kälte::N,చలి,aukstums
183,Hitze::N,వేడిమి,пӧсь
184,Hitze::N,వేడిమి,гожӧд
185,Hitze::N,వేడిమి,karstums
186,Raureif::N,మంచు,пуж
187,Raureif::N,మంచు,гыӧр
188,Raureif::N,మంచు,sarma
189,Regenbogen::N,ఇంద్రధనుస్సు,ӧшкамӧшка
190,Regenbogen::N,ఇంద్రధనుస్సు,varavīksne
191,Donner::N,ఉరుము,гым
192,Donner::N,ఉరుము,pērkons
193,Strömung::N,ప్రవాహము,ва ныр
194,Strömung::N,ప్రవాహము,визувтӧм
195,Strömung::N,ప్రవాహము,straume
196,Strömung::N,ప్రవాహము,strāvojums
197,Tropfen::N,చుక్క,войт
198,Tropfen::N,చుక్క,lāse
199,Schaum::N,నురుగు,быг
200,Schaum::N,నురుగు,быгзьӧм
201,Schaum::N,నురుగు,putas
202,Schmutz::N,మైల,няйт
203,Schmutz::N,మైల,dubļi
204,See::N,సరస్సు,ты
205,See::N,సరస్సు,ezers
206,Sumpf::N,చిత్తడినేల,гыбад
207,Sumpf::N,చిత్తడినేల,кад
208,Sumpf::N,చిత్తడినేల,dumbrājs
209,Sumpf::N,చిత్తడినేల,staignājs
210,Moor::N,చిత్తడినేల,нюр
211,Moor::N,చిత్తడినేల,purvs
212,Moor::N,చిత్తడినేల,muklājs
213,Wiese::N,పచ్చిక బయలు,видз
214,Wiese::N,పచ్చిక బయలు,pļava
215,Wald::N,అడవి,вӧр
216,Wald::N,అడవి,mežs
217,Hügel::N,చివ్నకొండ,дзиб
218,Hügel::N,చివ్నకొండ,мыльк
219,Hügel::N,చివ్నకొండ,нӧрыс
220,Hügel::N,చివ్నకొండ,paugurs
221,Anhöhe::N,కొండ,мыльк
222,Anhöhe::N,కొండ,нӧрыс
223,Anhöhe::N,కొండ,paugurs
224,Berg::N,పర్వతము,чой
225,Berg::N,పర్వతము,керӧс
226,Berg::N,పర్వతము,kalns
227,Gipfel::N,శిఖరము,чук
228,Gipfel::N,శిఖరము,virsotne
229,Höhle::N,గుహ,рудӧг
230,Höhle::N,గుహ,ala
231,Abhang::N,ఏటవాలు,ньывк
232,Abhang::N,ఏటవాలు,бокша
233,Abhang::N,ఏటవాలు,nogāze
234,Quelle::N,మూలము,ӧшмӧс
235,Quelle::N,మూలము,avots
236,Bach::N,కాలువ,шор
237,Bach::N,కాలువ,urga
238,Bach::N,కాలువ,strauts
239,Fluss::N,నది,ю
240,Fluss::N,నది,upe
241,Ufer::N,తీరము,вадор
242,Ufer::N,తీరము,krasts
243,Küste::N,తీరము,вадор
244,Küste::N,తీరము,piekraste
245,Festland::N,భూమి,му
246,Festland::N,భూమి,sauszeme
247,Meer::N,సముద్రము,саридз
248,Meer::N,సముద్రము,jūra
249,Bucht::N,మరుగు,куръя
250,Bucht::N,మరుగు,līcis
251,Insel::N,దీవి,ді
252,Insel::N,దీవి,sala
253,Blume::N,పుష్పము,дзоридз
254,Blume::N,పుష్పము,puķe
255,Blume::N,పుష్పము,zieds
256,Gras::N,పచ్చగడ్డి,турун
257,Gras::N,పచ్చగడ్డి,zāle
258,Wurzel::N,వేరు,вуж
259,Wurzel::N,వేరు,sakne
260,Baum::N,చెట్టు,пу
261,Baum::N,చెట్టు,koks
262,Stamm::N,చెట్టుబోదె,пучер
263,Stamm::N,చెట్టుబోదె,stumbrs
264,Rinde::N,చెట్టుపట్ట,кырсь
265,Rinde::N,చెట్టుపట్ట,miza
266,Ast::N,కొమ్మ,ув
267,Ast::N,కొమ్మ,zars
268,Zweig::N,చివుకు,вож
269,Zweig::N,చివుకు,nozare
270,Blatt::N,ఆకు,кор
271,Blatt::N,ఆకు,lapa
272,Birke::N,తరహా చెట్టు,кыдз
273,Birke::N,తరహా చెట్టు,bērzs
274,Kiefer[Baum]::N,దేవదారు చెట్టు,пожӧм
275,Kiefer[Baum]::N,దేవదారు చెట్టు,priede
276,Weide[Baum]::N,జాతిచెట్టు,бадь
277,Weide[Baum]::N,జాతిచెట్టు,kārkls
278,Tanne::N,దేవదారుచెట్టు,коз
279,Tanne::N,దేవదారుచెట్టు,egle
280,Horn::N,కొమ్ము,сюр
281,Horn::N,కొమ్ము,rags
282,Feder::N,ఈక,гӧн
283,Feder::N,ఈక,тывборд
284,Feder::N,ఈక,spalva
285,Fell::N,తోలు,ку
286,Fell::N,తోలు,āda
287,Flügel::N,ఱెక్క,борд
288,Flügel::N,ఱెక్క,spārns
289,Klaue::N,వంకరగోరు,гыж
290,Klaue::N,వంకరగోరు,nags
291,Kralle::N,వంకరగోరు,гыж
292,Kralle::N,వంకరగోరు,nags
