,Concept_ID,av,ml
0,Ohr::N,гӏин,ചെവി
1,Nase::N,мегӏер,മൂക്ക്
2,Mund::N,кӏал,വായ
3,Zahn::N,гӏус,പല്ല്
4,Zunge::N,мацӏ,നാക്ക്
5,Lippe::N,кӏветӏ,ചുണ്ട്
6,Wange::N,гӏоно,കവിൾത്തടം
7,Gesicht::N,гьумер,മുഖം
8,Stirn::N,нодо,നെറ്റി
9,Haar::N,рас,തലമുടി
10,Schnurrbart::N,михъ,മീശ
11,Bart::N,мегеж,താടിരോമം
12,Kinn::N,нилъу,താടി
13,Kiefer[Anatomie]::N,чанагъ,താടിയെല്ല്
14,Kehle::N,щекъер,കണ്ഠനാളം
15,Hals::N,габур,കഴുത്ത്
16,Genick::N,гъванща,പിടലി
17,Kopf::N,бетӏер,തല
18,Rücken::N,мугъ,മുതുക്
19,Bauch::N,чехь,നയറ്
20,Nabel::N,цӏину,നാഭി
21,Busen::N,керен,സ്തനം
22,Brust::N,керен,സ്തനം
23,Schulter::N,гъажазубетӏер,തോൾ
24,Arm::N,гъеж,കൈ
25,Ellenbogen::N,гӏункӏрукь,കൈമുട്ട്
26,Hand::N,квер,കൈ
27,Handfläche::N,огъохъат,ഉള്ളം കൈ
28,Handfläche::N,жанисахъат,ഉള്ളം കൈ
29,Finger::N,килищ,വിരൽ
30,Fingernagel::N,малъ,നഖം
31,Nagel[Anatomie]::N,малъ,നഖം
32,Zeh::N,килищ,കാൽവിരൽ
33,Fuß::N,хӏетӏ,കാൽപ്പാദം
34,Fuß::N,хӏетӏе,കാൽപ്പാദം
35,Ferse::N,эгъе,ഉപ്പൂറ്റി
36,Knie::N,наку,കാൽമുട്ട്
37,Oberschenkel::N,мачӏ,തുട
38,Bein::N,бох,കാൽ
39,Körper::N,къаркъала,ശരീരം
40,Haut::N,тӏом,ചർമ്മം
41,Blut::N,би,രക്തം
42,Ader::N,бидурихь,ഞരമ്പ്
43,Knochen::N,ракьа,അസ്ഥി
44,Gehirn::N,гӏадалнах,തലച്ചോറ്
45,Herz::N,ракӏ,ഹൃദയം
46,Magen::N,кванирукъ,വയർ
47,Leber::N,тӏул,കരൾ
48,Atem::N,хӏухь,ശ്വാസം
49,Hunger::N,ракъи,വിശപ്പ്
50,Träne::N,магӏу,കണ്ണീർ
51,Geschmack::N,тату,രുചി
52,Geruch::N,махӏ,ഗന്ധം
53,Schlaf::N,макьу,ഉറകും
54,Traum::N,макьу,സ്വപ്നം
55,Himmel::N,зоб,ആകാശം
56,Sonne::N,бакъ,സൂര്യൻ
57,Mond::N,моцӏ,ചന്ദ്രൻ
58,Stern::N,цӏва,നക്ഷത്രം
59,Luft::N,гьава,കാറ്റ്
60,Wind::N,гьури,കാറ്റ്
61,Welle::N,карачел,തിരമാല
62,Wasser::N,лъим,വെള്ളം
63,Stein::N,гьецӏо,ശില
64,Stein::N,гьецӏо,കല്ല്
65,Boden::N,ракь,തറ
66,Boden::N,ракь,നിലം
67,Erde::N,ракь,മണ്ണ്
68,Erde::N,дуниял,മണ്ണ്
69,Staub::N,хӏур,പൊടി
70,Rauch::N,кӏкӏуй,പുക
71,Feuer::N,цӏа,തീ
72,Licht::N,канлъи,വിളക്ക്
73,Licht::N,канлъи,സൂര്യപ്രകാശം
74,Schatten::N,рагӏад,തണൽ
75,Wetter::N,гьава-бакъ,കാലാവസ്ഥ
76,Nebel::N,гӏодобнакӏкӏ,മൂടൽമഞ്ഞ്
77,Wolke::N,накӏкӏ,മേഘം
78,Regen::N,цӏад,മഴ
79,Schnee::N,гӏазу,മഞ്ഞ്
80,Eis::N,цӏер,ഐസ്
81,Frost::N,замгьари,മൂടൽമഞ്ഞ്
82,Kälte::N,квач,തണുപ്പ്
83,Hitze::N,багӏари,ചൂട്
84,Raureif::N,мартӏ,കോടമഞ്ഞ്
85,Regenbogen::N,нур,മഴവില്ല്
86,Regenbogen::N,чамбара,മഴവില്ല്
87,Donner::N,гъугъай,ഇടി
88,Donner::N,гъугъади,ഇടി
89,Strömung::N,чвахи,പ്രവാഹം
90,Tropfen::N,резел,തുള്ളി
91,Tropfen::N,тӏинкӏ,തുള്ളി
92,Tropfen::N,къатӏра,തുള്ളി
93,Tropfen::N,тӏенкӏел,തുള്ളി
94,Schaum::N,полоп,നുര
95,Schmutz::N,чороклъи,അഴുക്ക്
96,See::N,хӏор,തടാകം
97,Sumpf::N,хьуцӏ,ചതുപ്പുനിലം
98,Wiese::N,мегъ,പുൽത്തകിടി
99,Wiese::N,гӏурдаллъи,പുൽത്തകിടി
100,Wald::N,рохь,വനം
101,Wald::N,рохь,കാട്
102,Hügel::N,гохӏ,കുന്ന്
103,Anhöhe::N,сийитма,ഉയർന്ന ഭൂമി
104,Berg::N,мегӏер,പർവ്വതം
105,Gipfel::N,тӏогь,ഉച്ചകോടി
106,Höhle::N,нохъо,ഗുഹ
107,Abhang::N,лабаллъи,ചരിവ്
108,Quelle::N,ицц,ഉറവിടം
109,Bach::N,лъар,അരുവി
110,Fluss::N,гӏор,നദി
111,Ufer::N,рагӏал,തീരം
112,Küste::N,рагӏал,കടൽത്തീരം
113,Festland::N,ракь,കര
114,Festland::N,ракъдаллъи,കര
115,Meer::N,ралъад,കടൽ
116,Bucht::N,кӏветӏ,ഉൾക്കടല്
117,Insel::N,чӏинкӏиллъи,ദ്വീപ്
118,Blume::N,тӏегь,പൂവ്
119,Gras::N,хер,പുല്ല്
120,Wurzel::N,кьибил,വേര്
