,Concept_ID,,ja
0,Auge::N,,目
1,Ohr::N,,耳
2,Nase::N,,鼻
3,Mund::N,,口
4,Zahn::N,,歯
5,Zunge::N,,舌
6,Lippe::N,,唇
7,Wange::N,,頬
8,Gesicht::N,,顔
9,Stirn::N,,額
10,Haar::N,,髪
11,Schnurrbart::N,,口髭
12,Bart::N,,髭
13,Kinn::N,,顎
14,Kiefer[Anatomie]::N,,顎
15,Kehle::N,,喉
16,Hals::N,,首
17,Genick::N,,首
18,Kopf::N,,頭
19,Rücken::N,,背中
20,Bauch::N,,腹
21,Bauch::N,,お腹
22,Nabel::N,,へそ
23,Busen::N,,乳房
24,Brust::N,,胸
25,Schulter::N,,肩
26,Arm::N,,腕
27,Ellenbogen::N,,肘
28,Hand::N,,手
29,Handfläche::N,,手のひら
30,Finger::N,,指
31,Fingernagel::N,,爪
32,Nagel[Anatomie]::N,,爪
33,Zeh::N,,足の指
34,Fuß::N,,足
35,Ferse::N,,かかと
36,Knie::N,,膝
37,Oberschenkel::N,,上腿
38,Bein::N,,足
39,Körper::N,,体
40,Haut::N,,皮膚
41,Blut::N,,血
42,Ader::N,,血管
43,Sehne::N,,腱
44,Knochen::N,,骨
45,Gehirn::N,,脳
46,Herz::N,,心
47,Herz::N,,心臓
48,Magen::N,,胃
49,Leber::N,,肝臓
50,Atem::N,,息
51,Atem::N,,呼吸
52,Hunger::N,,空腹
53,Träne::N,,涙
54,Geschmack::N,,味
55,Geruch::N,,匂い
56,Schlaf::N,,睡眠
57,Traum::N,,夢
58,Himmel::N,,空
59,Sonne::N,,太陽
60,Mond::N,,月
61,Stern::N,,星
62,Luft::N,,空気
63,Wind::N,,風
64,Welle::N,,波
65,Wasser::N,,水
66,Stein::N,,石
67,Boden::N,,土地
68,Erde::N,,土
69,Staub::N,,埃
70,Rauch::N,,煙
71,Funke::N,,火花
72,Feuer::N,,火
73,Licht::N,,光
74,Schatten::N,,陰
75,Wetter::N,,天気
76,Nebel::N,,霧
77,Wolke::N,,雲
78,Regen::N,,雨
79,Schnee::N,,雪
80,Eis::N,,氷
81,Frost::N,,霜
82,Kälte::N,,寒さ
83,Hitze::N,,暑さ
84,Raureif::N,,霧氷
85,Regenbogen::N,,虹
86,Donner::N,,雷
87,Strömung::N,,流れ
88,Tropfen::N,,滴
89,Schaum::N,,泡
90,Schmutz::N,,汚れ
91,See::N,,湖
92,Sumpf::N,,沼
93,Moor::N,,湿原
94,Wiese::N,,草原
95,Wald::N,,森
96,Hügel::N,,丘
97,Anhöhe::N,,高み
98,Berg::N,,山
99,Gipfel::N,,頂上
100,Höhle::N,,洞窟
101,Abhang::N,,斜面
102,Quelle::N,,泉
103,Bach::N,,小川
104,Fluss::N,,川
105,Ufer::N,,岸
106,Küste::N,,海岸
107,Festland::N,,陸
108,Meer::N,,海
109,Bucht::N,,湾
110,Insel::N,,島
111,Blume::N,,花
112,Gras::N,,草
113,Wurzel::N,,根
114,Baum::N,,木
115,Stamm::N,,幹
116,Rinde::N,,皮層
117,Ast::N,,枝
118,Zweig::N,,小枝
119,Blatt::N,,葉
120,Birke::N,,樺
121,Kiefer[Baum]::N,,松
122,Weide[Baum]::N,,柳
123,Tanne::N,,樅
124,Horn::N,,角
125,Feder::N,,羽根
126,Fell::N,,毛皮
127,Flügel::N,,羽
128,Klaue::N,,鉤爪
129,Kralle::N,,爪
