,Concept_ID,av,en
0,Ohr::N,гӏин,ear
1,Nase::N,мегӏер,nose
2,Mund::N,кӏал,mouth
3,Zahn::N,гӏус,tooth
4,Zunge::N,мацӏ,tongue
5,Lippe::N,кӏветӏ,lip
6,Wange::N,гӏоно,cheek
7,Gesicht::N,гьумер,face
8,Stirn::N,нодо,forehead
9,Haar::N,рас,hair
10,Schnurrbart::N,михъ,moustache
11,Bart::N,мегеж,beard
12,Kinn::N,нилъу,chin
13,Kiefer[Anatomie]::N,чанагъ,jaw
14,Kehle::N,щекъер,throat
15,Hals::N,габур,neck
16,Genick::N,гъванща,nape
17,Kopf::N,бетӏер,head
18,Rücken::N,мугъ,back
19,Rücken::N,мугъ,spine
20,Bauch::N,чехь,belly
21,Nabel::N,цӏину,navel
22,Busen::N,керен,bosom
23,Brust::N,керен,chest
24,Brust::N,керен,breast
25,Schulter::N,гъажазубетӏер,shoulder
26,Arm::N,гъеж,arm
27,Ellenbogen::N,гӏункӏрукь,elbow
28,Hand::N,квер,hand
29,Handfläche::N,огъохъат,palm
30,Handfläche::N,жанисахъат,palm
31,Finger::N,килищ,finger
32,Fingernagel::N,малъ,fingernail
33,Nagel[Anatomie]::N,малъ,nail
34,Zeh::N,килищ,toe
35,Fuß::N,хӏетӏ,foot
36,Fuß::N,хӏетӏе,foot
37,Ferse::N,эгъе,heel
38,Knie::N,наку,knee
39,Oberschenkel::N,мачӏ,thigh
40,Bein::N,бох,leg
41,Körper::N,къаркъала,body
42,Haut::N,тӏом,skin
43,Blut::N,би,blood
44,Ader::N,бидурихь,vein
45,Knochen::N,ракьа,bone
46,Gehirn::N,гӏадалнах,brain
47,Herz::N,ракӏ,heart
48,Magen::N,кванирукъ,stomach
49,Leber::N,тӏул,liver
50,Atem::N,хӏухь,breath
51,Hunger::N,ракъи,hunger
52,Träne::N,магӏу,tear
53,Geschmack::N,тату,flavour
54,Geschmack::N,тату,flavor
55,Geruch::N,махӏ,odour
56,Geruch::N,махӏ,odor
57,Schlaf::N,макьу,sleep
58,Traum::N,макьу,dream
59,Himmel::N,зоб,sky
60,Sonne::N,бакъ,sun
61,Mond::N,моцӏ,moon
62,Stern::N,цӏва,star
63,Luft::N,гьава,air
64,Wind::N,гьури,wind
65,Welle::N,карачел,wave
66,Wasser::N,лъим,water
67,Stein::N,гьецӏо,stone
68,Boden::N,ракь,soil
69,Boden::N,ракь,ground
70,Erde::N,ракь,earth
71,Erde::N,дуниял,earth
72,Staub::N,хӏур,dust
73,Rauch::N,кӏкӏуй,smoke
74,Feuer::N,цӏа,fire
75,Licht::N,канлъи,light
76,Schatten::N,рагӏад,shadow
77,Wetter::N,гьава-бакъ,weather
78,Nebel::N,гӏодобнакӏкӏ,fog
79,Wolke::N,накӏкӏ,cloud
80,Regen::N,цӏад,rain
81,Schnee::N,гӏазу,snow
82,Eis::N,цӏер,ice
83,Frost::N,замгьари,frost
84,Kälte::N,квач,chill
85,Hitze::N,багӏари,heat
86,Raureif::N,мартӏ,hoarfrost
87,Regenbogen::N,нур,rainbow
88,Regenbogen::N,чамбара,rainbow
89,Donner::N,гъугъай,thunder
90,Donner::N,гъугъади,thunder
91,Strömung::N,чвахи,current
92,Tropfen::N,резел,drop
93,Tropfen::N,тӏинкӏ,drop
94,Tropfen::N,къатӏра,drop
95,Tropfen::N,тӏенкӏел,drop
96,Schaum::N,полоп,foam
97,Schmutz::N,чороклъи,dirt
98,See::N,хӏор,lake
99,Sumpf::N,хьуцӏ,swamp
100,Wiese::N,мегъ,meadow
101,Wiese::N,гӏурдаллъи,meadow
102,Wald::N,рохь,forest
103,Hügel::N,гохӏ,hill
104,Anhöhe::N,сийитма,elevation
105,Berg::N,мегӏер,mountain
106,Gipfel::N,тӏогь,summit
107,Höhle::N,нохъо,cave
108,Abhang::N,лабаллъи,slope
109,Quelle::N,ицц,source
110,Bach::N,лъар,brook
111,Fluss::N,гӏор,river
112,Ufer::N,рагӏал,shore
113,Küste::N,рагӏал,coast
114,Festland::N,ракь,land
115,Festland::N,ракъдаллъи,land
116,Meer::N,ралъад,sea
117,Bucht::N,кӏветӏ,cove
118,Insel::N,чӏинкӏиллъи,island
119,Blume::N,тӏегь,flower
120,Gras::N,хер,grass
121,Wurzel::N,кьибил,root
122,Baum::N,гъветӏ,tree
123,Stamm::N,рохти,trunk
124,Rinde::N,макъар,bark
125,Ast::N,ноцӏ,limb
126,Zweig::N,гӏаркьел,branch
127,Blatt::N,тӏамах,leaf
128,Birke::N,мах,birch
129,Birke::N,махигъветӏ,birch
130,Kiefer[Baum]::N,накӏкӏигъветӏ,pine
131,Weide[Baum]::N,рицӏцӏ,willow
132,Weide[Baum]::N,рицӏцӏигъветӏ,willow
133,Tanne::N,ёлка,fir
134,Horn::N,лълъар,horn
135,Feder::N,хӏули,feather
136,Fell::N,тӏом,fur
137,Fell::N,цӏоко,fur
138,Flügel::N,кваркьи,wing
