,Concept_ID,udm,os
0,Auge::N,син,цӕст
1,Ohr::N,пель,хъус
2,Nase::N,ныр,фындз
3,Mund::N,ым,дзых
4,Zahn::N,пинь,дӕндаг
5,Zunge::N,кыл,ӕвзаг
6,Lippe::N,ымдур,был
7,Wange::N,бам,рус
8,Wange::N,бам,уадул
9,Wange::N,бам,ӕхсӕрфарс
10,Gesicht::N,ымныр,цӕсгом
11,Stirn::N,кымес,ных
12,Haar::N,йырси,хил
13,Schnurrbart::N,мыйык,рихи
14,Bart::N,туш,зачъе
15,Kinn::N,ангес,роцъо
16,Kiefer[Anatomie]::N,ан,ӕфсӕр
17,Kiefer[Anatomie]::N,анлы,ӕфсӕр
18,Kehle::N,гульым,хъуыр
19,Hals::N,чырты,къубал
20,Genick::N,йырбер,къӕбут
21,Kopf::N,йыр,сӕр
22,Rücken::N,мыш,фӕсонтӕ
23,Bauch::N,кӧт,гуыбын
24,Nabel::N,гогы,бикъ
25,Busen::N,ноны,дзидзи
26,Brust::N,мӧля,риу
27,Schulter::N,пельпум,уӕхск
28,Arm::N,суй,цонг
29,Ellenbogen::N,гырпум,рæмбын
30,Hand::N,ки,къух
31,Handfläche::N,ки пыдэс,армытъӕпӕн
32,Handfläche::N,кырым пыдэс,армытъӕпӕн
33,Finger::N,чиньы,ӕнруылдз
34,Fingernagel::N,гижы,ных
35,Fingernagel::N,гиждӥнь,ных
36,Nagel[Anatomie]::N,гижы,ных
37,Zeh::N,пыдчиньы,къух
38,Fuß::N,пыд,фад
39,Ferse::N,пыдбер,зӕвӕт
40,Knie::N,пыдес,уӕраг
41,Oberschenkel::N,макес,агъд
42,Bein::N,пыд,зӕнг
43,Körper::N,мугор,буар
44,Körper::N,вылтыр,буар
45,Haut::N,ку,царм
46,Blut::N,вир,туг
47,Ader::N,вирсэр,дадзин
48,Ader::N,вирсэр,тугдадзин
49,Sehne::N,вуж,хъиутæ
50,Sehne::N,вуж,нуар
51,Knochen::N,лы,стӕг
52,Gehirn::N,вим,магъз
53,Herz::N,сюлэм,зӕрдӕ
54,Magen::N,ӝуш,ахсӕн
55,Leber::N,мус,игæр
56,Atem::N,лул,улӕфт
57,Atem::N,шокан,улӕфт
58,Hunger::N,кӧтсюман,стонг
59,Träne::N,синкыли,цæссыг
60,Geschmack::N,шӧм,ад
61,Geruch::N,зын,смаг
62,Schlaf::N,вӧт,хуыссӕг
63,Traum::N,уйвӧт,фын
64,Himmel::N,ин,арв
65,Himmel::N,ин,уӕларв
66,Sonne::N,шунды,хур
67,Mond::N,толэзь,мӕй
68,Stern::N,кизили,стъалы
69,Luft::N,омыр,уӕлдӕф
70,Wind::N,тӧл,дымгӕ
71,Welle::N,тулкым,уылӕн
72,Wasser::N,ву,дон
73,Stein::N,из,дур
74,Boden::N,музъем,зӕхх
75,Erde::N,му,сыджыт
76,Staub::N,пыль,рыг
77,Rauch::N,ӵын,фӕздӕг
78,Funke::N,гизьы,цӕхӕр
79,Feuer::N,тыл,зынг
80,Licht::N,тыл,рухс
81,Schatten::N,вужер,аууон
82,Wetter::N,куазь,боныхъӕд
83,Nebel::N,бус,мигъ
84,Wolke::N,пилем,ӕврагъ
85,Regen::N,зор,уарын
86,Schnee::N,лымы,мит
87,Eis::N,йӧ,их
88,Frost::N,кезьыт,ихæн
89,Kälte::N,кезьыт,уазал
90,Hitze::N,пӧсь,ӕнтӕф
91,Raureif::N,гӧр,халас
92,Regenbogen::N,вуюись,арвырон
93,Regenbogen::N,вуюись,арвырдын
94,Donner::N,гудыри,æрвнæрын
95,Strömung::N,бызён,цыд
96,Tropfen::N,шапык,æртах
97,Schaum::N,шукы,фынк
98,Schmutz::N,нӧд,цъыф
99,Schmutz::N,дэри,цъыф
100,See::N,ты,цад
101,Sumpf::N,нюр,цъыфдзаст
102,Moor::N,нюр,цъыфдзаст
103,Wiese::N,возь,уыгӕрдӕн
104,Wiese::N,возьвыл,уыгӕрдӕн
105,Wald::N,сик,хъӕд
106,Wald::N,нюлэс,хъӕд
107,Hügel::N,выр,обау
108,Hügel::N,выр,къуыбыр
109,Hügel::N,вырйыл,обау
110,Hügel::N,вырйыл,къуыбыр
111,Anhöhe::N,выр,уæлвæз
112,Anhöhe::N,выр,уæлхох
113,Anhöhe::N,вырйыл,уæлвæз
114,Anhöhe::N,вырйыл,уæлхох
115,Berg::N,гурезь,хох
116,Gipfel::N,йыл,цъупп
117,Höhle::N,гу,лӕгӕт
118,Abhang::N,бам,къул
119,Quelle::N,ошмес,суадон
120,Bach::N,пичи шур,мӕсчъыдон
121,Fluss::N,шур,дон
122,Fluss::N,шур,цӕугӕдон
123,Ufer::N,ярдур,был
124,Küste::N,вудур,донбыл
125,Festland::N,мувыр,сурзæхх
126,Meer::N,зарезь,денджыз
127,Bucht::N,вукож,донбакæлæн
128,Insel::N,вумуӵ,сакъадах
129,Insel::N,шормуӵ,сакъадах
130,Blume::N,сяська,дидинӕг
131,Gras::N,турын,кӕрдӕг
