,Concept_ID,udm,hu
0,Auge::N,син,szem
1,Ohr::N,пель,fül
2,Nase::N,ныр,orr
3,Mund::N,ым,száj
4,Zahn::N,пинь,fog
5,Zunge::N,кыл,nyelv
6,Lippe::N,ымдур,ajak
7,Wange::N,бам,orca
8,Gesicht::N,ымныр,arc
9,Stirn::N,кымес,homlok
10,Haar::N,йырси,haj
11,Schnurrbart::N,мыйык,bajusz
12,Bart::N,туш,szakáll
13,Kinn::N,ангес,áll
14,Kiefer[Anatomie]::N,ан,állkapocs
15,Kiefer[Anatomie]::N,анлы,állkapocs
16,Kehle::N,гульым,gége
17,Kehle::N,гульым,torok
18,Hals::N,чырты,nyak
19,Genick::N,йырбер,tarkó
20,Kopf::N,йыр,fő
21,Kopf::N,йыр,fej
22,Rücken::N,мыш,hát
23,Bauch::N,кӧт,has
24,Nabel::N,гогы,köldök
25,Busen::N,ноны,mell
26,Busen::N,ноны,kebel
27,Brust::N,мӧля,mell
28,Schulter::N,пельпум,váll
29,Arm::N,суй,kar
30,Ellenbogen::N,гырпум,könyök
31,Hand::N,ки,kéz
32,Handfläche::N,ки пыдэс,tenyér
33,Handfläche::N,кырым пыдэс,tenyér
34,Finger::N,чиньы,ujj
35,Fingernagel::N,гижы,köröm
36,Fingernagel::N,гиждӥнь,köröm
37,Nagel[Anatomie]::N,гижы,köröm
38,Zeh::N,пыдчиньы,lábujj
39,Fuß::N,пыд,láb
40,Ferse::N,пыдбер,sarok
41,Knie::N,пыдес,térd
42,Oberschenkel::N,макес,comb
43,Bein::N,пыд,láb
44,Bein::N,пыд,lábszár
45,Körper::N,мугор,test
46,Körper::N,вылтыр,test
47,Haut::N,ку,bőr
48,Blut::N,вир,vér
49,Ader::N,вирсэр,ér
50,Sehne::N,вуж,ín
51,Knochen::N,лы,csont
52,Gehirn::N,вим,agy
53,Gehirn::N,вим,agyvelő
54,Herz::N,сюлэм,szív
55,Magen::N,ӝуш,gyomor
56,Leber::N,мус,máj
57,Atem::N,лул,lehelet
58,Atem::N,лул,lélegzet
59,Atem::N,шокан,lehelet
60,Atem::N,шокан,lélegzet
61,Hunger::N,кӧтсюман,éhség
62,Träne::N,синкыли,könny
63,Geschmack::N,шӧм,íz
64,Geruch::N,зын,szag
65,Schlaf::N,вӧт,álom
66,Schlaf::N,вӧт,alvás
67,Traum::N,уйвӧт,álom
68,Himmel::N,ин,ég
69,Himmel::N,ин,menny
70,Sonne::N,шунды,nap
71,Mond::N,толэзь,hold
72,Stern::N,кизили,csillag
73,Luft::N,омыр,levegő
74,Wind::N,тӧл,szél
75,Welle::N,тулкым,hullám
76,Wasser::N,ву,víz
77,Stein::N,из,kő
78,Boden::N,музъем,föld
79,Boden::N,музъем,talaj
80,Erde::N,му,föld
81,Staub::N,пыль,por
82,Rauch::N,ӵын,füst
83,Funke::N,гизьы,szikra
84,Feuer::N,тыл,tűz
85,Licht::N,тыл,fény
86,Schatten::N,вужер,árnyék
87,Wetter::N,куазь,idő
88,Wetter::N,куазь,időjárás
89,Nebel::N,бус,köd
90,Wolke::N,пилем,felhő
91,Regen::N,зор,eső
92,Schnee::N,лымы,hó
93,Eis::N,йӧ,jég
94,Frost::N,кезьыт,fagy
95,Kälte::N,кезьыт,hideg
96,Hitze::N,пӧсь,hő
97,Hitze::N,пӧсь,hőség
98,Raureif::N,гӧр,zúzmara
99,Regenbogen::N,вуюись,szivárvány
100,Donner::N,гудыри,dörgés
101,Donner::N,гудыри,mennydörgés
102,Strömung::N,бызён,áramlat
103,Tropfen::N,шапык,csepp
104,Schaum::N,шукы,hab
105,Schaum::N,шукы,tajték
106,Schmutz::N,нӧд,piszok
107,Schmutz::N,дэри,piszok
108,See::N,ты,tó
109,Sumpf::N,нюр,mocsár
110,Moor::N,нюр,láp
111,Wiese::N,возь,rét
112,Wiese::N,возь,mező
113,Wiese::N,возьвыл,rét
114,Wiese::N,возьвыл,mező
115,Wald::N,сик,erdő
116,Wald::N,нюлэс,erdő
117,Hügel::N,выр,domb
118,Hügel::N,вырйыл,domb
119,Anhöhe::N,выр,magaslat
120,Anhöhe::N,вырйыл,magaslat
121,Berg::N,гурезь,hegy
122,Gipfel::N,йыл,csúcs
123,Höhle::N,гу,barlang
124,Abhang::N,бам,lejtő
125,Quelle::N,ошмес,forrás
126,Bach::N,пичи шур,patak
127,Fluss::N,шур,folyó
128,Ufer::N,ярдур,part
129,Küste::N,вудур,tengerpart
130,Festland::N,мувыр,szárazföld
131,Meer::N,зарезь,tenger
132,Bucht::N,вукож,öböl
133,Insel::N,вумуӵ,sziget
134,Insel::N,шормуӵ,sziget
135,Blume::N,сяська,virág
136,Gras::N,турын,fű
137,Wurzel::N,выжы,gyökér
138,Baum::N,пу,fa
139,Stamm::N,модос,tő
140,Stamm::N,модос,törzs
141,Rinde::N,сул,kéreg
142,Ast::N,ул,ág
143,Zweig::N,вай,gally
144,Blatt::N,куар,levél
145,Birke::N,кызьпу,nyír
146,Kiefer[Baum]::N,пужым,fenyő
147,Weide[Baum]::N,бадьпу,fűz
148,Tanne::N,кыз,fenyő
149,Horn::N,сюр,szarv
150,Feder::N,тылы,toll
151,Fell::N,ку,szőr
152,Fell::N,ку,bunda
153,Flügel::N,бурд,szárny
154,Klaue::N,гижы,köröm
155,Kralle::N,пыд,karom
156,Schwanz::N,быж,farok
157,Ei::N,пуз,tojás
158,Ei::N,кукей,tojás
159,Nest::N,кар,fészek
160,Nest::N,пузкар,fészek
161,Bau::N,кар,odú
162,Bau::N,гу,odú
163,Tier::N,пӧйшур,állat
164,Herde::N,уллё,nyáj
165,Herde::N,уллё,csorda
166,Kuh::N,скал,tehén
167,Bulle::N,ош,bika
