,Concept_ID,lbe,se
0,Auge::N,я,tjelmie
1,Auge::N,я,tjalmme
2,Auge::N,я,čalbmi
3,Auge::N,я,čalme
4,Auge::N,я,čâ´lmm
5,Auge::N,я,ча̄лльм
6,Ohr::N,вичӏи,bieljie
7,Ohr::N,вичӏи,biellje
8,Ohr::N,вичӏи,beallji
9,Ohr::N,вичӏи,pelji
10,Ohr::N,вичӏи,pe´llj
11,Ohr::N,вичӏи,пе̄лльй
12,Nase::N,май,njuenie
13,Nase::N,май,njunnje
14,Nase::N,май,njunni
15,Nase::N,май,njuṇe
16,Nase::N,май,njuu´nn
17,Nase::N,май,нюннҍ
18,Mund::N,кьацӏ,njaelmie
19,Mund::N,кьацӏ,njálmme
20,Mund::N,кьацӏ,njálbmi
21,Mund::N,кьацӏ,njälmi
22,Mund::N,кьацӏ,njä´lmm
23,Mund::N,кьацӏ,ня̄лльм
24,Zahn::N,ккарччи,baenie
25,Zahn::N,ккарччи,bádne
26,Zahn::N,ккарччи,bátni
27,Zahn::N,ккарччи,pääṇi
28,Zahn::N,ккарччи,pää´nn
29,Zahn::N,ккарччи,па̄ннҍ
30,Zunge::N,маз,njoektjeme
31,Zunge::N,маз,njuovtjav
32,Zunge::N,маз,njuovčča
33,Zunge::N,маз,njuovčâ
34,Zunge::N,маз,njuhččâm
35,Zunge::N,маз,нюхчем
36,Lippe::N,мурччи,bangseme
37,Lippe::N,мурччи,njálmmerabdda
38,Lippe::N,мурччи,bavssa
39,Lippe::N,мурччи,poovsâ
40,Lippe::N,мурччи,põõus
41,Lippe::N,мурччи,пэ̄кс
42,Wange::N,чӏав,skiehrie
43,Wange::N,чӏав,nierra
44,Wange::N,чӏав,muohtu
45,Wange::N,чӏав,nieṛâ
46,Wange::N,чӏав,njiõrr
47,Wange::N,чӏав,нӣрр
48,Gesicht::N,лажин,ååredæjja
49,Gesicht::N,лажин,muohto
50,Gesicht::N,лажин,muođut
51,Gesicht::N,лажин,ámadadju
52,Gesicht::N,лажин,muáđuh
53,Gesicht::N,лажин,muâđ
54,Gesicht::N,лажин,ка̄ссв
55,Stirn::N,ненттабакӏ,gaalloe
56,Stirn::N,ненттабакӏ,gállo
57,Stirn::N,ненттабакӏ,gállu
58,Stirn::N,ненттабакӏ,kállu
59,Stirn::N,ненттабакӏ,käll
60,Stirn::N,ненттабакӏ,вуэххьц
61,Haar::N,чӏара,voepte
62,Haar::N,чӏара,vuoppta
63,Haar::N,чӏара,vuokta
64,Haar::N,чӏара,vuop'tâ
65,Haar::N,чӏара,vuõpt
66,Haar::N,чӏара,вӯппт
67,Schnurrbart::N,ссирссилтту,bijjie-skaavtjoe
68,Schnurrbart::N,ссирссилтту,njunjevuolskávttjá
69,Schnurrbart::N,ссирссилтту,seamu
70,Schnurrbart::N,ссирссилтту,siämu
71,Schnurrbart::N,ссирссилтту,ää´bben
72,Schnurrbart::N,ссирссилтту,о̄а̄бпан
73,Bart::N,чӏири,skaavtja
74,Bart::N,чӏири,skaavtjoe
75,Bart::N,чӏири,skávttjá
76,Bart::N,чӏири,seamu
77,Bart::N,чӏири,siämu
78,Bart::N,чӏири,seäm
79,Bart::N,чӏири,ся̄м
80,Kinn::N,лунттубакӏ,gaejpie
81,Kinn::N,лунттубакӏ,gájbbe
82,Kinn::N,лунттубакӏ,gáibi
83,Kinn::N,лунттубакӏ,käibi
84,Kinn::N,лунттубакӏ,käi´bb
85,Kinn::N,лунттубакӏ,ка̄ййп
86,Kiefer[Anatomie]::N,ххинчулул,gaejpie
87,Kiefer[Anatomie]::N,ххинчулул,oalol
88,Kiefer[Anatomie]::N,ххинчулул,oaloldákte
89,Kiefer[Anatomie]::N,ххинчулул,gáibi
90,Kiefer[Anatomie]::N,ххинчулул,uá'lultähti
91,Kiefer[Anatomie]::N,ххинчулул,vuâl'lõš
92,Kiefer[Anatomie]::N,ххинчулул,вуаллнешш
93,Kehle::N,кьакьари,gealoe
94,Kehle::N,кьакьари,tjåttå
95,Kehle::N,кьакьари,njiello
96,Kehle::N,кьакьари,čotta
97,Kehle::N,кьакьари,čuudâ
98,Kehle::N,кьакьари,čoodd
99,Kehle::N,кьакьари,чонт
100,Kehle::N,кьакьари,кэ̄ҏс
101,Hals::N,ссурссу,tjeapohke
102,Hals::N,ссурссу,tjiebet
103,Hals::N,ссурссу,čeabet
104,Hals::N,ссурссу,čiäppát
105,Hals::N,ссурссу,čeäppat
106,Hals::N,ссурссу,ча̄пэх
107,Genick::N,махъабакӏ,tjovrese
108,Genick::N,махъабакӏ,nisske
109,Genick::N,махъабакӏ,niehkki
110,Genick::N,махъабакӏ,niski
111,Genick::N,махъабакӏ,niek'ki
112,Genick::N,махъабакӏ,nji´šǩǩmaadd
113,Genick::N,махъабакӏ,нышшькмоант
114,Kopf::N,бакӏ,åejjie
115,Kopf::N,бакӏ,oajvve
116,Kopf::N,бакӏ,oaivi
117,Kopf::N,бакӏ,uái'vi
118,Kopf::N,бакӏ,vuei´vv
119,Kopf::N,бакӏ,вуэййв
120,Rücken::N,ттиликӏ,rudtje
121,Rücken::N,ттиликӏ,hárddo
122,Rücken::N,ттиликӏ,tjavelk
123,Rücken::N,ттиликӏ,sealgi
124,Rücken::N,ттиликӏ,selgi
125,Rücken::N,ттиликӏ,čielgi
126,Rücken::N,ттиликӏ,seä´lǧǧ
127,Rücken::N,ттиликӏ,се̄лльк
128,Bauch::N,лякьа,tjåejjie
129,Bauch::N,лякьа,tjoajvve
130,Bauch::N,лякьа,čoavji
131,Bauch::N,лякьа,čuáv'ji
132,Bauch::N,лякьа,čåu´jj
133,Bauch::N,лякьа,чо̄ввьй
134,Nabel::N,цӏумуккутӏ,naepie
135,Nabel::N,цӏумуккутӏ,náhpe
136,Nabel::N,цӏумуккутӏ,náhpi
137,Nabel::N,цӏумуккутӏ,nääpi
138,Nabel::N,цӏумуккутӏ,nää´pp
139,Nabel::N,цӏумуккутӏ,на̄бпь
140,Busen::N,ккукку,boenge
141,Busen::N,ккукку,bållå
142,Busen::N,ккукку,čižži
143,Busen::N,ккукку,njamma
144,Busen::N,ккукку,njižže
145,Busen::N,ккукку,nje´ǯǯ
146,Busen::N,ккукку,раннҍт
147,Brust::N,хъазам,mïelke
