,Concept_ID,ar,udm
0,Auge::N,عين,син
1,Ohr::N,أذن,пель
2,Nase::N,أنف,ныр
3,Mund::N,فم,ым
4,Zahn::N,سن,пинь
5,Zunge::N,لسان,кыл
6,Lippe::N,شفة,ымдур
7,Wange::N,خد,бам
8,Wange::N,وجنة,бам
9,Gesicht::N,وجه,ымныр
10,Stirn::N,جبين,кымес
11,Haar::N,شعر,йырси
12,Schnurrbart::N,شارب,мыйык
13,Bart::N,لحية,туш
14,Kinn::N,ذقن,ангес
15,Kiefer[Anatomie]::N,فك,ан
16,Kiefer[Anatomie]::N,فك,анлы
17,Kehle::N,حلق,гульым
18,Hals::N,عنق,чырты
19,Hals::N,رقبة,чырты
20,Genick::N,قفا,йырбер
21,Kopf::N,رأس,йыр
22,Rücken::N,ظهر,мыш
23,Bauch::N,بطن,кӧт
24,Nabel::N,سرة,гогы
25,Busen::N,ثدي,ноны
26,Brust::N,صدر,мӧля
27,Schulter::N,كتف,пельпум
28,Arm::N,ذراع,суй
29,Ellenbogen::N,كوع,гырпум
30,Hand::N,يد,ки
31,Handfläche::N,كف,ки пыдэс
32,Handfläche::N,كف,кырым пыдэс
33,Finger::N,إصبع,чиньы
34,Fingernagel::N,ظفر,гижы
35,Fingernagel::N,ظفر,гиждӥнь
36,Nagel[Anatomie]::N,ظفر,гижы
37,Zeh::N,إصبع القدم,пыдчиньы
38,Fuß::N,قدم,пыд
39,Ferse::N,كعب,пыдбер
40,Knie::N,ركبة,пыдес
41,Oberschenkel::N,فخذ,макес
42,Bein::N,ساق,пыд
43,Körper::N,جسم,мугор
44,Körper::N,جسم,вылтыр
45,Haut::N,بشرة,ку
46,Blut::N,دم,вир
47,Ader::N,عرق,вирсэр
48,Sehne::N,طنب,вуж
49,Knochen::N,عظم,лы
50,Gehirn::N,دماغ,вим
51,Herz::N,قلب,сюлэм
52,Magen::N,معدة,ӝуш
53,Leber::N,كبد,мус
54,Atem::N,نفس,лул
55,Atem::N,نفس,шокан
56,Hunger::N,جوع,кӧтсюман
57,Träne::N,دمعة,синкыли
58,Geschmack::N,طعم,шӧм
59,Geschmack::N,مذاق,шӧм
60,Geruch::N,رائحة,зын
61,Schlaf::N,نوم,вӧт
62,Schlaf::N,منام,вӧт
63,Traum::N,حلم,уйвӧт
