,Concept_ID,br,bn
0,Auge::N,lagad,চক্ষু
1,Ohr::N,skouarn,কর্ণ
2,Nase::N,fri,নাক
3,Mund::N,genoù,মুখ
4,Zahn::N,dant,দাঁত
5,Zunge::N,teod,জিহবা
6,Lippe::N,muzell,অধর
7,Wange::N,chot,গণ্ড
8,Gesicht::N,dremm,মুখমণ্ডল
9,Stirn::N,tal,কপাল
10,Haar::N,blev,চুল
11,Schnurrbart::N,mourenn,গোঁফ
12,Bart::N,barv,শ্মশ্রু
13,Kinn::N,groñj,চিবুক
14,Kiefer[Anatomie]::N,javed,চোয়াল
15,Kehle::N,gouzoug,কণ্ঠ
16,Hals::N,gouzoug,গল
17,Genick::N,choug,ঘাড়
18,Kopf::N,penn,মাথা
19,Rücken::N,kein,পৃষ্ঠ
20,Bauch::N,kof,উদর
21,Nabel::N,begel,নাভি
22,Busen::N,bronn,স্তন
23,Brust::N,bruched,বুক
24,Schulter::N,skoaz,স্কন্ধ
25,Arm::N,brec'h,বাহু
26,Ellenbogen::N,ilin,কনুই
27,Hand::N,dorn,হাত
28,Handfläche::N,palv,করতল
29,Finger::N,biz,আঙ্গুল
30,Fingernagel::N,ivin,হাতের নখ
31,Nagel[Anatomie]::N,ivin,নখ
32,Zeh::N,biz-troad,আঙ্গুল
33,Fuß::N,troad,পা
34,Ferse::N,seul,গোড়ালি
35,Knie::N,glin,হাঁটু
36,Oberschenkel::N,morzhed,ঊরু
37,Bein::N,gar,পা
38,Körper::N,korf,দেহ
39,Haut::N,kroc'hen,ত্বক
40,Blut::N,gwad,রক্ত
41,Ader::N,gwazhi,শিরা
42,Sehne::N,stir,কণ্ডরা
43,Knochen::N,askorn,অস্থি
44,Gehirn::N,empenn,মস্তিষ্ক
45,Herz::N,kalon,হৃৎপিণ্ড
46,Magen::N,stomog,পাকস্থলী
47,Leber::N,avu,যকৃৎ
48,Atem::N,anal,শ্বাস
49,Hunger::N,naon,ক্ষুধা
50,Träne::N,daer,অশ্রু
51,Geschmack::N,blaz,স্বাদ
52,Geruch::N,c'hwezh,গন্ধ
53,Schlaf::N,kousked,ঘুম
54,Traum::N,hune,স্বপ্ন
55,Himmel::N,oabl,আকাশ
56,Sonne::N,heol,সূর্য
57,Mond::N,loar,চন্দ্র
58,Stern::N,steredenn,নক্ষত্র
59,Luft::N,aer,বায়ু
60,Wind::N,avel,বাতাস
61,Welle::N,houlenn,ঢেউ
62,Welle::N,houlenn,তরঙ্গ
63,Wasser::N,dour,জল
64,Stein::N,maen,ঢিল
65,Stein::N,maen,প্রস্তর
66,Boden::N,tachenn,ভূতল
67,Erde::N,douar,ভূমি
68,Staub::N,poultr,ধুলা
69,Rauch::N,moged,ধোঁয়া
70,Funke::N,ful,স্ফুলিঙ্গ
71,Feuer::N,tan,অগ্নি
72,Licht::N,gouloù,আলো
73,Schatten::N,disheol,ছায়া
74,Wetter::N,amzer,আবহাওয়া
75,Nebel::N,brumenn,কুহেলিকা
76,Wolke::N,koumoulenn,মেঘ
77,Regen::N,glav,বৃষ্টি
78,Schnee::N,erc'h,তুষার
79,Eis::N,skorn,বরফ
80,Frost::N,rev,তুষার
81,Kälte::N,yen,শৈত্য
82,Hitze::N,tommder,তাপ
83,Raureif::N,frim,তুহিন
84,Regenbogen::N,gwareg-ar-glav,রামধনু
85,Donner::N,kurun,বজ্রধ্বনি
86,Strömung::N,red,স্রোত
87,Tropfen::N,bannac'h,ফোঁটা
88,Tropfen::N,takenn,ফোঁটা
89,Schaum::N,spoum,ফেনা
90,Schmutz::N,fank,ধুলা
91,See::N,lenn,হ্রদ
92,Sumpf::N,gwern,জলা
93,Moor::N,taouarc'heg,মাঠ
94,Wiese::N,prad,তৃণভূমি
95,Wald::N,koad,বন
96,Hügel::N,torgenn,পাহাড়
97,Anhöhe::N,run,টিলা
98,Berg::N,menez,পর্বত
99,Gipfel::N,barr,শীর্ষ
100,Höhle::N,kav,গুহা
101,Abhang::N,naou,ঢাল
102,Quelle::N,feunteun,উৎস
103,Bach::N,gwazh,ক্ষুদ্র নদী
104,Fluss::N,stêr,নদী
105,Ufer::N,ribl,উপকূল
106,Küste::N,aod,তীর
107,Festland::N,douar,ভূমি
108,Meer::N,mor,সমুদ্র
109,Bucht::N,mor-bihan,উপসাগর
110,Insel::N,enez,দ্বীপ
111,Blume::N,bleunienn,ফুল
