,Concept_ID,hy,uz
0,Auge::N,աչք,ko'z
1,Ohr::N,ականջ,quloq
2,Nase::N,քիթ,burun
3,Mund::N,բերան,og'iz
4,Zahn::N,ատամ,tish
5,Zunge::N,լեզու,til
6,Lippe::N,շրթունք,dudoq
7,Wange::N,այտ,bet
8,Wange::N,թուշ,bet
9,Gesicht::N,դեմք,yuz
10,Stirn::N,ճակատ,manglay
11,Haar::N,մազ,soch
12,Schnurrbart::N,բեղ,mo'ylov
13,Bart::N,մորուք,soqol
14,Kinn::N,կզակ,ängak
15,Kiefer[Anatomie]::N,ծնոտ,iyak
16,Kehle::N,կոկորդ,bo'g'iz
17,Hals::N,վիզ,bo'yin
18,Hals::N,պարանոց,bo'yin
19,Genick::N,ծոծրակ,gardan
20,Kopf::N,գլուխ,bosh
21,Rücken::N,մեջք,orqa
22,Bauch::N,փոր,qorin
23,Bauch::N,որովայն,qorin
24,Nabel::N,պորտ,kindik
25,Busen::N,ծոց,ämchak
26,Brust::N,կուրծք,ko'krak
27,Schulter::N,ուս,elka
28,Arm::N,թեւ,bilak
29,Arm::N,բազուկ,bilak
30,Ellenbogen::N,արմունկ,tirsak
31,Hand::N,ձեռք,qo'l
32,Handfläche::N,ափ,kaft
33,Finger::N,մատ,barmoq
34,Fingernagel::N,եղունգ,tirnoq
35,Nagel[Anatomie]::N,եղունգ,tirnoq
36,Zeh::N,ոտքի մատ,oyoq barmog'i
37,Fuß::N,ոտք,oyoq
38,Ferse::N,գարշապար,tovon
39,Knie::N,ծունկ,tiz
40,Oberschenkel::N,ազդր,son
41,Bein::N,ոտք,oyoq
42,Körper::N,մարմին,badna
43,Haut::N,մաշկ,teri
44,Blut::N,արյուն,qon
45,Ader::N,երակ,qon tomir
46,Sehne::N,ջիղ,tomir
47,Sehne::N,ձգտան,tomir
48,Knochen::N,ոսկոր,suyak
49,Gehirn::N,խելք,miya
50,Herz::N,սիրտ,qalb
51,Magen::N,ստամոքս,oshqozon
52,Leber::N,լյարդ,bag'ir
53,Atem::N,շունչ,dam
54,Hunger::N,քաղց,ochlik
55,Träne::N,արտասուք,yosh
56,Geschmack::N,համ,tam
57,Geschmack::N,բուրմունք,tam
58,Geruch::N,հոտ,jid
59,Geruch::N,բուրում,jid
60,Schlaf::N,քուն,uyqu
61,Traum::N,երազ,tush
62,Himmel::N,երկինք,osmon
63,Sonne::N,արեւ,quyosh
64,Mond::N,լուսին,oy
65,Stern::N,աստղ,yulduz
66,Luft::N,օդ,havo
67,Wind::N,քամի,el
68,Welle::N,ալիք,to'lqin
69,Wasser::N,ջուր,suv
70,Stein::N,քար,tosh
71,Boden::N,գետին,tuproq
72,Erde::N,հող,er
73,Staub::N,փոշի,chang
74,Rauch::N,ծուխ,tutun
75,Funke::N,կայծ,yalt
76,Feuer::N,կրակ,o't
77,Feuer::N,հրդեհ,o't
78,Licht::N,լույս,yorug'
79,Schatten::N,ստվեր,soya
80,Wetter::N,եղանակ,havo
81,Nebel::N,մեգ,tuman
82,Nebel::N,մառախուղ,tuman
83,Wolke::N,ամպ,bulut
84,Regen::N,անձրև,yomg'ir
85,Schnee::N,ձյուն,qor
86,Eis::N,սառույց,muz
87,Frost::N,սառնամանիք,ajoz
88,Kälte::N,դող,ajoz
89,Hitze::N,շոգ,issiq
90,Raureif::N,ցօղեղեամ,qirov
91,Regenbogen::N,ծիածան,kamalak
92,Donner::N,որոտ,guldur
93,Strömung::N,հոսանք,oqim
94,Tropfen::N,կաթիլ,tomchi
95,Schaum::N,փրփուր,ko'pik
96,Schmutz::N,կեղտ,gard
97,See::N,լիճ,ko'l
98,Sumpf::N,ճահիճ,botqoq
99,Moor::N,ճահիճ,qir-adir
100,Wiese::N,մարգագետին,o'tzor
101,Wald::N,անտառ,o'rmon
102,Hügel::N,բլուր,tepa
103,Anhöhe::N,բարձունք,adir
104,Berg::N,լեռ,tog'
105,Gipfel::N,գագաթ,cho'qqi
106,Gipfel::N,կատար,cho'qqi
107,Höhle::N,քարայր,kavak
108,Abhang::N,լանջ,to'sh
109,Abhang::N,զառիվայր,to'sh
110,Quelle::N,աղբյուր,buloq
111,Bach::N,վտակ,o'zan
112,Fluss::N,գետ,daryo
113,Ufer::N,ծովափ,sohil
114,Küste::N,ափ,qirg'oq
115,Küste::N,ծովափ,qirg'oq
116,Festland::N,ցամաք,materik
117,Meer::N,ծով,dengiz
118,Bucht::N,հաչիւն,qo'ltiq
119,Insel::N,վղզի,orol
120,Blume::N,ծաղիկ,gul
121,Gras::N,խոտ,sabza
122,Wurzel::N,արմատ,tub
123,Wurzel::N,արմատ,tomir
124,Baum::N,ծառ,daraxt
125,Stamm::N,իրան,o'simta
126,Rinde::N,կեղեւ,qobiq
127,Rinde::N,հաչոց,qobiq
128,Ast::N,ճյուղ,shox
129,Zweig::N,ճյուղ,butoq
130,Blatt::N,տերեւ,barg
131,Birke::N,ցարասի,qayin
132,Kiefer[Baum]::N,սոճի,qarag'ay
133,Weide[Baum]::N,ուռենի,shum
134,Tanne::N,եղեւին,archa
135,Feder::N,փետուր,par
136,Fell::N,մորթի,mo'yna
137,Flügel::N,թեւ,qanot
138,Klaue::N,չանչ,tirnoq
139,Kralle::N,ճանկ,tirnoq
140,Schwanz::N,պոչ,quyruq
141,Ei::N,ձու,tuxum
142,Nest::N,բույն,oshyon
143,Bau::N,որջ,o'pqon
144,Bau::N,բայոց,o'pqon
145,Tier::N,կենդանի,hayvon
146,Herde::N,հոտ,gala
147,Kuh::N,կով,inak
148,Bulle::N,ցուլ,ho'kiz
149,Pferd::N,ձի,ot
150,Schaf::N,ոչխար,qo'y
151,Schwein::N,խոզ,cho'chqa
152,Hund::N,շուն,it
153,Katze::N,կատու,mushuk
154,Bär::N,արջ,ayiq
155,Eichhörnchen::N,սկյուռ,tiyin
156,Elch::N,հիւսիսային եղջերու,los
157,Fuchs::N,աղվես,tulki
158,Hase::N,նապաստակ,kuyon
159,Maus::N,մուկ,sichqon
160,Wolf::N,գայլ,bo'ri
161,Vogel::N,թռչուն,qush
162,Schwarm::N,երամ,to'da
163,Huhn::N,հավ,tovuq
164,Hahn::N,աքաղաղ,xo'roz
165,Gans::N,սագ,g'oz
166,Adler::N,արծիվ,burgut
167,Ente::N,բադ,o'rdak
168,Eule::N,բու,boyo'g'li
169,Kranich::N,կռունկ,turna
170,Krähe::N,ագռավ,qarg'a
171,Kuckuck::N,կուկու,kakku
172,Schwan::N,կարապ,oqkush
173,Fisch::N,ձուկ,baliq
174,Barsch::N,պերկես,olabug'a
175,Hecht::N,գայլաձուկ,cho'rtan
176,Schlange[Tier]::N,օձ,ilon
177,Wurm::N,որդ,qurt
178,Wurm::N,ճիճու,qurt
179,Spinne::N,սարդ,o'rgimchak
180,Ameise::N,միջյուն,chumoli
181,Laus::N,ոջիլ,bit
182,Mücke::N,մժղուկ,chivin
183,Fliege::N,ճանճ,pashsha
184,Schmetterling::N,թիթեռ,kapalak
185,Beere::N,հատապտուղ,meva
186,Apfel::N,խնձոր,olma
187,Pilz::N,սունկ,qo'ziqorin
188,Zwiebel::N,սոխ,piyoz
189,Saat::N,սերմ,äkin
190,Korn::N,հատիկ,zarra
191,Heu::N,խոտ,xashak
192,Schale::N,կեղեւ,po'choq
193,Grube::N,փոս,co'ra
194,Falle::N,ծուղակ,qopqon
195,Schlinge::N,խեղդան,sirtmoq
196,Spur::N,հետք,iz
197,Asche::N,մոխիր,kul
198,Dreck::N,աղտ,kir
199,Eisen::N,երկաթ,temir
200,Gold::N,ոսկի,tilla
201,Silber::N,արծաթ,kumush
202,Kohle::N,քարածուխ,ko'mir
203,Glas::N,ապակի,oyna
204,Lehm::N,կավ,loy
205,Sand::N,ավազ,qum
206,Mensch::N,մարդ,odam
207,Mann::N,մարդ,ärkak
208,Mann::N,տղամարդ,ärkak
209,Frau::N,կին,ayol
210,Kind::N,զավակ,bola
211,Kind::N,զավակ,kichkintoy
212,Junge::N,տղա,bola
213,Mädchen::N,աղջիկ,qiz
214,Familie::N,ընտանիք,oila
215,Großvater::N,պապ,buva
216,Großvater::N,պապ,katta ota
217,Großmutter::N,տատ,buvi
218,Großmutter::N,տատ,katta oyi
219,Eltern::N,ծնողներ,ota-ona
220,Vater::N,հայր,ota
221,Mutter::N,մայր,ona
222,Sohn::N,որդի,o'g'il
223,Tochter::N,աղջիկ,qiz
224,Tochter::N,դուստր,qiz
225,Bruder::N,եղբայր,og'a
226,Bruder::N,եղբայր,uka
227,Schwester::N,քույր,opa
228,Schwester::N,քույր,singil
229,Onkel::N,քեռի,amaki
230,Onkel::N,հորեղբայր,amaki
231,Tante::N,մորաքույր,amma
232,Tante::N,մորաքույր,xola
233,Ehemann::N,մարդ,är
234,Ehemann::N,ամուսին,är
235,Ehefrau::N,կին ամուսին,rafiqa
236,Freude::N,ուրախություն,ayish
237,Gelächter::N,ծիծաղ,kulgi
238,Glück::N,երջանկություն,saodat
239,Kummer::N,վիշտ,g'am
240,Wunsch::N,ցանկություն,orzu
241,Lust::N,փափագ,rag'bat
242,Lust::N,իղձ,rag'bat
243,Geist::N,ոգի,ruh
244,Gedanke::N,միտք,fikr
245,Gedächtnis::N,հիշողություն,äs
246,Verstand::N,խելք,aql
247,Sinn::N,իմաստ,ma'ni
