,Concept_ID,ja,bg
0,Auge::N,目,око
1,Ohr::N,耳,ухо
2,Nase::N,鼻,нос
3,Mund::N,口,уста
4,Zahn::N,歯,зъб
5,Zunge::N,舌,език
6,Lippe::N,唇,устна
7,Wange::N,頬,буза
8,Gesicht::N,顔,лице
9,Gesicht::N,顔,образ
10,Stirn::N,額,чело
11,Haar::N,髪,коса
12,Haar::N,髪,косъм
13,Schnurrbart::N,口髭,мустаци
14,Bart::N,髭,брада
15,Kinn::N,顎,брада
16,Kinn::N,顎,брадичка
17,Kiefer[Anatomie]::N,顎,челюст
18,Kehle::N,喉,гърло
19,Hals::N,首,врат
20,Genick::N,首,тил
21,Kopf::N,頭,глава
22,Rücken::N,背中,гръб
23,Bauch::N,腹,корем
24,Bauch::N,お腹,корем
25,Nabel::N,へそ,пъп
26,Busen::N,乳房,бозка
27,Brust::N,胸,гръд
28,Schulter::N,肩,рамо
29,Schulter::N,肩,плещи
30,Arm::N,腕,ръка
31,Ellenbogen::N,肘,лакът
32,Hand::N,手,ръка
33,Hand::N,手,китка
34,Handfläche::N,手のひら,длан
35,Finger::N,指,пръст
36,Fingernagel::N,爪,нокът
37,Nagel[Anatomie]::N,爪,нокът
38,Zeh::N,足の指,пръст на крак
39,Fuß::N,足,крак
40,Fuß::N,足,нога
41,Ferse::N,かかと,пета
42,Knie::N,膝,коляно
43,Oberschenkel::N,上腿,бедро
44,Bein::N,足,крак
45,Bein::N,足,нога
46,Körper::N,体,тяло
47,Haut::N,皮膚,кожа
48,Blut::N,血,кръв
49,Ader::N,血管,вена
50,Ader::N,血管,артерия
51,Sehne::N,腱,жила
52,Sehne::N,腱,сухожилие
53,Knochen::N,骨,кост
54,Gehirn::N,脳,мозък
55,Herz::N,心,сърце
56,Herz::N,心臓,сърце
57,Magen::N,胃,стомах
58,Leber::N,肝臓,черен дроб
59,Atem::N,息,дишане
60,Atem::N,呼吸,дишане
61,Hunger::N,空腹,глад
62,Träne::N,涙,сълза
63,Geschmack::N,味,вкус
64,Geruch::N,匂い,миризма
65,Schlaf::N,睡眠,сън
66,Traum::N,夢,сън
67,Himmel::N,空,небе
68,Sonne::N,太陽,слънце
69,Mond::N,月,луна
70,Mond::N,月,месец
71,Stern::N,星,звезда
72,Luft::N,空気,въздух
73,Wind::N,風,вятър
74,Welle::N,波,вълна
75,Wasser::N,水,вода
76,Stein::N,石,камък
77,Boden::N,土地,земя
78,Boden::N,土地,почва
79,Erde::N,土,земя
80,Erde::N,土,почва
81,Staub::N,埃,прах
82,Rauch::N,煙,дим
83,Rauch::N,煙,пушек
84,Funke::N,火花,искра
85,Feuer::N,火,огън
86,Licht::N,光,светлина
87,Schatten::N,陰,сянка
88,Wetter::N,天気,време
89,Nebel::N,霧,мъгла
90,Wolke::N,雲,облак
91,Regen::N,雨,дъжд
92,Schnee::N,雪,сняг
93,Eis::N,氷,лед
94,Frost::N,霜,мраз
95,Kälte::N,寒さ,студ
96,Hitze::N,暑さ,жега
97,Hitze::N,暑さ,горещина
98,Raureif::N,霧氷,скреж
99,Raureif::N,霧氷,слана
100,Regenbogen::N,虹,дъга
101,Donner::N,雷,гръм
102,Strömung::N,流れ,течение
103,Tropfen::N,滴,капка
104,Schaum::N,泡,пяна
105,Schmutz::N,汚れ,кал
106,Schmutz::N,汚れ,мръсотия
107,See::N,湖,езеро
108,Sumpf::N,沼,блато
109,Moor::N,湿原,мочурище
110,Wiese::N,草原,ливада
111,Wald::N,森,гора
112,Hügel::N,丘,рид
113,Hügel::N,丘,хълм
114,Anhöhe::N,高み,могила
115,Anhöhe::N,高み,възвишение
116,Berg::N,山,планина
117,Gipfel::N,頂上,връх
118,Höhle::N,洞窟,пещера
119,Abhang::N,斜面,склон
120,Abhang::N,斜面,стръмнина
121,Quelle::N,泉,извор
122,Bach::N,小川,поток
123,Fluss::N,川,река
124,Ufer::N,岸,бряг
125,Küste::N,海岸,бряг
126,Küste::N,海岸,крайбрежие
127,Festland::N,陸,суша
128,Meer::N,海,море
129,Bucht::N,湾,залив
130,Insel::N,島,остров
131,Blume::N,花,цвете
132,Gras::N,草,трева
133,Wurzel::N,根,корен
134,Baum::N,木,дърво
135,Stamm::N,幹,стъбло
136,Rinde::N,皮層,кора
137,Ast::N,枝,клон
138,Zweig::N,小枝,клон
139,Blatt::N,葉,лист
140,Birke::N,樺,бреза
141,Kiefer[Baum]::N,松,бор
142,Weide[Baum]::N,柳,върба
143,Tanne::N,樅,ела
144,Horn::N,角,рог
145,Feder::N,羽根,перо
146,Fell::N,毛皮,кожа
147,Flügel::N,羽,крило
148,Klaue::N,鉤爪,нокът
149,Kralle::N,爪,нокът
150,Schwanz::N,尻尾,опашка
151,Ei::N,卵,яйце
152,Nest::N,巣,гнездо
153,Bau::N,穴,дупка
154,Tier::N,動物,животно
155,Herde::N,群れ,стадо
156,Kuh::N,牛,крава
157,Bulle::N,雄牛,бик
158,Pferd::N,馬,кон
159,Schaf::N,羊,овца
160,Schwein::N,豚,свиня
161,Hund::N,犬,куче
162,Katze::N,猫,котка
163,Bär::N,熊,мечка
164,Eichhörnchen::N,栗鼠,катерица
165,Elch::N,ヘラジカ,лос
166,Fuchs::N,狐,лисица
167,Hase::N,兎,заек
168,Maus::N,鼠,мишка
169,Wolf::N,狼,вълк
170,Vogel::N,鳥,птица
171,Schwarm::N,群れ,рой
172,Schwarm::N,群れ,рояк
173,Huhn::N,鶏,кокошка
174,Hahn::N,雄鶏,петел
175,Gans::N,ガチョウ,гъска
176,Adler::N,鷲,орел
177,Ente::N,鴨,патица
178,Eule::N,フクロウ,сова
179,Kranich::N,鶴,жерав
180,Krähe::N,烏,врана
181,Kuckuck::N,郭公,кукувица
182,Schwan::N,白鳥,лебед
183,Fisch::N,魚,риба
184,Barsch::N,鱸,костур
185,Hecht::N,川魳,щука
186,Schlange[Tier]::N,蛇,змия
187,Wurm::N,虫,червей
188,Spinne::N,蜘蛛,паяк
189,Ameise::N,蟻,мравка
190,Laus::N,虱,въшка
191,Mücke::N,蚊,комар
192,Fliege::N,蝿,муха
193,Schmetterling::N,蝶,пеперуда
194,Beere::N,漿果,плод
195,Apfel::N,林檎,ябълка
196,Pilz::N,茸,гъба
197,Zwiebel::N,玉葱,лук
198,Zwiebel::N,玉葱,кромид
199,Saat::N,種,семе
200,Korn::N,粒,зърно
201,Heu::N,干し草,сено
202,Schale::N,皮,кора
203,Grube::N,穴,яма
204,Grube::N,穴,дупка
205,Falle::N,わな,примка
206,Schlinge::N,輪,клуп
207,Spur::N,跡,диря
208,Spur::N,跡,следа
209,Asche::N,灰,пепел
210,Dreck::N,泥,кал
211,Eisen::N,鉄,желязо
212,Gold::N,金,злато
213,Silber::N,銀,сребро
214,Kohle::N,炭,въглища
215,Glas::N,ガラス,стъкло
216,Lehm::N,ローム,глина
217,Sand::N,砂,пясък
218,Mensch::N,人,човек
219,Mann::N,男,мъж
220,Mann::N,男性,мъж
221,Frau::N,女,жена
222,Frau::N,女性,жена
223,Kind::N,子,дете
224,Kind::N,子供,дете
225,Junge::N,男の子,момче
226,Mädchen::N,女の子,момиче
227,Familie::N,家族,фамилия
228,Familie::N,家族,семейство
229,Großvater::N,祖父,дядо
230,Großvater::N,おじいさん,дядо
231,Großmutter::N,祖母,баба
232,Großmutter::N,おばあさん,баба
233,Eltern::N,親,родители
234,Eltern::N,両親,родители
235,Vater::N,父,баща
236,Vater::N,お父さん,баща
237,Mutter::N,母,майка
238,Mutter::N,お母さん,майка
239,Sohn::N,息子,син
240,Sohn::N,息子さん,син
241,Tochter::N,娘,дъщеря
242,Tochter::N,お嬢さん,дъщеря
243,Bruder::N,弟,брат
244,Schwester::N,妹,сестра
245,Onkel::N,伯父,чичо
246,Onkel::N,伯父,вуйчо
247,Onkel::N,伯父さん,чичо
248,Onkel::N,伯父さん,вуйчо
249,Tante::N,叔母,леля
250,Tante::N,叔母さん,леля
251,Ehemann::N,夫,съпруг
252,Ehemann::N,主人,съпруг
253,Ehefrau::N,妻,съпруга
254,Ehefrau::N,奥さん,съпруга
255,Freude::N,喜び,радост
256,Gelächter::N,笑い,смях
257,Glück::N,幸せ,щастие
258,Kummer::N,悩み,тъга
259,Wunsch::N,希望,желание
260,Lust::N,気,желание
261,Geist::N,精神,дух
262,Gedanke::N,考え,мисъл
263,Gedächtnis::N,記憶,памет
264,Verstand::N,理解力,ум
265,Verstand::N,理解力,разум
266,Sinn::N,意味,смисъл
267,Grund::N,理由,причина
268,Wahrheit::N,真実,правда
269,Gespräch::N,会話,разговор
270,Märchen::N,童話,приказка
271,Erzählung::N,物語,разказ
272,Nachricht::N,報告,вест
273,Nachricht::N,報告,известие
274,Neuigkeit::N,ニュース,новина
275,Name::N,名前,име
276,Rätsel::N,謎,гатанка
277,Rede::N,演説,реч
278,Rede::N,演説,слово
279,Sprache::N,言語,език
280,Stimme::N,声,глас
281,Wort::N,言葉,дума
282,Zeichen::N,記号,знак
283,Ruf::N,呼び声,зов
284,Lärm::N,騒音,шум
285,Lärm::N,騒音,глъчка
286,Laut::N,音,звук
287,Ton::N,音,тон
288,Lied::N,歌,песен
289,Ruhe::N,静けさ,тишина
290,Ruhe::N,静けさ,спокойствие
291,Leute::N,人々,хора
292,Volk::N,民族,народ
293,Arbeit::N,仕事,труд
294,Arbeit::N,仕事,работа
295,Gast::N,客,гост
296,Geschenk::N,贈り物,дар
297,Geschenk::N,贈り物,подарък
298,Spiel::N,遊び,игра
299,Gesellschaft::N,社会,общество
300,Hilfe::N,援助,помощ
301,Freund::N,友達,приятел
302,Kamerad::N,同志,другар
303,Angelegenheit::N,件,работа
304,Anzahl::N,数,брой
305,Anzahl::N,数,количество
306,Art::N,種類,вид
307,Stück::N,部分,къс
308,Stück::N,部分,парче
309,Teil::N,部分,дял
310,Teil::N,部分,част
311,Hälfte::N,半分,половина
312,Kreis::N,円,кръг
313,Kreuz::N,十字,кръст
314,Linie::N,線,черта
315,Strich::N,線,щрих
316,Strich::N,線,черта
317,Abstand::N,距離,дистанция
318,Abstand::N,距離,разстояние
319,Entfernung::N,距離,разстояние
320,Gegend::N,辺,местност
321,Gegend::N,地域,местност
322,Platz::N,ゆとり,място
323,Ort::N,所,място
324,Ort::N,場所,място
325,Seite::N,横,страна
326,Mitte::N,真ん中,среда
327,Gegenstand::N,物件,предмет
328,Sache::N,物,вещ
329,Rand::N,端,ръб
330,Kante::N,縁,ръб
331,Kante::N,縁,кант
332,Ecke::N,角,ъгъл
333,Spitze::N,先頭,връх
334,Spitze::N,先頭,острие
335,Ende::N,端,край
336,Loch::N,穴,дупка
337,Winkel::N,片隅,кът
338,Winkel::N,片隅,ъгъл
339,Muster::N,模様,десен
340,Muster::N,模様,образец
341,Größe::N,大きさ,големина
342,Länge::N,長さ,дължина
343,Höhe::N,高さ,висота
344,Höhe::N,高さ,височина
345,Gewicht::N,重さ,тегло
346,Gewicht::N,重さ,тежест
347,Menge::N,量,количество
348,Haufen::N,堆積,куп
349,Haufen::N,堆積,грамада
350,Reihe::N,並び,ред
351,Reihe::N,並び,редица
352,Boot::N,ボート,лодка
353,Ruder::N,オール,весло
354,Ruder::N,オール,гребло
355,Schlitten::N,そり,шейна
356,Ski::N,スキー,ски
357,Lagerfeuer::N,篝火,огнище
358,Last::N,荷物,товар
359,Gang::N,歩み,ход
360,Gang::N,歩み,вървеж
361,Schritt::N,歩,стъпка
362,Norden::N,北,север
363,Süden::N,南,юг
364,Westen::N,西,запад
365,Osten::N,東,изток
366,Holz::N,木,дърво
367,Holz::N,木材,дърво
368,Brett::N,板,дъска
369,Platte::N,盤,
370,Stütze::N,支柱,
371,Stange::N,棒,прът
372,Stange::N,棒,върлина
373,Stock::N,杖,прът
374,Stock::N,杖,тояга
375,Stab::N,棒,прът
376,Rohr::N,管,цев
377,Rohr::N,管,тръба
378,Haus::N,家,къща
379,Heim::N,家,дом
380,Ofen::N,ストーブ,печка
381,Fußboden::N,床,под
382,Tisch::N,机,маса
383,Stuhl::N,椅子,стол
384,Wiege::N,揺籃,люлка
385,Bett::N,ベッド,легло
386,Bett::N,ベッド,креват
387,Regal::N,棚,рафт
388,Regal::N,棚,етажерка
389,Kiste::N,箱,кутия
390,Kiste::N,箱,сандък
391,Fenster::N,窓,прозорец
392,Tür::N,戸,врата
393,Tür::N,ドア,врата
394,Tor::N,門,врата
395,Zaun::N,垣根,ограда
396,Dach::N,屋根,покрив
397,Leiter::N,梯子,стълба
398,Besen::N,ほうき,метла
399,Spaten::N,スコップ,лопата
400,Schaufel::N,シャベル,лопата
401,Gabel::N,フォーク,вилица
402,Löffel::N,スプーン,лъжица
403,Messer::N,ナイフ,нож
