,Concept_ID,udm,fr
0,Auge::N,син,œil
1,Ohr::N,пель,oreille
2,Nase::N,ныр,nez
3,Mund::N,ым,bouche
4,Zahn::N,пинь,dent
5,Zunge::N,кыл,langue
6,Lippe::N,ымдур,lèvre
7,Wange::N,бам,joue
8,Gesicht::N,ымныр,face
9,Gesicht::N,ымныр,visage
10,Stirn::N,кымес,front
11,Haar::N,йырси,cheveu
12,Schnurrbart::N,мыйык,moustache
13,Bart::N,туш,barbe
14,Kinn::N,ангес,menton
15,Kiefer[Anatomie]::N,ан,mâchoire
16,Kiefer[Anatomie]::N,анлы,mâchoire
17,Kehle::N,гульым,gorge
18,Hals::N,чырты,cou
19,Genick::N,йырбер,nuque
20,Kopf::N,йыр,tête
21,Rücken::N,мыш,dos
22,Bauch::N,кӧт,ventre
23,Nabel::N,гогы,nombril
24,Busen::N,ноны,sein
25,Brust::N,мӧля,poitrine
26,Schulter::N,пельпум,épaule
27,Arm::N,суй,bras
28,Ellenbogen::N,гырпум,coude
29,Hand::N,ки,main
30,Handfläche::N,ки пыдэс,paume
31,Handfläche::N,кырым пыдэс,paume
32,Finger::N,чиньы,doigt
33,Fingernagel::N,гижы,ongle
34,Fingernagel::N,гиждӥнь,ongle
35,Nagel[Anatomie]::N,гижы,ongle
36,Zeh::N,пыдчиньы,orteil
37,Zeh::N,пыдчиньы,doigt de pied
38,Fuß::N,пыд,pied
39,Ferse::N,пыдбер,talon
40,Knie::N,пыдес,genou
41,Oberschenkel::N,макес,cuisse
42,Bein::N,пыд,jambe
43,Körper::N,мугор,corps
44,Körper::N,вылтыр,corps
45,Haut::N,ку,peau
46,Blut::N,вир,sang
47,Ader::N,вирсэр,veine
48,Sehne::N,вуж,tendon
49,Knochen::N,лы,os
50,Gehirn::N,вим,cerveau
51,Herz::N,сюлэм,cœur
52,Magen::N,ӝуш,estomac
53,Leber::N,мус,foie
54,Atem::N,лул,haleine
55,Atem::N,шокан,haleine
56,Hunger::N,кӧтсюман,faim
57,Träne::N,синкыли,larme
58,Geschmack::N,шӧм,goût
59,Geschmack::N,шӧм,saveur
60,Geruch::N,зын,odeur
61,Schlaf::N,вӧт,sommeil
62,Traum::N,уйвӧт,songe
63,Himmel::N,ин,ciel
64,Sonne::N,шунды,soleil
65,Mond::N,толэзь,lune
66,Stern::N,кизили,étoile
67,Luft::N,омыр,air
68,Wind::N,тӧл,vent
69,Welle::N,тулкым,vague
70,Wasser::N,ву,eau
71,Stein::N,из,pierre
72,Boden::N,музъем,sol
73,Boden::N,музъем,terrain
74,Erde::N,му,terre
75,Staub::N,пыль,poussière
76,Rauch::N,ӵын,fumée
77,Funke::N,гизьы,étincelle
78,Feuer::N,тыл,feu
79,Licht::N,тыл,lumière
80,Schatten::N,вужер,ombre
81,Wetter::N,куазь,temps
82,Nebel::N,бус,brume
83,Nebel::N,бус,brouillard
84,Wolke::N,пилем,nuage
85,Regen::N,зор,pluie
86,Schnee::N,лымы,neige
87,Eis::N,йӧ,glace
88,Frost::N,кезьыт,gel
89,Frost::N,кезьыт,gelée
90,Kälte::N,кезьыт,froid
91,Hitze::N,пӧсь,chaleur
92,Raureif::N,гӧр,givre
93,Regenbogen::N,вуюись,arc-en-ciel
94,Donner::N,гудыри,tonnerre
95,Strömung::N,бызён,courant
96,Tropfen::N,шапык,goutte
97,Schaum::N,шукы,écume
98,Schaum::N,шукы,mousse
99,Schmutz::N,нӧд,boue
100,Schmutz::N,нӧд,saleté
101,Schmutz::N,дэри,boue
102,Schmutz::N,дэри,saleté
103,See::N,ты,lac
104,Sumpf::N,нюр,marais
105,Sumpf::N,нюр,marécage
106,Moor::N,нюр,tourbière
107,Wiese::N,возь,pré
108,Wiese::N,возьвыл,pré
109,Wald::N,сик,bois
110,Wald::N,сик,forêt
111,Wald::N,нюлэс,bois
112,Wald::N,нюлэс,forêt
113,Hügel::N,выр,coteau
114,Hügel::N,выр,colline
115,Hügel::N,вырйыл,coteau
116,Hügel::N,вырйыл,colline
117,Anhöhe::N,выр,éminence
118,Anhöhe::N,выр,élévation
119,Anhöhe::N,вырйыл,éminence
120,Anhöhe::N,вырйыл,élévation
121,Berg::N,гурезь,mont
122,Berg::N,гурезь,montagne
123,Gipfel::N,йыл,cime
124,Gipfel::N,йыл,sommet
125,Höhle::N,гу,caverne
126,Abhang::N,бам,pente
127,Abhang::N,бам,versant
128,Quelle::N,ошмес,source
129,Quelle::N,ошмес,fontaine
130,Bach::N,пичи шур,ruisseau
131,Fluss::N,шур,fleuve
132,Fluss::N,шур,rivière
133,Ufer::N,ярдур,bord
134,Ufer::N,ярдур,rivage
135,Küste::N,вудур,côte
136,Festland::N,мувыр,terre ferme
137,Meer::N,зарезь,mer
138,Bucht::N,вукож,baie
139,Insel::N,вумуӵ,île
140,Insel::N,шормуӵ,île
141,Blume::N,сяська,fleur
142,Gras::N,турын,herbe
143,Wurzel::N,выжы,racine
144,Baum::N,пу,arbre
145,Stamm::N,модос,tronc
146,Rinde::N,сул,écorce
147,Ast::N,ул,branche
148,Zweig::N,вай,rameau
149,Blatt::N,куар,feuille
150,Birke::N,кызьпу,bouleau
151,Kiefer[Baum]::N,пужым,pin
152,Weide[Baum]::N,бадьпу,saule
153,Tanne::N,кыз,sapin
154,Horn::N,сюр,corne
155,Feder::N,тылы,plume
156,Fell::N,ку,peau
157,Flügel::N,бурд,aile
158,Klaue::N,гижы,serre
159,Kralle::N,пыд,ongle
160,Kralle::N,пыд,griffe
161,Schwanz::N,быж,queue
162,Ei::N,пуз,œuf
163,Ei::N,кукей,œuf
164,Nest::N,кар,nid
