,Concept_ID,ps,da
0,Auge::N,سترګه,øje
1,Ohr::N,غوږ,øre
2,Nase::N,پوزه,næse
3,Mund::N,خوله,mund
4,Zahn::N,غاښ,tand
5,Zunge::N,جبه,tunge
6,Lippe::N,شونډه,læbe
7,Wange::N,باړخو,kind
8,Gesicht::N,مخ,ansigt
9,Stirn::N,تندی,pande
10,Stirn::N,وچولی,pande
11,Haar::N,وېښته,hår
12,Schnurrbart::N,برېت,overskæg
13,Bart::N,ږیره,skæg
14,Kinn::N,زنه,hage
15,Kiefer[Anatomie]::N,جامه,kæbe
16,Kehle::N,غاړه,strube
17,Hals::N,غاړه,hals
18,Genick::N,ورمېږ,nakke
19,Kopf::N,سر,hoved
20,Rücken::N,شا,ryg
21,Bauch::N,نس,mave
22,Bauch::N,ګېډه,mave
23,Nabel::N,نوم,navle
24,Busen::N,تی,barm
25,Brust::N,سینه,bryst
26,Schulter::N,اوږه,skulder
27,Arm::N,لاس,arm
28,Ellenbogen::N,څنګل,albue
29,Hand::N,لاس,hånd
30,Handfläche::N,ورغوی,håndflade
31,Finger::N,ګوته,finger
32,Fingernagel::N,نوک,fingernegl
33,Nagel[Anatomie]::N,نوک,negl
34,Zeh::N,ګوته,tå
35,Fuß::N,پښه,fod
36,Ferse::N,پونده,hæl
37,Knie::N,زنګون,knæ
38,Oberschenkel::N,پتون,lår
39,Bein::N,پښه,ben
40,Körper::N,ځان,krop
41,Körper::N,ځان,legeme
42,Haut::N,پوټکی,hud
43,Blut::N,وینه,blod
44,Ader::N,رګ,åre
45,Sehne::N,پله,sene
46,Knochen::N,هډوکی,ben
47,Gehirn::N,ماغزه,hjerne
48,Herz::N,زړه,hjerte
49,Magen::N,معده,mave
50,Leber::N,ينه,lever
51,Leber::N,ځیګر,lever
52,Atem::N,نفس,ånde
53,Hunger::N,ولږه,sult
54,Träne::N,اوښکه,tåre
55,Geschmack::N,مزه,smag
56,Geschmack::N,خوند,smag
57,Geruch::N,بوی,lugt
58,Schlaf::N,خوب,søvn
59,Traum::N,خوب,drøm
60,Himmel::N,اسمان,himmel
61,Sonne::N,لمر,sol
62,Mond::N,سپوږمۍ,måne
63,Stern::N,ستوری,stjerne
64,Luft::N,هوا,luft
65,Wind::N,ورښ,vind
66,Welle::N,موج,bølge
67,Wasser::N,اوبه,vand
68,Stein::N,ډبره,sten
69,Boden::N,مځکه,jord
70,Erde::N,خاوره,jord
71,Staub::N,ګرد,støv
72,Staub::N,خاوره,støv
73,Rauch::N,دود,røg
74,Rauch::N,لوګی,røg
75,Funke::N,سپرغۍ,gnist
76,Feuer::N,اور,ild
77,Licht::N,رڼا,lys
78,Schatten::N,سیوری,skygge
79,Wetter::N,هوا,vejr
80,Nebel::N,لړه,tåge
81,Wolke::N,ورېځ,sky
82,Regen::N,وریا,regn
83,Regen::N,باران,regn
84,Schnee::N,واوره,sne
85,Eis::N,یخ,is
86,Eis::N,کنګل,is
87,Frost::N,یخ,frost
88,Kälte::N,ساړه,kulde
89,Hitze::N,تودوخي,hede
90,Raureif::N,سپینه پرخه,rimfrost
91,Regenbogen::N,بوډۍ ټال,regnbue
92,Regenbogen::N,سره زرغونه,regnbue
93,Donner::N,تالنده,torden
94,Strömung::N,بهېدنه,strømning
95,Tropfen::N,قطره,dråbe
96,Tropfen::N,څاڅکی,dråbe
97,Schaum::N,ځګ,skum
98,Schmutz::N,ناپاکي,snavs
99,See::N,جهیل,sø
100,Sumpf::N,جبه,sump
101,Moor::N,جبه,mose
102,Wiese::N,چمن,eng
103,Wiese::N,شنېلی,eng
104,Wald::N,ځنګل,skov
105,Hügel::N,تپه,høj
106,Hügel::N,تپه,bakke
107,Anhöhe::N,غونډۍ,høj
108,Anhöhe::N,غونډۍ,bakke
109,Berg::N,غ‍‍‍‍‍ر,bjerg
110,Gipfel::N,څوکه,top
111,Höhle::N,کاز,hule
112,Abhang::N,لمن,skrænt
113,Abhang::N,لمن,skråning
114,Quelle::N,چینه,kilde
115,Bach::N,واله,bæk
116,Fluss::N,سیند,flod
117,Ufer::N,غاړه,bred
118,Küste::N,ساحل,kyst
119,Festland::N,وچه,fastland
120,Meer::N,بحر,hav
121,Meer::N,سمندر,hav
122,Bucht::N,کارۍ,bugt
123,Insel::N,ټاپو,ø
124,Insel::N,جزيره,ø
125,Blume::N,ګل,blomst
126,Gras::N,واښه,græs
127,Wurzel::N,ریښه,rod
128,Baum::N,ونه,træ
129,Stamm::N,ډډ,stamme
130,Rinde::N,پوستکی,bark
131,Ast::N,ښاخ,gren
132,Zweig::N,څانګه,kvist
133,Blatt::N,پاڼه,blad
134,Birke::N,توس,birk
135,Kiefer[Baum]::N,نښتر,fyrretræ
136,Weide[Baum]::N,وله,piletræ
137,Tanne::N,ناجو,gran
138,Horn::N,ښکر,horn
139,Feder::N,بڼکه,fjer
140,Fell::N,پوستکی,skind
141,Flügel::N,وزر,vinge
142,Klaue::N,پنجه,klov
143,Klaue::N,منګول,klov
144,Kralle::N,پنجه,klo
145,Kralle::N,منګول,klo
146,Schwanz::N,لکۍ,hale
147,Ei::N,وۍ,æg
148,Ei::N,هګۍ,æg
149,Nest::N,جاله,rede
150,Bau::N,کاز,bo
151,Tier::N,ژوی,dyr
152,Tier::N,حیوان,dyr
153,Herde::N,رمه,flok
154,Herde::N,غېله,flok
155,Kuh::N,غوا,ko
156,Bulle::N,غوئی,tyr
157,Pferd::N,آس,hest
158,Schaf::N,پسه,får
159,Schwein::N,سرکوزی,gris
160,Hund::N,سپی,hund
161,Katze::N,پشه,kat
162,Bär::N,خرس,bjørn
163,Eichhörnchen::N,خړ لمی,egern
164,Elch::N,ګوزن,elg
165,Fuchs::N,سپلم,ræv
166,Hase::N,سوی,hare
167,Maus::N,مږک,mus
168,Wolf::N,لېوه,ulv
169,Vogel::N,مرغه,fugl
170,Schwarm::N,سېل,sværm
171,Huhn::N,چرګه,høne
172,Hahn::N,چرګ,hane
173,Gans::N,بته,gås
174,Adler::N,عقاب,ørn
175,Ente::N,ایلۍ,and
176,Eule::N,ګونګی,ugle
177,Kranich::N,کلنګ,trane
178,Krähe::N,کارغه,krage
179,Kuckuck::N,فاخته,gøg
180,Schwan::N,قو,svane
181,Fisch::N,کب,fisk
182,Fisch::N,ماهی,fisk
183,Schlange[Tier]::N,مار,slange
184,Wurm::N,چینجی,orm
185,Spinne::N,غڼه,edderkop
186,Spinne::N,تارکښ,edderkop
187,Ameise::N,مېږی,myre
188,Laus::N,سپږه,lus
189,Mücke::N,ماشی,myg
190,Fliege::N,مچ,flue
191,Schmetterling::N,پتنګ,sommerfugl
192,Beere::N,مېوۍ,bær
193,Apfel::N,مڼه,æble
194,Pilz::N,خرېړی,svamp
195,Zwiebel::N,پیاز,løg
196,Saat::N,تخم,sæd
197,Korn::N,تخم,korn
198,Korn::N,دانه,korn
199,Heu::N,بوس,hø
200,Heu::N,پروړه,hø
201,Schale::N,پوستکی,skræl
202,Grube::N,کنده,grav
203,Falle::N,دام,fælde
204,Falle::N,لومه,fælde
205,Schlinge::N,کړۍ,snare
206,Spur::N,نښه,spor
207,Asche::N,آس,aske
208,Asche::N,ایره,aske
209,Dreck::N,ناپاکي,snavs
210,Eisen::N,اوسپنه,jern
211,Gold::N,سره زر,guld
212,Silber::N,نقره,sølv
213,Silber::N,سپین زر,sølv
214,Kohle::N,سکور,kul
215,Kohle::N,سکاره,kul
216,Glas::N,ښيښه,glas
217,Lehm::N,خټه,ler
218,Sand::N,شګه,sand
219,Mensch::N,انسان,mennesge
220,Mann::N,سړی,mand
221,Mann::N,نارینه,mand
222,Frau::N,ښځه,kvinde
223,Kind::N,بچی,barn
224,Kind::N,ماشوم,barn
225,Junge::N,هلک,dreng
226,Mädchen::N,نجلۍ,pige
227,Familie::N,کورنۍ,familie
228,Großvater::N,بابا,bedstefar
229,Großmutter::N,انا,bedstemor
230,Eltern::N,مور او پلار,forældre
231,Vater::N,پلار,far
232,Mutter::N,مور,mor
233,Sohn::N,زوی,søn
234,Tochter::N,لور,datter
235,Bruder::N,ورور,bror
236,Schwester::N,خور,søster
237,Onkel::N,تره,onkel
238,Onkel::N,ماما,onkel
239,Tante::N,خاله,tante
240,Ehemann::N,مېړه,ægtemand
241,Ehefrau::N,مېرمن,hustru
242,Freude::N,خوشحالي,glæde
243,Gelächter::N,خندا,latter
244,Glück::N,بخت,lykke
245,Kummer::N,غم,sorg
246,Wunsch::N,هيله,ønske
247,Wunsch::N,غوښتنه,ønske
248,Lust::N,شوق,lyst
