,Concept_ID,lez,xal
0,Auge::N,вил,нүдн
1,Ohr::N,яб,чикн
2,Nase::N,нер,хамр
3,Mund::N,сив,амн
4,Zahn::N,сас,шүдн
5,Zahn::N,свах,шүдн
6,Zunge::N,мез,келн
7,Lippe::N,пӏуз,урл
8,Wange::N,хъвехъ,халх
9,Gesicht::N,ччин,нүр
10,Stirn::N,пел,маңна
11,Haar::N,чӏар,үсн
12,Schnurrbart::N,спел,сахл
13,Schnurrbart::N,спелар,сахл
14,Bart::N,ччуру,сахл
15,Bart::N,ччуру,өргнә сахл
16,Kinn::N,чене,өргн
17,Kiefer[Anatomie]::N,чене,өргн
18,Kehle::N,туьд,хол
19,Hals::N,гардан,күзүн
20,Genick::N,кьам,гиҗг
21,Kopf::N,кьил,толһа
22,Rücken::N,далу,нурһн
23,Bauch::N,руфун,гесн
24,Nabel::N,пицӏ,киисн
25,Busen::N,мам,көкн
26,Brust::N,хур,чееҗ
27,Schulter::N,къуьн,ээм
28,Arm::N,гъил,һар
29,Ellenbogen::N,кьуьнт,тоха
30,Hand::N,капаш,баһлцг
31,Handfläche::N,капан юкь,альхн
32,Finger::N,тӏуб,хурһн
33,Finger::N,тӏуб,һарин хурһн
34,Fingernagel::N,кек,хумсн
35,Nagel[Anatomie]::N,кек,хумсн
36,Zeh::N,кул,хурһн
37,Zeh::N,кул,көлин хурһн
38,Fuß::N,кӏвач,тавг
39,Ferse::N,дабан,өскә
40,Knie::N,мет,өвдг
41,Bein::N,кӏвач,көл
42,Körper::N,беден,махмуд
43,Haut::N,хам,арсн
44,Blut::N,иви,цусн
45,Ader::N,дамар,судцн
46,Sehne::N,кьуру дамар,шүрүсн
47,Knochen::N,кӏараб,ясн
48,Gehirn::N,мефт,экн
49,Herz::N,рикӏ,зүркн
50,Magen::N,хук,гесн
51,Leber::N,лекь,элкн
52,Atem::N,ял,әмсхл
53,Atem::N,нефес,әмсхл
54,Hunger::N,каш,харһнлһн
55,Träne::N,вилин нагъв,нульмсн
56,Geschmack::N,дад,амтн
57,Geschmack::N,тӏям,амтн
58,Geruch::N,ни,үнр
59,Schlaf::N,ахвар,нөр
60,Traum::N,ахвар,зүүдн
61,Himmel::N,цав,теңгр
62,Sonne::N,рагъ,нарн
63,Mond::N,варз,сар
64,Stern::N,гъед,одн
65,Luft::N,гьава,аһар
66,Wind::N,гар,салькн
67,Welle::N,лепе,дольган
68,Wasser::N,яд,усн
69,Stein::N,къван,чолун
70,Boden::N,накьв,Һазр
71,Erde::N,ччил,Һазр
72,Staub::N,руг,тоосн
73,Rauch::N,гум,утан
74,Funke::N,цӏелхем,очн
75,Feuer::N,цӏай,һал
76,Licht::N,экв,герл
77,Schatten::N,серин,сүүдр
78,Wetter::N,гьава,теңгр
79,Nebel::N,ччилин циф,будн
80,Wolke::N,циф,үүлн
81,Regen::N,марф,хур
82,Schnee::N,жив,цасн
83,Eis::N,мурк,мөсн
84,Frost::N,аяз,киитн
85,Kälte::N,мекь,киитн
86,Kälte::N,мекьивал,киитн
87,Hitze::N,зегьем,халун
88,Raureif::N,къирав,цаң
89,Raureif::N,къирав,кирү
90,Regenbogen::N,яргъируш,солңһ
91,Donner::N,цавун ван,оһтрһун дун
92,Tropfen::N,стӏал,дусал
93,Schaum::N,каф,көөсн
94,Schmutz::N,чирк,кир
95,Schmutz::N,кьуруш,кир
96,See::N,вир,нур
97,Sumpf::N,уьлен,унул
98,Wiese::N,векь,хадлһн
99,Wald::N,там,ө-модн
