,Concept_ID,eu,fi
0,Auge::N,begi,silmä
1,Ohr::N,belarri,korva
2,Nase::N,sudur,nenä
3,Mund::N,aho,suu
4,Zahn::N,hortz,hammas
5,Zunge::N,mihi,kieli
6,Lippe::N,ezpain,huuli
7,Wange::N,masail,poski
8,Gesicht::N,aurpegi,naama
9,Gesicht::N,aurpegi,kasvot
10,Stirn::N,bekoki,otsa
11,Haar::N,ile,hius
12,Haar::N,ile,tukka
13,Haar::N,bilo,hius
14,Haar::N,bilo,tukka
15,Schnurrbart::N,bibote,viikset
16,Schnurrbart::N,sudurpeko,viikset
17,Bart::N,bizar,parta
18,Kinn::N,kokots,leuka
19,Kiefer[Anatomie]::N,masailezur,leukaluu
20,Kehle::N,eztarri,kurkku
21,Hals::N,sama,kaula
22,Genick::N,garondo,niska
23,Kopf::N,buru,pää
24,Rücken::N,bizkar,selkä
25,Bauch::N,sabel,maha
26,Bauch::N,sabel,vatsa
27,Nabel::N,zilbor,napa
28,Busen::N,titi,rinta
29,Busen::N,ugatz,rinta
30,Brust::N,bular,rinta
31,Schulter::N,besaburu,olka
32,Schulter::N,besaburu,hartia
33,Schulter::N,besaburu,olkapää
34,Arm::N,beso,käsivarsi
35,Ellenbogen::N,ukondo,kyynärpää
36,Hand::N,esku,käsi
37,Handfläche::N,ahur,kämmen
38,Finger::N,hatz,sormi
39,Fingernagel::N,azazkal,kynsi
40,Nagel[Anatomie]::N,azazkal,kynsi
41,Zeh::N,behatz,varvas
42,Fuß::N,oin,jalka
43,Ferse::N,orpo,kantapää
44,Ferse::N,oinburu,kantapää
45,Knie::N,belaun,polvi
46,Oberschenkel::N,izter,reisi
47,Bein::N,zango,jalka
48,Körper::N,soin,keho
49,Körper::N,soin,ruumis
50,Haut::N,azal,iho
51,Blut::N,odol,veri
52,Ader::N,zain,suoni
53,Sehne::N,gihar-zain,jänne
54,Knochen::N,hezur,luu
55,Gehirn::N,garun,aivot
56,Gehirn::N,burmuin,aivot
57,Herz::N,bihotz,sydän
58,Magen::N,urdail,maha
59,Magen::N,urdail,vatsa
60,Leber::N,gibel,maksa
61,Atem::N,hats,henki
62,Atem::N,hats,hengitys
63,Atem::N,arnasa,henki
64,Atem::N,arnasa,hengitys
65,Hunger::N,gose,nälkä
66,Träne::N,malko,kyynel
67,Geschmack::N,dasta,maku
68,Geruch::N,usain,haju
69,Schlaf::N,lo,uni
70,Traum::N,amets,uni
71,Himmel::N,zeru,taivas
72,Sonne::N,eguzki,aurinko
73,Mond::N,ilargi,kuu
74,Stern::N,izar,tähti
75,Luft::N,aire,ilma
76,Wind::N,haize,tuuli
77,Welle::N,uhin,aalto
78,Welle::N,olatu,aalto
79,Wasser::N,ur,vesi
80,Stein::N,harri,kivi
81,Boden::N,lur,maa
82,Boden::N,lur,maaperä
83,Boden::N,zoru,maa
84,Boden::N,zoru,maaperä
85,Erde::N,lur,maa
86,Staub::N,hauts,pöly
87,Rauch::N,ke,savu
88,Funke::N,zirta,kipinä
89,Funke::N,txinparta,kipinä
90,Feuer::N,su,tuli
91,Licht::N,argi,valo
92,Schatten::N,itzal,varjo
93,Schatten::N,geriza,varjo
94,Wetter::N,eguraldi,sää
95,Nebel::N,laino,sumu
96,Wolke::N,hodei,pilvi
97,Regen::N,euri,sade
98,Schnee::N,elur,lumi
99,Eis::N,horma,jää
100,Frost::N,izotzaldi,halla
101,Frost::N,izotzaldi,pakkanen
102,Kälte::N,hotz,vilu
103,Kälte::N,hotz,kylmyys
104,Hitze::N,bero,helle
105,Hitze::N,bero,kuumuus
106,Raureif::N,antzigar,huurre
107,Regenbogen::N,ostadar,sateenkaari
108,Regenbogen::N,ortzadar,sateenkaari
109,Donner::N,ostots,jyrinä
110,Donner::N,ihurtzuri,jyrinä
111,Strömung::N,laster,virtaus
112,Tropfen::N,xorta,tippa
113,Tropfen::N,xorta,pisara
114,Schaum::N,bits,vaahto
115,Schmutz::N,lohi,loka
116,Schmutz::N,zikin,loka
117,See::N,laku,järvi
118,See::N,aintzira,järvi
119,Sumpf::N,zingira,suo
120,Moor::N,zohikaztegi,räme
121,Wiese::N,larre,niitty
122,Wiese::N,belardi,niitty
123,Wald::N,baso,metsä
124,Wald::N,oihan,metsä
125,Hügel::N,muino,mäki
126,Hügel::N,muino,kumpu
127,Hügel::N,muino,kukkula
128,Hügel::N,pentoka,mäki
129,Hügel::N,pentoka,kumpu
130,Hügel::N,pentoka,kukkula
131,Anhöhe::N,garai,mäki
132,Anhöhe::N,garai,kumpare
133,Anhöhe::N,goragune,mäki
134,Anhöhe::N,goragune,kumpare
135,Berg::N,mendi,mäki
136,Berg::N,mendi,vuori
137,Gipfel::N,gain,laki
138,Gipfel::N,gain,huippu
139,Gipfel::N,tontor,laki
140,Gipfel::N,tontor,huippu
141,Höhle::N,kobazulo,luola
142,Abhang::N,aldapa,rinne
143,Quelle::N,iturri,lähde
144,Quelle::N,iturbegi,lähde
145,Bach::N,lats,puro
146,Bach::N,erreka,puro
147,Fluss::N,ibai,joki
148,Fluss::N,uhaitz,joki
149,Ufer::N,bazter,ranta
150,Küste::N,itsasalde,rannikko
151,Festland::N,lehor,manner
152,Meer::N,itsaso,meri
153,Bucht::N,golko,lahti
154,Insel::N,irla,saari
155,Insel::N,uharte,saari
156,Blume::N,lili,kukka
157,Gras::N,belar,ruoho
158,Wurzel::N,zuztar,juuri
159,Wurzel::N,sustrai,juuri
160,Baum::N,zuhaitz,puu
161,Stamm::N,enbor,runko
