,Concept_ID,la,be
0,Auge::N,oculus,вока
1,Ohr::N,auris,вуха
2,Nase::N,nasus,нос
3,Mund::N,os,рот
4,Zahn::N,dens,зуб
5,Zunge::N,lingua,язык
6,Lippe::N,labrum,губа
7,Wange::N,gena,шчака
8,Gesicht::N,vultus,твар
9,Stirn::N,frons,лоб
10,Haar::N,capillus,волас
11,Haar::N,capillus,валасы
12,Schnurrbart::N,barba labri superioris,вус
13,Schnurrbart::N,barba labri superioris,вусы
14,Bart::N,barba,барада
15,Kinn::N,mentum,падбародак
16,Kiefer[Anatomie]::N,mala,сківіца
17,Kehle::N,iugulums,горла
18,Hals::N,collum,шыя
19,Genick::N,cervices,патыліца
20,Kopf::N,caput,галава
21,Rücken::N,tergum,спіна
22,Bauch::N,venter,жывот
23,Nabel::N,umbilicus,пупок
24,Busen::N,sinus,грудзі
25,Brust::N,pectus,грудзі
26,Schulter::N,umerus,плячо
27,Arm::N,bracchium,рука
28,Ellenbogen::N,cubitum,локаць
29,Hand::N,manus,кісць
30,Handfläche::N,palma,далонь
31,Finger::N,digitus,палец
32,Fingernagel::N,unguiculus,ногаць
33,Nagel[Anatomie]::N,unguis,ногаць
34,Zeh::N,digitus,палец
35,Fuß::N,pes,нага
36,Ferse::N,calx,пята
37,Ferse::N,calx,пятка
38,Knie::N,genu,калена
39,Oberschenkel::N,femur,бядро
40,Oberschenkel::N,femur,сцягно
41,Bein::N,crus,нага
42,Körper::N,corpus,цела
43,Haut::N,cutis,скура
44,Haut::N,pellis,скура
45,Blut::N,sanguis,кроў
46,Ader::N,vena,вена
47,Ader::N,vena,сасуд
48,Sehne::N,nervus,жыла
49,Sehne::N,nervus,цеціва
50,Sehne::N,nervus,сухажылле
51,Knochen::N,os,косць
52,Gehirn::N,cerebrum,мозг
53,Herz::N,cor,сэрца
54,Herz::N,animus,сэрца
55,Magen::N,stomachus,страўнік
56,Leber::N,iecur,печань
57,Atem::N,spiritus,дыханне
58,Hunger::N,fames,голад
59,Träne::N,lacrima,сляза
