,Concept_ID,is,cv
0,Auge::N,auga,куҫ
1,Ohr::N,eyra,хӑлха
2,Nase::N,nef,сӑмса
3,Mund::N,munnur,ҫӑвар
4,Zahn::N,tönn,шӑл
5,Zunge::N,tunga,чӗлхе
6,Lippe::N,vör,тута
7,Wange::N,kinn,пит ҫӑмарти
8,Wange::N,vangi,пит ҫӑмарти
9,Gesicht::N,andlit,пит
10,Gesicht::N,andlit,пит-куҫ
11,Stirn::N,enni,ҫамка
12,Haar::N,hár,ҫӳҫ
13,Schnurrbart::N,yfirskegg,усси
14,Bart::N,skegg,сухал
15,Kinn::N,haka,янах
16,Kiefer[Anatomie]::N,kjálki,янах
17,Kiefer[Anatomie]::N,skoltur,янах
18,Kehle::N,kverk,пыр
19,Kehle::N,kverk,карланкӑ
20,Hals::N,háls,пыр
21,Genick::N,hnakki,ӗнсе
22,Kopf::N,höfuð,пуҫ
23,Rücken::N,hryggur,ҫурӑм
24,Bauch::N,kviður,
25,Nabel::N,nafli,кӑвапа
26,Busen::N,barmur,кӑкӑр
27,Brust::N,brjóst,умӗ
28,Schulter::N,öxl,хул пуҫҫи
29,Arm::N,armur,алӑ
30,Ellenbogen::N,olnbogi,чавса
31,Hand::N,hönd,алӑ сыппи
32,Handfläche::N,lófi,ал лаппи
33,Finger::N,fingur,пӳрне
34,Fingernagel::N,fingurnögl,чӗрне
35,Nagel[Anatomie]::N,nögl,чӗрне
36,Zeh::N,tá,пӳрне
37,Fuß::N,fótur,ура лаппи
38,Ferse::N,hæll,кӗле
39,Knie::N,kné,чӗркуҫҫи
40,Oberschenkel::N,læri,пӗҫӗ
41,Bein::N,fótleggur,ура
42,Körper::N,búkur,ӳт
43,Körper::N,búkur,ӳт-пӳ
44,Körper::N,líkami,ӳт
45,Körper::N,líkami,ӳт-пӳ
46,Haut::N,húð,тир
47,Haut::N,skinn,тир
48,Blut::N,blóð,юн
49,Ader::N,æð,вена
50,Sehne::N,sin,шӑнӑр
51,Knochen::N,bein,шӑмӑ
52,Gehirn::N,heili,миме
53,Herz::N,hjarta,чӗре
54,Magen::N,magi,хырӑмлӑх
55,Leber::N,lifur,пӗвер
56,Atem::N,andi,сывлав
57,Atem::N,andardráttur,сывлав
58,Hunger::N,hungur,выҫлӑх
59,Träne::N,tár,куҫҫуль
60,Geschmack::N,smekkur,техӗм
61,Geruch::N,lykt,шӑршӑ
62,Schlaf::N,svefn,ыйхӑ
63,Traum::N,draumur,тӗлӗк
64,Himmel::N,himinn,пӗлӗт
65,Sonne::N,sól,хӗвел
66,Mond::N,tungl,уйӑх
67,Stern::N,stjarna,ҫӑлтӑр
68,Luft::N,loft,сывлӑш
69,Wind::N,vindur,ҫил
70,Welle::N,alda,хум
71,Welle::N,bylgja,хум
72,Wasser::N,vatn,шыв
73,Wasser::N,vatn,шыв-шур
74,Stein::N,steinn,чул
75,Boden::N,botn,тӑпра
76,Erde::N,jörð,ҫӗр
77,Staub::N,ryk,тусан
78,Staub::N,duft,тусан
79,Rauch::N,reykur,тӗтӗм
80,Funke::N,neisti,хӗм
81,Feuer::N,eldur,вут
82,Feuer::N,eldur,ҫулӑм
83,Licht::N,ljós,ҫутӑ
84,Schatten::N,skuggi,сулхӑн
85,Wetter::N,veður,ҫанталӑк
86,Nebel::N,þoka,тӗтре
87,Wolke::N,ský,пӗлӗт
88,Regen::N,regn,ҫумӑр
89,Schnee::N,snjór,юр
90,Eis::N,ís,пӑр
91,Frost::N,frost,сивӗ
92,Kälte::N,kuldi,сивӗ
93,Hitze::N,hiti,вӗри
94,Hitze::N,hiti,шӑрӑх
95,Raureif::N,hrím,пас
96,Regenbogen::N,regnbogi,асамат кӗперӗ
97,Donner::N,þruma,аслати
98,Strömung::N,straumur,юхӑ
99,Tropfen::N,dropi,тумлам
100,Schaum::N,froða,кӑпӑк
101,Schmutz::N,óhreinindi,пылчӑк
102,See::N,stöðuvatn,кӳлӗ
103,Sumpf::N,fen,шур
104,Sumpf::N,fen,шурлӑх
105,Moor::N,mýri,торфлӑ шурлӑх
106,Wiese::N,engi,улӑх
107,Wiese::N,engi,ҫаран
108,Wald::N,skógur,вӑрман
109,Hügel::N,hæð,сӑрт
110,Hügel::N,hæð,тӗмеске
111,Hügel::N,hóll,сӑрт
112,Hügel::N,hóll,тӗмеске
113,Anhöhe::N,hæð,сӑрт
114,Anhöhe::N,hóll,сӑрт
115,Berg::N,fell,ту
