,Concept_ID,hr,ga
0,Auge::N,oko,súil
1,Ohr::N,uho,cluas
2,Nase::N,nos,soc
3,Mund::N,usta,béal
4,Zahn::N,zub,fiacail
5,Zunge::N,jezik,teanga
6,Lippe::N,usna,liopa
7,Wange::N,obraz,grua
8,Wange::N,obraz,leiceann
9,Gesicht::N,lice,éadan
10,Gesicht::N,lice,aghaidh
11,Stirn::N,čelo,baithis
12,Stirn::N,čelo,clár éadain
13,Haar::N,kosa,gruaig
14,Schnurrbart::N,brkovi,croiméal
15,Bart::N,brada,féasóg
16,Kinn::N,brada,smig
17,Kinn::N,podbradak,smig
18,Kiefer[Anatomie]::N,čeljust,giall
19,Kehle::N,grlo,scornach
20,Hals::N,vrat,muinéal
21,Genick::N,zatiljak,baic
22,Kopf::N,glava,ceann
23,Rücken::N,leđa,droim
24,Rücken::N,hrbat,droim
25,Bauch::N,trbuh,bolg
26,Nabel::N,pupak,imleacán
27,Busen::N,sisa,cíoch
28,Busen::N,njedra,cíoch
29,Brust::N,prsa,brollach
30,Schulter::N,rame,gualainn
31,Schulter::N,pleći,gualainn
32,Arm::N,ruka,lámh
33,Ellenbogen::N,lakat,uillinn
34,Hand::N,ruka,lámh
35,Handfläche::N,dlan,bos
36,Finger::N,prst,méar
37,Fingernagel::N,nokat,ionga
38,Nagel[Anatomie]::N,nokat,ionga
39,Zeh::N,nozni prst,ladhar
40,Fuß::N,noga,cos
41,Fuß::N,noga,troigh
42,Fuß::N,stopalo,cos
43,Fuß::N,stopalo,troigh
44,Ferse::N,peta,sáil
45,Knie::N,koljeno,glúin
46,Oberschenkel::N,bedro,ceathrú
47,Bein::N,noga,cos
48,Körper::N,tijelo,corp
49,Körper::N,tijelo,colainn
50,Haut::N,put,cneas
51,Haut::N,put,craiceann
52,Haut::N,koža,cneas
53,Haut::N,koža,craiceann
54,Blut::N,krv,fuil
55,Ader::N,žila,
56,Sehne::N,tetiva,teannán
57,Sehne::N,tetiva,féitheog
58,Knochen::N,kost,cnámh
59,Herz::N,srce,croí
60,Magen::N,stomak,bolg
61,Magen::N,stomak,goile
62,Magen::N,želudac,bolg
63,Magen::N,želudac,goile
