,Concept_ID,se,sah
0,Auge::N,tjelmie,харах
1,Auge::N,tjalmme,харах
2,Auge::N,čalbmi,харах
3,Auge::N,čalme,харах
4,Auge::N,čâ´lmm,харах
5,Auge::N,ча̄лльм,харах
6,Ohr::N,bieljie,кулгаах
7,Ohr::N,biellje,кулгаах
8,Ohr::N,beallji,кулгаах
9,Ohr::N,pelji,кулгаах
10,Ohr::N,pe´llj,кулгаах
11,Ohr::N,пе̄лльй,кулгаах
12,Nase::N,njuenie,мурун
13,Nase::N,njunnje,мурун
14,Nase::N,njunni,мурун
15,Nase::N,njuṇe,мурун
16,Nase::N,njuu´nn,мурун
17,Nase::N,нюннҍ,мурун
18,Mund::N,njaelmie,айах
19,Mund::N,njálmme,айах
20,Mund::N,njálbmi,айах
21,Mund::N,njälmi,айах
22,Mund::N,njä´lmm,айах
23,Mund::N,ня̄лльм,айах
24,Zahn::N,baenie,тиис
25,Zahn::N,bádne,тиис
26,Zahn::N,bátni,тиис
27,Zahn::N,pääṇi,тиис
28,Zahn::N,pää´nn,тиис
29,Zahn::N,па̄ннҍ,тиис
30,Zunge::N,njoektjeme,тыл
31,Zunge::N,njuovtjav,тыл
32,Zunge::N,njuovčča,тыл
33,Zunge::N,njuovčâ,тыл
34,Zunge::N,njuhččâm,тыл
35,Zunge::N,нюхчем,тыл
36,Lippe::N,bangseme,уос
37,Lippe::N,njálmmerabdda,уос
38,Lippe::N,bavssa,уос
39,Lippe::N,poovsâ,уос
40,Lippe::N,põõus,уос
41,Lippe::N,пэ̄кс,уос
42,Wange::N,skiehrie,иэдэс
43,Wange::N,nierra,иэдэс
44,Wange::N,muohtu,иэдэс
45,Wange::N,nieṛâ,иэдэс
46,Wange::N,njiõrr,иэдэс
47,Wange::N,нӣрр,иэдэс
48,Gesicht::N,ååredæjja,сирэй
49,Gesicht::N,muohto,сирэй
50,Gesicht::N,muođut,сирэй
51,Gesicht::N,ámadadju,сирэй
52,Gesicht::N,muáđuh,сирэй
53,Gesicht::N,muâđ,сирэй
54,Gesicht::N,ка̄ссв,сирэй
55,Stirn::N,gaalloe,сүүс
56,Stirn::N,gállo,сүүс
57,Stirn::N,gállu,сүүс
58,Stirn::N,kállu,сүүс
59,Stirn::N,käll,сүүс
60,Stirn::N,вуэххьц,сүүс
61,Haar::N,voepte,баттах
62,Haar::N,vuoppta,баттах
63,Haar::N,vuokta,баттах
64,Haar::N,vuop'tâ,баттах
65,Haar::N,vuõpt,баттах
66,Haar::N,вӯппт,баттах
67,Schnurrbart::N,bijjie-skaavtjoe,уос бытыга
68,Schnurrbart::N,njunjevuolskávttjá,уос бытыга
69,Schnurrbart::N,seamu,уос бытыга
70,Schnurrbart::N,siämu,уос бытыга
71,Schnurrbart::N,ää´bben,уос бытыга
72,Schnurrbart::N,о̄а̄бпан,уос бытыга
73,Bart::N,skaavtja,сэҥийэ бытыга
74,Bart::N,skaavtjoe,сэҥийэ бытыга
75,Bart::N,skávttjá,сэҥийэ бытыга
76,Bart::N,seamu,сэҥийэ бытыга
77,Bart::N,siämu,сэҥийэ бытыга
78,Bart::N,seäm,сэҥийэ бытыга
79,Bart::N,ся̄м,сэҥийэ бытыга
80,Kinn::N,gaejpie,сэҥийэ
81,Kinn::N,gájbbe,сэҥийэ
82,Kinn::N,gáibi,сэҥийэ
83,Kinn::N,käibi,сэҥийэ
84,Kinn::N,käi´bb,сэҥийэ
85,Kinn::N,ка̄ййп,сэҥийэ
86,Kiefer[Anatomie]::N,gaejpie,сыҥаах
87,Kiefer[Anatomie]::N,oalol,сыҥаах
