,Concept_ID,lt,tt
0,Auge::N,akis,күз
1,Ohr::N,ausis,колак
2,Nase::N,nosis,борын
3,Mund::N,burna,авыз
4,Mund::N,burna,тамак
5,Zahn::N,dantis,теш
6,Zunge::N,liežuvis,тел
7,Lippe::N,lūpa,ирен
8,Wange::N,žandas,яңак
9,Wange::N,skruostas,яңак
10,Gesicht::N,veidas,йөз
11,Stirn::N,kakta,маңгай
12,Haar::N,plaukai,чәч
13,Schnurrbart::N,ūsai,мыек
14,Bart::N,barzda,сакал
15,Kinn::N,smakras,ияк
16,Kiefer[Anatomie]::N,žandikaulis,казналык
17,Kehle::N,gerklė,тамак
18,Hals::N,kaklas,бугаз
19,Genick::N,sprandas,җилкә
20,Kopf::N,galva,баш
21,Rücken::N,nugara,сырт
22,Bauch::N,pilvas,корсак
23,Nabel::N,bamba,кендек
24,Busen::N,krūtinė,түш
25,Brust::N,krūtis,имчәк
26,Brust::N,krūtis,күкрәк
27,Schulter::N,petys,иңбаш
28,Schulter::N,petys,кулбаш
29,Arm::N,ranka,кул
30,Ellenbogen::N,alkūnė,терсәк
31,Hand::N,ranka,кул
32,Hand::N,plaštaka,кул
33,Handfläche::N,delnas,уч
34,Handfläche::N,plaštaka,уч
35,Finger::N,pirštas,бармак
36,Fingernagel::N,nagas,тырнак
37,Nagel[Anatomie]::N,nagas,тырнак
38,Zeh::N,pirštas,бармак
39,Fuß::N,pėda,табан
40,Ferse::N,kulnas,үкчә
41,Knie::N,kelis,тез
42,Oberschenkel::N,kulšis,бот
43,Oberschenkel::N,šlaunis,бот
44,Bein::N,koja,аяк
45,Körper::N,kūnas,тән
46,Körper::N,kūnas,җисем
47,Haut::N,oda,тире
48,Blut::N,kraujas,кан
49,Ader::N,kraujagyslė,тамыр
50,Sehne::N,sausgyslė,сеңер
51,Knochen::N,kaulas,сөяк
52,Gehirn::N,smegenys,ми
53,Herz::N,širdis,йөрәк
54,Magen::N,skrandis,ашказаны
55,Leber::N,kepenys,бавыр
56,Atem::N,kvapas,сулыш
57,Hunger::N,badas,ачлык
58,Hunger::N,alkis,ачлык
59,Träne::N,ašara,яшь
60,Geschmack::N,skonis,тәм
61,Geschmack::N,skonis,зәвык
62,Geruch::N,kvapas,ис
63,Schlaf::N,miegas,йокы
64,Traum::N,sapnas,төш
65,Himmel::N,dangus,күк
66,Sonne::N,saulė,кояш
67,Mond::N,mėnulis,ай
68,Stern::N,žvaigždė,йолдыз
69,Luft::N,oras,һава
70,Wind::N,vėjas,җил
71,Welle::N,banga,дулкын
72,Welle::N,vilnis,дулкын
73,Wasser::N,vanduo,су
74,Stein::N,akmuo,таш
75,Boden::N,žemė,туфрак
76,Boden::N,dugnas,туфрак
77,Erde::N,žemė,җир
78,Staub::N,dulkės,тузан
79,Rauch::N,dūmai,төтен
80,Funke::N,kibirkštis,очкын
81,Feuer::N,ugnis,ут
82,Licht::N,šviesa,якты
83,Schatten::N,paūksmė,күләгә
84,Wetter::N,oras,һава
85,Nebel::N,migla,томан
86,Nebel::N,rūkas,томан
87,Wolke::N,debesis,болыт
88,Regen::N,lietus,яңгыр
89,Schnee::N,sniegas,кар
90,Eis::N,ledas,боз
91,Frost::N,šalna,суык
92,Frost::N,šalna,салкын
93,Kälte::N,šaltis,суык
94,Kälte::N,šaltis,салкын
95,Hitze::N,karštis,эсселек
96,Raureif::N,šerkšnas,бәс
97,Raureif::N,šerkšnas,сыкы
98,Regenbogen::N,vaivorykštė,салават күпере
99,Donner::N,perkūnas,күкрәү
100,Donner::N,griaustinis,күкрәү
101,Strömung::N,tėkmė,агыш'агым
102,Tropfen::N,lašas,тамчы
103,Schaum::N,putos,күбек
104,Schmutz::N,purvas,пычрак
105,See::N,ežeras,күл
106,Sumpf::N,klampynė,саз
107,Sumpf::N,liūnas,саз
108,Moor::N,pelkė,торфлык
109,Wiese::N,pieva,болын
110,Wald::N,miškas,урман
111,Hügel::N,kalva,калку
112,Anhöhe::N,kauburys,үр
113,Berg::N,kalnas,тау
114,Gipfel::N,viršūnė,оч
115,Höhle::N,ola,мәгарә
116,Abhang::N,šlaitas,кабырга
117,Abhang::N,nuokalnė,кабырга
118,Quelle::N,versmė,чишмә
119,Quelle::N,šaltinis,чишмә
120,Bach::N,upelis,елга
121,Fluss::N,upė,дәрья
122,Ufer::N,krantas,су кырые
123,Küste::N,pajūris,яр буе
124,Festland::N,sausuma,коры җир
125,Meer::N,jūra,диңгез
126,Bucht::N,įlanka,бухта
127,Bucht::N,įlanka,култык
128,Bucht::N,užutekis,бухта
129,Bucht::N,užutekis,култык
130,Insel::N,sala,атау
131,Insel::N,sala,утрау
132,Blume::N,gėlė,чәчкә
133,Gras::N,žolė,үлән
134,Wurzel::N,šaknis,тамыр
135,Baum::N,medis,агач
136,Stamm::N,kamienas,кәүсә
137,Rinde::N,žievė,кабык
138,Ast::N,šaka,ботак
139,Zweig::N,šakelė,ботак
140,Zweig::N,šakelė,тармак
141,Blatt::N,lapas,яфрак
142,Birke::N,beržas,каен
143,Kiefer[Baum]::N,pušis,нарат
144,Weide[Baum]::N,karklas,тал
145,Tanne::N,eglė,чыршы
146,Tanne::N,kėnis,чыршы
147,Horn::N,ragas,мөгез
148,Feder::N,plunksna,йон
149,Fell::N,kailis,тире
150,Flügel::N,sparnas,канат
151,Klaue::N,kanopa,тырнак
152,Kralle::N,nagas,тырнак
153,Schwanz::N,uodega,койрык
154,Ei::N,kiaušinis,күкәй
155,Ei::N,kiaušinis,йомырка
156,Nest::N,gūžta,оя
157,Nest::N,lizdas,оя
158,Bau::N,ola,өн
159,Tier::N,gyvūnas,хайван
160,Herde::N,banda,көтү
161,Herde::N,kaimenė,көтү
162,Kuh::N,karvė,сыер
163,Bulle::N,bulius,үгез
164,Pferd::N,arklys,ат
165,Schaf::N,avis,сарык
166,Schwein::N,kiaulė,дуңгыз
167,Hund::N,šuo,эт
168,Katze::N,katė,песи
169,Bär::N,lokys,аю
170,Eichhörnchen::N,voveraitė,тиен
171,Elch::N,briedis,поши
172,Fuchs::N,lapė,төлке
173,Hase::N,kiškas,куян
174,Maus::N,pelė,тычкан
175,Wolf::N,vilkas,бүре
176,Vogel::N,paukštis,кош
177,Schwarm::N,spiečius,көтү
178,Huhn::N,višta,тавык
179,Hahn::N,gaidys,әтәч
180,Gans::N,žąsis,каз
181,Adler::N,erelis,каракош
182,Ente::N,antis,үрдәк
183,Eule::N,pelėda,ябалак
184,Kranich::N,gervė,торна
185,Krähe::N,varna,карга
186,Kuckuck::N,gegužė,күке
187,Kuckuck::N,gegužė,кәккүк
188,Schwan::N,gulbė,аккош
189,Fisch::N,žuvis,балык
190,Barsch::N,ešerys,алабуга
191,Hecht::N,lydeka,чуртан
192,Schlange[Tier]::N,gyvatė,елан
193,Wurm::N,kirmėlė,корт
194,Spinne::N,voras,үрмәкүч
195,Ameise::N,skruzdė,кырмыска
196,Laus::N,utėlė,бет
197,Mücke::N,uodas,черки
198,Mücke::N,uodas,озынборын
199,Fliege::N,musė,чебен
200,Schmetterling::N,drugys,күбәләк
201,Schmetterling::N,peteliškė,күбәләк
202,Beere::N,uoga,җиләк
203,Apfel::N,obuolys,алма
204,Pilz::N,grybas,гөмбә
205,Zwiebel::N,svogūnas,суган
206,Zwiebel::N,svogūnas,суганбаш
207,Saat::N,sėkla,орлык
208,Korn::N,grūdai,иген
209,Korn::N,grūdai,орлык
210,Heu::N,šienas,печән
211,Schale::N,žievelė,кабык
212,Grube::N,duobė,баз
213,Grube::N,duobė,чокыр
214,Falle::N,pinklės,тозак
215,Falle::N,pinklės,капкын
216,Falle::N,žabangai,тозак
217,Falle::N,žabangai,капкын
218,Schlinge::N,kilpa,элмәк
219,Spur::N,vėžė,эз
220,Spur::N,pėdos,эз
221,Spur::N,pėdsakas,эз
222,Asche::N,pelenai,көл
223,Dreck::N,purvas,пычрак
224,Eisen::N,geležis,тимер
225,Gold::N,auksas,алтын
226,Silber::N,sidabras,көмеш
227,Kohle::N,anglis,күмер
228,Glas::N,stiklas,пыяла
229,Lehm::N,molis,балчык
230,Sand::N,smėlis,ком
231,Mensch::N,žmogus,адәм
232,Mensch::N,žmogus,инсан
233,Mann::N,vyras,ир
234,Mann::N,vyriškis,ир
235,Frau::N,moteris,хатын
236,Kind::N,vaikas,бала
237,Junge::N,vaikinas,малай
238,Junge::N,berniukas,малай
239,Mädchen::N,mergytė,кыз
240,Mädchen::N,mergaitė,кыз
241,Familie::N,šeima,гаилә
242,Großvater::N,senelis,бабай
243,Großmutter::N,senelė,әби
244,Eltern::N,tėvai,ата-ана
245,Vater::N,tėvas,ата
246,Mutter::N,motina,ана
247,Sohn::N,sūnus,ул
248,Tochter::N,duktė,кыз
249,Bruder::N,brolis,кардәш
250,Schwester::N,sesuo,апа
251,Schwester::N,sesuo,сеңел
252,Onkel::N,dėdė,дәдә
253,Onkel::N,dėdė,дәдәй
254,Tante::N,teta,түти
255,Tante::N,teta,тәтәй
256,Ehemann::N,vyras,ир
257,Ehefrau::N,žmona,хатын
258,Freude::N,džiaugsmas,сөенеч
259,Gelächter::N,juokas,көлү
260,Gelächter::N,juokas,көлеш
261,Glück::N,laimė,бәхет
262,Kummer::N,vargas,хәсрәт
263,Kummer::N,rūpestis,хәсрәт
264,Wunsch::N,troškimas,теләк
265,Wunsch::N,pageidavimas,теләк
266,Lust::N,noras,теләк
267,Lust::N,noras,теләү
268,Lust::N,geidulys,теләк
269,Lust::N,geidulys,теләү
270,Geist::N,dvasia,рух
271,Gedanke::N,mintis,уй
272,Gedanke::N,mintis,фикер
273,Gedächtnis::N,atmintis,хәтер
274,Verstand::N,protas,акыл
275,Sinn::N,prasmė,мәгънә
276,Grund::N,priežastis,сәбәп
277,Wahrheit::N,tiesa,хак
278,Wahrheit::N,teisybė,хак
279,Gespräch::N,pokalbis,әңгәмә
280,Märchen::N,pasaka,әкият
281,Erzählung::N,apsakymas,хикәя
282,Erzählung::N,pasakojimas,хикәя
283,Nachricht::N,žinia,хәбәр
284,Neuigkeit::N,naujiena,яңалык
285,Name::N,vardas,исем
286,Rätsel::N,mįslė,табышмак
287,Rede::N,kalba,нотык
288,Sprache::N,kalba,тел
289,Stimme::N,balsas,тавыш
290,Wort::N,žodis,сүз
291,Zeichen::N,žymė,ишарә
292,Zeichen::N,ženklas,ишарә
293,Ruf::N,šauksmas,дәшү
294,Lärm::N,triukšmas,шау
295,Laut::N,garsas,аваз
296,Ton::N,tonas,шалтырату
297,Ton::N,garsas,шалтырату
298,Lied::N,daina,җыр
299,Lied::N,giesmė,җыр
300,Ruhe::N,ramybė,тынлык
301,Ruhe::N,ramumas,тынлык
302,Leute::N,žmonės,халык
303,Volk::N,tauta,халык
304,Arbeit::N,darbas,эш
305,Arbeit::N,darbas,хезмәт
306,Arbeit::N,triūsas,эш
307,Arbeit::N,triūsas,хезмәт
308,Gast::N,svečias,кунак
309,Geschenk::N,dovana,бүләк
310,Spiel::N,žaismas,уен
311,Spiel::N,žaidimas,уен
312,Gesellschaft::N,draugija,җәмгыять
313,Gesellschaft::N,kompanija,җәмгыять
314,Hilfe::N,pagalba,ярдәм
