,Concept_ID,bg,sq
0,Auge::N,око,sy
1,Ohr::N,ухо,vesh
2,Nase::N,нос,hundë
3,Mund::N,уста,gojë
4,Zahn::N,зъб,dhëmb
5,Zunge::N,език,gjuhë
6,Lippe::N,устна,buzë
7,Wange::N,буза,faqe
8,Wange::N,буза,mollëz
9,Gesicht::N,лице,fytyrë
10,Gesicht::N,образ,fytyrë
11,Stirn::N,чело,ballë
12,Haar::N,коса,flokë
13,Haar::N,косъм,flokë
14,Schnurrbart::N,мустаци,mustaqe
15,Bart::N,брада,mjekër
16,Kinn::N,брада,mjekër
17,Kinn::N,брадичка,mjekër
18,Kiefer[Anatomie]::N,челюст,nofull
19,Kehle::N,гърло,fyt
20,Kehle::N,гърло,grykë
21,Hals::N,врат,qafë
22,Genick::N,тил,arrëz
23,Kopf::N,глава,kokë
24,Rücken::N,гръб,kurriz
25,Bauch::N,корем,bark
26,Nabel::N,пъп,kërthizë
27,Busen::N,бозка,gji
28,Brust::N,гръд,gjoks
29,Brust::N,гръд,kraharor
30,Schulter::N,рамо,sup
31,Schulter::N,рамо,krah
32,Schulter::N,плещи,sup
33,Schulter::N,плещи,krah
34,Arm::N,ръка,krah
35,Ellenbogen::N,лакът,bërryl
36,Hand::N,ръка,dorë
37,Hand::N,китка,dorë
38,Handfläche::N,длан,pëllëmbë
39,Finger::N,пръст,gisht
40,Fingernagel::N,нокът,thua
41,Nagel[Anatomie]::N,нокът,thua
42,Zeh::N,пръст на крак,gisht i këmbës
43,Fuß::N,крак,këmbë
44,Fuß::N,нога,këmbë
45,Ferse::N,пета,thembër
46,Knie::N,коляно,gju
47,Oberschenkel::N,бедро,kofshë
48,Bein::N,крак,këmbë
49,Bein::N,нога,këmbë
50,Körper::N,тяло,trup
51,Haut::N,кожа,lëkurë
52,Blut::N,кръв,gjak
53,Ader::N,вена,venë
54,Ader::N,артерия,venë
55,Sehne::N,жила,dell
56,Sehne::N,сухожилие,dell
57,Knochen::N,кост,asht
58,Knochen::N,кост,kockë
59,Gehirn::N,мозък,tru
60,Herz::N,сърце,zemër
61,Magen::N,стомах,stomak
62,Leber::N,черен дроб,mëlçi
63,Atem::N,дишане,frymë
64,Hunger::N,глад,uri
65,Träne::N,сълза,lot
66,Geschmack::N,вкус,shije
67,Geruch::N,миризма,erë
68,Schlaf::N,сън,gjumë
69,Traum::N,сън,ëndërr
70,Himmel::N,небе,qiell
71,Sonne::N,слънце,diell
72,Mond::N,луна,hënë
73,Mond::N,месец,hënë
74,Stern::N,звезда,yll
75,Luft::N,въздух,ajër
76,Wind::N,вятър,erë
77,Welle::N,вълна,valë
78,Welle::N,вълна,dallgë
79,Wasser::N,вода,ujë
80,Stein::N,камък,gur
81,Boden::N,земя,tokë
82,Boden::N,земя,truall
83,Boden::N,почва,tokë
84,Boden::N,почва,truall
85,Erde::N,земя,dhe
86,Erde::N,земя,baltë
87,Erde::N,почва,dhe
88,Erde::N,почва,baltë
89,Staub::N,прах,pluhur
90,Rauch::N,дим,tym
91,Rauch::N,пушек,tym
92,Funke::N,искра,xixë
93,Funke::N,искра,shkëndijë
94,Feuer::N,огън,zjarr
95,Licht::N,светлина,dritë
96,Schatten::N,сянка,hije
97,Wetter::N,време,mot
98,Nebel::N,мъгла,mjegull
99,Wolke::N,облак,re
100,Regen::N,дъжд,shi
101,Schnee::N,сняг,borë
102,Eis::N,лед,akull
103,Frost::N,мраз,ngricë
104,Kälte::N,студ,të ftohtë
105,Hitze::N,жега,vapë
106,Hitze::N,жега,nxehtësi
107,Hitze::N,горещина,vapë
108,Hitze::N,горещина,nxehtësi
109,Raureif::N,скреж,cikmë
110,Raureif::N,слана,cikmë
111,Regenbogen::N,дъга,ylber
112,Donner::N,гръм,gjëmim
113,Donner::N,гръм,bubullimë
114,Strömung::N,течение,rrymë
115,Tropfen::N,капка,pikë
116,Schaum::N,пяна,shkumë
117,Schmutz::N,кал,baltë
118,Schmutz::N,мръсотия,baltë
119,See::N,езеро,liqen
120,Sumpf::N,блато,batak
121,Moor::N,мочурище,kënetë
122,Wiese::N,ливада,livadh
123,Wald::N,гора,pyll
124,Hügel::N,рид,kodër
125,Hügel::N,хълм,kodër
126,Anhöhe::N,могила,bregore
127,Anhöhe::N,възвишение,bregore
128,Berg::N,планина,mal
129,Gipfel::N,връх,kulm
130,Höhle::N,пещера,shpellë
131,Höhle::N,пещера,zgafelle
132,Abhang::N,склон,shpat
133,Abhang::N,склон,tatëpjetë
134,Abhang::N,стръмнина,shpat
135,Abhang::N,стръмнина,tatëpjetë
136,Quelle::N,извор,krua
137,Quelle::N,извор,burim
138,Bach::N,поток,virua
139,Fluss::N,река,lumë
140,Ufer::N,бряг,breg
141,Küste::N,бряг,anëdet
142,Küste::N,бряг,bregdet
143,Küste::N,крайбрежие,anëdet
144,Küste::N,крайбрежие,bregdet
145,Festland::N,суша,kontinent
146,Meer::N,море,det
147,Bucht::N,залив,gji deti
148,Insel::N,остров,ishull
149,Insel::N,остров,ujdhesë
150,Blume::N,цвете,lule
151,Gras::N,трева,bar
152,Wurzel::N,корен,rrënjë
153,Baum::N,дърво,pemë
154,Stamm::N,стъбло,trung
155,Rinde::N,кора,lëvore
156,Ast::N,клон,degë
157,Zweig::N,клон,bisk
158,Blatt::N,лист,fletë
159,Blatt::N,лист,gjethe
160,Birke::N,бреза,mështekën
161,Kiefer[Baum]::N,бор,pishë
162,Weide[Baum]::N,върба,shelg
163,Tanne::N,ела,bredh
164,Horn::N,рог,bri
165,Feder::N,перо,pupël
166,Fell::N,кожа,lëkurë
167,Flügel::N,крило,krah
