,Concept_ID,de,uz
0,Auge::N,Auge,ko'z
1,Ohr::N,Ohr,quloq
2,Nase::N,Nase,burun
3,Mund::N,Mund,og'iz
4,Zahn::N,Zahn,tish
5,Zunge::N,Zunge,til
6,Lippe::N,Lippe,dudoq
7,Wange::N,Wange,bet
8,Gesicht::N,Gesicht,yuz
9,Stirn::N,Stirn,manglay
10,Haar::N,Haar,soch
11,Schnurrbart::N,Schnurrbart,mo'ylov
12,Bart::N,Bart,soqol
13,Kinn::N,Kinn,ängak
14,Kiefer[Anatomie]::N,Kiefer,iyak
15,Kehle::N,Kehle,bo'g'iz
16,Hals::N,Hals,bo'yin
17,Genick::N,Genick,gardan
18,Kopf::N,Kopf,bosh
19,Rücken::N,Rücken,orqa
20,Bauch::N,Bauch,qorin
21,Nabel::N,Nabel,kindik
22,Busen::N,Busen,ämchak
23,Brust::N,Brust,ko'krak
24,Schulter::N,Schulter,elka
25,Arm::N,Arm,bilak
26,Ellenbogen::N,Ellenbogen,tirsak
27,Hand::N,Hand,qo'l
28,Handfläche::N,Handfläche,kaft
29,Finger::N,Finger,barmoq
30,Fingernagel::N,Fingernagel,tirnoq
31,Nagel[Anatomie]::N,Nagel,tirnoq
32,Zeh::N,Zeh,oyoq barmog'i
33,Fuß::N,Fuß,oyoq
34,Ferse::N,Ferse,tovon
35,Knie::N,Knie,tiz
36,Oberschenkel::N,Oberschenkel,son
37,Bein::N,Bein,oyoq
38,Körper::N,Körper,badna
39,Haut::N,Haut,teri
40,Blut::N,Blut,qon
41,Ader::N,Ader,qon tomir
42,Sehne::N,Sehne,tomir
43,Knochen::N,Knochen,suyak
44,Gehirn::N,Gehirn,miya
45,Herz::N,Herz,qalb
46,Magen::N,Magen,oshqozon
47,Leber::N,Leber,bag'ir
48,Atem::N,Atem,dam
49,Hunger::N,Hunger,ochlik
50,Träne::N,Träne,yosh
51,Geschmack::N,Geschmack,tam
52,Geruch::N,Geruch,jid
53,Schlaf::N,Schlaf,uyqu
54,Traum::N,Traum,tush
55,Himmel::N,Himmel,osmon
56,Sonne::N,Sonne,quyosh
57,Mond::N,Mond,oy
58,Stern::N,Stern,yulduz
59,Luft::N,Luft,havo
60,Wind::N,Wind,el
61,Welle::N,Welle,to'lqin
62,Wasser::N,Wasser,suv
63,Stein::N,Stein,tosh
64,Boden::N,Boden,tuproq
65,Erde::N,Erde,er
66,Staub::N,Staub,chang
67,Rauch::N,Rauch,tutun
68,Funke::N,Funke,yalt
69,Feuer::N,Feuer,o't
70,Licht::N,Licht,yorug'
71,Schatten::N,Schatten,soya
72,Wetter::N,Wetter,havo
73,Nebel::N,Nebel,tuman
74,Wolke::N,Wolke,bulut
75,Regen::N,Regen,yomg'ir
76,Schnee::N,Schnee,qor
77,Eis::N,Eis,muz
78,Frost::N,Frost,ajoz
79,Kälte::N,Kälte,ajoz
80,Hitze::N,Hitze,issiq
81,Raureif::N,Raureif,qirov
82,Regenbogen::N,Regenbogen,kamalak
83,Donner::N,Donner,guldur
84,Strömung::N,Strömung,oqim
85,Tropfen::N,Tropfen,tomchi
86,Schaum::N,Schaum,ko'pik
87,Schmutz::N,Schmutz,gard
88,See::N,See,ko'l
89,Sumpf::N,Sumpf,botqoq
90,Moor::N,Moor,qir-adir
91,Wiese::N,Wiese,o'tzor
92,Wald::N,Wald,o'rmon
93,Hügel::N,Hügel,tepa
94,Anhöhe::N,Anhöhe,adir
95,Berg::N,Berg,tog'
96,Gipfel::N,Gipfel,cho'qqi
97,Höhle::N,Höhle,kavak
98,Abhang::N,Abhang,to'sh
99,Quelle::N,Quelle,buloq
100,Bach::N,Bach,o'zan
101,Fluss::N,Fluss,daryo
