,Concept_ID,lez,pt
0,Auge::N,вил,olho
1,Ohr::N,яб,orelha
2,Nase::N,нер,nariz
3,Mund::N,сив,boca
4,Zahn::N,сас,dente
5,Zahn::N,свах,dente
6,Zunge::N,мез,língua
7,Lippe::N,пӏуз,lábio
8,Wange::N,хъвехъ,face
9,Gesicht::N,ччин,cara
10,Gesicht::N,ччин,rosto
11,Stirn::N,пел,testa
12,Haar::N,чӏар,cabelo
13,Schnurrbart::N,спел,bigode
14,Schnurrbart::N,спелар,bigode
15,Bart::N,ччуру,barba
16,Kinn::N,чене,queixo
17,Kiefer[Anatomie]::N,чене,maxila
18,Kiefer[Anatomie]::N,чене,mandíbula
19,Kehle::N,туьд,garganta
20,Hals::N,гардан,colo
21,Hals::N,гардан,pescoço
22,Genick::N,кьам,nuca
23,Kopf::N,кьил,cabeça
24,Rücken::N,далу,dorso
25,Rücken::N,далу,costas
26,Bauch::N,руфун,ventre
27,Bauch::N,руфун,barriga
28,Nabel::N,пицӏ,umbigo
29,Busen::N,мам,seio
30,Brust::N,хур,peito
31,Schulter::N,къуьн,ombro
32,Arm::N,гъил,braço
33,Ellenbogen::N,кьуьнт,cotovelo
34,Hand::N,капаш,mão
35,Handfläche::N,капан юкь,palma
36,Handfläche::N,капан юкь,palma da mão
37,Finger::N,тӏуб,dedo
38,Fingernagel::N,кек,unha
39,Nagel[Anatomie]::N,кек,unha
40,Zeh::N,кул,dedo do pé
41,Fuß::N,кӏвач,pé
42,Ferse::N,дабан,calcanhar
43,Knie::N,мет,joelho
44,Bein::N,кӏвач,perna
45,Körper::N,беден,corpo
46,Haut::N,хам,pele
47,Blut::N,иви,sangue
48,Ader::N,дамар,veia
49,Sehne::N,кьуру дамар,tendão
50,Knochen::N,кӏараб,osso
51,Gehirn::N,мефт,cérebro
52,Herz::N,рикӏ,coração
53,Magen::N,хук,estômago
54,Leber::N,лекь,fígado
55,Atem::N,ял,fôlego
56,Atem::N,нефес,fôlego
57,Hunger::N,каш,fome
58,Träne::N,вилин нагъв,lágrima
59,Geschmack::N,дад,gosto
60,Geschmack::N,тӏям,gosto
61,Geruch::N,ни,odor
62,Geruch::N,ни,cheiro
63,Schlaf::N,ахвар,sono
64,Traum::N,ахвар,sonho
65,Himmel::N,цав,céu
66,Sonne::N,рагъ,sol
67,Mond::N,варз,lua
68,Stern::N,гъед,estrela
69,Luft::N,гьава,ar
70,Wind::N,гар,vento
71,Welle::N,лепе,onda
72,Wasser::N,яд,água
73,Stein::N,къван,pedra
74,Boden::N,накьв,solo
75,Erde::N,ччил,terra
76,Staub::N,руг,pó
77,Rauch::N,гум,fumo
78,Funke::N,цӏелхем,faísca
79,Funke::N,цӏелхем,centelha
80,Feuer::N,цӏай,fogo
81,Licht::N,экв,luz
82,Schatten::N,серин,sombra
83,Wetter::N,гьава,tempo
84,Nebel::N,ччилин циф,nevoeiro
85,Wolke::N,циф,nuvem
86,Regen::N,марф,chuva
87,Schnee::N,жив,neve
88,Eis::N,мурк,gelo
89,Frost::N,аяз,gelo
90,Frost::N,аяз,geada
91,Kälte::N,мекь,frio
92,Kälte::N,мекьивал,frio
93,Hitze::N,зегьем,ardor
94,Raureif::N,къирав,geada
95,Regenbogen::N,яргъируш,arco-iris
96,Donner::N,цавун ван,trovão
97,Tropfen::N,стӏал,gota
98,Schaum::N,каф,espuma
99,Schmutz::N,чирк,sujidade
100,Schmutz::N,чирк,imundície
101,Schmutz::N,кьуруш,sujidade
102,Schmutz::N,кьуруш,imundície
103,See::N,вир,lago
104,Sumpf::N,уьлен,charco
105,Sumpf::N,уьлен,pântano
106,Wiese::N,векь,prado
107,Wald::N,там,bosque
108,Wald::N,там,floresta
109,Hügel::N,кӏунтӏ,colina
110,Anhöhe::N,тепе,alto
111,Anhöhe::N,тепе,outeiro
112,Anhöhe::N,гьуьндуьрвал,alto
113,Anhöhe::N,гьуьндуьрвал,outeiro
114,Berg::N,дагъ,monte
115,Berg::N,дагъ,montanha
116,Gipfel::N,кӏукӏ,pico
117,Höhle::N,кьветӏ,caverna
118,Abhang::N,гуьне,encosta
119,Quelle::N,чешме,fonte
120,Bach::N,булах,regato
121,Bach::N,булах,ribeiro
122,Fluss::N,вацӏ,rio
123,Ufer::N,къерех,beira
124,Küste::N,къерех,costa
125,Festland::N,кьурамат,terra firme
126,Meer::N,гьуьл,mar
127,Bucht::N,бухта,baía
128,Insel::N,остров,ilha
129,Blume::N,цуьк,flor
130,Gras::N,хъач,erva
131,Wurzel::N,дувул,raiz
132,Baum::N,ттар,árvore
133,Stamm::N,тан,tronco
134,Rinde::N,чкал,casca
135,Ast::N,тӏур,ramo
136,Zweig::N,хел,galho
137,Blatt::N,пеш,folha
138,Birke::N,верх,bétula
139,Kiefer[Baum]::N,шамагъаж,pinheiro
140,Weide[Baum]::N,цӏвелин ттар,salgueiro
141,Tanne::N,ель,abeto
142,Horn::N,карч,corno
143,Horn::N,карч,chifre
144,Feder::N,цӏакул,pena
145,Fell::N,хам,pele
146,Flügel::N,лув,asa
147,Klaue::N,къармах,pata
148,Kralle::N,пац,unha
149,Kralle::N,пац,garra
150,Kralle::N,тапас,unha
151,Kralle::N,тапас,garra
152,Schwanz::N,ттум,rabo
153,Schwanz::N,ттум,cauda
154,Ei::N,кака,ovo
155,Nest::N,муг,ninho
156,Bau::N,тӏеквен,toca
157,Bau::N,тӏеквен,covil
158,Tier::N,гьайван,animal
159,Herde::N,суьруь,rebanho
160,Kuh::N,ккал,vaca
161,Bulle::N,яц,touro
162,Bulle::N,бугъа,touro
163,Pferd::N,балкӏан,cavalo
164,Schaf::N,хеб,ovelha
165,Schwein::N,вак,porco
166,Hund::N,кицӏ,cão
167,Katze::N,кац,gata
168,Bär::N,сев,urso
169,Eichhörnchen::N,белка,esquilo
170,Elch::N,лось,alce
171,Fuchs::N,сикӏ,raposa
172,Hase::N,къуьр,lebre
173,Maus::N,кьиф,rato
174,Wolf::N,жанавур,lobo
175,Vogel::N,луван ничхир,ave
176,Vogel::N,луван ничхир,pássaro
177,Schwarm::N,луж,bando
178,Schwarm::N,луж,enxame
179,Huhn::N,верч,galinha
180,Hahn::N,кӏек,galo
181,Gans::N,къаз,ganso
182,Adler::N,лекь,águia
183,Ente::N,пӏатӏ,pata
