,Concept_ID,br,he
0,Auge::N,lagad,עין
1,Ohr::N,skouarn,אזן
2,Nase::N,fri,אף
3,Nase::N,fri,חטם
4,Mund::N,genoù,פה
5,Zahn::N,dant,שן
6,Zunge::N,teod,לשון
7,Lippe::N,muzell,שפה
8,Wange::N,chot,לחי
9,Gesicht::N,dremm,פנים
10,Stirn::N,tal,מצח
11,Haar::N,blev,שערה
12,Schnurrbart::N,mourenn,שפם
13,Bart::N,barv,זקן
14,Kinn::N,groñj,סנטר
15,Kiefer[Anatomie]::N,javed,לסת
16,Kehle::N,gouzoug,גרון
17,Hals::N,gouzoug,צואר
18,Genick::N,choug,ערף
19,Kopf::N,penn,ראש
20,Rücken::N,kein,גב
21,Bauch::N,kof,בטן
22,Nabel::N,begel,טבור
23,Busen::N,bronn,שד
24,Brust::N,bruched,חזה
25,Schulter::N,skoaz,כתף
26,Arm::N,brec'h,זרוע
27,Ellenbogen::N,ilin,מרפק
28,Hand::N,dorn,יד
29,Handfläche::N,palv,כף יד
30,Finger::N,biz,אצבע
31,Fingernagel::N,ivin,צפרן
32,Nagel[Anatomie]::N,ivin,צפרן
33,Zeh::N,biz-troad,אצבע
34,Fuß::N,troad,רגל
35,Ferse::N,seul,עקב
36,Knie::N,glin,ברך
37,Oberschenkel::N,morzhed,ירך
38,Bein::N,gar,רגל
39,Körper::N,korf,גוף
40,Haut::N,kroc'hen,עור
41,Blut::N,gwad,דם
42,Ader::N,gwazhi,וריד
43,Sehne::N,stir,גיד
44,Knochen::N,askorn,עצם
45,Gehirn::N,empenn,מוח
46,Herz::N,kalon,לב
47,Magen::N,stomog,קבה
48,Leber::N,avu,כבד
49,Atem::N,anal,נשימה
50,Hunger::N,naon,רעב
51,Träne::N,daer,דמעה
52,Geschmack::N,blaz,טעם
53,Geruch::N,c'hwezh,ריח
54,Schlaf::N,kousked,שנה
55,Traum::N,hune,חלום
56,Himmel::N,oabl,שמים
57,Sonne::N,heol,שמש
58,Mond::N,loar,ירח
59,Stern::N,steredenn,כוכב
60,Luft::N,aer,אויר
61,Wind::N,avel,רוח
62,Welle::N,houlenn,גל
63,Wasser::N,dour,מים
64,Stein::N,maen,אבן
65,Boden::N,tachenn,קרקע
66,Erde::N,douar,אדמה
67,Staub::N,poultr,אבק
68,Rauch::N,moged,עשן
69,Funke::N,ful,ניצוץ
70,Feuer::N,tan,אש
71,Licht::N,gouloù,אור
72,Schatten::N,disheol,צל
73,Wetter::N,amzer,מזג אויר
74,Nebel::N,brumenn,ערפל
75,Wolke::N,koumoulenn,ענן
76,Regen::N,glav,גשם
77,Schnee::N,erc'h,שלג
78,Eis::N,skorn,קרח
79,Frost::N,rev,צנה
80,Kälte::N,yen,קר
81,Hitze::N,tommder,חם
82,Raureif::N,frim,כפור
83,Regenbogen::N,gwareg-ar-glav,קשת
84,Donner::N,kurun,רעם
85,Strömung::N,red,זרימה
86,Tropfen::N,bannac'h,טפה
87,Tropfen::N,takenn,טפה
88,Schaum::N,spoum,קצף
89,Schmutz::N,fank,לכלוך
90,See::N,lenn,אגם
91,Sumpf::N,gwern,בצה
92,Moor::N,taouarc'heg,בצה
93,Wiese::N,prad,מרעה
94,Wald::N,koad,יער
95,Hügel::N,torgenn,תל
96,Anhöhe::N,run,מעלה
97,Berg::N,menez,הר
98,Gipfel::N,barr,פסגה
99,Höhle::N,kav,מערה
100,Abhang::N,naou,מדרון
101,Abhang::N,naou,שפוע
102,Quelle::N,feunteun,מעין
103,Bach::N,gwazh,נחל
104,Fluss::N,stêr,נהר
105,Ufer::N,ribl,גדה
106,Küste::N,aod,חוף
107,Festland::N,douar,יבשה
108,Meer::N,mor,ים
109,Bucht::N,mor-bihan,מפרץ
110,Insel::N,enez,אי
111,Blume::N,bleunienn,פרח
112,Gras::N,geot,דשא
113,Wurzel::N,gwrizienn,שרש
114,Baum::N,gwezenn,עץ
115,Stamm::N,kef,גזע
116,Rinde::N,rusk,קלפת עץ
117,Ast::N,barr,ענף
118,Zweig::N,bod,ענף
119,Blatt::N,delienn,עלה
120,Birke::N,bezvenn,שדר
121,Kiefer[Baum]::N,pinenn,ארן
122,Weide[Baum]::N,halegenn,ערבה
123,Tanne::N,sapenn,אשוח
124,Horn::N,korn,קרן
125,Feder::N,pluñv,נוצה
126,Fell::N,kreoñ,פרוה
127,Flügel::N,askell,כנף
128,Klaue::N,skilf,טלף
129,Kralle::N,skilf,טפר
130,Schwanz::N,lost,זנב
131,Ei::N,vi,ביצה
132,Nest::N,neizh,קן
133,Bau::N,douarenn,מחלה
134,Tier::N,loen,חיה
135,Herde::N,tropell,עדר
136,Kuh::N,buoc'h,פרה
137,Bulle::N,tarv,פר
138,Pferd::N,marc'h,סוס
139,Schaf::N,dañvad,כבשה
140,Schwein::N,pemoc'h,חזיר
141,Hund::N,ki,כלב
142,Katze::N,kazh,חתול
143,Bär::N,arzh,דב
144,Eichhörnchen::N,gwiñver,סנאי
145,Elch::N,karv-dour,דישון
146,Fuchs::N,louarn,שועל
147,Hase::N,gad,ארנב
148,Maus::N,logodenn,עכבר
149,Wolf::N,bleiz,זאב
150,Vogel::N,labous,צפור
151,Schwarm::N,nijad,נחיל
152,Schwarm::N,nijad,להקה
153,Huhn::N,yar,תרנגלת
154,Hahn::N,kilhog,תרנגול
155,Gans::N,gwazenn,אוז
156,Adler::N,erer,עיט
157,Ente::N,houad,ברוז
158,Eule::N,toud,ינשוף
159,Kranich::N,garan,עגור
160,Kranich::N,garan,כרוכיה
161,Krähe::N,bran,עורב
162,Kuckuck::N,koukoug,קוקיה
163,Schwan::N,alarc'h,ברבור
164,Fisch::N,pesk,דג
165,Barsch::N,brell,אוקונוס
166,Hecht::N,beked,זאב הים
167,Schlange[Tier]::N,naer,נחש
168,Wurm::N,preñv,תולעת
169,Spinne::N,kevnidenn,עכביש
170,Ameise::N,merion,נמלה
171,Laus::N,laouenn,כנה
172,Mücke::N,moustik,יתוש
173,Fliege::N,kelienenn,זבוב
174,Schmetterling::N,balafenn,פרפר
175,Beere::N,hog,ענבה
176,Apfel::N,aval,תפוח
177,Pilz::N,kabell-touseg,פטריה
178,Zwiebel::N,ognonenn,בצל
179,Saat::N,had,זרעים
180,Korn::N,ed,גרעין
181,Heu::N,foenn,חציר
182,Schale::N,peliadur,קלפה
183,Falle::N,pech,מלכדת
184,Schlinge::N,krouglas,לולאה
185,Asche::N,ludu,אפר
186,Dreck::N,fank,זהמה
187,Eisen::N,houarn,ברזל
188,Gold::N,aour,זהב
189,Silber::N,arc'hant,כסף
190,Kohle::N,glaou,פחם
191,Glas::N,gwer,זכוכית
192,Sand::N,traezh,חול
193,Mensch::N,den,אדם
194,Mann::N,den,איש
195,Mann::N,den,גבר
196,Frau::N,maouez,אשה
197,Frau::N,maouez,גברת
198,Kind::N,bugel,ילד
199,Junge::N,paotr,ילד
200,Mädchen::N,plac'h,נערה
201,Familie::N,familh,משפחה
202,Großvater::N,tad-kozh,סבא
203,Großmutter::N,mamm-gozh,סבתא
204,Eltern::N,kerent,הורים
205,Vater::N,tad,אב
206,Mutter::N,mamm,אם
207,Sohn::N,mab,בן
208,Tochter::N,merc'h,בת
209,Bruder::N,breur,אח
210,Schwester::N,c'hoar,אחות
211,Onkel::N,eontr,דוד
212,Tante::N,moereb,דודה
213,Ehemann::N,gwaz,איש
214,Ehemann::N,gwaz,בעל
215,Ehefrau::N,gwreg,אשה
216,Freude::N,levenez,שמחה
217,Gelächter::N,c'hoarzherezh,צחוק
218,Glück::N,chañs,אשר
219,Kummer::N,doan,יגון
220,Kummer::N,doan,עגמה
221,Wunsch::N,c'hoant,אחול
222,Wunsch::N,c'hoant,משאלה
223,Lust::N,c'hoant,חשק
224,Lust::N,c'hoant,תשוקה
225,Geist::N,spered,רוח
226,Gedanke::N,soñj,מחשבה
227,Gedächtnis::N,eñvor,זכרון
228,Verstand::N,skiant,שכל
229,Sinn::N,ster,מובן
230,Sinn::N,ster,משמעות
231,Grund::N,kaoz,סבה
232,Wahrheit::N,gwirionez,אמת
233,Gespräch::N,kaozeadenn,דיון
234,Märchen::N,kaoz korriganez,אגדה
