,Concept_ID,en,br
0,Auge::N,eye,lagad
1,Ohr::N,ear,skouarn
2,Nase::N,nose,fri
3,Mund::N,mouth,genoù
4,Zahn::N,tooth,dant
5,Zunge::N,tongue,teod
6,Lippe::N,lip,muzell
7,Wange::N,cheek,chot
8,Gesicht::N,face,dremm
9,Stirn::N,forehead,tal
10,Haar::N,hair,blev
11,Schnurrbart::N,moustache,mourenn
12,Bart::N,beard,barv
13,Kinn::N,chin,groñj
14,Kiefer[Anatomie]::N,jaw,javed
15,Kehle::N,throat,gouzoug
16,Hals::N,neck,gouzoug
17,Genick::N,nape,choug
18,Kopf::N,head,penn
19,Rücken::N,back,kein
20,Rücken::N,spine,kein
21,Bauch::N,belly,kof
22,Nabel::N,navel,begel
23,Busen::N,bosom,bronn
24,Brust::N,chest,bruched
25,Brust::N,breast,bruched
26,Schulter::N,shoulder,skoaz
27,Arm::N,arm,brec'h
28,Ellenbogen::N,elbow,ilin
29,Hand::N,hand,dorn
30,Handfläche::N,palm,palv
31,Finger::N,finger,biz
32,Fingernagel::N,fingernail,ivin
33,Nagel[Anatomie]::N,nail,ivin
34,Zeh::N,toe,biz-troad
35,Fuß::N,foot,troad
36,Ferse::N,heel,seul
37,Knie::N,knee,glin
38,Oberschenkel::N,thigh,morzhed
39,Bein::N,leg,gar
40,Körper::N,body,korf
41,Haut::N,skin,kroc'hen
42,Blut::N,blood,gwad
43,Ader::N,vein,gwazhi
44,Sehne::N,sinew,stir
45,Knochen::N,bone,askorn
46,Gehirn::N,brain,empenn
47,Herz::N,heart,kalon
48,Magen::N,stomach,stomog
49,Leber::N,liver,avu
50,Atem::N,breath,anal
51,Hunger::N,hunger,naon
52,Träne::N,tear,daer
53,Geschmack::N,flavour,blaz
54,Geschmack::N,flavor,blaz
55,Geruch::N,odour,c'hwezh
56,Geruch::N,odor,c'hwezh
57,Schlaf::N,sleep,kousked
58,Traum::N,dream,hune
59,Himmel::N,sky,oabl
60,Sonne::N,sun,heol
61,Mond::N,moon,loar
62,Stern::N,star,steredenn
63,Luft::N,air,aer
64,Wind::N,wind,avel
65,Welle::N,wave,houlenn
66,Wasser::N,water,dour
67,Stein::N,stone,maen
68,Boden::N,soil,tachenn
69,Boden::N,ground,tachenn
70,Erde::N,earth,douar
71,Staub::N,dust,poultr
72,Rauch::N,smoke,moged
73,Funke::N,spark,ful
74,Feuer::N,fire,tan
75,Licht::N,light,gouloù
76,Schatten::N,shadow,disheol
77,Wetter::N,weather,amzer
78,Nebel::N,fog,brumenn
79,Wolke::N,cloud,koumoulenn
80,Regen::N,rain,glav
81,Schnee::N,snow,erc'h
82,Eis::N,ice,skorn
83,Frost::N,frost,rev
84,Kälte::N,chill,yen
85,Hitze::N,heat,tommder
86,Raureif::N,hoarfrost,frim
87,Regenbogen::N,rainbow,gwareg-ar-glav
88,Donner::N,thunder,kurun
89,Strömung::N,current,red
90,Tropfen::N,drop,bannac'h
91,Tropfen::N,drop,takenn
92,Schaum::N,foam,spoum
93,Schmutz::N,dirt,fank
94,See::N,lake,lenn
95,Sumpf::N,swamp,gwern
96,Moor::N,moor,taouarc'heg
97,Wiese::N,meadow,prad
98,Wald::N,forest,koad
99,Hügel::N,hill,torgenn
100,Anhöhe::N,elevation,run
101,Berg::N,mountain,menez
102,Gipfel::N,summit,barr
103,Höhle::N,cave,kav
104,Abhang::N,slope,naou
105,Quelle::N,source,feunteun
106,Bach::N,brook,gwazh
107,Fluss::N,river,stêr
108,Ufer::N,shore,ribl
109,Küste::N,coast,aod
110,Festland::N,land,douar
111,Meer::N,sea,mor
112,Bucht::N,cove,mor-bihan
113,Insel::N,island,enez
114,Blume::N,flower,bleunienn
115,Gras::N,grass,geot
116,Wurzel::N,root,gwrizienn
117,Baum::N,tree,gwezenn
118,Stamm::N,trunk,kef
119,Rinde::N,bark,rusk
120,Ast::N,limb,barr
121,Zweig::N,branch,bod
122,Blatt::N,leaf,delienn
123,Birke::N,birch,bezvenn
124,Kiefer[Baum]::N,pine,pinenn
125,Weide[Baum]::N,willow,halegenn
126,Tanne::N,fir,sapenn
127,Horn::N,horn,korn
128,Feder::N,feather,pluñv
129,Fell::N,fur,kreoñ
130,Flügel::N,wing,askell
131,Klaue::N,claw,skilf
132,Kralle::N,claw,skilf
133,Schwanz::N,tail,lost
134,Ei::N,egg,vi
135,Nest::N,nest,neizh
136,Bau::N,lair,douarenn
137,Tier::N,animal,loen
138,Herde::N,flock,tropell
139,Kuh::N,cow,buoc'h
140,Bulle::N,bull,tarv
141,Pferd::N,horse,marc'h
142,Schaf::N,sheep,dañvad
143,Schwein::N,pig,pemoc'h
144,Hund::N,dog,ki
145,Katze::N,cat,kazh
146,Bär::N,bear,arzh
147,Eichhörnchen::N,squirrel,gwiñver
148,Elch::N,elk,karv-dour
149,Fuchs::N,fox,louarn
150,Hase::N,hare,gad
151,Maus::N,mouse,logodenn
152,Wolf::N,wolf,bleiz
153,Vogel::N,bird,labous
154,Schwarm::N,swarm,nijad
155,Huhn::N,chicken,yar
156,Hahn::N,cock,kilhog
157,Gans::N,goose,gwazenn
158,Adler::N,eagle,erer
159,Ente::N,duck,houad
160,Eule::N,owl,toud
161,Kranich::N,crane,garan
162,Krähe::N,crow,bran
163,Kuckuck::N,cuckoo,koukoug
164,Schwan::N,swan,alarc'h
165,Fisch::N,fish,pesk
166,Barsch::N,perch,brell
167,Hecht::N,pike,beked
168,Schlange[Tier]::N,snake,naer
169,Wurm::N,worm,preñv
170,Spinne::N,spider,kevnidenn
171,Ameise::N,ant,merion
172,Laus::N,louse,laouenn
173,Mücke::N,midge,moustik
174,Fliege::N,fly,kelienenn
175,Schmetterling::N,butterfly,balafenn
176,Beere::N,berry,hog
177,Apfel::N,apple,aval
178,Pilz::N,mushroom,kabell-touseg
179,Zwiebel::N,onion,ognonenn
180,Saat::N,seed,had
181,Korn::N,grain,ed
182,Heu::N,hay,foenn
183,Schale::N,husk,peliadur
184,Grube::N,pit,
185,Falle::N,trap,pech
186,Schlinge::N,noose,krouglas
187,Spur::N,track,
188,Asche::N,ashes,ludu
189,Dreck::N,filth,fank
190,Eisen::N,iron,houarn
191,Gold::N,gold,aour
192,Silber::N,silver,arc'hant
193,Kohle::N,coal,glaou
194,Glas::N,glass,gwer
195,Lehm::N,clay,
196,Sand::N,sand,traezh
197,Mensch::N,human,den
198,Mann::N,man,den
199,Frau::N,woman,maouez
200,Kind::N,child,bugel
201,Junge::N,boy,paotr
202,Mädchen::N,girl,plac'h
203,Familie::N,family,familh
204,Großvater::N,grandfather,tad-kozh
205,Großmutter::N,grandmother,mamm-gozh
206,Eltern::N,parents,kerent
207,Vater::N,father,tad
208,Mutter::N,mother,mamm
209,Sohn::N,son,mab
210,Tochter::N,daughter,merc'h
211,Bruder::N,brother,breur
212,Schwester::N,sister,c'hoar
213,Onkel::N,uncle,eontr
214,Tante::N,aunt,moereb
215,Ehemann::N,husband,gwaz
216,Ehefrau::N,wife,gwreg
217,Freude::N,joy,levenez
218,Gelächter::N,laughter,c'hoarzherezh
219,Glück::N,happiness,chañs
220,Kummer::N,grief,doan
221,Wunsch::N,wish,c'hoant
222,Lust::N,desire,c'hoant
223,Geist::N,spirit,spered
224,Gedanke::N,thought,soñj
225,Gedächtnis::N,memory,eñvor
226,Verstand::N,mind,skiant
227,Sinn::N,meaning,ster
228,Grund::N,reason,kaoz
229,Wahrheit::N,truth,gwirionez
230,Gespräch::N,talk,kaozeadenn
231,Märchen::N,fairy tale,kaoz korriganez
232,Erzählung::N,story,kontadenn
233,Nachricht::N,message,keloù
234,Neuigkeit::N,news,kelaouenn
235,Name::N,name,anv
236,Rätsel::N,puzzle,divinatez
237,Rede::N,speech,diskour
238,Sprache::N,language,yezh
239,Stimme::N,voice,mouezh
240,Wort::N,word,ger
241,Zeichen::N,sign,sin
242,Ruf::N,call,galv
243,Lärm::N,noise,trouz
244,Laut::N,sound,
245,Ton::N,tone,ton
246,Lied::N,song,kanaouenn
247,Ruhe::N,calm,sioulded
248,Leute::N,people,tud
249,Volk::N,nation,pobl
250,Arbeit::N,work,labour
251,Gast::N,guest,kouviad
252,Geschenk::N,gift,prof
253,Spiel::N,game,c'hoari
254,Gesellschaft::N,company,kompagnunezh
255,Gesellschaft::N,company,kavandad
256,Hilfe::N,help,sikour
257,Freund::N,friend,mignon
258,Kamerad::N,companion,kamarad
259,Angelegenheit::N,matter,afer
260,Anzahl::N,count,niver
261,Art::N,sort,sort
262,Stück::N,piece,tamm
263,Teil::N,part,pezh
264,Hälfte::N,half,hanterenn
265,Kreis::N,circle,kelc'h
266,Kreuz::N,cross,kroaz
267,Linie::N,line,linenn
268,Strich::N,stroke,tenn
269,Abstand::N,gap,distok
270,Entfernung::N,distance,keid
271,Entfernung::N,distance,kehid
272,Gegend::N,area,korn-bro
273,Platz::N,space,plasenn
274,Ort::N,place,lec'h
275,Seite::N,side,tu
276,Mitte::N,middle,kreiz
277,Gegenstand::N,item,tra
278,Sache::N,thing,tra
279,Rand::N,fringe,kantenn
280,Kante::N,edge,kantenn
281,Ecke::N,corner,korn
282,Spitze::N,tip,begell
283,Ende::N,end,dibenn
284,Loch::N,hole,toull
285,Winkel::N,angle,
286,Muster::N,pattern,tresadenn
287,Größe::N,size,ment
288,Länge::N,length,hirder
289,Höhe::N,height,uhelder
290,Gewicht::N,weight,pouez
291,Menge::N,amount,bern
292,Haufen::N,heap,bern
293,Reihe::N,row,steud
294,Boot::N,boat,bag
295,Ruder::N,oar,roeñv
296,Schlitten::N,sleigh,trainell
297,Ski::N,ski,ski
298,Lagerfeuer::N,campfire,
299,Last::N,load,karg
300,Gang::N,walk,kerzh
301,Schritt::N,step,paz
302,Norden::N,north,norzh
303,Norden::N,north,hanternoz
304,Süden::N,south,su
305,Süden::N,south,kreisteiz
306,Westen::N,west,kuzh-heol
307,Osten::N,east,reter
308,Osten::N,east,sav-heol
309,Holz::N,wood,koad
310,Brett::N,board,plankenn
311,Platte::N,slab,plakenn
312,Stütze::N,bracket,harp
313,Stange::N,pole,sparl
314,Stock::N,stick,bazh
315,Stab::N,staff,bazh
316,Rohr::N,pipe,tub
317,Rohr::N,pipe,korz
318,Haus::N,house,ti
319,Heim::N,home,kêr
320,Ofen::N,stove,forn
321,Fußboden::N,floor,plañchod
322,Tisch::N,table,taol
323,Stuhl::N,chair,kador
324,Wiege::N,cradle,kavell
325,Bett::N,bed,gwele
326,Regal::N,shelf,estajerenn
327,Kiste::N,box,kased
328,Fenster::N,window,prenestr
329,Tür::N,door,dor
330,Tor::N,gate,portal
331,Zaun::N,fence,sklotur
332,Dach::N,roof,toenn
333,Leiter::N,ladder,skeul
334,Besen::N,broom,skubell
335,Spaten::N,spade,pal
336,Schaufel::N,shovel,pal
337,Gabel::N,fork,fourchetez
338,Löffel::N,spoon,loa
339,Messer::N,knife,kontell
340,Nagel::N,nail,tach
341,Netz::N,net,roued
342,Haken::N,hook,krog
343,Griff::N,handle,kemer
344,Schloss::N,lock,potenn
345,Bild::N,picture,skeudenn
346,Figur::N,figure,skeud
347,Figur::N,figure,figur
348,Puppe::N,doll,merc'hodenn
349,Beutel::N,pouch,sac'h
350,Bündel::N,bundle,feskenn
351,Tasche::N,bag,sac'h
352,Eimer::N,bucket,sailh
353,Deckel::N,cover,pallenn
354,Geschirr::N,dishes,listriaj
355,Sack::N,sack,sac'h
356,Tasse::N,cup,tas
357,Topf::N,pot,pod
358,Kessel::N,kettle,chaodouron
359,Essen::N,meal,pred
360,Nahrung::N,food,boued
361,Speise::N,dish,meuz
362,Fleisch::N,meat,kig
363,Getreide::N,corn,ed
364,Brei::N,mush,yod
365,Brot::N,bread,bara
366,Scheibe::N,slice,tailhenn
367,Fett::N,fat,lard
368,Butter::N,butter,amann
369,Öl::N,oil,eoul
370,Salz::N,salt,holen
371,Suppe::N,soup,soubenn
372,Honig::N,honey,mel
373,Milch::N,milk,laezh
374,Tee::N,tea,te
375,Leder::N,leather,lêr
376,Wolle::N,wool,gloan
377,Stoff::N,cloth,danvez
378,Nadel::N,needle,nadoz
379,Faden::N,thread,neudenn
380,Knopf::N,button,bouton
381,Knoten::N,knot,skoulm
382,Farbe::N,paint,liv
383,Kleidung::N,clothes,dilhad
384,Hemd::N,shirt,roc'hed
385,Kragen::N,collar,gouzoug
386,Ärmel::N,sleeve,milgin
387,Hose::N,trousers,bragoù
388,Gürtel::N,belt,gouriz
389,Mütze::N,cap,boned
390,Schuh::N,shoe,botez
391,Stiefel::N,boot,botez
392,Ring::N,ring,gwalenn
393,Band::N,ribbon,bagad
394,Kamm::N,comb,krib
395,Spiegel::N,mirror,melezour
396,Riemen::N,strap,lerenn
397,Schnur::N,string,kordenn
398,Leine::N,leash,roll
399,Decke::N,blanket,golo
400,Kissen::N,pillow,goubenner
401,Tuch::N,scarf,mezher
