,Concept_ID,bn,ca
0,Auge::N,চক্ষু,ull
1,Ohr::N,কর্ণ,orella
2,Nase::N,নাক,nas
3,Mund::N,মুখ,boca
4,Zahn::N,দাঁত,dent
5,Zunge::N,জিহবা,llēngua
6,Lippe::N,অধর,llavi
7,Wange::N,গণ্ড,galta
8,Gesicht::N,মুখমণ্ডল,cara
9,Stirn::N,কপাল,front
10,Haar::N,চুল,cabēll
11,Schnurrbart::N,গোঁফ,bigoti
12,Bart::N,শ্মশ্রু,barba
13,Kinn::N,চিবুক,mentó
14,Kinn::N,চিবুক,barbeta
15,Kiefer[Anatomie]::N,চোয়াল,queix
16,Kiefer[Anatomie]::N,চোয়াল,mandíbula
17,Kehle::N,কণ্ঠ,gola
18,Kehle::N,কণ্ঠ,gorja
19,Hals::N,গল,coll
20,Genick::N,ঘাড়,nuca
21,Kopf::N,মাথা,cap
22,Rücken::N,পৃষ্ঠ,esquena
23,Bauch::N,উদর,panxa
24,Nabel::N,নাভি,llombrígol
25,Busen::N,স্তন,pit
26,Busen::N,স্তন,mama
27,Brust::N,বুক,pit
28,Schulter::N,স্কন্ধ,espatlla
29,Arm::N,বাহু,braç
30,Ellenbogen::N,কনুই,colze
31,Hand::N,হাত,mà
32,Handfläche::N,করতল,palma
33,Finger::N,আঙ্গুল,dit
34,Fingernagel::N,হাতের নখ,ungla
35,Nagel[Anatomie]::N,নখ,ungla
36,Zeh::N,আঙ্গুল,dit del peu
37,Fuß::N,পা,peu
38,Ferse::N,গোড়ালি,taló
39,Knie::N,হাঁটু,genoll
40,Oberschenkel::N,ঊরু,cuixa
41,Bein::N,পা,cama
42,Körper::N,দেহ,cos
43,Haut::N,ত্বক,pell
44,Blut::N,রক্ত,sang
45,Ader::N,শিরা,vena
46,Sehne::N,কণ্ডরা,tendó
47,Knochen::N,অস্থি,os
48,Gehirn::N,মস্তিষ্ক,cervell
49,Herz::N,হৃৎপিণ্ড,cor
50,Magen::N,পাকস্থলী,estómac
51,Leber::N,যকৃৎ,fetge
52,Atem::N,শ্বাস,alè
53,Atem::N,শ্বাস,hàlit
54,Hunger::N,ক্ষুধা,fam
55,Hunger::N,ক্ষুধা,gana
56,Träne::N,অশ্রু,llàgrima
57,Geschmack::N,স্বাদ,gust
58,Geschmack::N,স্বাদ,sabor
59,Geruch::N,গন্ধ,olor
60,Schlaf::N,ঘুম,son
61,Traum::N,স্বপ্ন,somni
62,Himmel::N,আকাশ,celm
63,Sonne::N,সূর্য,sol
64,Mond::N,চন্দ্র,lluna
65,Stern::N,নক্ষত্র,estel
66,Stern::N,নক্ষত্র,estrella
67,Luft::N,বায়ু,aire
68,Wind::N,বাতাস,vent
69,Welle::N,ঢেউ,ona
70,Welle::N,তরঙ্গ,ona
71,Wasser::N,জল,āigua
72,Stein::N,ঢিল,pedra
73,Stein::N,প্রস্তর,pedra
74,Boden::N,ভূতল,sòl
75,Erde::N,ভূমি,terra
76,Staub::N,ধুলা,pols
77,Rauch::N,ধোঁয়া,fum
78,Funke::N,স্ফুলিঙ্গ,guspira
79,Funke::N,স্ফুলিঙ্গ,centella
80,Feuer::N,অগ্নি,foc
81,Licht::N,আলো,llum
82,Schatten::N,ছায়া,ombra
83,Wetter::N,আবহাওয়া,temps
84,Nebel::N,কুহেলিকা,boira
85,Wolke::N,মেঘ,núvol
86,Regen::N,বৃষ্টি,pluja
87,Schnee::N,তুষার,neu
88,Eis::N,বরফ,gel
89,Eis::N,বরফ,glaç
90,Frost::N,তুষার,glaçada
91,Kälte::N,শৈত্য,fred
92,Hitze::N,তাপ,calor
93,Raureif::N,তুহিন,gebre
94,Regenbogen::N,রামধনু,arc iris
95,Donner::N,বজ্রধ্বনি,tro
96,Strömung::N,স্রোত,corrent
97,Tropfen::N,ফোঁটা,gota
98,Schaum::N,ফেনা,escuma
99,Schmutz::N,ধুলা,brutícia
100,See::N,হ্রদ,llac
101,Sumpf::N,জলা,pantà
102,Moor::N,মাঠ,pantà
103,Wiese::N,তৃণভূমি,prat
104,Wiese::N,তৃণভূমি,prada
105,Wald::N,বন,bosc
106,Hügel::N,পাহাড়,puig
107,Hügel::N,পাহাড়,pujol
108,Anhöhe::N,টিলা,turó
109,Berg::N,পর্বত,muntanya
110,Gipfel::N,শীর্ষ,cim
111,Höhle::N,গুহা,cova
112,Abhang::N,ঢাল,coster
113,Quelle::N,উৎস,font
114,Bach::N,ক্ষুদ্র নদী,riera
115,Fluss::N,নদী,riu
116,Ufer::N,উপকূল,riba
117,Küste::N,তীর,costa
118,Festland::N,ভূমি,terra ferma
119,Meer::N,সমুদ্র,mar
120,Bucht::N,উপসাগর,cala
121,Bucht::N,উপসাগর,badia
122,Insel::N,দ্বীপ,illa
123,Blume::N,ফুল,flor
124,Gras::N,ঘাস,herba
125,Wurzel::N,শিকড়,rel
126,Wurzel::N,শিকড়,arrel
127,Baum::N,গাছ,arbre
128,Stamm::N,স্কন্ধ,tronc
