,Concept_ID,el,fa
0,Auge::N,μάτι,چشم
1,Auge::N,οφθαλμός,چشم
2,Ohr::N,αυτί,گوش
3,Nase::N,μύτη,بینی
4,Mund::N,στόμα,دهان
5,Zahn::N,δόντι,دندان
6,Zunge::N,γλώσσα,زبان
7,Lippe::N,χείλος,لب
8,Wange::N,παρειά,لپ
9,Wange::N,μάγουλο,لپ
10,Gesicht::N,πρόσωπο,رو
11,Gesicht::N,πρόσωπο,چهره
12,Stirn::N,μέτωπο,پیشانی
13,Haar::N,μαλλιά,مو
14,Schnurrbart::N,μουστάκι,سبیل
15,Bart::N,γένια,ریش
16,Kinn::N,πιγούνι,چانه
17,Kiefer[Anatomie]::N,σαγόνι,فک
18,Kiefer[Anatomie]::N,σαγόνι,آرواره
19,Kehle::N,λαρύγγι,حلق
20,Hals::N,λαιμός,گردن
21,Genick::N,σβέρκος,پشت گردن
22,Kopf::N,κεφάλι,سر
23,Kopf::N,κεφάλι,کله
24,Rücken::N,ράχη,پشت
25,Bauch::N,κοιλιά,شکم
26,Nabel::N,αφαλός,ناف
27,Busen::N,στήθος,پستان
28,Brust::N,στήθος,سینه
29,Schulter::N,ώμος,دوش
30,Schulter::N,ώμος,شانه
31,Arm::N,χέρι,بازو
32,Arm::N,μπράτςο,بازو
33,Ellenbogen::N,αγκώνας,آرنج
34,Hand::N,χέρι,دست
35,Handfläche::N,παλάμη,کف دست
36,Finger::N,δάχτυλο,انگشت
37,Fingernagel::N,νύχι,ناخن دست
38,Nagel[Anatomie]::N,νύχι,ناخن
39,Zeh::N,δάχτυλο του ποδιού,انگشت پا
40,Fuß::N,πόδι,پا
41,Ferse::N,φτέρνα,پاشنه
42,Knie::N,γόνατο,زانو
43,Oberschenkel::N,μηρός,ران
44,Bein::N,πόδι,پا
45,Bein::N,πόδι,لنگ
46,Körper::N,σώμα,تن
47,Körper::N,σώμα,بدن
48,Körper::N,κορμί,تن
49,Körper::N,κορμί,بدن
50,Haut::N,πετσί,پوست
51,Blut::N,αίμα,خون
52,Ader::N,φλέβα,رگ
53,Sehne::N,νεύρο,زردپی
54,Sehne::N,τένοντας,زردپی
55,Knochen::N,οστό,استخوان
56,Knochen::N,κόκκαλο,استخوان
57,Gehirn::N,μυαλό,مخ
58,Gehirn::N,μυαλό,مغز
59,Gehirn::N,εγκέφαλος,مخ
60,Gehirn::N,εγκέφαλος,مغز
61,Herz::N,καρδιά,دل
62,Herz::N,καρδιά,قلب
63,Magen::N,στομάχι,معده
64,Leber::N,ήπαρ,کبد
65,Leber::N,συκωτί,کبد
66,Atem::N,αναπνοή,نفس
67,Hunger::N,πείνα,گرسنگی
68,Träne::N,δάκρυ,اشک
69,Geschmack::N,γεύση,مزه
70,Geruch::N,οσμή,بو
71,Geruch::N,μυρωδία,بو
72,Schlaf::N,ύπνος,خواب
73,Traum::N,όνειρο,رؤیا
74,Himmel::N,ουρανός,فلک
75,Himmel::N,ουρανός,آسمان
76,Sonne::N,ήλιος,آفتاب
77,Sonne::N,ήλιος,خورشید
78,Mond::N,σελήνη,ماه
79,Mond::N,φεγγάρι,ماه
80,Stern::N,άστρο,ستاره
81,Stern::N,αστέρι,ستاره
82,Luft::N,αέρας,هوا
83,Wind::N,αέρας,باد
84,Wind::N,άνεμος,باد
85,Welle::N,κύμα,موج
86,Wasser::N,νερό,آب
87,Stein::N,πέτρα,سنگ
88,Boden::N,χώμα,زمین
89,Erde::N,γη,خاک
90,Erde::N,γη,زمین
91,Staub::N,σκόνη,گرد
92,Staub::N,σκόνη,غبار
93,Rauch::N,καπνός,دود
94,Funke::N,σπίθα,جرقه
95,Funke::N,σπινθήρας,جرقه
96,Feuer::N,φωτιά,آتش
97,Licht::N,φως,نور
98,Licht::N,φως,روشنی
99,Schatten::N,σκιά,سایه
100,Schatten::N,ίσκιος,سایه
101,Wetter::N,καιρός,هوا
102,Nebel::N,ομίχλη,مه
103,Wolke::N,σύννεφο,ابر
104,Regen::N,βροχή,باران
105,Schnee::N,χιόνι,برف
106,Eis::N,πάγος,یخ
107,Frost::N,παγωνία,یخبندان
108,Kälte::N,κρύο,سرما
109,Kälte::N,ψύχος,سرما
110,Hitze::N,ζέστη,گرما
111,Hitze::N,ζέστη,حرارت
112,Raureif::N,πάχνη,برف ریزه
113,Regenbogen::N,ουράνιο τόξο,رنگین‌کمان
114,Donner::N,βροντή,رعد
115,Strömung::N,ρεύμα,جریان
116,Tropfen::N,στάλα,قطره
117,Schaum::N,αφρός,کف
118,Schmutz::N,βρωμιά,گل
119,Schmutz::N,βρωμιά,کثافت
120,See::N,λίμνη,دریاچه
121,Sumpf::N,βάλτος,مرداب
122,Sumpf::N,βάλτος,باتلاق
123,Moor::N,έλος,باتلاق
124,Wiese::N,λιβάδι,چمن
125,Wald::N,δάσος,جنگل
126,Hügel::N,λόφος,تل
127,Hügel::N,λόφος,تپه
128,Anhöhe::N,ύψωμα,بلندی
129,Berg::N,όρος,کوه
130,Berg::N,βουνό,کوه
131,Gipfel::N,κορυφή,قله
132,Höhle::N,σπηλιά,غار
133,Abhang::N,πλαγιά,سرازیری
134,Quelle::N,πηγή,چشمه
135,Quelle::N,βρύση,چشمه
136,Bach::N,ρυάκι,نهر
137,Fluss::N,ποτάμι,رود
138,Fluss::N,ποταμός,رود
139,Ufer::N,όχθη,ساحل
140,Ufer::N,όχθη,کرانه
141,Küste::N,ακτή,ساحل
142,Küste::N,ακρογιαλιά,ساحل
143,Festland::N,στεριά,خشکی
144,Meer::N,θάλασσα,دریا
145,Bucht::N,κόλπος,خلیج
146,Insel::N,νησί,جزیره
147,Insel::N,νήσος,جزیره
148,Blume::N,άνθος,گل
149,Blume::N,λουλούδι,گل
150,Gras::N,χόρτο,علف
151,Gras::N,χορτάρι,علف
152,Wurzel::N,ρίζα,ریشه
153,Baum::N,δέντρο,درخت
154,Stamm::N,κορμός,تنه
155,Rinde::N,φλούδα,توژ
156,Rinde::N,φλούδα,پوست
157,Ast::N,κλαδί,شاخه
158,Zweig::N,κλαδί,شاخه
159,Zweig::N,κλάδος,شاخه
160,Blatt::N,φύλλο,برگ
161,Birke::N,σημύδα,غان
162,Kiefer[Baum]::N,πεύκο,کاج
163,Weide[Baum]::N,ιτιά,بید
164,Tanne::N,έλατο,صنوبر
165,Horn::N,κέρας,شاخ
166,Horn::N,κέρατο,شاخ
167,Feder::N,φτερό,پر
168,Fell::N,δέρμα,خز
169,Fell::N,τομάρι,خز
170,Flügel::N,πτερύγιο,پر
171,Flügel::N,πτερύγιο,بال
172,Klaue::N,κουλό,چنگ
173,Klaue::N,κουλό,پنجه
174,Kralle::N,νύχι,پنجه
175,Schwanz::N,ουρά,دم
176,Ei::N,αβγό,تخم
177,Nest::N,φωλιά,لانه
178,Bau::N,φωλιά,بنا
179,Bau::N,φωλιά,ساختمان
180,Tier::N,ζώο,هیوان
181,Herde::N,κοπάδι,رمه
182,Kuh::N,αγελάδα,گاو
183,Bulle::N,ταύρος,گاو نر
184,Pferd::N,άλογο,اسب
185,Schaf::N,πρόβατο,گوسفند
186,Schwein::N,γουρούνι,خوک
187,Hund::N,σκυλί,سگ
188,Hund::N,σκύλος,سگ
189,Katze::N,γάτα,گربه
190,Bär::N,άρκτος,خرس
191,Bär::N,αρκούδα,خرس
192,Eichhörnchen::N,βερβερίτσα,سنجاب
193,Elch::N,άλκη,گوزن شمالی
194,Fuchs::N,αλεπού,روباه
195,Hase::N,λαγός,خرگوش
196,Maus::N,ποντικός,موش
197,Wolf::N,λύκος,گرگ
198,Vogel::N,πουλί,پرنده
199,Schwarm::N,σμήνος,دسته
200,Huhn::N,κότα,مرغ
201,Huhn::N,όρνιθα,مرغ
202,Hahn::N,πετεινός,خروس
203,Gans::N,χήνα,غاز
204,Adler::N,αετός,عقاب
205,Ente::N,πάπια,اردک
206,Ente::N,πάπια,مرغابی
207,Eule::N,κουκουβάγια,جغد
208,Kranich::N,γερανός,درنا
209,Krähe::N,καρακάξα,زاغ
210,Krähe::N,καρακάξα,کلاغ
211,Kuckuck::N,κούκος,فاخته
212,Schwan::N,κύκνος,قو
213,Fisch::N,ψάρι,ماهی
214,Barsch::N,πέρκα,ماهی خاردار
215,Hecht::N,λούτσος,اردک ماهی
216,Schlange[Tier]::N,φίδι,مار
217,Wurm::N,σκουλήκι,کرم
218,Spinne::N,αράχνη,عنکبوت
219,Ameise::N,μυρμήγκι,مورچه
220,Laus::N,ψείρα,شپش
221,Mücke::N,κουνούπι,پشه
222,Fliege::N,μύγα,مگس
223,Schmetterling::N,πεταλούδα,پروانه
224,Beere::N,ρόγα,گیله
225,Apfel::N,μήλο,سیب
226,Pilz::N,μανιτάρι,قارچ
227,Zwiebel::N,κρεμμύδι,پیاز
228,Saat::N,σπόρος,بذر
229,Korn::N,σπυρί,تخم
230,Korn::N,σπυρί,دانه
231,Heu::N,σανός,علف خشک
232,Schale::N,τσόφλι,پوست
233,Grube::N,λάκκος,گودال
234,Falle::N,παγίδα,دام
235,Schlinge::N,θηλειά,حلقه
236,Spur::N,ίχνος,رد
237,Asche::N,στάχτη,خاکستر
238,Dreck::N,βρωμιά,کثافت
239,Eisen::N,σίδερο,آهن
240,Gold::N,μάλαμα,زر
241,Gold::N,μάλαμα,طلا
242,Gold::N,χρυσάφι,زر
243,Gold::N,χρυσάφι,طلا
244,Silber::N,ασήμι,نقره
245,Silber::N,άργυρος,نقره
246,Kohle::N,κάρβουνο,زغال
247,Glas::N,γυαλί,شیشه
248,Lehm::N,πηλός,گل
249,Sand::N,άμμος,شن
250,Sand::N,άμμος,ماسه
251,Mensch::N,άνθρωπος,آدم
252,Mensch::N,άνθρωπος,انسان
253,Mann::N,άνδρας,مرد
254,Frau::N,γυναίκα,زن
255,Kind::N,παιδί,بچه
256,Kind::N,παιδί,کودک
257,Junge::N,αγόρι,پسر
258,Mädchen::N,κοπέλα,دختر
259,Mädchen::N,κορίτσι,دختر
260,Familie::N,οικογένεια,فامیل
261,Familie::N,οικογένεια,خانواده
262,Großvater::N,παππούς,پدربزرگ
263,Großmutter::N,γιαγιά,مادر‌بزرگ
264,Eltern::N,γονείς,والدین
265,Eltern::N,γονείς,پدر‌و‌مادر
266,Vater::N,πατέρας,پدر
267,Mutter::N,μητέρα,مادر
268,Sohn::N,γιος,پسر
269,Tochter::N,κόρη,دختر
270,Bruder::N,αδελφός,برادر
271,Schwester::N,αδελφή,خواهر
272,Onkel::N,θείος,عمو
273,Onkel::N,θείος,دایی
274,Tante::N,θεία,عمه
275,Tante::N,θεία,خاله
276,Ehemann::N,σύζυγος,همسر
277,Ehefrau::N,σύζυγος,همسر
278,Freude::N,χαρά,شادی
279,Gelächter::N,γέλια,خنده
280,Gelächter::N,γέλια,قاه‌قاه
281,Glück::N,ευτυχία,اقبال
282,Kummer::N,έγνοια,غم
283,Kummer::N,έγνοια,غصه
284,Wunsch::N,επιθυμία,آرزو
285,Lust::N,όρεξη,هوس
286,Geist::N,πνέυμα,روح
287,Gedanke::N,σκέψη,فکر
288,Gedächtnis::N,μνήμη,حافظه
289,Verstand::N,νους,هوش
290,Sinn::N,νόημα,معنا
291,Sinn::N,νόημα,مفهوم
292,Grund::N,λόγος,سبب
293,Grund::N,λόγος,دلیل
294,Wahrheit::N,αλήθεια,حقیقت
295,Gespräch::N,συνομιλία,صحبت
296,Gespräch::N,συνομιλία,گفتگو
297,Märchen::N,παραμύθι,قصه
298,Märchen::N,παραμύθι,افسانه
299,Erzählung::N,διήγημα,داستان
300,Nachricht::N,είδηση,خبر
301,Neuigkeit::N,νέο,خبر تازه
302,Name::N,όνομα,اسم
303,Rätsel::N,αίνιγμα,معما
304,Rede::N,λόγος,سخن
305,Rede::N,ομιλία,سخن
306,Sprache::N,γλώσσα,زبان
307,Stimme::N,φωνή,صدا
308,Wort::N,λέξη,کلمه
309,Zeichen::N,σημείο,نشان
310,Zeichen::N,σημείο,علامت
311,Ruf::N,κραυγή,صدا
312,Lärm::N,θόρυβος,هیاهو
313,Laut::N,ήχος,صدا
314,Ton::N,ήχος,آهنگ
315,Ton::N,τόνος,آهنگ
316,Lied::N,τραγούδι,آواز
317,Lied::N,τραγούδι,ترانه
318,Ruhe::N,ησυχία,آرامش
319,Leute::N,κόσμος,مردم
320,Leute::N,άνθρωποι,مردم
321,Volk::N,λαός,خلق
322,Arbeit::N,εργασία,کار
323,Gast::N,επισκέπτης,مهمان
324,Geschenk::N,δώρο,هدیه
325,Spiel::N,παιχνίδι,بازی
326,Gesellschaft::N,κοινωνία,جمعیت
327,Hilfe::N,βοήθεια,کمک
