,Concept_ID,mhr,sk
0,Auge::N,шинча́,oko
1,Ohr::N,пы́лыш,ucho
2,Nase::N,нер,nos
3,Mund::N,умша́,ústa
4,Zahn::N,пӱй,zub
5,Zunge::N,йы́лме,jazyk
6,Lippe::N,тӱ́рвӧ,pera
7,Wange::N,шӱ́ргӧ,líce
8,Gesicht::N,чури́й,tvár
9,Gesicht::N,чури́й,obličaj
10,Stirn::N,саҥга́,čelo
11,Haar::N,ӱп,vlas
12,Schnurrbart::N,ӧ́рыш,fúzy
13,Bart::N,понда́ш,brada
14,Kinn::N,оҥыла́ш,brada
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,čeľusť
16,Kiefer[Anatomie]::N,пӱйората́,čeľusť
17,Kehle::N,лога́р,hrdlo
18,Hals::N,шӱй,krk
19,Genick::N,шӱйло́дыш,väzy
20,Kopf::N,вуй,hlava
21,Rücken::N,туп,chrbát
22,Bauch::N,мӱ́шкыр,brucho
23,Nabel::N,кы́лымде,pupok
24,Busen::N,чы́зе,prsia
25,Brust::N,оҥ,hruď
26,Schulter::N,ва́че,plece
27,Arm::N,кид,rameno
28,Ellenbogen::N,кынерву́й,lakeť
29,Hand::N,кид,ruka
30,Hand::N,копа́,ruka
31,Handfläche::N,со́во,dlaň
32,Finger::N,парня́,prst
33,Fingernagel::N,кидкӱ́ч,necht
34,Fingernagel::N,парнягӱ́ч,necht
35,Nagel[Anatomie]::N,кӱч,necht
36,Zeh::N,йолварня́,prst na nohe
37,Fuß::N,йол,noha
38,Fuß::N,йолкопа́,noha
39,Ferse::N,тага́н,päta
40,Knie::N,пулву́й,koleno
41,Oberschenkel::N,э́рде,stehno
42,Bein::N,йол,noha
43,Körper::N,кап,telo
44,Haut::N,кова́ште,koža
45,Blut::N,вӱр,krv
46,Ader::N,шӧн,žila
47,Sehne::N,шӧн,šľacha
48,Sehne::N,кӱсе́н,šľacha
49,Knochen::N,лу,kosť
50,Gehirn::N,вем,mozog
51,Gehirn::N,вуйве́м,mozog
52,Herz::N,шӱм,srdce
53,Magen::N,пага́р,žalúdok
54,Leber::N,мокш,pečeň
55,Atem::N,шӱ́лыш,dych
56,Hunger::N,шужыма́ш,hlad
57,Träne::N,шинчавӱ́д,slza
58,Geschmack::N,там,chuť
59,Geruch::N,пуш,pach
60,Schlaf::N,о́мо,spánok
61,Traum::N,йӱдо́мо,sen
62,Himmel::N,кава́,nebo
