,Concept_ID,lt,kk
0,Auge::N,akis,көз
1,Ohr::N,ausis,құлақ
2,Nase::N,nosis,мұрын
3,Mund::N,burna,ауыз
4,Zahn::N,dantis,тіс
5,Zunge::N,liežuvis,тіл
6,Lippe::N,lūpa,ерін
7,Wange::N,žandas,ұрт
8,Wange::N,skruostas,ұрт
9,Gesicht::N,veidas,бет-аузы
10,Stirn::N,kakta,маңдай
11,Haar::N,plaukai,қыл
12,Schnurrbart::N,ūsai,мұрт
13,Bart::N,barzda,сақал
14,Kinn::N,smakras,иек
15,Kiefer[Anatomie]::N,žandikaulis,жақ
16,Kehle::N,gerklė,алқым
17,Hals::N,kaklas,мойын
18,Genick::N,sprandas,желке
19,Kopf::N,galva,кәллә
20,Rücken::N,nugara,арқа
21,Bauch::N,pilvas,қарын
22,Nabel::N,bamba,кіндік
23,Busen::N,krūtinė,омырау
24,Brust::N,krūtis,кеуде
25,Schulter::N,petys,иық
26,Arm::N,ranka,қол
27,Ellenbogen::N,alkūnė,шынтақ
28,Hand::N,ranka,қол
29,Hand::N,plaštaka,қол
30,Handfläche::N,delnas,алақан
31,Handfläche::N,plaštaka,алақан
32,Finger::N,pirštas,саусақ
33,Fingernagel::N,nagas,тырнақ
34,Nagel[Anatomie]::N,nagas,тырнақ
35,Zeh::N,pirštas,тырнақ
36,Zeh::N,pirštas,тұяқ
37,Fuß::N,pėda,аяқ-басы
38,Ferse::N,kulnas,өкше
39,Ferse::N,kulnas,өкшелік
40,Knie::N,kelis,тізе
41,Oberschenkel::N,kulšis,жамбас
42,Oberschenkel::N,šlaunis,жамбас
43,Bein::N,koja,аяқ
44,Körper::N,kūnas,дене
45,Haut::N,oda,тері
46,Blut::N,kraujas,қан
47,Ader::N,kraujagyslė,көктамыр
48,Ader::N,kraujagyslė,күретамыр
49,Sehne::N,sausgyslė,сіңір
50,Knochen::N,kaulas,жілік
51,Gehirn::N,smegenys,ми
52,Herz::N,širdis,жүрек
53,Magen::N,skrandis,асқазан
54,Leber::N,kepenys,бауыр
55,Atem::N,kvapas,леп
56,Hunger::N,badas,ашаршылық
57,Hunger::N,alkis,ашаршылық
58,Träne::N,ašara,жас
59,Geschmack::N,skonis,дәм
60,Geschmack::N,skonis,татым
61,Geschmack::N,skonis,талғам
62,Geruch::N,kvapas,иіс
63,Schlaf::N,miegas,ұйқы
64,Schlaf::N,miegas,ұйықтау
65,Traum::N,sapnas,түс
66,Himmel::N,dangus,аспан
67,Himmel::N,dangus,көқ
68,Himmel::N,dangus,таңдай
