,Concept_ID,sq,it
0,Auge::N,sy,occhio
1,Ohr::N,vesh,orecchio
2,Nase::N,hundë,naso
3,Mund::N,gojë,bocca
4,Zahn::N,dhëmb,dente
5,Zunge::N,gjuhë,lingua
6,Lippe::N,buzë,labbro
7,Wange::N,faqe,guancia
8,Wange::N,mollëz,guancia
9,Gesicht::N,fytyrë,viso
10,Gesicht::N,fytyrë,faccia
11,Stirn::N,ballë,fronte
12,Haar::N,flokë,capello
13,Schnurrbart::N,mustaqe,baffi
14,Schnurrbart::N,mustaqe,mustacchi
15,Bart::N,mjekër,barba
16,Kinn::N,mjekër,mento
17,Kiefer[Anatomie]::N,nofull,mascella
18,Kehle::N,fyt,gola
19,Kehle::N,grykë,gola
20,Hals::N,qafë,collo
21,Genick::N,arrëz,nuca
22,Kopf::N,kokë,capo
23,Kopf::N,kokë,testa
24,Rücken::N,kurriz,dorso
25,Rücken::N,kurriz,schiena
26,Bauch::N,bark,ventre
27,Nabel::N,kërthizë,ombelico
28,Busen::N,gji,seno
29,Brust::N,gjoks,petto
30,Brust::N,kraharor,petto
31,Schulter::N,sup,spalla
32,Schulter::N,krah,spalla
33,Arm::N,krah,braccio
34,Ellenbogen::N,bërryl,gomito
35,Hand::N,dorë,mano
36,Handfläche::N,pëllëmbë,palma
37,Finger::N,gisht,dito
38,Fingernagel::N,thua,unghia
39,Nagel[Anatomie]::N,thua,unghia
40,Zeh::N,gisht i këmbës,dito del piede
41,Fuß::N,këmbë,piede
42,Ferse::N,thembër,tallone
43,Ferse::N,thembër,calcagno
44,Knie::N,gju,ginocchio
45,Oberschenkel::N,kofshë,fèmore
46,Bein::N,këmbë,gamba
47,Körper::N,trup,corpo
48,Haut::N,lëkurë,pelle
49,Blut::N,gjak,sangue
50,Ader::N,venë,vena
51,Sehne::N,dell,tèndine
52,Knochen::N,asht,osso
53,Knochen::N,kockë,osso
54,Gehirn::N,tru,cervello
55,Herz::N,zemër,cuore
56,Magen::N,stomak,stòmaco
57,Leber::N,mëlçi,fegato
58,Atem::N,frymë,fiato
59,Atem::N,frymë,respiro
60,Hunger::N,uri,fame
61,Träne::N,lot,làcrima
62,Geschmack::N,shije,gusto
63,Geschmack::N,shije,sapore
64,Geruch::N,erë,odore
65,Schlaf::N,gjumë,sonno
66,Traum::N,ëndërr,sogno
67,Himmel::N,qiell,cielo
68,Sonne::N,diell,sole
69,Mond::N,hënë,luna
70,Stern::N,yll,stella
71,Luft::N,ajër,aria
72,Wind::N,erë,vento
73,Welle::N,valë,onda
74,Welle::N,dallgë,onda
75,Wasser::N,ujë,acqua
76,Stein::N,gur,sasso
77,Stein::N,gur,pietra
78,Boden::N,tokë,suolo
79,Boden::N,tokë,terreno
80,Boden::N,truall,suolo
81,Boden::N,truall,terreno
82,Erde::N,dhe,terra
83,Erde::N,baltë,terra
84,Staub::N,pluhur,polvere
85,Rauch::N,tym,fumo
86,Funke::N,xixë,scintilla
87,Funke::N,shkëndijë,scintilla
88,Feuer::N,zjarr,fuoco
89,Licht::N,dritë,luce
90,Schatten::N,hije,ombra
91,Wetter::N,mot,tempo
92,Nebel::N,mjegull,nebbia
93,Wolke::N,re,nube
94,Wolke::N,re,nùvola
95,Regen::N,shi,pioggia
96,Schnee::N,borë,neve
97,Eis::N,akull,ghiaccio
98,Frost::N,ngricë,gelo
99,Kälte::N,të ftohtë,freddo
100,Hitze::N,vapë,caldo
101,Hitze::N,vapë,calura
102,Hitze::N,nxehtësi,caldo
103,Hitze::N,nxehtësi,calura
104,Raureif::N,cikmë,brina
105,Regenbogen::N,ylber,arcobaleno
106,Donner::N,gjëmim,tuono
107,Donner::N,bubullimë,tuono
108,Strömung::N,rrymë,corrente
109,Tropfen::N,pikë,goccia
110,Schaum::N,shkumë,spuma
111,Schaum::N,shkumë,schiuma
112,Schmutz::N,baltë,sudiciume
113,See::N,liqen,lago
114,Sumpf::N,batak,palude
115,Moor::N,kënetë,torbiera
116,Wiese::N,livadh,prato
117,Wald::N,pyll,bosco
118,Wald::N,pyll,foresta
119,Hügel::N,kodër,colle
120,Hügel::N,kodër,collina
