,Concept_ID,no,sv
0,Auge::N,øye,öga
1,Ohr::N,øre,öra
2,Nase::N,nese,näsa
3,Mund::N,munn,mun
4,Zahn::N,tann,tand
5,Zunge::N,tunge,tunga
6,Lippe::N,leppe,läpp
7,Wange::N,kinn,kind
8,Gesicht::N,fjes,syn
9,Gesicht::N,fjes,ansikte
10,Gesicht::N,ansikt,syn
11,Gesicht::N,ansikt,ansikte
12,Stirn::N,panne,panna
13,Haar::N,hår,hår
14,Schnurrbart::N,bart,mustasch
15,Bart::N,skjegg,skägg
16,Kinn::N,hake,haka
17,Kiefer[Anatomie]::N,kjeve,käke
18,Kehle::N,strupe,strupe
19,Hals::N,hals,hals
20,Genick::N,nakke,nacke
21,Kopf::N,hode,huvud
22,Rücken::N,rygg,rygg
23,Bauch::N,buk,buk
24,Bauch::N,buk,mage
25,Bauch::N,mage,buk
26,Bauch::N,mage,mage
27,Nabel::N,navle,navel
28,Busen::N,barm,barm
29,Brust::N,bryst,bröst
30,Schulter::N,skulder,skuldra
31,Arm::N,arm,arm
32,Ellenbogen::N,albue,armbåge
33,Hand::N,hånd,hand
34,Handfläche::N,håndflate,handflata
35,Finger::N,finger,finger
36,Fingernagel::N,fingernegl,fingernagel
37,Nagel[Anatomie]::N,negl,nagel
38,Zeh::N,tå,tå
39,Fuß::N,fot,fot
40,Ferse::N,hæl,häl
41,Knie::N,kne,knä
42,Oberschenkel::N,lår,lår
43,Bein::N,bein,ben
44,Körper::N,kropp,kropp
45,Körper::N,legeme,kropp
46,Haut::N,hud,hud
47,Haut::N,hud,skinn
48,Haut::N,skinn,hud
49,Haut::N,skinn,skinn
50,Blut::N,blod,blod
51,Ader::N,åre,åder
52,Sehne::N,sene,sena
53,Knochen::N,bein,ben
54,Knochen::N,knokkel,ben
55,Gehirn::N,hjerne,hjärna
56,Herz::N,hjerte,hjärta
57,Magen::N,mage,mage
58,Leber::N,lever,lever
59,Atem::N,pust,anda
60,Atem::N,pust,andedräkt
61,Hunger::N,sult,svält
62,Hunger::N,sult,hunger
63,Träne::N,tåre,tår
64,Geschmack::N,smak,smak
65,Geruch::N,lukt,lukt
66,Schlaf::N,søvn,sömn
67,Traum::N,drøm,dröm
68,Himmel::N,himmel,himmel
69,Sonne::N,sol,sol
70,Mond::N,måne,måne
71,Stern::N,stjerne,stjärna
72,Luft::N,luft,luft
73,Wind::N,vind,vind
74,Welle::N,bølge,våg
75,Welle::N,bølge,bölja
76,Wasser::N,vann,vatten
77,Stein::N,stein,sten
78,Boden::N,bakke,mark
79,Erde::N,jord,jord
80,Staub::N,støv,damm
81,Rauch::N,røyk,rök
82,Funke::N,gnist,gnista
83,Feuer::N,ild,eld
84,Licht::N,lys,ljus
85,Schatten::N,skygge,skugga
86,Wetter::N,vær,väder
87,Nebel::N,tåke,dimma
88,Nebel::N,tåke,töcken
89,Wolke::N,sky,sky
90,Wolke::N,sky,moln
91,Regen::N,regn,regn
92,Schnee::N,snø,snö
93,Eis::N,is,is
