,Concept_ID,cv,tt
0,Auge::N,куҫ,күз
1,Ohr::N,хӑлха,колак
2,Nase::N,сӑмса,борын
3,Mund::N,ҫӑвар,авыз
4,Mund::N,ҫӑвар,тамак
5,Zahn::N,шӑл,теш
6,Zunge::N,чӗлхе,тел
7,Lippe::N,тута,ирен
8,Wange::N,пит ҫӑмарти,яңак
9,Gesicht::N,пит,йөз
10,Gesicht::N,пит-куҫ,йөз
11,Stirn::N,ҫамка,маңгай
12,Haar::N,ҫӳҫ,чәч
13,Schnurrbart::N,усси,мыек
14,Bart::N,сухал,сакал
15,Kinn::N,янах,ияк
16,Kiefer[Anatomie]::N,янах,казналык
17,Kehle::N,пыр,тамак
18,Kehle::N,карланкӑ,тамак
19,Hals::N,пыр,бугаз
20,Genick::N,ӗнсе,җилкә
21,Kopf::N,пуҫ,баш
22,Rücken::N,ҫурӑм,сырт
23,Nabel::N,кӑвапа,кендек
24,Busen::N,кӑкӑр,түш
25,Brust::N,умӗ,имчәк
26,Brust::N,умӗ,күкрәк
27,Schulter::N,хул пуҫҫи,иңбаш
28,Schulter::N,хул пуҫҫи,кулбаш
29,Arm::N,алӑ,кул
30,Ellenbogen::N,чавса,терсәк
31,Hand::N,алӑ сыппи,кул
32,Handfläche::N,ал лаппи,уч
33,Finger::N,пӳрне,бармак
34,Fingernagel::N,чӗрне,тырнак
35,Nagel[Anatomie]::N,чӗрне,тырнак
36,Zeh::N,пӳрне,бармак
37,Fuß::N,ура лаппи,табан
38,Ferse::N,кӗле,үкчә
39,Knie::N,чӗркуҫҫи,тез
40,Oberschenkel::N,пӗҫӗ,бот
41,Bein::N,ура,аяк
42,Körper::N,ӳт,тән
43,Körper::N,ӳт,җисем
44,Körper::N,ӳт-пӳ,тән
45,Körper::N,ӳт-пӳ,җисем
46,Haut::N,тир,тире
47,Blut::N,юн,кан
48,Ader::N,вена,тамыр
49,Sehne::N,шӑнӑр,сеңер
50,Knochen::N,шӑмӑ,сөяк
