,Concept_ID,kn,ml
0,Auge::N,ಕಣ್ಣು,കണ്ണ്
1,Ohr::N,ಕಿವಿ,ചെവി
2,Nase::N,ಮೂಗು,മൂക്ക്
3,Mund::N,ಬಾಯಿ,വായ
4,Zahn::N,ಹಲ್ಲು,പല്ല്
5,Zunge::N,ನಾಲಿಗೆ,നാക്ക്
6,Lippe::N,ತುಟಿ,ചുണ്ട്
7,Wange::N,ಗಲ್ಲ,കവിൾത്തടം
8,Gesicht::N,ಮುಖ,മുഖം
9,Stirn::N,ಹಣೆ,നെറ്റി
10,Haar::N,ಕೂದಲು,തലമുടി
11,Schnurrbart::N,ಮೀಸೆ,മീശ
12,Bart::N,ಗಡ್ಡ,താടിരോമം
13,Kinn::N,ಗದ್ದ,താടി
14,Kiefer[Anatomie]::N,ದವಡೆ,താടിയെല്ല്
15,Kehle::N,ಗಂಟಲು,കണ്ഠനാളം
16,Hals::N,ಕೊರಳು,കഴുത്ത്
17,Genick::N,ಹಿಂಗತ್ತು,പിടലി
18,Kopf::N,ತಲೆ,തല
19,Rücken::N,ಬೆನ್ನು,മുതുക്
20,Bauch::N,ಹೊಟ್ಟೆ,നയറ്
21,Nabel::N,ಹೊಕ್ಕುಳು,നാഭി
22,Busen::N,ಸ್ತನ,സ്തനം
23,Brust::N,ಎದೆ,സ്തനം
24,Schulter::N,ಭುಜ,തോൾ
25,Arm::N,ತೋಳು,കൈ
26,Ellenbogen::N,ಮೊಣಕೈ,കൈമുട്ട്
27,Hand::N,ಕೈ,കൈ
28,Handfläche::N,ಅಂಗೈ,ഉള്ളം കൈ
29,Finger::N,ಕೈಬೆರಳು,വിരൽ
30,Fingernagel::N,ಉಗುರು,നഖം
31,Nagel[Anatomie]::N,ಉಗುರು,നഖം
32,Zeh::N,ಕಾಲ್ಬೆರಳು,കാൽവിരൽ
33,Fuß::N,ಪಾದ,കാൽപ്പാദം
34,Ferse::N,ಹಿಮ್ಮಡಿ,ഉപ്പൂറ്റി
35,Knie::N,ಮಂಡಿ,കാൽമുട്ട്
36,Oberschenkel::N,ತೊಡೆ,തുട
37,Bein::N,ಕಾಲು,കാൽ
38,Körper::N,ದೇಹ,ശരീരം
39,Haut::N,ಚರ್ಮ,ചർമ്മം
40,Blut::N,ರಕ್ತ,രക്തം
41,Ader::N,ನರ,ഞരമ്പ്
42,Sehne::N,ನರ,സ്നായു
43,Knochen::N,ಮೂಳೆ,അസ്ഥി
44,Gehirn::N,ಮಿದುಳು,തലച്ചോറ്
45,Herz::N,ಹೃದಯ,ഹൃദയം
46,Magen::N,ಉದರ,വയർ
47,Leber::N,ಯಕೃತ್ತು,കരൾ
48,Atem::N,ಉಸಿರು,ശ്വാസം
49,Hunger::N,ಹಸಿವು,വിശപ്പ്
50,Träne::N,ಕಣ್ಣೀರು,കണ്ണീർ
51,Geschmack::N,ರುಚಿ,രുചി
52,Geruch::N,ವಾಸನೆ,ഗന്ധം
53,Schlaf::N,ನಿದ್ರೆ,ഉറകും
54,Traum::N,ಕನಸು,സ്വപ്നം
55,Himmel::N,ಬಾನು,ആകാശം
56,Sonne::N,ಸೂರ್ಯ,സൂര്യൻ
57,Mond::N,ಚಂದ್ರ,ചന്ദ്രൻ
58,Stern::N,ಚುಕ್ಕಿ,നക്ഷത്രം
59,Luft::N,ವಾಯು,കാറ്റ്
60,Wind::N,ಗಾಳಿ,കാറ്റ്
61,Welle::N,ಅಲೆ,തിരമാല
62,Wasser::N,ನೀರು,വെള്ളം
63,Stein::N,ಕಲ್ಲು,ശില
64,Stein::N,ಕಲ್ಲು,കല്ല്
65,Boden::N,ನೆಲ,തറ
66,Boden::N,ನೆಲ,നിലം
67,Erde::N,ಭೂಮಿ,മണ്ണ്
68,Staub::N,ದೂಳು,പൊടി
