,Concept_ID,lbe,ta
0,Auge::N,я,கண்
1,Ohr::N,вичӏи,காது
2,Nase::N,май,மூக்கு
3,Mund::N,кьацӏ,வாய்
4,Zahn::N,ккарччи,பல்
5,Zunge::N,маз,நாக்கு
6,Lippe::N,мурччи,உதடு
7,Wange::N,чӏав,கன்னம்
8,Gesicht::N,лажин,முகம்
9,Stirn::N,ненттабакӏ,முன்னெற்றி
10,Haar::N,чӏара,முடி
11,Schnurrbart::N,ссирссилтту,மீசை
12,Bart::N,чӏири,தாடி
13,Kinn::N,лунттубакӏ,கீழதாடை
14,Kiefer[Anatomie]::N,ххинчулул,தாடை
15,Kehle::N,кьакьари,தொண்டை
16,Hals::N,ссурссу,கழுத்து
17,Genick::N,махъабакӏ,கழுத்து
18,Kopf::N,бакӏ,தலை
19,Rücken::N,ттиликӏ,முதுகு
20,Bauch::N,лякьа,வயிறு
21,Nabel::N,цӏумуккутӏ,தொப்புள்
22,Busen::N,ккукку,மார்பகம்
23,Brust::N,хъазам, மார்பு
24,Schulter::N,хъачӏ,தோள்பட்டை
25,Arm::N,ка,கரம்
26,Ellenbogen::N,ссюрхъ,முழங்கை
27,Hand::N,бартка,கை
28,Handfläche::N,хъат,உள்ளங்கை
29,Handfläche::N,битӏянхъ,உள்ளங்கை
30,Finger::N,кӏисса,விரல்
31,Fingernagel::N,михь,விரல் நகம்
32,Nagel[Anatomie]::N,михь,நகம்
33,Zeh::N,кӏисса,கால்விரல்
34,Fuß::N,чӏанччан,கால்
35,Ferse::N,никъа,குதிகால்
36,Knie::N,ник,முழங்கால்
37,Oberschenkel::N,жира,தொடை
38,Bein::N,ччан,கால்
39,Körper::N,чурх,உடல்
40,Haut::N,бурчу,சருமம்
41,Blut::N,оь,இரத்தம்
42,Ader::N,тунну,நாளம்
43,Sehne::N,хьхьа,தசைநார்
44,Knochen::N,ттаркӏ,எலுமபு
45,Gehirn::N,ня,மூனை
46,Herz::N,дакӏ,இதயம
47,Herz::N,къюкӏ,இதயம
