,Concept_ID,pl,sah
0,Auge::N,oko,харах
1,Ohr::N,ucho,кулгаах
2,Nase::N,nos,мурун
3,Mund::N,usta,айах
4,Zahn::N,ząb,тиис
5,Zunge::N,język,тыл
6,Lippe::N,warga,уос
7,Wange::N,policzek,иэдэс
8,Gesicht::N,twarz,сирэй
9,Stirn::N,czoło,сүүс
10,Haar::N,włos,баттах
11,Haar::N,włosy,баттах
12,Schnurrbart::N,wąsy,уос бытыга
13,Bart::N,broda,сэҥийэ бытыга
14,Kinn::N,podbródek,сэҥийэ
15,Kiefer[Anatomie]::N,czeluść,сыҥаах
16,Kehle::N,gardło,тамах
17,Kehle::N,gardło,күөмэй
18,Hals::N,szyja,моой
19,Genick::N,kark,кэтэх
20,Kopf::N,głowa,бас
21,Rücken::N,plecy,көҕүс
22,Rücken::N,grzbiet,көҕүс
23,Bauch::N,brzuch,ис
24,Nabel::N,pępek,киин
25,Busen::N,biust,эмиий
26,Brust::N,pierś,түөс
27,Schulter::N,bark,сарын
28,Schulter::N,ramię,сарын
29,Arm::N,ręka,илии
30,Arm::N,ramię,илии
31,Ellenbogen::N,łokieć,тоҕонох
32,Hand::N,dłoń,илии
33,Handfläche::N,dłoń,ытыс
34,Finger::N,palec,тарбах
35,Fingernagel::N,paznokieć,тыҥырах
36,Nagel[Anatomie]::N,paznokieć,тыҥырах
37,Zeh::N,palec,тарбах
38,Fuß::N,stopa,уллуҥах
39,Ferse::N,pięta,тилэх
40,Knie::N,kolano,тобук
41,Knie::N,kolano,дьилбэк
42,Oberschenkel::N,udo,уллук
43,Oberschenkel::N,udo,өттүк
44,Bein::N,noga,атах
45,Körper::N,ciało,бэйэ
46,Haut::N,skóra,тирии
47,Blut::N,krew,хаан
48,Ader::N,żyła,вена
49,Ader::N,żyła,күөх_тымыр
50,Sehne::N,ścięgno,иҥиир
51,Knochen::N,kość,уҥуох
52,Knochen::N,kość,уҥгуох
53,Gehirn::N,mózg,мэйии
54,Herz::N,serce,сүрэх
55,Magen::N,żołądek,куртах
56,Leber::N,wątroba,быар
57,Atem::N,dech,тыын
58,Atem::N,oddech,тыын
59,Hunger::N,głód,аас
60,Träne::N,łza,харах уута
61,Geschmack::N,smak,амтан
62,Geruch::N,woń,сыт
63,Geruch::N,zapach,сыт
64,Schlaf::N,sen,утуйуу
65,Traum::N,sen,түүл
66,Himmel::N,niebo,халлаан
67,Sonne::N,słońce,күн
68,Mond::N,księżyc,ый
69,Stern::N,gwiazda,сулус
70,Luft::N,powietrze,салгын
71,Wind::N,wiatr,тыал
72,Welle::N,fala,долгун
73,Welle::N,fala,балхаан
74,Wasser::N,woda,уу
75,Stein::N,kamień,таас
76,Boden::N,grunt,сир
77,Erde::N,ziemia,буор
78,Staub::N,pył,быыл
79,Staub::N,kurz,быыл
80,Rauch::N,dym,буруо
81,Funke::N,iskra,кыым
82,Feuer::N,ogień,уот
83,Licht::N,światło,уот
84,Schatten::N,cień,күлүк
85,Wetter::N,pogoda,күн-дьыл
86,Nebel::N,mgła,туман
87,Wolke::N,obłok,былыт
88,Wolke::N,chmura,былыт
89,Regen::N,deszcz,самыыр
90,Schnee::N,śnieg,хаар
91,Eis::N,lód,муус
92,Frost::N,mróz,тымныы
93,Kälte::N,chłód,тымныы
