,Concept_ID,ja,kl
0,Auge::N,目,isi
1,Ohr::N,耳,siut
2,Nase::N,鼻,
3,Mund::N,口,paaq
4,Mund::N,口,qaneq
5,Zahn::N,歯,kigut
6,Zunge::N,舌,oqaq
7,Lippe::N,唇,qarloq
8,Wange::N,頬,ersaq
9,Gesicht::N,顔,kiinaq
10,Stirn::N,額,qaaq
11,Haar::N,髪,meqqoq
12,Schnurrbart::N,口髭,
13,Bart::N,髭,umik
14,Kinn::N,顎,talloq
15,Kiefer[Anatomie]::N,顎,alleroq
16,Kehle::N,喉,malaq
17,Hals::N,首,qungaseq
18,Genick::N,首,pukusuk
19,Kopf::N,頭,niaqoq
20,Rücken::N,背中,qimerlut
21,Bauch::N,腹,naaq
22,Bauch::N,お腹,naaq
23,Nabel::N,へそ,qalaseq
24,Busen::N,乳房,iviangeq
25,Brust::N,胸,iviangeq
26,Schulter::N,肩,ersik
27,Schulter::N,肩,assaqqoq
28,Arm::N,腕,taleq
29,Ellenbogen::N,肘,ikusik
30,Hand::N,手,assak
31,Handfläche::N,手のひら,itumak
32,Finger::N,指,inuak
33,Fingernagel::N,爪,kikiak
34,Nagel[Anatomie]::N,爪,kukik
35,Zeh::N,足の指,isigak
36,Fuß::N,足,
37,Ferse::N,かかと,kimmik
38,Knie::N,膝,seeqqoq
39,Oberschenkel::N,上腿,uppat
40,Oberschenkel::N,上腿,quttoraq
41,Bein::N,足,isigak
42,Körper::N,体,timi
43,Haut::N,皮膚,mattak
44,Blut::N,血,aak
45,Ader::N,血管,taqaq
46,Sehne::N,腱,ujalu
47,Sehne::N,腱,ujaloq
48,Knochen::N,骨,saanikut
49,Gehirn::N,脳,qarasaq
50,Herz::N,心,uummat
51,Herz::N,心臓,uummat
52,Magen::N,胃,aqajaroq
53,Leber::N,肝臓,tinguk
54,Atem::N,息,anerneq
55,Atem::N,呼吸,anerneq
56,Hunger::N,空腹,kaanneq
57,Träne::N,涙,qia
58,Träne::N,涙,qiak
59,Geschmack::N,味,qilanaartuut
60,Geruch::N,匂い,tipi
61,Geruch::N,匂い,tipik
62,Schlaf::N,睡眠,
63,Traum::N,夢,sinnattoq
64,Traum::N,夢,sinnattugaq
65,Himmel::N,空,qilak
66,Sonne::N,太陽,seqineq
67,Mond::N,月,qaammat
68,Stern::N,星,ulloriaq
69,Luft::N,空気,silaannaq
70,Wind::N,風,anori
71,Wind::N,風,anorsarik
72,Welle::N,波,aalappaa
73,Wasser::N,水,imeq
74,Stein::N,石,ujarak
75,Boden::N,土地,nateq
76,Erde::N,土,issoq
77,Staub::N,埃,pujualanerit
78,Staub::N,埃,pujoralanerit
79,Rauch::N,煙,iseq
80,Rauch::N,煙,pujoq
81,Funke::N,火花,illoorneq
82,Feuer::N,火,inneq
83,Licht::N,光,qaamaneq
84,Schatten::N,陰,tarraq
85,Wetter::N,天気,sila
86,Nebel::N,霧,pujoq
87,Wolke::N,雲,nuia
88,Regen::N,雨,sialuk
89,Schnee::N,雪,aput
90,Eis::N,氷,siku
91,Frost::N,霜,issi
92,Frost::N,霜,issik
93,Kälte::N,寒さ,issi
94,Hitze::N,暑さ,kianneq
95,Hitze::N,暑さ,kiassuseq
96,Raureif::N,霧氷,kaneq
97,Regenbogen::N,虹,neriusaaq
98,Donner::N,雷,kalleq
99,Strömung::N,流れ,
100,Tropfen::N,滴,kuseriarneq
101,Schaum::N,泡,qapuk
102,Schmutz::N,汚れ,minguk
103,See::N,湖,taseq
104,Sumpf::N,沼,maqulluk
105,Moor::N,湿原,
106,Wiese::N,草原,masarsuk
107,Wald::N,森,
108,Hügel::N,丘,qattuneq
109,Hügel::N,丘,majuariaq
110,Hügel::N,丘,majorajaaq
111,Hügel::N,丘,qaqqannguaq
112,Anhöhe::N,高み,
113,Berg::N,山,qaqqaq
114,Gipfel::N,頂上,
115,Höhle::N,洞窟,qaarusuk
116,Abhang::N,斜面,ippik
117,Abhang::N,斜面,sivinganeq
118,Abhang::N,斜面,sivingajaaq
119,Abhang::N,斜面,kussangajaaq
120,Quelle::N,泉,
121,Bach::N,小川,kuunnguaq
122,Fluss::N,川,kuuk
123,Ufer::N,岸,sissap sinaa
124,Küste::N,海岸,sineriak
125,Festland::N,陸,
126,Meer::N,海,imaq
127,Bucht::N,湾,ikeq
128,Bucht::N,湾,kangerluk
129,Bucht::N,湾,kangerliumaneq
130,Insel::N,島,qeqertaq
131,Blume::N,花,naasoq
132,Gras::N,草,ivigaq
133,Wurzel::N,根,niulutaq
134,Baum::N,木,orpik
135,Stamm::N,幹,kanaartaq
136,Rinde::N,皮層,ameraq
137,Ast::N,枝,avalequt
138,Zweig::N,小枝,avalequt
139,Blatt::N,葉,pilutaq
140,Birke::N,樺,patitsit
141,Kiefer[Baum]::N,松,
142,Weide[Baum]::N,柳,palleq
143,Tanne::N,樅,orsuerneq
144,Horn::N,角,nassuk
145,Feder::N,羽根,suluk
146,Fell::N,毛皮,ameq
147,Flügel::N,羽,suluk
148,Flügel::N,羽,isaroq
149,Klaue::N,鉤爪,kukik
150,Kralle::N,爪,kukik
151,Schwanz::N,尻尾,pamioq
152,Schwanz::N,尻尾,paperuusaq
153,Ei::N,卵,mannik
154,Nest::N,巣,ullut
155,Bau::N,穴,ini
156,Tier::N,動物,uumasoq
157,Herde::N,群れ,unguukkat
158,Kuh::N,牛,ussik
159,Bulle::N,雄牛,angukulak
160,Bulle::N,雄牛,anguteralak
161,Bulle::N,雄牛,angutikulooq
162,Pferd::N,馬,
163,Schaf::N,羊,sava
164,Schwein::N,豚,puuluki
165,Hund::N,犬,qimmeq
166,Katze::N,猫,puisaaq
167,Bär::N,熊,allaq
168,Eichhörnchen::N,栗鼠,sissinnguaq
169,Elch::N,ヘラジカ,
170,Fuchs::N,狐,terianniaq
171,Hase::N,兎,ukaleq
172,Maus::N,鼠,teriannguaq
173,Wolf::N,狼,amaroq
174,Vogel::N,鳥,timmiaq
175,Schwarm::N,群れ,
176,Huhn::N,鶏,kukkukooq
177,Huhn::N,鶏,marloraaqaaq
178,Hahn::N,雄鶏,kiasiusaq
179,Gans::N,ガチョウ,nerleq
180,Adler::N,鷲,nattoralik
181,Ente::N,鴨,
182,Eule::N,フクロウ,uppik
183,Kranich::N,鶴,qorlorfik
184,Krähe::N,烏,tuluatsiaq
185,Kuckuck::N,郭公,kukkooq
186,Schwan::N,白鳥,qussuk
187,Fisch::N,魚,aalisagaq
188,Barsch::N,鱸,
189,Hecht::N,川魳,
190,Schlange[Tier]::N,蛇,pulateriarsuk
191,Schlange[Tier]::N,蛇,pulateriaarsuk
192,Wurm::N,虫,
193,Spinne::N,蜘蛛,aasiaq
194,Spinne::N,蜘蛛,nissavaarsuk
195,Ameise::N,蟻,uniaaluk
196,Laus::N,虱,kumak
197,Mücke::N,蚊,ippernaq
198,Fliege::N,蝿,ippernaq
199,Schmetterling::N,蝶,paluaq
200,Schmetterling::N,蝶,pakkaluaq
201,Schmetterling::N,蝶,utsuppaluaq
202,Schmetterling::N,蝶,taqaleqisaaq
203,Beere::N,漿果,paarmaq
204,Beere::N,漿果,paarngaq
205,Apfel::N,林檎,iipili
206,Pilz::N,茸,anngiusaq
207,Zwiebel::N,玉葱,uanitsoq
208,Saat::N,種,naatsiiassaq
209,Korn::N,粒,maannineq
210,Heu::N,干し草,
211,Schale::N,皮,niutsivik
212,Schale::N,皮,ilulissaq qaartussaq
213,Grube::N,穴,itersaq
214,Falle::N,わな,pualavoq
215,Schlinge::N,輪,orseq
216,Schlinge::N,輪,norloq
217,Spur::N,跡,tumaa
218,Asche::N,灰,arsat
219,Dreck::N,泥,minguk
220,Eisen::N,鉄,savimineq
221,Eisen::N,鉄,saffiugassaq
222,Gold::N,金,kuulti
223,Silber::N,銀,siilviuvoq
224,Kohle::N,炭,aamarsuit aamaruutissat
225,Glas::N,ガラス,igalaaq
226,Glas::N,ガラス,imertarfik
227,Glas::N,ガラス,igalaamineq
228,Lehm::N,ローム,marraq
229,Sand::N,砂,sioqqat
230,Mensch::N,人,inuk
231,Mensch::N,人,silamiu
232,Mann::N,男,angut
233,Mann::N,男性,angut
234,Frau::N,女,arnaq
235,Frau::N,女性,arnaq
236,Kind::N,子,meeraq
237,Kind::N,子供,meeraq
238,Junge::N,男の子,nukappiaraq
239,Mädchen::N,女の子,arnannguaq
240,Familie::N,家族,ilaqutakka
241,Familie::N,家族,ilaqutariit
242,Großvater::N,祖父,aatak
243,Großvater::N,おじいさん,aatak
244,Großmutter::N,祖母,aanaq
245,Großmutter::N,おばあさん,aanaq
246,Eltern::N,親,angajoqqaat
247,Eltern::N,両親,angajoqqaat
248,Vater::N,父,ataata
249,Vater::N,父,ataataq
250,Vater::N,お父さん,ataata
251,Vater::N,お父さん,ataataq
252,Mutter::N,母,anaana
253,Mutter::N,お母さん,anaana
254,Sohn::N,息子,erneq
255,Sohn::N,息子さん,erneq
256,Tochter::N,娘,panik
257,Tochter::N,お嬢さん,panik
258,Bruder::N,弟,ani
259,Bruder::N,弟,aqqaluk
260,Bruder::N,弟,qatanngut
261,Schwester::N,妹,naja
262,Schwester::N,妹,aleqa
263,Schwester::N,妹,qatanngut
264,Onkel::N,伯父,akkak
265,Onkel::N,伯父さん,akkak
266,Tante::N,叔母,aja
267,Tante::N,叔母,ajak
268,Tante::N,叔母,atsak
269,Tante::N,叔母さん,aja
270,Tante::N,叔母さん,ajak
271,Tante::N,叔母さん,atsak
272,Ehemann::N,夫,ui
273,Ehemann::N,主人,ui
274,Ehefrau::N,妻,nuliaq
275,Ehefrau::N,奥さん,nuliaq
276,Freude::N,喜び,tipaatsussuseq
277,Gelächter::N,笑い,illaq
278,Glück::N,幸せ,usornaat
279,Glück::N,幸せ,usornarsuseq
280,Kummer::N,悩み,
281,Wunsch::N,希望,kissaat
282,Lust::N,気,illigussuseq
283,Lust::N,気,piummaseq
284,Geist::N,精神,anerneq
285,Geist::N,精神,toornaq
286,Gedanke::N,考え,isumassaq
287,Gedächtnis::N,記憶,eqqaamannissuseq
288,Verstand::N,理解力,isuma
289,Verstand::N,理解力,sianissut
290,Verstand::N,理解力,misigissut
291,Verstand::N,理解力,sianissuseq
292,Verstand::N,理解力,silaqassuseq
293,Sinn::N,意味,isuma
294,Grund::N,理由,patsit
295,Wahrheit::N,真実,sallusuissut
296,Gespräch::N,会話,
297,Märchen::N,童話,oqalualaarut
298,Märchen::N,童話,oqaluasaaq
299,Erzählung::N,物語,oqaluttuaq
300,Nachricht::N,報告,oqaassut
301,Nachricht::N,報告,oqqersuut
302,Neuigkeit::N,ニュース,tusarnartaq
303,Name::N,名前,ateq
304,Rätsel::N,謎,nalorsitsaarut
305,Rede::N,演説,oqaluuseq
306,Sprache::N,言語,oqaatsit
307,Stimme::N,声,erinaq
308,Stimme::N,声,qarluuseq
309,Wort::N,言葉,oqaasii
310,Zeichen::N,記号,nalunaaqqut
311,Ruf::N,呼び声,qaaqqussut
312,Lärm::N,騒音,perpaluk
313,Laut::N,音,torsukattak
314,Ton::N,音,erinaq
315,Lied::N,歌,taalliaq
316,Lied::N,歌,erinarsuut
317,Ruhe::N,静けさ,qatsunganeq
318,Leute::N,人々,inuiak
319,Leute::N,人々,inuiaqatigiit
320,Volk::N,民族,inuiaat
321,Arbeit::N,仕事,suliaq
322,Gast::N,客,qaaqqusaq
323,Geschenk::N,贈り物,pajugut
324,Spiel::N,遊び,
325,Gesellschaft::N,社会,
326,Hilfe::N,援助,annertoqqut
327,Freund::N,友達,tiliaq
328,Freund::N,友達,ikinngut
329,Kamerad::N,同志,tiliaq
330,Kamerad::N,同志,ikinngut
331,Angelegenheit::N,件,
332,Anzahl::N,数,
333,Art::N,種類,ileqquuseq
334,Stück::N,部分,nakkaalaniku
