,Concept_ID,lv,cy
0,Auge::N,син,llygad
1,Auge::N,acs,llygad
2,Ohr::N,пель,clust
3,Ohr::N,auss,clust
4,Nase::N,ныр,trwyn
5,Nase::N,deguns,trwyn
6,Mund::N,вом,ceg
7,Mund::N,mute,ceg
8,Zahn::N,пинь,dant
9,Zahn::N,zobs,dant
10,Zunge::N,кыв,tafod
11,Zunge::N,mēle,tafod
12,Lippe::N,вом дор,gwefus
13,Lippe::N,lūpa,gwefus
14,Wange::N,бан,boch
15,Wange::N,vaigs,boch
16,Gesicht::N,чужӧм,wyneb
17,Gesicht::N,seja,wyneb
18,Gesicht::N,ģīmis,wyneb
19,Stirn::N,плеш,talcen
20,Stirn::N,кымӧс,talcen
21,Stirn::N,piere,talcen
22,Haar::N,си,blew
23,Haar::N,юрси,blew
24,Haar::N,mats,blew
25,Schnurrbart::N,ус,mwstas
26,Schnurrbart::N,пыртсим,mwstas
27,Schnurrbart::N,ūsas,mwstas
28,Bart::N,тош,barf
29,Bart::N,bārda,barf
30,Kinn::N,тшӧка,gên
31,Kinn::N,zods,gên
32,Kinn::N,smakrs,gên
33,Kiefer[Anatomie]::N,черлы,gên
34,Kiefer[Anatomie]::N,алака лы,gên
35,Kiefer[Anatomie]::N,вомкӧтш лы,gên
36,Kiefer[Anatomie]::N,žoklis,gên
37,Kehle::N,голя,gwddf
38,Kehle::N,rīkle,gwddf
39,Hals::N,сьылі,gwddf
40,Hals::N,kakls,gwddf
41,Genick::N,юрбӧр,gwar
42,Genick::N,юрбӧр,gwegil
43,Genick::N,балябӧж,gwar
44,Genick::N,балябӧж,gwegil
45,Genick::N,sprands,gwar
46,Genick::N,sprands,gwegil
47,Kopf::N,юр,pen
48,Kopf::N,galva,pen
49,Rücken::N,мыш,cefn
50,Rücken::N,mugura,cefn
51,Bauch::N,рушку,bol
52,Bauch::N,vēders,bol
53,Nabel::N,гӧг,bogail
54,Nabel::N,naba,bogail
55,Busen::N,морӧс,bron
56,Busen::N,krūts,bron
57,Brust::N,морӧс,brest
58,Brust::N,krūts,brest
59,Schulter::N,пельпом,ysgwydd
60,Schulter::N,plecs,ysgwydd
61,Arm::N,ки,braich
62,Arm::N,roka,braich
63,Arm::N,delms,braich
64,Ellenbogen::N,гырддза,penelin
65,Ellenbogen::N,elkonis,penelin
66,Hand::N,ки,llaw
67,Hand::N,roka,llaw
