,Concept_ID,kv,ml
0,Auge::N,син,കണ്ണ്
1,Ohr::N,пель,ചെവി
2,Nase::N,ныр,മൂക്ക്
3,Mund::N,ӧм,വായ
4,Zahn::N,пинь,പല്ല്
5,Zunge::N,кыв,നാക്ക്
6,Lippe::N,тырп,ചുണ്ട്
7,Wange::N,рожабан,കവിൾത്തടം
8,Gesicht::N,бан,മുഖം
9,Stirn::N,кымӧс,നെറ്റി
10,Haar::N,юрси,തലമുടി
11,Schnurrbart::N,уссэз,മീശ
12,Bart::N,тош,താടിരോമം
13,Kinn::N,тшӧка,താടി
14,Kiefer[Anatomie]::N,ан,താടിയെല്ല്
15,Kehle::N,юан,കണ്ഠനാളം
16,Hals::N,юан,കഴുത്ത്
17,Genick::N,юр бӧр,പിടലി
18,Kopf::N,юр,തല
19,Rücken::N,мышк,മുതുക്
20,Bauch::N,кынӧм,നയറ്
21,Nabel::N,гӧг,നാഭി
22,Busen::N,морос,സ്തനം
23,Brust::N,морос,സ്തനം
24,Schulter::N,пельпон,തോൾ
25,Arm::N,ки,കൈ
26,Ellenbogen::N,гырдзза,കൈമുട്ട്
27,Hand::N,кикар,കൈ
28,Handfläche::N,ки пыдӧс,ഉള്ളം കൈ
29,Finger::N,чунь,വിരൽ
30,Fingernagel::N,гыж,നഖം
31,Nagel[Anatomie]::N,гыж,നഖം
32,Zeh::N,чунь,കാൽവിരൽ
33,Fuß::N,кокпыдӧс,കാൽപ്പാദം
34,Ferse::N,кокдзир,ഉപ്പൂറ്റി
35,Knie::N,пидзӧс,കാൽമുട്ട്
36,Oberschenkel::N,лядьбей,തുട
37,Bein::N,кок,കാൽ
38,Körper::N,вывтыр,ശരീരം
39,Haut::N,кучик,ചർമ്മം
40,Blut::N,вир,രക്തം
41,Ader::N,сӧн,ഞരമ്പ്
42,Sehne::N,жила,സ്നായു
43,Knochen::N,коска,അസ്ഥി
44,Gehirn::N,вем,തലച്ചോറ്
45,Herz::N,сьӧлӧм,ഹൃദയം
46,Magen::N,жӧвдӧк,വയർ
47,Leber::N,мус,കരൾ
48,Atem::N,лолалӧм,ശ്വാസം
49,Hunger::N,тшыг,വിശപ്പ്
50,Träne::N,синва,കണ്ണീർ
51,Geschmack::N,кӧр,രുചി
52,Geruch::N,дук,ഗന്ധം
53,Schlaf::N,он,ഉറകും
54,Traum::N,вӧт,സ്വപ്നം
55,Himmel::N,небо,ആകാശം
56,Sonne::N,шондi,സൂര്യൻ
57,Mond::N,тӧлiсь,ചന്ദ്രൻ
58,Stern::N,кӧдзыв,നക്ഷത്രം
59,Luft::N,ру,കാറ്റ്
60,Wind::N,тӧв,കാറ്റ്
61,Welle::N,гы,തിരമാല
62,Wasser::N,ва,വെള്ളം
63,Stein::N,из,ശില
64,Stein::N,из,കല്ല്
65,Boden::N,му,തറ
66,Boden::N,му,നിലം
67,Erde::N,му,മണ്ണ്
68,Staub::N,бус,പൊടി
69,Rauch::N,тшын,പുക
70,Funke::N,бичир,തീപ്പൊരി
71,Feuer::N,би,തീ
72,Licht::N,би,വിളക്ക്
73,Licht::N,би,സൂര്യപ്രകാശം
74,Schatten::N,вуджӧр,തണൽ
75,Wetter::N,погоддя,കാലാവസ്ഥ
76,Nebel::N,туман,മൂടൽമഞ്ഞ്
77,Wolke::N,кымӧр,മേഘം
78,Regen::N,зэр,മഴ
79,Schnee::N,лым,മഞ്ഞ്
80,Eis::N,йы,ഐസ്
81,Frost::N,мороз,മൂടൽമഞ്ഞ്
82,Kälte::N,кӧдзыт,തണുപ്പ്
83,Hitze::N,ӧд,ചൂട്
84,Raureif::N,кижа,കോടമഞ്ഞ്
85,Regenbogen::N,енӧшка,മഴവില്ല്
86,Donner::N,гым,ഇടി
87,Strömung::N,визывтӧм,പ്രവാഹം
88,Tropfen::N,тёп,തുള്ളി
89,Schaum::N,быг,നുര
90,Schmutz::N,нять,അഴുക്ക്
91,See::N,ты,തടാകം
92,Sumpf::N,арай,ചതുപ്പുനിലം
93,Moor::N,нюр,പാഴ്നിലം
94,Wiese::N,видз,പുൽത്തകിടി
95,Wald::N,вӧр,വനം
96,Wald::N,вӧр,കാട്
97,Hügel::N,мыльк,കുന്ന്
98,Anhöhe::N,вывтас,ഉയർന്ന ഭൂമി
99,Anhöhe::N,вылынін,ഉയർന്ന ഭൂമി
100,Berg::N,керӧс,പർവ്വതം
101,Gipfel::N,йыв,ഉച്ചകോടി
102,Höhle::N,нора,ഗുഹ
103,Abhang::N,покат,ചരിവ്
104,Quelle::N,больган,ഉറവിടം
105,Bach::N,шор,അരുവി
106,Fluss::N,ю,നദി
107,Ufer::N,берег,തീരം
108,Küste::N,берег,കടൽത്തീരം
109,Festland::N,му,കര
110,Meer::N,море,കടൽ
111,Bucht::N,курья,ഉൾക്കടല്
112,Blume::N,цветок,പൂവ്
113,Gras::N,турун,പുല്ല്
114,Wurzel::N,вуж,വേര്
115,Baum::N,пу,മരം
116,Stamm::N,мыр,തായ്ത്തടി
117,Stamm::N,кер,തായ്ത്തടി
118,Rinde::N,кач,പട്ട
119,Ast::N,ув,ശാഖ
120,Zweig::N,ув,ശാഖ
121,Blatt::N,лист,ഇല
122,Birke::N,кыдз,പൂവരശ്
123,Kiefer[Baum]::N,пожум,പൈൻമരം
124,Weide[Baum]::N,бадь,വില്ലോ
125,Tanne::N,кӧз,ദേവദാരു
126,Horn::N,сюр,മൃഗത്തിൻറെ കൊമ്പ്
