,Concept_ID,lbe,cs
0,Auge::N,я,oko
1,Ohr::N,вичӏи,ucho
2,Nase::N,май,nos
3,Mund::N,кьацӏ,pusa
4,Zahn::N,ккарччи,zub
5,Zunge::N,маз,jazyk
6,Lippe::N,мурччи,ret
7,Wange::N,чӏав,tvář
8,Gesicht::N,лажин,obličej
9,Stirn::N,ненттабакӏ,čelo
10,Haar::N,чӏара,vlas
11,Haar::N,чӏара,vlasy
12,Schnurrbart::N,ссирссилтту,kníry
13,Bart::N,чӏири,vousy
14,Kinn::N,лунттубакӏ,brada
15,Kiefer[Anatomie]::N,ххинчулул,čelist
16,Kehle::N,кьакьари,hrdlo
17,Hals::N,ссурссу,krk
18,Genick::N,махъабакӏ,týl
19,Kopf::N,бакӏ,hlava
20,Rücken::N,ттиликӏ,záda
21,Rücken::N,ттиликӏ,hřbet
22,Bauch::N,лякьа,břicho
23,Nabel::N,цӏумуккутӏ,pupek
24,Busen::N,ккукку,ňadra
25,Brust::N,хъазам,prsa
26,Schulter::N,хъачӏ,plece
27,Schulter::N,хъачӏ,rameno
28,Arm::N,ка,ruka
29,Ellenbogen::N,ссюрхъ,loket
30,Hand::N,бартка,ruka
31,Handfläche::N,хъат,dlaň
32,Handfläche::N,битӏянхъ,dlaň
33,Finger::N,кӏисса,prst
34,Fingernagel::N,михь,nehet
35,Nagel[Anatomie]::N,михь,nehet
36,Zeh::N,кӏисса,prst u nohy
37,Fuß::N,чӏанччан,noha
38,Ferse::N,никъа,pata
39,Knie::N,ник,koleno
40,Oberschenkel::N,жира,stehno
41,Bein::N,ччан,noha
42,Körper::N,чурх,tělo
43,Haut::N,бурчу,kůže
44,Blut::N,оь,krev
45,Ader::N,тунну,céva
46,Sehne::N,хьхьа,šlacha
47,Knochen::N,ттаркӏ,kost
48,Gehirn::N,ня,mozek
49,Herz::N,дакӏ,srdce
50,Herz::N,къюкӏ,srdce
51,Magen::N,лякьа,žaludek
52,Atem::N,ссихӏ ласаву,dech
53,Atem::N,ссихӏ бигьаву,dech
54,Hunger::N,ккаши,hlad
55,Träne::N,макь,slza
56,Geschmack::N,тӏин,vkus
57,Geschmack::N,тӏааьн,vkus
58,Geruch::N,кьанкь,vůně
59,Geruch::N,кьанкь,zápach
60,Schlaf::N,шану,spánek
61,Traum::N,макӏру,sen
62,Himmel::N,ссав,nebe
63,Sonne::N,баргъ,slunce
64,Mond::N,барз,měsíc
65,Stern::N,цӏуку,hvězda
66,Luft::N,гьава,vzduch
67,Wind::N,марч,vítr
68,Welle::N,щатӏи,vlna
69,Wasser::N,щин,voda
70,Stein::N,чару,kámen
71,Boden::N,аьрщи,půda
72,Erde::N,аьрщи,země
73,Staub::N,ххит,prach
74,Rauch::N,пуркӏу,dým
