,Concept_ID,,cy
0,Auge::N,,llygad
1,Ohr::N,,clust
2,Nase::N,,trwyn
3,Mund::N,,ceg
4,Zahn::N,,dant
5,Zunge::N,,tafod
6,Lippe::N,,gwefus
7,Wange::N,,boch
8,Gesicht::N,,wyneb
9,Stirn::N,,talcen
10,Haar::N,,blew
11,Schnurrbart::N,,mwstas
12,Bart::N,,barf
13,Kinn::N,,gên
14,Kiefer[Anatomie]::N,,gên
15,Kehle::N,,gwddf
16,Hals::N,,gwddf
17,Genick::N,,gwar
18,Genick::N,,gwegil
19,Kopf::N,,pen
20,Rücken::N,,cefn
21,Bauch::N,,bol
22,Nabel::N,,bogail
23,Busen::N,,bron
24,Brust::N,,brest
25,Schulter::N,,ysgwydd
26,Arm::N,,braich
27,Ellenbogen::N,,penelin
28,Hand::N,,llaw
29,Handfläche::N,,palf
30,Finger::N,,bys
31,Fingernagel::N,,ewin
32,Nagel[Anatomie]::N,,ewin
33,Zeh::N,,bys troed
34,Fuß::N,,troed
35,Ferse::N,,sawdl
36,Knie::N,,glin
37,Oberschenkel::N,,clun
38,Bein::N,,coes
39,Körper::N,,corff
40,Haut::N,,croen
41,Blut::N,,gwaed
42,Ader::N,,gwythïen
43,Sehne::N,,gewyn
44,Knochen::N,,asgwrn
45,Gehirn::N,,ymennydd
46,Herz::N,,calon
47,Magen::N,,cylla
48,Magen::N,,stumog
49,Leber::N,,iau
50,Atem::N,,anadl
51,Hunger::N,,newyn
52,Träne::N,,deigryn
53,Geschmack::N,,cyflas
54,Geruch::N,,aroglau
55,Schlaf::N,,cwsg
56,Traum::N,,breuddwyd
57,Himmel::N,,awyr
58,Sonne::N,,haul
59,Mond::N,,lleuad
60,Stern::N,,seren
61,Luft::N,,awyr
62,Wind::N,,gwynt
63,Welle::N,,ton
64,Wasser::N,,dŵr
65,Stein::N,,carreg
66,Boden::N,,llawr
67,Erde::N,,pridd
68,Staub::N,,llwch
69,Rauch::N,,mwg
70,Funke::N,,gwreichioni
71,Feuer::N,,tân
72,Licht::N,,golau
73,Schatten::N,,cysgod
74,Wetter::N,,tywydd
75,Nebel::N,,niwl
76,Wolke::N,,cwmwl
77,Regen::N,,glaw
78,Schnee::N,,ôd
79,Schnee::N,,eira
80,Eis::N,,iâ
81,Frost::N,,rhew
82,Kälte::N,,oerni
83,Kälte::N,,annwyd
84,Hitze::N,,gwres
85,Raureif::N,,barrug
86,Regenbogen::N,,enfys
87,Donner::N,,tyrfau
88,Strömung::N,,cerrynt
89,Tropfen::N,,dafn
90,Tropfen::N,,diferyn
