,Concept_ID,kn,hy
0,Auge::N,ಕಣ್ಣು,աչք
1,Ohr::N,ಕಿವಿ,ականջ
2,Nase::N,ಮೂಗು,քիթ
3,Mund::N,ಬಾಯಿ,բերան
4,Zahn::N,ಹಲ್ಲು,ատամ
5,Zunge::N,ನಾಲಿಗೆ,լեզու
6,Lippe::N,ತುಟಿ,շրթունք
7,Wange::N,ಗಲ್ಲ,այտ
8,Wange::N,ಗಲ್ಲ,թուշ
9,Gesicht::N,ಮುಖ,դեմք
10,Stirn::N,ಹಣೆ,ճակատ
11,Haar::N,ಕೂದಲು,մազ
12,Schnurrbart::N,ಮೀಸೆ,բեղ
13,Bart::N,ಗಡ್ಡ,մորուք
14,Kinn::N,ಗದ್ದ,կզակ
15,Kiefer[Anatomie]::N,ದವಡೆ,ծնոտ
16,Kehle::N,ಗಂಟಲು,կոկորդ
17,Hals::N,ಕೊರಳು,վիզ
18,Hals::N,ಕೊರಳು,պարանոց
19,Genick::N,ಹಿಂಗತ್ತು,ծոծրակ
20,Kopf::N,ತಲೆ,գլուխ
21,Rücken::N,ಬೆನ್ನು,մեջք
22,Bauch::N,ಹೊಟ್ಟೆ,փոր
23,Bauch::N,ಹೊಟ್ಟೆ,որովայն
24,Nabel::N,ಹೊಕ್ಕುಳು,պորտ
25,Busen::N,ಸ್ತನ,ծոց
26,Brust::N,ಎದೆ,կուրծք
27,Schulter::N,ಭುಜ,ուս
28,Arm::N,ತೋಳು,թեւ
29,Arm::N,ತೋಳು,բազուկ
30,Ellenbogen::N,ಮೊಣಕೈ,արմունկ
31,Hand::N,ಕೈ,ձեռք
32,Handfläche::N,ಅಂಗೈ,ափ
33,Finger::N,ಕೈಬೆರಳು,մատ
34,Fingernagel::N,ಉಗುರು,եղունգ
35,Nagel[Anatomie]::N,ಉಗುರು,եղունգ
36,Zeh::N,ಕಾಲ್ಬೆರಳು,ոտքի մատ
37,Fuß::N,ಪಾದ,ոտք
38,Ferse::N,ಹಿಮ್ಮಡಿ,գարշապար
39,Knie::N,ಮಂಡಿ,ծունկ
40,Oberschenkel::N,ತೊಡೆ,ազդր
41,Bein::N,ಕಾಲು,ոտք
42,Körper::N,ದೇಹ,մարմին
43,Haut::N,ಚರ್ಮ,մաշկ
44,Blut::N,ರಕ್ತ,արյուն
45,Ader::N,ನರ,երակ
46,Sehne::N,ನರ,ջիղ
47,Sehne::N,ನರ,ձգտան
48,Knochen::N,ಮೂಳೆ,ոսկոր
49,Gehirn::N,ಮಿದುಳು,խելք
50,Herz::N,ಹೃದಯ,սիրտ
51,Magen::N,ಉದರ,ստամոքս
52,Leber::N,ಯಕೃತ್ತು,լյարդ
53,Atem::N,ಉಸಿರು,շունչ
54,Hunger::N,ಹಸಿವು,քաղց
