,Concept_ID,az,kk
0,Auge::N,göz,көз
1,Ohr::N,qulaq,құлақ
2,Nase::N,burun,мұрын
3,Mund::N,ağız,ауыз
4,Zahn::N,diş,тіс
5,Zunge::N,dil,тіл
6,Lippe::N,dodaq,ерін
7,Wange::N,yanaq,ұрт
8,Gesicht::N,üz,бет-аузы
9,Stirn::N,alın,маңдай
10,Haar::N,saç,қыл
11,Schnurrbart::N,bığ,мұрт
12,Bart::N,saqqal,сақал
13,Kinn::N,çənə,иек
14,Kiefer[Anatomie]::N,çənə,жақ
15,Kehle::N,boğaz,алқым
16,Hals::N,boyun,мойын
17,Genick::N,ənsə,желке
18,Kopf::N,baş,кәллә
19,Rücken::N,bel,арқа
20,Bauch::N,qarın,қарын
21,Nabel::N,göbək,кіндік
22,Busen::N,məmə,омырау
23,Brust::N,döş,кеуде
24,Schulter::N,çiyin,иық
25,Arm::N,qol,қол
26,Ellenbogen::N,dirsək,шынтақ
27,Hand::N,əl,қол
28,Handfläche::N,ovuc,алақан
29,Finger::N,barmaq,саусақ
30,Fingernagel::N,barmaq dırnağı,тырнақ
31,Nagel[Anatomie]::N,dırnak,тырнақ
32,Zeh::N,ayaq barmağı,тырнақ
33,Zeh::N,ayaq barmağı,тұяқ
34,Fuß::N,ayaq,аяқ-басы
35,Ferse::N,daban,өкше
36,Ferse::N,daban,өкшелік
37,Knie::N,diz,тізе
38,Oberschenkel::N,bud,жамбас
39,Bein::N,qıç,аяқ
40,Körper::N,əndam,дене
41,Haut::N,dəri,тері
42,Blut::N,qan,қан
43,Ader::N,damar,көктамыр
44,Ader::N,damar,күретамыр
45,Sehne::N,vətər,сіңір
46,Knochen::N,sümük,жілік
47,Gehirn::N,beyin,ми
48,Herz::N,ürək,жүрек
49,Magen::N,mədə,асқазан
50,Leber::N,qara ciyər,бауыр
51,Atem::N,nəfəs,леп
52,Hunger::N,aclıq,ашаршылық
53,Träne::N,göz yaşı,жас
54,Geschmack::N,tam,дәм
55,Geschmack::N,tam,татым
56,Geschmack::N,tam,талғам
57,Geschmack::N,ləzzət,дәм
58,Geschmack::N,ləzzət,татым
59,Geschmack::N,ləzzət,талғам
60,Geruch::N,qoxu,иіс
61,Schlaf::N,yuxu,ұйқы
62,Schlaf::N,yuxu,ұйықтау
63,Traum::N,röya,түс
64,Himmel::N,göy,аспан
65,Himmel::N,göy,көқ
66,Himmel::N,göy,таңдай
67,Himmel::N,səma,аспан
68,Himmel::N,səma,көқ
69,Himmel::N,səma,таңдай
70,Sonne::N,günəş,күн
71,Mond::N,ay,ай
72,Stern::N,ulduz,жұлдыз
73,Luft::N,hava,әуе
74,Wind::N,yel,жел
75,Wind::N,külək,жел
76,Welle::N,dalğa,толқын
77,Wasser::N,su,су
78,Stein::N,daş,тас
79,Boden::N,yer,қыртыс
80,Boden::N,zəmin,қыртыс
81,Erde::N,yer torpaq,топырақ
82,Staub::N,toz,шаң
83,Rauch::N,tüstü,түтін
84,Funke::N,qığılcım,ұшқын
85,Feuer::N,od,алау
86,Licht::N,işıq,шұғыла
87,Schatten::N,kölgə,көлеңке
88,Wetter::N,hava,ауа райы
89,Nebel::N,duman,тұман
90,Wolke::N,bulud,бұлт
91,Regen::N,yağış,жаңбыр
92,Regen::N,yağmur,жаңбыр
93,Schnee::N,qar,қар
94,Eis::N,buz,мұз
95,Frost::N,ayaz,суық
96,Kälte::N,soyuq,ызғар
97,Kälte::N,soyuq,суықтық
98,Hitze::N,coşğunluq,аптап
99,Raureif::N,qırov,қырау
100,Regenbogen::N,göy qurşağı,кемпірқосақ
101,Donner::N,göy gurultusu,күн күркіреу
102,Strömung::N,axın,ағын
103,Tropfen::N,damcı,тамшы
104,Schaum::N,köpük,көбік
105,Schmutz::N,çamır,кір
106,See::N,göl,көл
107,Sumpf::N,bataqlıq,саз
108,Moor::N,bataqlıq,саз
109,Wiese::N,çəmən,шалғын
110,Wald::N,meşə,орман
111,Hügel::N,təpə,төбе
112,Hügel::N,təpə,белес
113,Hügel::N,təpə,белес-белес
114,Anhöhe::N,təpə,дөң
115,Anhöhe::N,təpə,адыр
116,Anhöhe::N,təpə,қырат
117,Berg::N,dağ,тау
118,Gipfel::N,zirvə,төбе
119,Höhle::N,mağara,үңгір
120,Abhang::N,yamac,бауыр
121,Quelle::N,bulaq,қайнар
122,Bach::N,kiçik çay,жылға
123,Fluss::N,çay,өзен
124,Ufer::N,kənar,жиек
125,Küste::N,sahil,жиегі
126,Küste::N,sahil,жағалау
127,Festland::N,materik,құрылық
128,Meer::N,dəniz,теңіз
129,Bucht::N,körfəz,шығанақ
130,Insel::N,ada,арал
131,Blume::N,çiçək,гүл
132,Gras::N,ot,от
133,Wurzel::N,kök,түбір
134,Baum::N,ağac,ағаш
135,Baum::N,ağac,дарақ
136,Stamm::N,gövdə,сояу
137,Stamm::N,gövdə,оқпан
138,Rinde::N,qabıq,қабық
139,Ast::N,şax,бұтақ
140,Zweig::N,budaq,шыбық
141,Blatt::N,yarpaq,жапырақ
142,Birke::N,tozağacı,қайың
143,Kiefer[Baum]::N,şam,қарағай
144,Weide[Baum]::N,söyüd,тал
145,Tanne::N,küknar,шырша
146,Horn::N,buynuz,мүйіз
147,Feder::N,tük,қаламұш
148,Feder::N,lələk,қаламұш
149,Fell::N,xəz,тері
150,Flügel::N,qanad,қанат
151,Klaue::N,pəncə,тырнақ
152,Kralle::N,dırnaq,аяқ
153,Schwanz::N,quyruq,құйрық
154,Ei::N,yumurta,жұмыртқа
155,Nest::N,yuva,ұя
156,Bau::N,yuva,жатақ
157,Tier::N,heyvan,айуан
158,Tier::N,heyvan,жануар
159,Herde::N,sürü,пада
160,Kuh::N,inək,сиыр
161,Bulle::N,öküz,өгіз
162,Pferd::N,at,жылқы
163,Schaf::N,qoyun,қой
164,Schwein::N,donuz,шошқа
165,Hund::N,it,ит
166,Hund::N,köpək,ит
167,Katze::N,pişik,мысық
168,Bär::N,ayı,аю
169,Eichhörnchen::N,dələ,тиін
170,Elch::N,sığın,бұғы
171,Fuchs::N,tülkü,түлкі
172,Hase::N,dovşan,қоян
173,Maus::N,siçan,қаптесер
174,Wolf::N,qurd,бөрі
175,Wolf::N,qurd,қасқыр
176,Vogel::N,quş,құс
177,Schwarm::N,sürü,топ
178,Schwarm::N,sürü,үйір
179,Huhn::N,toyuq,тауық
180,Huhn::N,toyuq,мекиен
181,Hahn::N,xoruz,әтеш
182,Hahn::N,xoruz,қораз
183,Gans::N,qaz,қаз
184,Adler::N,qartal,бүркіт
185,Adler::N,qaraquş,бүркіт
186,Ente::N,ördək,үйрек
187,Eule::N,bayquş,жапалақ
188,Kranich::N,durna,тырна
189,Krähe::N,qarğa,қарға
190,Kuckuck::N,ququ,көкек
191,Schwan::N,qu quşu,аққу
192,Fisch::N,balıq,балық
193,Barsch::N,tar,алабұға
194,Hecht::N,durnabalığı,шортан
195,Schlange[Tier]::N,ilan,жылан
196,Wurm::N,qurd,шұбалшаң
197,Spinne::N,hörümçək,өрмекші
198,Ameise::N,qarışqa,қүмырска
199,Laus::N,bit,бит
200,Mücke::N,ağcaqanad,маса
201,Fliege::N,milçək,шыбын
202,Schmetterling::N,kəpənək,көбелек
203,Beere::N,gilə,жидек
204,Apfel::N,alma,алма
205,Pilz::N,göbələk,қозықұйрық
206,Pilz::N,göbələk,саңыраукулақ
207,Zwiebel::N,soğan,жуа
208,Saat::N,əkin,тұқым
209,Korn::N,taxıl,дән
210,Heu::N,quru ot,шөп
211,Schale::N,qabıq,қабық
212,Schale::N,qabıq,қабығы
213,Grube::N,çuxur,ор
214,Falle::N,tələ,дұзақ
215,Falle::N,tələ,қақпан
216,Falle::N,duzaq,дұзақ
217,Falle::N,duzaq,қақпан
218,Schlinge::N,ilmək,ілмек
219,Spur::N,iz,із
220,Asche::N,kül,күл
221,Dreck::N,kir,былғаныш
222,Eisen::N,dəmir,темір
223,Gold::N,altun,алтын
224,Silber::N,gümüş,күміс
225,Kohle::N,kömür,көмір
226,Glas::N,şüşə,шыны
227,Lehm::N,gil,балшық
228,Lehm::N,palçıq,балшық
229,Sand::N,qum,құм
230,Mensch::N,adam,адам
231,Mensch::N,insan,адам
232,Mann::N,kişi,еркек
233,Mann::N,kişi,ер адам
234,Frau::N,qadın,бике
235,Frau::N,qadın,қатын
236,Kind::N,uşaq,бала
237,Kind::N,uşaq,перзент
238,Junge::N,oğlan,бала
239,Junge::N,oğlan,ер бала
240,Mädchen::N,qız,қыз
241,Familie::N,ailə,жанұя
242,Großvater::N,baba,ата
243,Großmutter::N,nənə,әже
244,Großmutter::N,nənə,әжей
245,Eltern::N,valideyn,ата-аналар
246,Vater::N,ata,әке
247,Mutter::N,ana,ана
248,Sohn::N,oğul,ұл
249,Tochter::N,qız,қызым
250,Bruder::N,qardaş,бауырым
251,Schwester::N,bacı,әпке
252,Onkel::N,əmi,көке
253,Onkel::N,dayı,көке
254,Tante::N,bibi,тәте
255,Ehemann::N,ər,ер
256,Ehefrau::N,arvad,зайып
257,Freude::N,nəşə,қуаныш
258,Freude::N,nəşə,сүйініш
259,Freude::N,nəşə,шат-думан
260,Freude::N,nəşə,қуаныштылық
261,Freude::N,sevinc,қуаныш
262,Freude::N,sevinc,сүйініш
263,Freude::N,sevinc,шат-думан
264,Freude::N,sevinc,қуаныштылық
265,Gelächter::N,gülüş,күлу
266,Gelächter::N,qəhqəhə,күлу
267,Glück::N,səadət,бақыт
268,Glück::N,səadət,бақыттылық
269,Glück::N,xoşbəxtlik,бақыт
270,Glück::N,xoşbəxtlik,бақыттылық
271,Kummer::N,qəm,аза
