,Concept_ID,ar,he
0,Auge::N,عين,עין
1,Ohr::N,أذن,אזן
2,Nase::N,أنف,אף
3,Nase::N,أنف,חטם
4,Mund::N,فم,פה
5,Zahn::N,سن,שן
6,Zunge::N,لسان,לשון
7,Lippe::N,شفة,שפה
8,Wange::N,خد,לחי
9,Wange::N,وجنة,לחי
10,Gesicht::N,وجه,פנים
11,Stirn::N,جبين,מצח
12,Haar::N,شعر,שערה
13,Schnurrbart::N,شارب,שפם
14,Bart::N,لحية,זקן
15,Kinn::N,ذقن,סנטר
16,Kiefer[Anatomie]::N,فك,לסת
17,Kehle::N,حلق,גרון
18,Hals::N,عنق,צואר
19,Hals::N,رقبة,צואר
20,Genick::N,قفا,ערף
21,Kopf::N,رأس,ראש
22,Rücken::N,ظهر,גב
23,Bauch::N,بطن,בטן
24,Nabel::N,سرة,טבור
25,Busen::N,ثدي,שד
26,Brust::N,صدر,חזה
27,Schulter::N,كتف,כתף
28,Arm::N,ذراع,זרוע
29,Ellenbogen::N,كوع,מרפק
30,Hand::N,يد,יד
31,Handfläche::N,كف,כף יד
32,Finger::N,إصبع,אצבע
33,Fingernagel::N,ظفر,צפרן
34,Nagel[Anatomie]::N,ظفر,צפרן
35,Zeh::N,إصبع القدم,אצבע
36,Fuß::N,قدم,רגל
37,Ferse::N,كعب,עקב
38,Knie::N,ركبة,ברך
39,Oberschenkel::N,فخذ,ירך
40,Bein::N,ساق,רגל
41,Körper::N,جسم,גוף
42,Haut::N,بشرة,עור
43,Blut::N,دم,דם
44,Ader::N,عرق,וריד
45,Sehne::N,طنب,גיד
46,Knochen::N,عظم,עצם
47,Gehirn::N,دماغ,מוח
48,Herz::N,قلب,לב
49,Magen::N,معدة,קבה
50,Leber::N,كبد,כבד
51,Atem::N,نفس,נשימה
52,Hunger::N,جوع,רעב
53,Träne::N,دمعة,דמעה
54,Geschmack::N,طعم,טעם
55,Geschmack::N,مذاق,טעם
56,Geruch::N,رائحة,ריח
57,Schlaf::N,نوم,שנה
58,Schlaf::N,منام,שנה
59,Traum::N,حلم,חלום
60,Himmel::N,سماء,שמים
61,Sonne::N,شمس,שמש
62,Mond::N,قمر,ירח
63,Stern::N,نجم,כוכב
64,Stern::N,كوكب,כוכב
65,Luft::N,هواء,אויר
66,Wind::N,ريح,רוח
67,Welle::N,موجة,גל
68,Wasser::N,ماء,מים
69,Stein::N,حجر,אבן
70,Boden::N,تراب,קרקע
71,Erde::N,أرض,אדמה
72,Staub::N,غبار,אבק
73,Rauch::N,دخان,עשן
74,Funke::N,شرارة,ניצוץ
75,Feuer::N,نار,אש
76,Licht::N,نور,אור
77,Licht::N,ضوء,אור
78,Schatten::N,ظل,צל
79,Schatten::N,فيء,צל
80,Wetter::N,جو,מזג אויר
81,Wetter::N,طقس,מזג אויר
82,Nebel::N,ضباب,ערפל
83,Wolke::N,غيمة,ענן
84,Wolke::N,سحابة,ענן
85,Regen::N,مطر,גשם
86,Schnee::N,ثلج,שלג
87,Eis::N,جليد,קרח
88,Frost::N,صقيع,צנה
89,Kälte::N,برد,קר
90,Hitze::N,حر,חם
91,Hitze::N,حرارة,חם
92,Raureif::N,صقيع,כפור
93,Regenbogen::N,قوس قزح,קשת
94,Donner::N,رعد,רעם
95,Strömung::N,تيار,זרימה
96,Tropfen::N,قطرة,טפה
97,Schaum::N,زبد,קצף
98,Schaum::N,رغوة,קצף
99,Schmutz::N,وسخ,לכלוך
100,See::N,بحيرة,אגם
101,Sumpf::N,مستنقع,בצה
102,Moor::N,مستنقع,בצה
103,Wiese::N,مرج,מרעה
104,Wald::N,غابة,יער
105,Hügel::N,تل,תל
106,Anhöhe::N,تل,מעלה
107,Berg::N,جبل,הר
108,Gipfel::N,قمة,פסגה
109,Höhle::N,كهف,מערה
110,Abhang::N,منحدر,מדרון
111,Abhang::N,منحدر,שפוע
