,Concept_ID,kn,la
0,Auge::N,ಕಣ್ಣು,oculus
1,Ohr::N,ಕಿವಿ,auris
2,Nase::N,ಮೂಗು,nasus
3,Mund::N,ಬಾಯಿ,os
4,Zahn::N,ಹಲ್ಲು,dens
5,Zunge::N,ನಾಲಿಗೆ,lingua
6,Lippe::N,ತುಟಿ,labrum
7,Wange::N,ಗಲ್ಲ,gena
8,Gesicht::N,ಮುಖ,vultus
9,Stirn::N,ಹಣೆ,frons
10,Haar::N,ಕೂದಲು,capillus
11,Schnurrbart::N,ಮೀಸೆ,barba labri superioris
12,Bart::N,ಗಡ್ಡ,barba
13,Kinn::N,ಗದ್ದ,mentum
14,Kiefer[Anatomie]::N,ದವಡೆ,mala
15,Kehle::N,ಗಂಟಲು,iugulums
16,Hals::N,ಕೊರಳು,collum
17,Genick::N,ಹಿಂಗತ್ತು,cervices
18,Kopf::N,ತಲೆ,caput
19,Rücken::N,ಬೆನ್ನು,tergum
20,Bauch::N,ಹೊಟ್ಟೆ,venter
21,Nabel::N,ಹೊಕ್ಕುಳು,umbilicus
22,Busen::N,ಸ್ತನ,sinus
23,Brust::N,ಎದೆ,pectus
24,Schulter::N,ಭುಜ,umerus
25,Arm::N,ತೋಳು,bracchium
26,Ellenbogen::N,ಮೊಣಕೈ,cubitum
27,Hand::N,ಕೈ,manus
28,Handfläche::N,ಅಂಗೈ,palma
29,Finger::N,ಕೈಬೆರಳು,digitus
30,Fingernagel::N,ಉಗುರು,unguiculus
31,Nagel[Anatomie]::N,ಉಗುರು,unguis
32,Zeh::N,ಕಾಲ್ಬೆರಳು,digitus
33,Fuß::N,ಪಾದ,pes
34,Ferse::N,ಹಿಮ್ಮಡಿ,calx
35,Knie::N,ಮಂಡಿ,genu
36,Oberschenkel::N,ತೊಡೆ,femur
37,Bein::N,ಕಾಲು,crus
38,Körper::N,ದೇಹ,corpus
39,Haut::N,ಚರ್ಮ,cutis
40,Haut::N,ಚರ್ಮ,pellis
41,Blut::N,ರಕ್ತ,sanguis
42,Ader::N,ನರ,vena
43,Sehne::N,ನರ,nervus
44,Knochen::N,ಮೂಳೆ,os
45,Gehirn::N,ಮಿದುಳು,cerebrum
46,Herz::N,ಹೃದಯ,cor
47,Herz::N,ಹೃದಯ,animus
48,Magen::N,ಉದರ,stomachus
49,Leber::N,ಯಕೃತ್ತು,iecur
50,Atem::N,ಉಸಿರು,spiritus
51,Hunger::N,ಹಸಿವು,fames
52,Träne::N,ಕಣ್ಣೀರು,lacrima
53,Geschmack::N,ರುಚಿ,sapor
54,Geschmack::N,ರುಚಿ,gustus
55,Geruch::N,ವಾಸನೆ,odor
56,Schlaf::N,ನಿದ್ರೆ,somnus
57,Traum::N,ಕನಸು,somnium
58,Himmel::N,ಬಾನು,caelum
59,Sonne::N,ಸೂರ್ಯ,sol
60,Mond::N,ಚಂದ್ರ,luna
61,Stern::N,ಚುಕ್ಕಿ,sidus
62,Stern::N,ಚುಕ್ಕಿ,stella
63,Luft::N,ವಾಯು,aer
64,Wind::N,ಗಾಳಿ,ventus
65,Welle::N,ಅಲೆ,unda
66,Wasser::N,ನೀರು,aqua
67,Stein::N,ಕಲ್ಲು,lapis
68,Boden::N,ನೆಲ,solum
69,Erde::N,ಭೂಮಿ,terra
70,Staub::N,ದೂಳು,pulvis
71,Rauch::N,ಹೊಗೆ,fumus
72,Funke::N,ಕಿಡಿ,scintilla
73,Feuer::N,ಬೆಂಕಿ,ignis
74,Licht::N,ಬೆಳಕು,lux
75,Licht::N,ಬೆಳಕು,lumen
76,Schatten::N,ನೆರಳು,umbra
77,Wetter::N,ಹವ,caelum
78,Wetter::N,ಹವ,tempestas
79,Nebel::N,ಮಂಜು,nebula
80,Wolke::N,ಮೋಡ,nubes
81,Regen::N,ಮಳೆ,imber
82,Regen::N,ಮಳೆ,pluvia
83,Schnee::N,ಹಿಮ,nix
84,Eis::N,ಮಂಜುಗಡ್ಡೆ,glacies
85,Frost::N,ಮಂಜು,gelu
86,Kälte::N,ಹಿಮ,frigus
87,Hitze::N,ಉಷ್ಣ,calor
88,Hitze::N,ಉಷ್ಣ,aestus
89,Raureif::N,ಇಬ್ಬನಿ,pruina
90,Regenbogen::N,ಇಂದ್ರಚಾಪ,arcus
91,Donner::N,ಗುಡುಗು,tonitrus
92,Strömung::N,ಪ್ರವಾಹ,fluctus
93,Tropfen::N,ತೊಟ್ಟು,gutta
94,Schaum::N,ನೊರೆ,spuma
95,Schmutz::N,ಕಸ,sordes
96,Schmutz::N,ಕಸ,squalor
97,See::N,ಸರೋವರ,lacus
98,Sumpf::N,ಜೌಗುಸ್ಥಳ,palus
99,Moor::N,ಬಂಜರು ಭೂಮಿ,palus
100,Wiese::N,ಹುಲ್ಲುಗಾವಲು,pratum
101,Wald::N,ಕಾಡು,silva
102,Hügel::N,ಗುಡ್ಡೆ,collis
103,Anhöhe::N,ದಿಬ್ಬ,specula
