,Concept_ID,cv,la
0,Auge::N,куҫ,oculus
1,Ohr::N,хӑлха,auris
2,Nase::N,сӑмса,nasus
3,Mund::N,ҫӑвар,os
4,Zahn::N,шӑл,dens
5,Zunge::N,чӗлхе,lingua
6,Lippe::N,тута,labrum
7,Wange::N,пит ҫӑмарти,gena
8,Gesicht::N,пит,vultus
9,Gesicht::N,пит-куҫ,vultus
10,Stirn::N,ҫамка,frons
11,Haar::N,ҫӳҫ,capillus
12,Schnurrbart::N,усси,barba labri superioris
13,Bart::N,сухал,barba
14,Kinn::N,янах,mentum
15,Kiefer[Anatomie]::N,янах,mala
16,Kehle::N,пыр,iugulums
17,Kehle::N,карланкӑ,iugulums
18,Hals::N,пыр,collum
19,Genick::N,ӗнсе,cervices
20,Kopf::N,пуҫ,caput
21,Rücken::N,ҫурӑм,tergum
22,Nabel::N,кӑвапа,umbilicus
23,Busen::N,кӑкӑр,sinus
24,Brust::N,умӗ,pectus
25,Schulter::N,хул пуҫҫи,umerus
26,Arm::N,алӑ,bracchium
27,Ellenbogen::N,чавса,cubitum
28,Hand::N,алӑ сыппи,manus
29,Handfläche::N,ал лаппи,palma
30,Finger::N,пӳрне,digitus
31,Fingernagel::N,чӗрне,unguiculus
32,Nagel[Anatomie]::N,чӗрне,unguis
33,Zeh::N,пӳрне,digitus
34,Fuß::N,ура лаппи,pes
35,Ferse::N,кӗле,calx
36,Knie::N,чӗркуҫҫи,genu
37,Oberschenkel::N,пӗҫӗ,femur
38,Bein::N,ура,crus
39,Körper::N,ӳт,corpus
40,Körper::N,ӳт-пӳ,corpus
41,Haut::N,тир,cutis
42,Haut::N,тир,pellis
43,Blut::N,юн,sanguis
44,Ader::N,вена,vena
45,Sehne::N,шӑнӑр,nervus
46,Knochen::N,шӑмӑ,os
47,Gehirn::N,миме,cerebrum
48,Herz::N,чӗре,cor
49,Herz::N,чӗре,animus
50,Magen::N,хырӑмлӑх,stomachus
51,Leber::N,пӗвер,iecur
52,Atem::N,сывлав,spiritus
53,Hunger::N,выҫлӑх,fames
54,Träne::N,куҫҫуль,lacrima
55,Geschmack::N,техӗм,sapor
56,Geschmack::N,техӗм,gustus
57,Geruch::N,шӑршӑ,odor
58,Schlaf::N,ыйхӑ,somnus
59,Traum::N,тӗлӗк,somnium
60,Himmel::N,пӗлӗт,caelum
61,Sonne::N,хӗвел,sol
62,Mond::N,уйӑх,luna
63,Stern::N,ҫӑлтӑр,sidus
64,Stern::N,ҫӑлтӑр,stella
65,Luft::N,сывлӑш,aer
66,Wind::N,ҫил,ventus
67,Welle::N,хум,unda
68,Wasser::N,шыв,aqua
69,Wasser::N,шыв-шур,aqua
70,Stein::N,чул,lapis
71,Boden::N,тӑпра,solum
72,Erde::N,ҫӗр,terra
73,Staub::N,тусан,pulvis
74,Rauch::N,тӗтӗм,fumus
75,Funke::N,хӗм,scintilla
76,Feuer::N,вут,ignis
77,Feuer::N,ҫулӑм,ignis
78,Licht::N,ҫутӑ,lux
79,Licht::N,ҫутӑ,lumen
80,Schatten::N,сулхӑн,umbra
81,Wetter::N,ҫанталӑк,caelum
82,Wetter::N,ҫанталӑк,tempestas
83,Nebel::N,тӗтре,nebula
84,Wolke::N,пӗлӗт,nubes
85,Regen::N,ҫумӑр,imber
86,Regen::N,ҫумӑр,pluvia
87,Schnee::N,юр,nix
88,Eis::N,пӑр,glacies
89,Frost::N,сивӗ,gelu
90,Kälte::N,сивӗ,frigus
91,Hitze::N,вӗри,calor
92,Hitze::N,вӗри,aestus
93,Hitze::N,шӑрӑх,calor
94,Hitze::N,шӑрӑх,aestus
95,Raureif::N,пас,pruina
96,Regenbogen::N,асамат кӗперӗ,arcus
97,Donner::N,аслати,tonitrus
98,Strömung::N,юхӑ,fluctus
99,Tropfen::N,тумлам,gutta
100,Schaum::N,кӑпӑк,spuma
101,Schmutz::N,пылчӑк,sordes
102,Schmutz::N,пылчӑк,squalor
103,See::N,кӳлӗ,lacus
104,Sumpf::N,шур,palus
105,Sumpf::N,шурлӑх,palus
106,Moor::N,торфлӑ шурлӑх,palus
107,Wiese::N,улӑх,pratum
108,Wiese::N,ҫаран,pratum
109,Wald::N,вӑрман,silva
