,Concept_ID,ro,kk
0,Auge::N,ochi,көз
1,Ohr::N,ureche,құлақ
2,Nase::N,nas,мұрын
3,Mund::N,gură,ауыз
4,Zahn::N,dinte,тіс
5,Zunge::N,limbă,тіл
6,Lippe::N,buză,ерін
7,Wange::N,bucă,ұрт
8,Wange::N,obraz,ұрт
9,Gesicht::N,față,бет-аузы
10,Gesicht::N,figură,бет-аузы
11,Stirn::N,frunte,маңдай
12,Haar::N,păr,қыл
13,Schnurrbart::N,mustață,мұрт
14,Bart::N,barbă,сақал
15,Kinn::N,bărbie,иек
16,Kiefer[Anatomie]::N,falcă,жақ
17,Kehle::N,beregată,алқым
18,Hals::N,gât,мойын
19,Genick::N,ceafă,желке
20,Kopf::N,cap,кәллә
21,Rücken::N,dos,арқа
22,Rücken::N,spate,арқа
23,Rücken::N,spinare,арқа
24,Bauch::N,burtă,қарын
25,Bauch::N,pântece,қарын
26,Nabel::N,buric,кіндік
27,Busen::N,sân,омырау
28,Brust::N,piept,кеуде
29,Schulter::N,umăr,иық
30,Schulter::N,spate,иық
31,Arm::N,braț,қол
32,Ellenbogen::N,cot,шынтақ
33,Hand::N,mână,қол
34,Handfläche::N,palmă,алақан
35,Finger::N,deget,саусақ
36,Fingernagel::N,unghie,тырнақ
37,Nagel[Anatomie]::N,unghie,тырнақ
38,Zeh::N,deget de la picior,тырнақ
39,Zeh::N,deget de la picior,тұяқ
40,Fuß::N,picior,аяқ-басы
41,Ferse::N,călcâi,өкше
42,Ferse::N,călcâi,өкшелік
43,Knie::N,genunchi,тізе
44,Oberschenkel::N,coapsă,жамбас
45,Bein::N,picior,аяқ
46,Körper::N,corp,дене
47,Haut::N,piele,тері
48,Blut::N,sânge,қан
49,Ader::N,vână,көктамыр
50,Ader::N,vână,күретамыр
51,Ader::N,arteră,көктамыр
52,Ader::N,arteră,күретамыр
53,Sehne::N,tendon,сіңір
54,Knochen::N,os,жілік
55,Gehirn::N,creier,ми
56,Herz::N,inimă,жүрек
57,Magen::N,stomac,асқазан
58,Leber::N,ficat,бауыр
59,Atem::N,răsuflare,леп
60,Atem::N,respirație,леп
61,Hunger::N,foame,ашаршылық
62,Träne::N,lacrimă,жас
63,Geschmack::N,gust,дәм
64,Geschmack::N,gust,татым
65,Geschmack::N,gust,талғам
66,Geruch::N,miros,иіс
67,Schlaf::N,somn,ұйқы
68,Schlaf::N,somn,ұйықтау
69,Traum::N,vis,түс
70,Himmel::N,cer,аспан
71,Himmel::N,cer,көқ
72,Himmel::N,cer,таңдай
73,Sonne::N,soare,күн
74,Mond::N,lună,ай
75,Stern::N,stea,жұлдыз
76,Luft::N,aer,әуе
77,Wind::N,vânt,жел
78,Welle::N,val,толқын
79,Welle::N,undă,толқын
80,Wasser::N,apă,су
81,Stein::N,piatră,тас
82,Boden::N,sol,қыртыс
83,Boden::N,pământ,қыртыс
84,Erde::N,pământ,топырақ
85,Staub::N,praf,шаң
86,Rauch::N,fum,түтін
87,Funke::N,scânteie,ұшқын
88,Feuer::N,foc,алау
89,Licht::N,lumină,шұғыла
90,Schatten::N,umbră,көлеңке
91,Wetter::N,timp,ауа райы
92,Wetter::N,vreme,ауа райы
93,Nebel::N,ceață,тұман
94,Nebel::N,negură,тұман
95,Wolke::N,nor,бұлт
96,Regen::N,ploaie,жаңбыр
97,Schnee::N,zăpadă,қар
98,Eis::N,gheață,мұз
99,Frost::N,ger,суық
100,Kälte::N,frig,ызғар
101,Kälte::N,frig,суықтық
102,Hitze::N,arșiță,аптап
103,Hitze::N,căldură,аптап
104,Raureif::N,chiciură,қырау
