,Concept_ID,sq,lez
0,Auge::N,sy,вил
1,Ohr::N,vesh,яб
2,Nase::N,hundë,нер
3,Mund::N,gojë,сив
4,Zahn::N,dhëmb,сас
5,Zahn::N,dhëmb,свах
6,Zunge::N,gjuhë,мез
7,Lippe::N,buzë,пӏуз
8,Wange::N,faqe,хъвехъ
9,Wange::N,mollëz,хъвехъ
10,Gesicht::N,fytyrë,ччин
11,Stirn::N,ballë,пел
12,Haar::N,flokë,чӏар
13,Schnurrbart::N,mustaqe,спел
14,Schnurrbart::N,mustaqe,спелар
15,Bart::N,mjekër,ччуру
16,Kinn::N,mjekër,чене
17,Kiefer[Anatomie]::N,nofull,чене
18,Kehle::N,fyt,туьд
19,Kehle::N,grykë,туьд
20,Hals::N,qafë,гардан
21,Genick::N,arrëz,кьам
22,Kopf::N,kokë,кьил
23,Rücken::N,kurriz,далу
24,Bauch::N,bark,руфун
25,Nabel::N,kërthizë,пицӏ
26,Busen::N,gji,мам
27,Brust::N,gjoks,хур
28,Brust::N,kraharor,хур
29,Schulter::N,sup,къуьн
30,Schulter::N,krah,къуьн
31,Arm::N,krah,гъил
32,Ellenbogen::N,bërryl,кьуьнт
33,Hand::N,dorë,капаш
34,Handfläche::N,pëllëmbë,капан юкь
35,Finger::N,gisht,тӏуб
36,Fingernagel::N,thua,кек
37,Nagel[Anatomie]::N,thua,кек
38,Zeh::N,gisht i këmbës,кул
39,Fuß::N,këmbë,кӏвач
40,Ferse::N,thembër,дабан
41,Knie::N,gju,мет
42,Oberschenkel::N,kofshë,
43,Bein::N,këmbë,кӏвач
44,Körper::N,trup,беден
45,Haut::N,lëkurë,хам
46,Blut::N,gjak,иви
47,Ader::N,venë,дамар
48,Sehne::N,dell,кьуру дамар
49,Knochen::N,asht,кӏараб
50,Knochen::N,kockë,кӏараб
51,Gehirn::N,tru,мефт
52,Herz::N,zemër,рикӏ
53,Magen::N,stomak,хук
54,Leber::N,mëlçi,лекь
55,Atem::N,frymë,ял
56,Atem::N,frymë,нефес
57,Hunger::N,uri,каш
58,Träne::N,lot,вилин нагъв
59,Geschmack::N,shije,дад
60,Geschmack::N,shije,тӏям
61,Geruch::N,erë,ни
62,Schlaf::N,gjumë,ахвар
63,Traum::N,ëndërr,ахвар
64,Himmel::N,qiell,цав
65,Sonne::N,diell,рагъ
66,Mond::N,hënë,варз
67,Stern::N,yll,гъед
68,Luft::N,ajër,гьава
69,Wind::N,erë,гар
70,Welle::N,valë,лепе
71,Welle::N,dallgë,лепе
72,Wasser::N,ujë,яд
73,Stein::N,gur,къван
74,Boden::N,tokë,накьв
75,Boden::N,truall,накьв
76,Erde::N,dhe,ччил
77,Erde::N,baltë,ччил
78,Staub::N,pluhur,руг
79,Rauch::N,tym,гум
80,Funke::N,xixë,цӏелхем
81,Funke::N,shkëndijë,цӏелхем
82,Feuer::N,zjarr,цӏай
83,Licht::N,dritë,экв
84,Schatten::N,hije,серин
85,Wetter::N,mot,гьава
86,Nebel::N,mjegull,ччилин циф
87,Wolke::N,re,циф
88,Regen::N,shi,марф
89,Schnee::N,borë,жив
90,Eis::N,akull,мурк
91,Frost::N,ngricë,аяз
92,Kälte::N,të ftohtë,мекь
93,Kälte::N,të ftohtë,мекьивал
94,Hitze::N,vapë,зегьем
95,Hitze::N,nxehtësi,зегьем
96,Raureif::N,cikmë,къирав
97,Regenbogen::N,ylber,яргъируш
98,Donner::N,gjëmim,цавун ван
99,Donner::N,bubullimë,цавун ван
100,Strömung::N,rrymë,
101,Tropfen::N,pikë,стӏал
102,Schaum::N,shkumë,каф
103,Schmutz::N,baltë,чирк
104,Schmutz::N,baltë,кьуруш
105,See::N,liqen,вир
106,Sumpf::N,batak,уьлен
107,Moor::N,kënetë,
108,Wiese::N,livadh,векь
109,Wald::N,pyll,там
110,Hügel::N,kodër,кӏунтӏ
111,Anhöhe::N,bregore,тепе
112,Anhöhe::N,bregore,гьуьндуьрвал
113,Berg::N,mal,дагъ
114,Gipfel::N,kulm,кӏукӏ
115,Höhle::N,shpellë,кьветӏ
116,Höhle::N,zgafelle,кьветӏ
117,Abhang::N,shpat,гуьне
118,Abhang::N,tatëpjetë,гуьне
119,Quelle::N,krua,чешме
120,Quelle::N,burim,чешме
121,Bach::N,virua,булах
122,Fluss::N,lumë,вацӏ
123,Ufer::N,breg,къерех
124,Küste::N,anëdet,къерех
125,Küste::N,bregdet,къерех
126,Festland::N,kontinent,кьурамат
127,Meer::N,det,гьуьл
128,Bucht::N,gji deti,бухта
129,Insel::N,ishull,остров
130,Insel::N,ujdhesë,остров
131,Blume::N,lule,цуьк
132,Gras::N,bar,хъач
133,Wurzel::N,rrënjë,дувул
134,Baum::N,pemë,ттар
135,Stamm::N,trung,тан
136,Rinde::N,lëvore,чкал
137,Ast::N,degë,тӏур
138,Zweig::N,bisk,хел
139,Blatt::N,fletë,пеш
140,Blatt::N,gjethe,пеш
141,Birke::N,mështekën,верх
142,Kiefer[Baum]::N,pishë,шамагъаж
143,Weide[Baum]::N,shelg,цӏвелин ттар
144,Tanne::N,bredh,ель
145,Horn::N,bri,карч
146,Feder::N,pupël,цӏакул
147,Fell::N,lëkurë,хам
148,Flügel::N,krah,лув
149,Flügel::N,fletë,лув
150,Klaue::N,kthetër,къармах
151,Kralle::N,thua,пац
152,Kralle::N,thua,тапас
153,Kralle::N,kthetër,пац
154,Kralle::N,kthetër,тапас
155,Schwanz::N,bisht,ттум
156,Ei::N,vezë,кака
157,Nest::N,fole,муг
158,Bau::N,strofkë,тӏеквен
159,Tier::N,kafshë,гьайван
160,Herde::N,kope,суьруь
161,Herde::N,grigjë,суьруь
162,Kuh::N,lopë,ккал
163,Bulle::N,dem,яц
164,Bulle::N,dem,бугъа
165,Pferd::N,kalë,балкӏан
166,Schaf::N,dele,хеб
167,Schwein::N,derr,вак
168,Hund::N,qen,кицӏ
169,Katze::N,mace,кац
170,Bär::N,ari,сев
171,Eichhörnchen::N,ketër,белка
172,Elch::N,dre brilopatë,лось
173,Fuchs::N,dhelpër,сикӏ
174,Hase::N,lepur,къуьр
175,Maus::N,mi,кьиф
176,Wolf::N,ujk,жанавур
177,Vogel::N,zog,луван ничхир
178,Vogel::N,shpend,луван ничхир
179,Schwarm::N,luzmë,луж
180,Huhn::N,pulë,верч
181,Hahn::N,gjel,кӏек
182,Hahn::N,këndes,кӏек
183,Gans::N,patë,къаз
184,Adler::N,shqiponjë,лекь
185,Ente::N,rosë,пӏатӏ
186,Eule::N,buf,тӏиб
187,Kranich::N,lejlek,дурна
188,Kranich::N,kurrillë,дурна
189,Krähe::N,sorrë,къаргъа
190,Kuckuck::N,qyqe,кукупӏ
191,Schwan::N,mjellmë,къугь
192,Fisch::N,peshk,гъед
193,Barsch::N,purtekë,окунь
194,Hecht::N,mlysh,щука
195,Schlange[Tier]::N,gjarpër,илан
196,Schlange[Tier]::N,gjarpër,гъуьлягъ
197,Wurm::N,krimb,квак
