,Concept_ID,kl,fi
0,Auge::N,isi,silmä
1,Ohr::N,siut,korva
2,Mund::N,paaq,suu
3,Mund::N,qaneq,suu
4,Zahn::N,kigut,hammas
5,Zunge::N,oqaq,kieli
6,Lippe::N,qarloq,huuli
7,Wange::N,ersaq,poski
8,Gesicht::N,kiinaq,naama
9,Gesicht::N,kiinaq,kasvot
10,Stirn::N,qaaq,otsa
11,Haar::N,meqqoq,hius
12,Haar::N,meqqoq,tukka
13,Bart::N,umik,parta
14,Kinn::N,talloq,leuka
15,Kiefer[Anatomie]::N,alleroq,leukaluu
16,Kehle::N,malaq,kurkku
17,Hals::N,qungaseq,kaula
18,Genick::N,pukusuk,niska
19,Kopf::N,niaqoq,pää
20,Rücken::N,qimerlut,selkä
21,Bauch::N,naaq,maha
22,Bauch::N,naaq,vatsa
23,Nabel::N,qalaseq,napa
24,Busen::N,iviangeq,rinta
25,Brust::N,iviangeq,rinta
26,Schulter::N,ersik,olka
27,Schulter::N,ersik,hartia
28,Schulter::N,ersik,olkapää
29,Schulter::N,assaqqoq,olka
30,Schulter::N,assaqqoq,hartia
31,Schulter::N,assaqqoq,olkapää
32,Arm::N,taleq,käsivarsi
33,Ellenbogen::N,ikusik,kyynärpää
34,Hand::N,assak,käsi
35,Handfläche::N,itumak,kämmen
36,Finger::N,inuak,sormi
37,Fingernagel::N,kikiak,kynsi
38,Nagel[Anatomie]::N,kukik,kynsi
39,Zeh::N,isigak,varvas
40,Ferse::N,kimmik,kantapää
41,Knie::N,seeqqoq,polvi
42,Oberschenkel::N,uppat,reisi
43,Oberschenkel::N,quttoraq,reisi
44,Bein::N,isigak,jalka
45,Körper::N,timi,keho
46,Körper::N,timi,ruumis
47,Haut::N,mattak,iho
48,Blut::N,aak,veri
49,Ader::N,taqaq,suoni
50,Sehne::N,ujalu,jänne
51,Sehne::N,ujaloq,jänne
52,Knochen::N,saanikut,luu
53,Gehirn::N,qarasaq,aivot
54,Herz::N,uummat,sydän
55,Magen::N,aqajaroq,maha
56,Magen::N,aqajaroq,vatsa
57,Leber::N,tinguk,maksa
58,Atem::N,anerneq,henki
59,Atem::N,anerneq,hengitys
60,Hunger::N,kaanneq,nälkä
61,Träne::N,qia,kyynel
62,Träne::N,qiak,kyynel
63,Geschmack::N,qilanaartuut,maku
64,Geruch::N,tipi,haju
65,Geruch::N,tipik,haju
66,Traum::N,sinnattoq,uni
67,Traum::N,sinnattugaq,uni
68,Himmel::N,qilak,taivas
69,Sonne::N,seqineq,aurinko
70,Mond::N,qaammat,kuu
71,Stern::N,ulloriaq,tähti
72,Luft::N,silaannaq,ilma
73,Wind::N,anori,tuuli
74,Wind::N,anorsarik,tuuli
75,Welle::N,aalappaa,aalto
76,Wasser::N,imeq,vesi
77,Stein::N,ujarak,kivi
78,Boden::N,nateq,maa
79,Boden::N,nateq,maaperä
80,Erde::N,issoq,maa
81,Staub::N,pujualanerit,pöly
82,Staub::N,pujoralanerit,pöly
83,Rauch::N,iseq,savu
84,Rauch::N,pujoq,savu
85,Funke::N,illoorneq,kipinä
86,Feuer::N,inneq,tuli
87,Licht::N,qaamaneq,valo
88,Schatten::N,tarraq,varjo
89,Wetter::N,sila,sää
90,Nebel::N,pujoq,sumu
91,Wolke::N,nuia,pilvi
92,Regen::N,sialuk,sade
93,Schnee::N,aput,lumi
94,Eis::N,siku,jää
95,Frost::N,issi,halla
96,Frost::N,issi,pakkanen
97,Frost::N,issik,halla
98,Frost::N,issik,pakkanen
99,Kälte::N,issi,vilu
100,Kälte::N,issi,kylmyys
101,Hitze::N,kianneq,helle
102,Hitze::N,kianneq,kuumuus
103,Hitze::N,kiassuseq,helle
104,Hitze::N,kiassuseq,kuumuus
105,Raureif::N,kaneq,huurre
106,Regenbogen::N,neriusaaq,sateenkaari
107,Donner::N,kalleq,jyrinä
108,Tropfen::N,kuseriarneq,tippa
109,Tropfen::N,kuseriarneq,pisara
110,Schaum::N,qapuk,vaahto
111,Schmutz::N,minguk,loka
112,See::N,taseq,järvi
113,Sumpf::N,maqulluk,suo
114,Wiese::N,masarsuk,niitty
115,Hügel::N,qattuneq,mäki
116,Hügel::N,qattuneq,kumpu
117,Hügel::N,qattuneq,kukkula
118,Hügel::N,majuariaq,mäki
119,Hügel::N,majuariaq,kumpu
120,Hügel::N,majuariaq,kukkula
121,Hügel::N,majorajaaq,mäki
122,Hügel::N,majorajaaq,kumpu
123,Hügel::N,majorajaaq,kukkula
124,Hügel::N,qaqqannguaq,mäki
125,Hügel::N,qaqqannguaq,kumpu
126,Hügel::N,qaqqannguaq,kukkula
127,Berg::N,qaqqaq,mäki
128,Berg::N,qaqqaq,vuori
129,Höhle::N,qaarusuk,luola
130,Abhang::N,ippik,rinne
131,Abhang::N,sivinganeq,rinne
132,Abhang::N,sivingajaaq,rinne
133,Abhang::N,kussangajaaq,rinne
134,Bach::N,kuunnguaq,puro
135,Fluss::N,kuuk,joki
136,Ufer::N,sissap sinaa,ranta
137,Küste::N,sineriak,rannikko
