,Concept_ID,hy,ka
156,Klaue::N,չանչ,კლანჭი
157,Kralle::N,ճանկ,ტორი
158,Schwanz::N,պոչ,კუდი
159,Ei::N,ձու,კვერცხი
160,Nest::N,բույն,ბუდე
161,Bau::N,որջ,სორო
162,Bau::N,բայոց,სორო
163,Tier::N,կենդանի,ნადირი
164,Tier::N,կենդանի,ცხოველი
165,Herde::N,հոտ,ფარა
166,Kuh::N,կով,ფური
167,Kuh::N,կով,ძროხა
168,Bulle::N,ցուլ,ხარი
169,Pferd::N,ձի,რაში
170,Pferd::N,ձի,ცხენი
171,Schaf::N,ոչխար,ცხვარი
172,Schwein::N,խոզ,ღორი
173,Hund::N,շուն,ძაღლი
174,Katze::N,կատու,კატა
175,Bär::N,արջ,დათვი
176,Eichhörnchen::N,սկյուռ,ციყვი
177,Elch::N,հիւսիսային եղջերու,ცხენ-ირემი
178,Fuchs::N,աղվես,მელა
179,Hase::N,նապաստակ,კურდღელი
180,Maus::N,մուկ,თაგვი
181,Wolf::N,գայլ,მგელი
182,Vogel::N,թռչուն,ჩიტი
183,Vogel::N,թռչուն,ფრინველი
184,Schwarm::N,երամ,გუნდი
185,Huhn::N,հավ,დედალი
186,Hahn::N,աքաղաղ,მამალი
187,Gans::N,սագ,ბატი
188,Adler::N,արծիվ,არწივი
189,Ente::N,բադ,იხვი
190,Eule::N,բու,ბუ
191,Kranich::N,կռունկ,წერო
192,Krähe::N,ագռավ,ყვავი
193,Kuckuck::N,կուկու,გუგული
194,Schwan::N,կարապ,გედი
195,Fisch::N,ձուկ,თევზი
196,Barsch::N,պերկես,ქორჭილა
197,Hecht::N,գայլաձուկ,ქარიყლაპია
198,Schlange[Tier]::N,օձ,გველი
199,Wurm::N,որդ,ჭია
200,Wurm::N,ճիճու,ჭია
201,Spinne::N,սարդ,ობობა
202,Ameise::N,միջյուն,ჭიანჭველა
203,Laus::N,ոջիլ,ტილი
204,Laus::N,ոջիլ,მკბენარი
205,Mücke::N,մժղուկ,კოღო
206,Fliege::N,ճանճ,ბუზი
207,Schmetterling::N,թիթեռ,პეპელა
208,Beere::N,հատապտուղ,კენკრა
209,Apfel::N,խնձոր,ვაშლი
210,Pilz::N,սունկ,სოკო
211,Zwiebel::N,սոխ,ხახვი
212,Saat::N,սերմ,თესლი
213,Korn::N,հատիկ,მარცვალი
214,Heu::N,խոտ,თივა
215,Schale::N,կեղեւ,ჩენჩო
216,Grube::N,փոս,ორმო
217,Falle::N,ծուղակ,ხაფანგი
218,Schlinge::N,խեղդան,მახე
219,Spur::N,հետք,კვალი
220,Asche::N,մոխիր,ფერფლი
221,Dreck::N,աղտ,ტალახი
222,Dreck::N,աղտ,სიბინძურე
223,Eisen::N,երկաթ,რკინა
224,Gold::N,ոսկի,ოქრო
225,Silber::N,արծաթ,ვერცხლი
226,Kohle::N,քարածուխ,ნახშირი
227,Glas::N,ապակի,მინა
228,Lehm::N,կավ,თიხა
229,Sand::N,ավազ,ქვიშა
230,Mensch::N,մարդ,ადამიანი
231,Mann::N,մարդ,კაცი
232,Mann::N,տղամարդ,კაცი
233,Frau::N,կին,ქალი
234,Kind::N,զավակ,ბავშვი
235,Junge::N,տղա,ვაჟი
236,Mädchen::N,աղջիկ,გოგო
237,Familie::N,ընտանիք,ოჯახი
238,Großvater::N,պապ,პაპა
239,Großvater::N,պապ,ბაბუა
240,Großmutter::N,տատ,ბებია
241,Großmutter::N,տատ,დიდედა
242,Eltern::N,ծնողներ,მშობლები
243,Vater::N,հայր,მამა
244,Mutter::N,մայր,დედა
245,Sohn::N,որդի,ვაჟიშვილი
246,Tochter::N,աղջիկ,ქალიშვილი
247,Tochter::N,դուստր,ქალიშვილი
248,Bruder::N,եղբայր,ძმა
249,Schwester::N,քույր,და
250,Onkel::N,քեռի,ბიძა
251,Onkel::N,հորեղբայր,ბიძა
252,Tante::N,մորաքույր,დეიდა
253,Tante::N,մորաքույր,მამიდა
254,Ehemann::N,մարդ,ქმარი
255,Ehemann::N,ամուսին,ქმარი
256,Ehefrau::N,կին ամուսին,ცოლი
257,Freude::N,ուրախություն,სიხარული
258,Gelächter::N,ծիծաղ,სიცილი
259,Glück::N,երջանկություն,ბედნიერება
260,Kummer::N,վիշտ,მწუხარება
261,Wunsch::N,ցանկություն,წადილი
262,Wunsch::N,ցանկություն,სურვილი
263,Lust::N,փափագ,წადილი
264,Lust::N,իղձ,წადილი
265,Geist::N,ոգի,სული
266,Gedanke::N,միտք,ფიქრი
267,Gedächtnis::N,հիշողություն,მეხსიერება
268,Verstand::N,խելք,ჭკუა
269,Verstand::N,խելք,გონება
270,Sinn::N,իմաստ,მნიშვნელობა
271,Grund::N,պատճառ,მიზეზი
272,Wahrheit::N,ճշմարտություն,სიმართლე
273,Wahrheit::N,ճշմարտություն,ჭეშმარიტება
274,Gespräch::N,զրույց,ბაასი
275,Gespräch::N,զրույց,საუბარი
276,Märchen::N,պայիկի պատմություն,არაკი
277,Märchen::N,պայիկի պատմություն,ზღაპარი
278,Erzählung::N,պատմվածք,თქმულება
279,Erzählung::N,պատմություն,თქმულება
280,Nachricht::N,հաղորդագրություն,ცნობა
281,Nachricht::N,հաղորդագրություն,ამბავი
282,Neuigkeit::N,լուր,სიახლე
283,Neuigkeit::N,նորություն,სიახლე
284,Name::N,անուն,სახელი
285,Rätsel::N,բարդ խնդիր,გამოცანა
286,Rede::N,ճառ,სიტყვა
287,Rede::N,ելույթ,სიტყვა
288,Sprache::N,լեզու,ენა
289,Stimme::N,ձայն,ხმა
290,Wort::N,բառ,სიტყვა
291,Zeichen::N,նշան,ნიშანი
292,Ruf::N,կոչ,ძახილი
293,Ruf::N,կանչ,ძახილი
294,Lärm::N,աղմուկ,ხმაური
295,Laut::N,հնչյուն,ხმა
296,Laut::N,հնչյուն,ბგერა
297,Laut::N,ձայն,ხმა
298,Laut::N,ձայն,ბგერა
299,Ton::N,տոն,ტონი
300,Lied::N,երգ,სიმღერა
301,Ruhe::N,անդորրություն,სიწყნარე
302,Leute::N,մարդիկ,ადამიანები
303,Volk::N,ազգ,ერი
304,Volk::N,ազգ,ხალხი
305,Arbeit::N,գործ,მუშაობა
306,Arbeit::N,աշխատանք,მუშაობა
307,Gast::N,հյուր,სტუმარი
308,Geschenk::N,նվեր,საჩუქარი
309,Spiel::N,խաղ,თამაში
310,Gesellschaft::N,ընկերություն,საზოგადოება
311,Hilfe::N,օգնությթուն,შველა
312,Hilfe::N,օգնությթուն,დახმარება
313,Freund::N,ընկեր,მეგობარი
314,Freund::N,բարեկամ,მეგობარი
315,Kamerad::N,ուղեկից,ამხანაგი
316,Angelegenheit::N,բան,საქმე
317,Angelegenheit::N,գործ,საქმე
318,Anzahl::N,քանակ,ოდენობა
319,Anzahl::N,գումար,ოდენობა
320,Art::N,տեսակ,სახეობა
321,Stück::N,կտոր,ნატეხი
322,Teil::N,մաս,წილი
323,Hälfte::N,կես,ნახევარი
324,Kreis::N,շիջանակ,წრე
325,Kreuz::N,խաչ,ჯვარი
326,Linie::N,գիծ,ხაზი
327,Strich::N,գիծ,შტრიხი
328,Abstand::N,անջրպետ,მანძილი
329,Entfernung::N,հեռավորություն,სიშორე
330,Gegend::N,շրջան,არე
331,Gegend::N,շրջան,მხარე
332,Platz::N,տարածություն,ფართობი
333,Ort::N,տեղ,ადგილი
334,Ort::N,վայր,ადგილი
335,Seite::N,կողմ,მხარე
336,Mitte::N,մեջտեղ,შუა
337,Gegenstand::N,առարկա,საგანი
338,Sache::N,բան,ნივთი
339,Rand::N,վերջք,კიდე
340,Kante::N,եզր,ნაწიბული
341,Ecke::N,անկյուն,კუთხე
342,Spitze::N,ծայր,წვეტი
343,Ende::N,ծայր,ბოლო
344,Loch::N,անցք,ხვრელი
345,Winkel::N,անկյուն,კუთხე
346,Muster::N,օրինակ,მოხატულობა
347,Größe::N,մեծություն,ზომა
348,Größe::N,մեծություն,სიდიდე
349,Länge::N,երկարություն,სიგრძე
350,Höhe::N,բարձրություն,სიმაღლე
351,Gewicht::N,կշիռ,წონა
352,Menge::N,քանակ,რაოდენობა
353,Haufen::N,դեզ,გროვა
