,Concept_ID,cv,uz
0,Auge::N,куҫ,ko'z
1,Ohr::N,хӑлха,quloq
2,Nase::N,сӑмса,burun
3,Mund::N,ҫӑвар,og'iz
4,Zahn::N,шӑл,tish
5,Zunge::N,чӗлхе,til
6,Lippe::N,тута,dudoq
7,Wange::N,пит ҫӑмарти,bet
8,Gesicht::N,пит,yuz
9,Gesicht::N,пит-куҫ,yuz
10,Stirn::N,ҫамка,manglay
11,Haar::N,ҫӳҫ,soch
12,Schnurrbart::N,усси,mo'ylov
13,Bart::N,сухал,soqol
14,Kinn::N,янах,ängak
15,Kiefer[Anatomie]::N,янах,iyak
16,Kehle::N,пыр,bo'g'iz
17,Kehle::N,карланкӑ,bo'g'iz
18,Hals::N,пыр,bo'yin
19,Genick::N,ӗнсе,gardan
20,Kopf::N,пуҫ,bosh
21,Rücken::N,ҫурӑм,orqa
22,Nabel::N,кӑвапа,kindik
23,Busen::N,кӑкӑр,ämchak
24,Brust::N,умӗ,ko'krak
25,Schulter::N,хул пуҫҫи,elka
26,Arm::N,алӑ,bilak
27,Ellenbogen::N,чавса,tirsak
28,Hand::N,алӑ сыппи,qo'l
29,Handfläche::N,ал лаппи,kaft
30,Finger::N,пӳрне,barmoq
31,Fingernagel::N,чӗрне,tirnoq
32,Nagel[Anatomie]::N,чӗрне,tirnoq
33,Zeh::N,пӳрне,oyoq barmog'i
34,Fuß::N,ура лаппи,oyoq
35,Ferse::N,кӗле,tovon
36,Knie::N,чӗркуҫҫи,tiz
37,Oberschenkel::N,пӗҫӗ,son
38,Bein::N,ура,oyoq
39,Körper::N,ӳт,badna
40,Körper::N,ӳт-пӳ,badna
41,Haut::N,тир,teri
42,Blut::N,юн,qon
43,Ader::N,вена,qon tomir
44,Sehne::N,шӑнӑр,tomir
45,Knochen::N,шӑмӑ,suyak
46,Gehirn::N,миме,miya
47,Herz::N,чӗре,qalb
48,Magen::N,хырӑмлӑх,oshqozon
49,Leber::N,пӗвер,bag'ir
50,Atem::N,сывлав,dam
51,Hunger::N,выҫлӑх,ochlik
52,Träne::N,куҫҫуль,yosh
53,Geschmack::N,техӗм,tam
54,Geruch::N,шӑршӑ,jid
55,Schlaf::N,ыйхӑ,uyqu
56,Traum::N,тӗлӗк,tush
57,Himmel::N,пӗлӗт,osmon
58,Sonne::N,хӗвел,quyosh
59,Mond::N,уйӑх,oy
60,Stern::N,ҫӑлтӑр,yulduz
61,Luft::N,сывлӑш,havo
62,Wind::N,ҫил,el
63,Welle::N,хум,to'lqin
64,Wasser::N,шыв,suv
65,Wasser::N,шыв-шур,suv
66,Stein::N,чул,tosh
67,Boden::N,тӑпра,tuproq
68,Erde::N,ҫӗр,er
69,Staub::N,тусан,chang
70,Rauch::N,тӗтӗм,tutun
71,Funke::N,хӗм,yalt
72,Feuer::N,вут,o't
73,Feuer::N,ҫулӑм,o't
74,Licht::N,ҫутӑ,yorug'
75,Schatten::N,сулхӑн,soya
76,Wetter::N,ҫанталӑк,havo
77,Nebel::N,тӗтре,tuman
78,Wolke::N,пӗлӗт,bulut
79,Regen::N,ҫумӑр,yomg'ir
80,Schnee::N,юр,qor
81,Eis::N,пӑр,muz
82,Frost::N,сивӗ,ajoz
83,Kälte::N,сивӗ,ajoz
84,Hitze::N,вӗри,issiq
85,Hitze::N,шӑрӑх,issiq
86,Raureif::N,пас,qirov
87,Regenbogen::N,асамат кӗперӗ,kamalak
88,Donner::N,аслати,guldur
89,Strömung::N,юхӑ,oqim
90,Tropfen::N,тумлам,tomchi
91,Schaum::N,кӑпӑк,ko'pik
92,Schmutz::N,пылчӑк,gard
93,See::N,кӳлӗ,ko'l
94,Sumpf::N,шур,botqoq
95,Sumpf::N,шурлӑх,botqoq
96,Moor::N,торфлӑ шурлӑх,qir-adir
97,Wiese::N,улӑх,o'tzor
98,Wiese::N,ҫаран,o'tzor
99,Wald::N,вӑрман,o'rmon
100,Hügel::N,сӑрт,tepa
101,Hügel::N,тӗмеске,tepa
102,Anhöhe::N,сӑрт,adir
103,Berg::N,ту,tog'
104,Gipfel::N,тӳпе,cho'qqi
105,Höhle::N,ҫӗр хӑвӑлӗ,kavak
106,Abhang::N,тӑвайкки,to'sh
107,Quelle::N,ҫӑл куҫ,buloq
108,Bach::N,пӗчӗк шыв,o'zan
109,Fluss::N,юхан шыв,daryo
110,Ufer::N,ҫыран,sohil
111,Küste::N,тинӗс ҫыранӗ,qirg'oq
112,Festland::N,тип ҫӗр,materik
113,Meer::N,тинӗс,dengiz
114,Bucht::N,тинӗс кукӑрӗ,qo'ltiq
115,Insel::N,утрав,orol
116,Blume::N,чечек,gul
117,Gras::N,курӑк,sabza
118,Wurzel::N,тымар,tub
119,Wurzel::N,тымар,tomir
