,Concept_ID,ar,es
0,Auge::N,عين,ojo
1,Ohr::N,أذن,oreja
2,Nase::N,أنف,nariz
3,Mund::N,فم,boca
4,Zahn::N,سن,diente
5,Zunge::N,لسان,lengua
6,Lippe::N,شفة,labio
7,Wange::N,خد,mejilla
8,Wange::N,وجنة,mejilla
9,Gesicht::N,وجه,cara
10,Stirn::N,جبين,frente
11,Haar::N,شعر,cabello
12,Schnurrbart::N,شارب,bigote
13,Bart::N,لحية,barba
14,Kinn::N,ذقن,barbilla
15,Kiefer[Anatomie]::N,فك,mandíbula
16,Kehle::N,حلق,garganta
17,Hals::N,عنق,cuello
18,Hals::N,رقبة,cuello
19,Genick::N,قفا,nuca
20,Genick::N,قفا,cerviz
21,Kopf::N,رأس,cabeza
22,Rücken::N,ظهر,espalda
23,Bauch::N,بطن,vientre
24,Nabel::N,سرة,ombligo
25,Busen::N,ثدي,pecho
26,Brust::N,صدر,pecho
27,Schulter::N,كتف,hombro
28,Arm::N,ذراع,brazo
29,Ellenbogen::N,كوع,codo
30,Hand::N,يد,mano
31,Handfläche::N,كف,palma
32,Finger::N,إصبع,dedo
33,Fingernagel::N,ظفر,uña
34,Nagel[Anatomie]::N,ظفر,uña
35,Zeh::N,إصبع القدم,dedo del pie
36,Fuß::N,قدم,pie
37,Ferse::N,كعب,talón
38,Knie::N,ركبة,rodilla
39,Oberschenkel::N,فخذ,muslo
40,Bein::N,ساق,pierna
41,Körper::N,جسم,cuerpo
42,Haut::N,بشرة,piel
43,Blut::N,دم,sangre
44,Ader::N,عرق,vena
45,Sehne::N,طنب,tendón
46,Knochen::N,عظم,hueso
47,Gehirn::N,دماغ,cerebro
48,Gehirn::N,دماغ,encéfalo
49,Herz::N,قلب,corazón
50,Magen::N,معدة,estómago
51,Leber::N,كبد,hígado
52,Atem::N,نفس,aliento
53,Hunger::N,جوع,hambre
54,Träne::N,دمعة,lágrima
55,Geschmack::N,طعم,gusto
56,Geschmack::N,مذاق,gusto
57,Geruch::N,رائحة,olor
58,Schlaf::N,نوم,sueño
59,Schlaf::N,منام,sueño
60,Traum::N,حلم,sueño
61,Traum::N,حلم,ensueño
62,Himmel::N,سماء,cielo
63,Sonne::N,شمس,sol
64,Mond::N,قمر,luna
65,Stern::N,نجم,estrella
66,Stern::N,كوكب,estrella
67,Luft::N,هواء,aire
68,Wind::N,ريح,viento
69,Welle::N,موجة,ola
70,Welle::N,موجة,onda
71,Wasser::N,ماء,agua
72,Stein::N,حجر,piedra
73,Boden::N,تراب,suelo
74,Erde::N,أرض,tierra
75,Staub::N,غبار,polvo
76,Rauch::N,دخان,humo
77,Funke::N,شرارة,chispa
78,Feuer::N,نار,fuego
79,Licht::N,نور,luz
80,Licht::N,ضوء,luz
81,Schatten::N,ظل,sombra
82,Schatten::N,فيء,sombra
83,Wetter::N,جو,tiempo
84,Wetter::N,طقس,tiempo
85,Nebel::N,ضباب,niebla
86,Wolke::N,غيمة,nube
87,Wolke::N,سحابة,nube
88,Regen::N,مطر,lluvia
89,Schnee::N,ثلج,nieve
90,Eis::N,جليد,hielo
91,Frost::N,صقيع,helada
92,Kälte::N,برد,frío
93,Hitze::N,حر,calor
94,Hitze::N,حرارة,calor
95,Raureif::N,صقيع,escarcha
96,Regenbogen::N,قوس قزح,arco iris
97,Donner::N,رعد,trueno
98,Strömung::N,تيار,corriente
99,Tropfen::N,قطرة,gota
100,Schaum::N,زبد,espuma
101,Schaum::N,رغوة,espuma
102,Schmutz::N,وسخ,suciedad
103,See::N,بحيرة,lago
104,Sumpf::N,مستنقع,pantano
105,Moor::N,مستنقع,turbera
106,Wiese::N,مرج,prado
107,Wiese::N,مرج,pradera
108,Wald::N,غابة,bosque
109,Hügel::N,تل,colina
110,Anhöhe::N,تل,cerro
111,Berg::N,جبل,monte
112,Berg::N,جبل,montaña
113,Gipfel::N,قمة,cima
114,Gipfel::N,قمة,cumbre
115,Höhle::N,كهف,cueva
116,Höhle::N,كهف,caverna
117,Abhang::N,منحدر,cuesta
118,Abhang::N,منحدر,declive
119,Quelle::N,منبع,fuente
120,Quelle::N,منبع,manantial
121,Bach::N,مجرى,arroyo
122,Fluss::N,نهر,río
123,Ufer::N,ضفة,orilla
124,Küste::N,ساحل,costa
125,Festland::N,بر,tierra firme
126,Meer::N,بحر,mar
127,Bucht::N,خليج,cala
128,Bucht::N,خليج,bahía
129,Insel::N,جزيرة,isla
130,Blume::N,زهرة,flor
131,Gras::N,حشيش,hierba
132,Wurzel::N,أصل,raíz
133,Baum::N,شجرة,árbol
134,Stamm::N,جذع,tronco
135,Rinde::N,قشرة,corteza
136,Ast::N,فرع,rama
137,Zweig::N,غصن,ramo
138,Blatt::N,ورقة,hoja
139,Birke::N,قضبان,abedul
140,Kiefer[Baum]::N,صنوبرة,pino
141,Weide[Baum]::N,صفصاف,sauce
142,Tanne::N,شوح,abeto
143,Tanne::N,تبوب,abeto
144,Horn::N,قرن,asta
145,Horn::N,قرن,cuerno
146,Feder::N,ريشة,pluma
147,Fell::N,فرو,piel
148,Flügel::N,جناح,ala
149,Klaue::N,مخلب,garra
150,Kralle::N,مخلب,uña
151,Kralle::N,مخلب,garra
152,Schwanz::N,ذيل,cola
153,Ei::N,بيض,huevo
154,Nest::N,عش,nido
155,Bau::N,جحر,madriguera
156,Tier::N,حيوان,animal
157,Herde::N,قطيع,rebaño
158,Kuh::N,بقرة,vaca
159,Bulle::N,ثور,toro
160,Pferd::N,خيل,caballo
161,Schaf::N,شاة,oveja
162,Schwein::N,خنزير,cerdo
163,Hund::N,كلب,perro
164,Katze::N,قطة,gato
165,Bär::N,دب,oso
166,Eichhörnchen::N,سنجاب,ardilla
167,Elch::N,موظ,alce
168,Fuchs::N,ثعلب,zorro
169,Hase::N,أرنب,liebre
170,Maus::N,فأرة,ratón
171,Wolf::N,ذئب,lobo
172,Vogel::N,طير,ave
173,Vogel::N,طير,pájaro
174,Schwarm::N,سرب,bandada
175,Huhn::N,دجاجة,gallina
176,Hahn::N,ديك,gallo
177,Gans::N,وزة,oca
178,Gans::N,وزة,ganso
179,Adler::N,نسر,águila
180,Ente::N,بطة,pato
181,Eule::N,بوم,lechuza
182,Kranich::N,كركي,grulla
183,Krähe::N,غراب,corneja
184,Kuckuck::N,وقواق,cuco
185,Schwan::N,إوز عراقي,cisne
186,Fisch::N,سمك,pez
187,Barsch::N,فرخ أوربي,perca
188,Hecht::N,سمك الكراكي,lucio
189,Schlange[Tier]::N,حية,serpiente
190,Schlange[Tier]::N,ثعبان,serpiente
191,Wurm::N,دودة,gusano
192,Spinne::N,عنكبوت,araña
193,Ameise::N,نملة,hormiga
194,Laus::N,قملة,piojo
195,Mücke::N,ناموسة,mosquito
196,Fliege::N,ذبابة,mosca
197,Schmetterling::N,فراشة,mariposa
198,Beere::N,حبة,baya
199,Apfel::N,تفاح,manzana
200,Pilz::N,فطر,seta
201,Pilz::N,فطر,hongo
202,Zwiebel::N,بصل,cebolla
203,Saat::N,زرع,siembra
204,Korn::N,حبة,grano
205,Heu::N,دريس,heno
206,Schale::N,قشرة,cáscara
207,Grube::N,نقرة,foso
208,Falle::N,فخ,trampa
209,Falle::N,مصيدة,trampa
210,Schlinge::N,عروة,lazo
211,Spur::N,أثر,huella
212,Asche::N,رماد,ceniza
213,Dreck::N,قذر,suciedad
214,Eisen::N,حديد,hierro
215,Gold::N,ذهب,oro
216,Silber::N,فضة,plata
217,Kohle::N,فحم,carbón
218,Glas::N,زجاج,vidrio
219,Glas::N,زجاج,cristal
220,Lehm::N,طين,barro
221,Sand::N,رمل,arena
222,Mensch::N,إنسان,hombre
223,Mensch::N,إنسان,ser humano
224,Mann::N,رجل,hombre
225,Frau::N,امرأة,mujer
226,Kind::N,طفل,niño
227,Junge::N,ولد,chico
228,Junge::N,ولد,muchacho
229,Mädchen::N,بنت,chica
230,Mädchen::N,بنت,muchacha
231,Familie::N,عائلة,familia
232,Großvater::N,جد,abuelo
233,Großmutter::N,جدة,abuela
234,Eltern::N,أبوان,padres
235,Eltern::N,والدان,padres
236,Vater::N,أب,padre
237,Mutter::N,أم,madre
238,Sohn::N,إبن,hijo
239,Tochter::N,بنت,hija
240,Tochter::N,إبنة,hija
241,Bruder::N,أخ,hermano
242,Bruder::N,شقيق,hermano
243,Schwester::N,أخت,hermana
244,Onkel::N,عم,tío
245,Tante::N,عمة,tía
246,Ehemann::N,زوج,esposo
247,Ehefrau::N,زوجة,esposa
248,Freude::N,فرح,placer
249,Freude::N,فرح,alegría
250,Freude::N,سرور,placer
251,Freude::N,سرور,alegría
252,Gelächter::N,قهقهة,risa
253,Gelächter::N,قهقهة,carcajada
254,Glück::N,سعادة,felicidad
255,Kummer::N,غم,pena
256,Wunsch::N,منية,deseo
257,Lust::N,شهوة,ganas
258,Geist::N,روح,mente
259,Geist::N,روح,espíritu
260,Gedanke::N,فكرة,idea
261,Gedanke::N,فكرة,pensamiento
262,Gedächtnis::N,ذاكرة,memoria
263,Verstand::N,عقل,razón
264,Verstand::N,عقل,entendimiento
265,Sinn::N,معنى,sentido
266,Sinn::N,معنى,significado
267,Grund::N,سبب,causa
268,Wahrheit::N,حقيقة,verdad
269,Gespräch::N,محادثة,conversación
270,Märchen::N,خرافة,cuento
271,Erzählung::N,قصة,cuento
272,Erzählung::N,قصة,narración
273,Erzählung::N,حكاية,cuento
274,Erzählung::N,حكاية,narración
275,Nachricht::N,خبر,mensaje
276,Neuigkeit::N,خبر جديد,noticia
277,Name::N,اسم,nombre
278,Rätsel::N,لغز,acertijo
279,Rätsel::N,لغز,adivinanza
280,Rede::N,خطبة,discurso
281,Sprache::N,لغة,lengua
282,Stimme::N,صوت,voz
283,Wort::N,كلمة,palabra
284,Zeichen::N,رمز,señal
285,Zeichen::N,إشارة,señal
286,Ruf::N,نداء,llamada
287,Lärm::N,صخب,ruido
288,Lärm::N,صخب,barullo
289,Lärm::N,ضجة,ruido
290,Lärm::N,ضجة,barullo
291,Laut::N,صوت,sonido
292,Ton::N,نغمة,tono
293,Lied::N,أغنية,canción
294,Ruhe::N,هدوء,calma
295,Ruhe::N,هدوء,silencio
296,Leute::N,ناس,gente
297,Volk::N,شعب,pueblo
298,Arbeit::N,عمل,trabajo
299,Gast::N,ضيف,huésped
300,Gast::N,ضيف,invitado
301,Geschenk::N,هدية,regalo
302,Spiel::N,لعب,juego
303,Gesellschaft::N,صحبة,compañía
304,Hilfe::N,عون,ayuda
305,Hilfe::N,عون,socorro
306,Hilfe::N,مساعدة,ayuda
307,Hilfe::N,مساعدة,socorro
308,Freund::N,صديق,amigo
309,Kamerad::N,زميل,camarada
310,Kamerad::N,زميل,compañero
311,Angelegenheit::N,أمر,asunto
