,Concept_ID,te,ta
269,Seite::N,ప్రక్క,பக்கம்
270,Mitte::N,నడిమి,இடைப்பகுதி
271,Gegenstand::N,పద్దు,உருப்படி
272,Sache::N,వస్తువు,பொருள்
273,Rand::N,అంచు,தொங்கு
274,Kante::N,అంచు,விளிம்பு
275,Ecke::N,మూల,மூலை
276,Spitze::N,మొన,முனை
277,Ende::N,కొన,முடிவு
278,Loch::N,రంధ్రము,துளை
279,Winkel::N,కోణము,கோணம்
280,Muster::N,మాదిరి,பாங்கு
281,Größe::N,పరిమాణము,அளவு
282,Länge::N,పొడుగు,நீளம்
283,Höhe::N,పొడుగు,உயரம்
284,Gewicht::N,భారము,எடை
285,Menge::N,మొత్తము,தொகை
286,Haufen::N,రాశి,குவியல்
287,Reihe::N,వరుస,வரிசை
288,Boot::N,పడవ,படகு
289,Ruder::N,అడక,துடுப்பு
290,Schlitten::N,సరవండ్లు,சகடையிலா வண்டி
291,Ski::N,స్కీ,பனிச் சறுக்கல்
292,Lagerfeuer::N,నెగడు,மூட்டம்
293,Last::N,బరువు,பாரம்
294,Gang::N,నడక,நடை
295,Schritt::N,అడుగు,காலடி
296,Norden::N,ఉత్తరదిక్కు,வடக்கு
297,Süden::N,దక్షిణము,தெற்கு
298,Westen::N,పడమర,மேற்கு திசை
299,Osten::N,తూర్పు,கிழக்கு
300,Holz::N,కొయ్య,மரக்கட்டை
301,Brett::N,పలక,பலகை
302,Platte::N,పలక,பலகம்
303,Stütze::N,వాల్సేడ్లు,அடைப்புகன்
304,Stange::N,స్తంభము,கம்பம்
305,Stock::N,కఱ్ఱ,குச்சி
306,Stab::N,కఱ్ఱ,கம்பு
307,Rohr::N,గొట్టము,குழாய்
308,Haus::N,ఇల్లు,வீடு
309,Heim::N,స్వగృహము,வீடு
310,Ofen::N,పొయ్యి,அடுப்பு
311,Fußboden::N,నేల,தரை
312,Tisch::N,మేజా,மேசை
313,Stuhl::N,కుర్చీ,நாற்காலி
314,Wiege::N,ఉయ్యాల,தொட்டில்
315,Bett::N,పడక,படுக்கை
316,Bett::N,మంచం,படுக்கை
317,Regal::N,అటక,அலமாரி
318,Kiste::N,వెట్టె,பெட்டி
319,Fenster::N,కిటికి,சாளரம்
320,Tür::N,ద్వారము,கதவு
321,Tor::N,ద్వారము,வாசற்கதவு
322,Zaun::N,కంచె,வேலி
323,Dach::N,ఇంటివైకప్పు,கூரை
324,Leiter::N,నిచ్చెన,ஏணி
325,Besen::N,చీపురుకట్ట,விளக்குமாறு
326,Spaten::N,పాఱ,மண்வெட்டி
327,Schaufel::N,పాఱ,அடிதண்டா
328,Gabel::N,ముండ్లగరిటె,முட்கரண்டி
329,Löffel::N,గరిటె,கரண்டி
330,Messer::N,కత్తి,கத்தி
331,Nagel::N,మేకు,ஆணி
332,Netz::N,వల,வலை
333,Haken::N,కొక్కెము,கொக்கி
334,Griff::N,పిడి,கைப்பிடி
335,Schloss::N,తాళము,பூட்டு
336,Bild::N,చిత్రము,படம்
337,Figur::N,రూపము,எண்ணிக்கை
338,Puppe::N,బొమ్మ,பொம்மை
339,Beutel::N,సంచి,பை
340,Bündel::N,మూట,பொதி
341,Tasche::N,సంచి,பை
342,Eimer::N,చేద,வாளி
343,Deckel::N,మూత,உறை
344,Geschirr::N,వంటకాలు,பாத்திரம்
345,Sack::N,గోనెసంచి,பை
346,Tasse::N,గిన్నె,கிண்ணம்
347,Topf::N,కుండ,பானை
348,Kessel::N,నీరుకాచుపాత్ర,கெண்டி
349,Essen::N,ఆహారము,உணவருந்துதல்
350,Nahrung::N,ఆహారము,உணவு
351,Speise::N,ఆహారము,உணவு வகை
352,Fleisch::N,మాంసము,இறைச்சி
353,Getreide::N,ధాన్యము,மக்காச்சோளம்
354,Brei::N,గుజ్జు,கஞ்சி
355,Brot::N,రొట్టె,ரொட்டி
356,Scheibe::N,బద్ద,துண்டு
357,Fett::N,క్రొవ్వు,கொழுப்பு
358,Butter::N,వెన్న,வெண்ணெய்
359,Öl::N,నూనె,எண்ணெய்
360,Salz::N,ఉప్పు,உப்பு
361,Suppe::N,చారు,ரசம்
362,Honig::N,తెనె,தேன்
363,Milch::N,పాలు,பால்
364,Tee::N,తేనీరు,தெனீர்
365,Leder::N,బాగుచేసివతోలు,பதம் செய்யப்பட்ட தோல்
366,Wolle::N,ఉన్ని,கம்பளி
367,Stoff::N,బట్ట,துணி
368,Nadel::N,సూది,ஊசி
369,Faden::N,దారము,நூல்
370,Knopf::N,బొత్తాము,பொத்தான்
371,Knoten::N,ముడి,முடிச்சு
372,Farbe::N,రంగు,வண்ணக் குழம்பு
373,Kleidung::N,బట్టలు,ஆடைகள்
374,Hemd::N,చొక్కాయ,சட்டை
375,Kragen::N,మాల,கழுத்துப் பட்டை
376,Ärmel::N,చొక్కాయచెయ్యి,சட்டைக்கை
377,Hose::N,ఇజారు,கால்சட்டை
378,Gürtel::N,పటకా,பெல்ட்
379,Mütze::N,టోపి,தொப்பி
380,Schuh::N,పాదరక్ష,காலணி
381,Stiefel::N,బూటు,காலணி
382,Ring::N,ఉంగరము,மோதிரம்
383,Band::N,నాడా,நாடா
384,Kamm::N,దువ్వెన,கீப்பு
