,Concept_ID,en,lez
0,Auge::N,eye,вил
1,Ohr::N,ear,яб
2,Nase::N,nose,нер
3,Mund::N,mouth,сив
4,Zahn::N,tooth,сас
5,Zahn::N,tooth,свах
6,Zunge::N,tongue,мез
7,Lippe::N,lip,пӏуз
8,Wange::N,cheek,хъвехъ
9,Gesicht::N,face,ччин
10,Stirn::N,forehead,пел
11,Haar::N,hair,чӏар
12,Schnurrbart::N,moustache,спел
13,Schnurrbart::N,moustache,спелар
14,Bart::N,beard,ччуру
15,Kinn::N,chin,чене
16,Kiefer[Anatomie]::N,jaw,чене
17,Kehle::N,throat,туьд
18,Hals::N,neck,гардан
19,Genick::N,nape,кьам
20,Kopf::N,head,кьил
21,Rücken::N,back,далу
22,Rücken::N,spine,далу
23,Bauch::N,belly,руфун
24,Nabel::N,navel,пицӏ
25,Busen::N,bosom,мам
26,Brust::N,chest,хур
27,Brust::N,breast,хур
28,Schulter::N,shoulder,къуьн
29,Arm::N,arm,гъил
30,Ellenbogen::N,elbow,кьуьнт
31,Hand::N,hand,капаш
32,Handfläche::N,palm,капан юкь
33,Finger::N,finger,тӏуб
34,Fingernagel::N,fingernail,кек
35,Nagel[Anatomie]::N,nail,кек
36,Zeh::N,toe,кул
37,Fuß::N,foot,кӏвач
38,Ferse::N,heel,дабан
39,Knie::N,knee,мет
40,Oberschenkel::N,thigh,
41,Bein::N,leg,кӏвач
42,Körper::N,body,беден
43,Haut::N,skin,хам
44,Blut::N,blood,иви
45,Ader::N,vein,дамар
46,Sehne::N,sinew,кьуру дамар
47,Knochen::N,bone,кӏараб
48,Gehirn::N,brain,мефт
49,Herz::N,heart,рикӏ
50,Magen::N,stomach,хук
51,Leber::N,liver,лекь
52,Atem::N,breath,ял
53,Atem::N,breath,нефес
54,Hunger::N,hunger,каш
55,Träne::N,tear,вилин нагъв
56,Geschmack::N,flavour,дад
57,Geschmack::N,flavour,тӏям
58,Geschmack::N,flavor,дад
59,Geschmack::N,flavor,тӏям
60,Geruch::N,odour,ни
61,Geruch::N,odor,ни
62,Schlaf::N,sleep,ахвар
63,Traum::N,dream,ахвар
64,Himmel::N,sky,цав
65,Sonne::N,sun,рагъ
66,Mond::N,moon,варз
67,Stern::N,star,гъед
68,Luft::N,air,гьава
69,Wind::N,wind,гар
70,Welle::N,wave,лепе
71,Wasser::N,water,яд
72,Stein::N,stone,къван
73,Boden::N,soil,накьв
74,Boden::N,ground,накьв
75,Erde::N,earth,ччил
76,Staub::N,dust,руг
77,Rauch::N,smoke,гум
78,Funke::N,spark,цӏелхем
79,Feuer::N,fire,цӏай
80,Licht::N,light,экв
81,Schatten::N,shadow,серин
82,Wetter::N,weather,гьава
83,Nebel::N,fog,ччилин циф
84,Wolke::N,cloud,циф
85,Regen::N,rain,марф
86,Schnee::N,snow,жив
87,Eis::N,ice,мурк
88,Frost::N,frost,аяз
89,Kälte::N,chill,мекь
90,Kälte::N,chill,мекьивал
91,Hitze::N,heat,зегьем
92,Raureif::N,hoarfrost,къирав
93,Regenbogen::N,rainbow,яргъируш
94,Donner::N,thunder,цавун ван
95,Strömung::N,current,
96,Tropfen::N,drop,стӏал
97,Schaum::N,foam,каф
98,Schmutz::N,dirt,чирк
99,Schmutz::N,dirt,кьуруш
100,See::N,lake,вир
101,Sumpf::N,swamp,уьлен
102,Moor::N,moor,
103,Wiese::N,meadow,векь
104,Wald::N,forest,там
105,Hügel::N,hill,кӏунтӏ
106,Anhöhe::N,elevation,тепе
107,Anhöhe::N,elevation,гьуьндуьрвал
108,Berg::N,mountain,дагъ
109,Gipfel::N,summit,кӏукӏ
110,Höhle::N,cave,кьветӏ
111,Abhang::N,slope,гуьне
112,Quelle::N,source,чешме
113,Bach::N,brook,булах
114,Fluss::N,river,вацӏ
115,Ufer::N,shore,къерех
116,Küste::N,coast,къерех
117,Festland::N,land,кьурамат
118,Meer::N,sea,гьуьл
119,Bucht::N,cove,бухта
120,Insel::N,island,остров
121,Blume::N,flower,цуьк
122,Gras::N,grass,хъач
123,Wurzel::N,root,дувул
124,Baum::N,tree,ттар
125,Stamm::N,trunk,тан
126,Rinde::N,bark,чкал
127,Ast::N,limb,тӏур
128,Zweig::N,branch,хел
129,Blatt::N,leaf,пеш
130,Birke::N,birch,верх
131,Kiefer[Baum]::N,pine,шамагъаж
132,Weide[Baum]::N,willow,цӏвелин ттар
133,Tanne::N,fir,ель
134,Horn::N,horn,карч
135,Feder::N,feather,цӏакул
136,Fell::N,fur,хам
137,Flügel::N,wing,лув
138,Klaue::N,claw,къармах
139,Kralle::N,claw,пац
140,Kralle::N,claw,тапас
141,Schwanz::N,tail,ттум
142,Ei::N,egg,кака
143,Nest::N,nest,муг
144,Bau::N,lair,тӏеквен
145,Tier::N,animal,гьайван
146,Herde::N,flock,суьруь
147,Kuh::N,cow,ккал
148,Bulle::N,bull,яц
149,Bulle::N,bull,бугъа
150,Pferd::N,horse,балкӏан
151,Schaf::N,sheep,хеб
152,Schwein::N,pig,вак
153,Hund::N,dog,кицӏ
154,Katze::N,cat,кац
155,Bär::N,bear,сев
156,Eichhörnchen::N,squirrel,белка
157,Elch::N,elk,лось
158,Fuchs::N,fox,сикӏ
159,Hase::N,hare,къуьр
160,Maus::N,mouse,кьиф
161,Wolf::N,wolf,жанавур
162,Vogel::N,bird,луван ничхир
163,Schwarm::N,swarm,луж
164,Huhn::N,chicken,верч
165,Hahn::N,cock,кӏек
166,Gans::N,goose,къаз
167,Adler::N,eagle,лекь
168,Ente::N,duck,пӏатӏ
169,Eule::N,owl,тӏиб
170,Kranich::N,crane,дурна
171,Krähe::N,crow,къаргъа
172,Kuckuck::N,cuckoo,кукупӏ
173,Schwan::N,swan,къугь
174,Fisch::N,fish,гъед
175,Barsch::N,perch,окунь
176,Hecht::N,pike,щука
177,Schlange[Tier]::N,snake,илан
178,Schlange[Tier]::N,snake,гъуьлягъ
179,Wurm::N,worm,квак
180,Spinne::N,spider,хуьшрекан
181,Ameise::N,ant,цегв
182,Laus::N,louse,нет
183,Mücke::N,midge,ветӏ
184,Fliege::N,fly,тӏветӏ
185,Schmetterling::N,butterfly,чепелукь
186,Beere::N,berry,куьлуь емиш
187,Apfel::N,apple,ич
188,Pilz::N,mushroom,къарникъуз
189,Zwiebel::N,onion,чичӏек
190,Saat::N,seed,тумар
191,Korn::N,grain,твар
192,Heu::N,hay,векь
193,Heu::N,hay,векьер
194,Schale::N,husk,пириш
195,Schale::N,husk,хъуьруьш
196,Grube::N,pit,фур
197,Falle::N,trap,ракьар
198,Schlinge::N,noose,гьалкъа
199,Spur::N,track,гел
200,Asche::N,ashes,руьхъ
201,Dreck::N,filth,чирк
202,Dreck::N,filth,кьуруш
203,Eisen::N,iron,ракь
204,Gold::N,gold,алтун
205,Silber::N,silver,гимиш
206,Kohle::N,coal,цӏивин
207,Glas::N,glass,шуьше
208,Lehm::N,clay,ччеб
209,Sand::N,sand,къум
210,Mensch::N,human,инсан
211,Mann::N,man,итим
212,Frau::N,woman,паб
213,Frau::N,woman,дишегьли
214,Kind::N,child,аял
215,Junge::N,boy,гада
216,Mädchen::N,girl,руш
217,Familie::N,family,хзан
218,Familie::N,family,килфет
219,Großvater::N,grandfather,чӏехи буба
220,Großmutter::N,grandmother,чӏехи диде
221,Eltern::N,parents,диде-буба
222,Vater::N,father,буба
223,Mutter::N,mother,диде
224,Sohn::N,son,хва
225,Tochter::N,daughter,руш
226,Bruder::N,brother,стха
227,Schwester::N,sister,вах
228,Onkel::N,uncle,ими
229,Onkel::N,uncle,халу
230,Tante::N,aunt,эме
231,Tante::N,aunt,хала
232,Ehemann::N,husband,гъуьл
233,Ehefrau::N,wife,паб
234,Freude::N,joy,шадвал
235,Gelächter::N,laughter,хъвер
236,Glück::N,happiness,бахт
237,Kummer::N,grief,дерт
238,Kummer::N,grief,хажалат
239,Wunsch::N,wish,мурад
240,Lust::N,desire,гьевес
241,Geist::N,spirit,руьгь
242,Gedanke::N,thought,фикир
243,Gedächtnis::N,memory,
244,Verstand::N,mind,акьул
245,Sinn::N,meaning,мана
246,Grund::N,reason,себеб
247,Wahrheit::N,truth,керчек
248,Wahrheit::N,truth,гьакъикъат
249,Gespräch::N,talk,ихтилат
250,Märchen::N,fairy tale,мах
251,Erzählung::N,story,кьиса
252,Nachricht::N,message,хабар
253,Neuigkeit::N,news,цӏийи хабар
254,Name::N,name,тӏвар
255,Rätsel::N,puzzle,мискӏал
256,Rede::N,speech,рахун
257,Sprache::N,language,чӏал
258,Stimme::N,voice,ван
259,Wort::N,word,гаф
260,Zeichen::N,sign,ишара
261,Ruf::N,call,эвер
262,Lärm::N,noise,ван-сес
263,Laut::N,sound,ван
264,Laut::N,sound,сес
265,Ton::N,tone,ван-сес
266,Lied::N,song,мани
267,Ruhe::N,calm,ласвал
268,Ruhe::N,calm,фаракъат
269,Ruhe::N,calm,асайиш
270,Leute::N,people,инсанар
271,Volk::N,nation,халкь
272,Arbeit::N,work,кӏвалах
273,Gast::N,guest,мугьман
274,Geschenk::N,gift,савкьат
275,Spiel::N,game,къугъун
276,Gesellschaft::N,company,жемят
277,Gesellschaft::N,company,общество
278,Hilfe::N,help,куьмек
279,Freund::N,friend,дуст
280,Kamerad::N,companion,яр-дуст
281,Angelegenheit::N,matter,кар
282,Anzahl::N,count,сан
283,Anzahl::N,count,кьадар
284,Art::N,sort,жуьре
285,Stück::N,piece,кӏус
286,Teil::N,part,пай
287,Hälfte::N,half,зур
288,Hälfte::N,half,зур пай
289,Kreis::N,circle,круг
290,Kreis::N,circle,чкаяр
291,Kreis::N,circle,элкъвей цӏар
292,Kreuz::N,cross,хаш
293,Linie::N,line,цӏар
294,Strich::N,stroke,цӏар
295,Abstand::N,gap,ара
296,Entfernung::N,distance,мензил
297,Gegend::N,area,чка
298,Platz::N,space,ара
299,Ort::N,place,чка
300,Seite::N,side,пад
301,Mitte::N,middle,юкь
302,Gegenstand::N,item,затӏ
303,Sache::N,thing,шей
304,Sache::N,thing,затӏ
305,Rand::N,fringe,къерех
306,Kante::N,edge,син
307,Ecke::N,corner,пӏипӏ
308,Spitze::N,tip,кӏвенкӏв
309,Ende::N,end,кьил
310,Loch::N,hole,тӏеквен
311,Winkel::N,angle,пӏипӏ
312,Muster::N,pattern,гишир
313,Größe::N,size,кьадар
314,Länge::N,length,яргъивал
315,Höhe::N,height,кьакьанвал
316,Gewicht::N,weight,заланвал
317,Menge::N,amount,кьадар
318,Haufen::N,heap,хара
319,Reihe::N,row,жерге
320,Boot::N,boat,луьткве
321,Ruder::N,oar,кьусу
322,Schlitten::N,sleigh,гъелерар
323,Ski::N,ski,
324,Lagerfeuer::N,campfire,цӏай
325,Last::N,load,заланвал
326,Gang::N,walk,ериш
327,Schritt::N,step,къадам
328,Norden::N,north,кефер
329,Norden::N,north,кефер пад
330,Süden::N,south,кьибле
331,Westen::N,west,рагъакӏидай пад
332,Osten::N,east,рагъэкъечӏдай пад
333,Holz::N,wood,кӏарас
334,Brett::N,board,кьул
335,Brett::N,board,тахта
336,Platte::N,slab,
337,Stütze::N,bracket,даях
338,Stange::N,pole,юрк
339,Stock::N,stick,лаш
340,Stab::N,staff,юрк
341,Rohr::N,pipe,турба
342,Haus::N,house,ужагъ
343,Heim::N,home,кӏвал
344,Ofen::N,stove,пич
345,Fußboden::N,floor,кӏвалин ччил
346,Tisch::N,table,стол
347,Stuhl::N,chair,стул
348,Wiege::N,cradle,кьеб
349,Bett::N,bed,тахт
350,Regal::N,shelf,кьацӏ
351,Kiste::N,box,ящик
352,Fenster::N,window,дакӏар
353,Tür::N,door,рак
354,Tor::N,gate,варар
355,Zaun::N,fence,пару
356,Dach::N,roof,къав
357,Leiter::N,ladder,гурар
358,Besen::N,broom,таран кул
359,Spaten::N,spade,ппер
360,Schaufel::N,shovel,хекендаз
361,Gabel::N,fork,шиш
362,Löffel::N,spoon,тӏур
