,Concept_ID,no,kn
0,Auge::N,øye,ಕಣ್ಣು
1,Ohr::N,øre,ಕಿವಿ
2,Nase::N,nese,ಮೂಗು
3,Mund::N,munn,ಬಾಯಿ
4,Zahn::N,tann,ಹಲ್ಲು
5,Zunge::N,tunge,ನಾಲಿಗೆ
6,Lippe::N,leppe,ತುಟಿ
7,Wange::N,kinn,ಗಲ್ಲ
8,Gesicht::N,fjes,ಮುಖ
9,Gesicht::N,ansikt,ಮುಖ
10,Stirn::N,panne,ಹಣೆ
11,Haar::N,hår,ಕೂದಲು
12,Schnurrbart::N,bart,ಮೀಸೆ
13,Bart::N,skjegg,ಗಡ್ಡ
14,Kinn::N,hake,ಗದ್ದ
15,Kiefer[Anatomie]::N,kjeve,ದವಡೆ
16,Kehle::N,strupe,ಗಂಟಲು
17,Hals::N,hals,ಕೊರಳು
18,Genick::N,nakke,ಹಿಂಗತ್ತು
19,Kopf::N,hode,ತಲೆ
20,Rücken::N,rygg,ಬೆನ್ನು
21,Bauch::N,buk,ಹೊಟ್ಟೆ
22,Bauch::N,mage,ಹೊಟ್ಟೆ
23,Nabel::N,navle,ಹೊಕ್ಕುಳು
24,Busen::N,barm,ಸ್ತನ
25,Brust::N,bryst,ಎದೆ
26,Schulter::N,skulder,ಭುಜ
27,Arm::N,arm,ತೋಳು
28,Ellenbogen::N,albue,ಮೊಣಕೈ
29,Hand::N,hånd,ಕೈ
30,Handfläche::N,håndflate,ಅಂಗೈ
31,Finger::N,finger,ಕೈಬೆರಳು
32,Fingernagel::N,fingernegl,ಉಗುರು
33,Nagel[Anatomie]::N,negl,ಉಗುರು
34,Zeh::N,tå,ಕಾಲ್ಬೆರಳು
35,Fuß::N,fot,ಪಾದ
36,Ferse::N,hæl,ಹಿಮ್ಮಡಿ
37,Knie::N,kne,ಮಂಡಿ
38,Oberschenkel::N,lår,ತೊಡೆ
39,Bein::N,bein,ಕಾಲು
40,Körper::N,kropp,ದೇಹ
41,Körper::N,legeme,ದೇಹ
42,Haut::N,hud,ಚರ್ಮ
43,Haut::N,skinn,ಚರ್ಮ
44,Blut::N,blod,ರಕ್ತ
45,Ader::N,åre,ನರ
46,Sehne::N,sene,ನರ
47,Knochen::N,bein,ಮೂಳೆ
48,Knochen::N,knokkel,ಮೂಳೆ
49,Gehirn::N,hjerne,ಮಿದುಳು
50,Herz::N,hjerte,ಹೃದಯ
51,Magen::N,mage,ಉದರ
52,Leber::N,lever,ಯಕೃತ್ತು
53,Atem::N,pust,ಉಸಿರು
54,Hunger::N,sult,ಹಸಿವು
55,Träne::N,tåre,ಕಣ್ಣೀರು
56,Geschmack::N,smak,ರುಚಿ
57,Geruch::N,lukt,ವಾಸನೆ
58,Schlaf::N,søvn,ನಿದ್ರೆ
59,Traum::N,drøm,ಕನಸು
60,Himmel::N,himmel,ಬಾನು
61,Sonne::N,sol,ಸೂರ್ಯ
62,Mond::N,måne,ಚಂದ್ರ
63,Stern::N,stjerne,ಚುಕ್ಕಿ
64,Luft::N,luft,ವಾಯು
65,Wind::N,vind,ಗಾಳಿ
66,Welle::N,bølge,ಅಲೆ
67,Wasser::N,vann,ನೀರು
68,Stein::N,stein,ಕಲ್ಲು
69,Boden::N,bakke,ನೆಲ
70,Erde::N,jord,ಭೂಮಿ
71,Staub::N,støv,ದೂಳು
72,Rauch::N,røyk,ಹೊಗೆ
73,Funke::N,gnist,ಕಿಡಿ
74,Feuer::N,ild,ಬೆಂಕಿ
75,Licht::N,lys,ಬೆಳಕು
76,Schatten::N,skygge,ನೆರಳು
77,Wetter::N,vær,ಹವ
78,Nebel::N,tåke,ಮಂಜು
79,Wolke::N,sky,ಮೋಡ
80,Regen::N,regn,ಮಳೆ
81,Schnee::N,snø,ಹಿಮ
82,Eis::N,is,ಮಂಜುಗಡ್ಡೆ
83,Frost::N,frost,ಮಂಜು
84,Kälte::N,kulde,ಹಿಮ
85,Hitze::N,hete,ಉಷ್ಣ
86,Raureif::N,rimfrost,ಇಬ್ಬನಿ
87,Regenbogen::N,regnbue,ಇಂದ್ರಚಾಪ
88,Donner::N,torden,ಗುಡುಗು
89,Strömung::N,strømning,ಪ್ರವಾಹ
90,Tropfen::N,dråpe,ತೊಟ್ಟು
91,Schaum::N,skum,ನೊರೆ
92,Schmutz::N,søl,ಕಸ
93,Schmutz::N,skitt,ಕಸ
94,See::N,sjø,ಸರೋವರ
95,Sumpf::N,sump,ಜೌಗುಸ್ಥಳ
96,Sumpf::N,myrlende,ಜೌಗುಸ್ಥಳ
97,Moor::N,myr,ಬಂಜರು ಭೂಮಿ
98,Moor::N,myrhei,ಬಂಜರು ಭೂಮಿ
99,Wiese::N,eng,ಹುಲ್ಲುಗಾವಲು
