,Concept_ID,br,sk
0,Auge::N,lagad,oko
1,Ohr::N,skouarn,ucho
2,Nase::N,fri,nos
3,Mund::N,genoù,ústa
4,Zahn::N,dant,zub
5,Zunge::N,teod,jazyk
6,Lippe::N,muzell,pera
7,Wange::N,chot,líce
8,Gesicht::N,dremm,tvár
9,Gesicht::N,dremm,obličaj
10,Stirn::N,tal,čelo
11,Haar::N,blev,vlas
12,Schnurrbart::N,mourenn,fúzy
13,Bart::N,barv,brada
14,Kinn::N,groñj,brada
15,Kiefer[Anatomie]::N,javed,čeľusť
16,Kehle::N,gouzoug,hrdlo
17,Hals::N,gouzoug,krk
18,Genick::N,choug,väzy
19,Kopf::N,penn,hlava
20,Rücken::N,kein,chrbát
21,Bauch::N,kof,brucho
22,Nabel::N,begel,pupok
23,Busen::N,bronn,prsia
24,Brust::N,bruched,hruď
25,Schulter::N,skoaz,plece
26,Arm::N,brec'h,rameno
27,Ellenbogen::N,ilin,lakeť
28,Hand::N,dorn,ruka
29,Handfläche::N,palv,dlaň
30,Finger::N,biz,prst
31,Fingernagel::N,ivin,necht
32,Nagel[Anatomie]::N,ivin,necht
33,Zeh::N,biz-troad,prst na nohe
34,Fuß::N,troad,noha
35,Ferse::N,seul,päta
36,Knie::N,glin,koleno
37,Oberschenkel::N,morzhed,stehno
38,Bein::N,gar,noha
39,Körper::N,korf,telo
40,Haut::N,kroc'hen,koža
41,Blut::N,gwad,krv
42,Ader::N,gwazhi,žila
43,Sehne::N,stir,šľacha
44,Knochen::N,askorn,kosť
45,Gehirn::N,empenn,mozog
46,Herz::N,kalon,srdce
47,Magen::N,stomog,žalúdok
48,Leber::N,avu,pečeň
49,Atem::N,anal,dych
50,Hunger::N,naon,hlad
51,Träne::N,daer,slza
52,Geschmack::N,blaz,chuť
53,Geruch::N,c'hwezh,pach
54,Schlaf::N,kousked,spánok
55,Traum::N,hune,sen
56,Himmel::N,oabl,nebo
57,Sonne::N,heol,slnko
58,Mond::N,loar,mesiac
59,Stern::N,steredenn,hviezda
60,Luft::N,aer,vzduch
61,Wind::N,avel,vietor
62,Welle::N,houlenn,vlna
63,Wasser::N,dour,voda
64,Stein::N,maen,kameň
65,Boden::N,tachenn,zem
66,Boden::N,tachenn,pôda
67,Erde::N,douar,zem
68,Staub::N,poultr,prach
69,Rauch::N,moged,dym
70,Funke::N,ful,iskra
71,Feuer::N,tan,oheň
72,Licht::N,gouloù,svetlo
73,Schatten::N,disheol,tieň
74,Wetter::N,amzer,počasie
75,Nebel::N,brumenn,hmla
76,Wolke::N,koumoulenn,oblak
77,Wolke::N,koumoulenn,mračno
78,Regen::N,glav,dážď
79,Schnee::N,erc'h,sneh
80,Eis::N,skorn,ľad
81,Frost::N,rev,mráz
82,Kälte::N,yen,zima
83,Kälte::N,yen,chlad
84,Hitze::N,tommder,horúčava
85,Raureif::N,frim,srieň
